day,metric,mean,q025,q975,date,specialty
0,nwm104_total,0,0,0,14/11/2022,Cardiology
0,nwm52_total,2,2,2,14/11/2022,Cardiology
0,nwm78_total,1,1,1,14/11/2022,Cardiology
0,wl_Deferred,0,0,0,14/11/2022,Cardiology
0,wl_Planned,172,172,172,14/11/2022,Cardiology
0,wl_size_active,98,98,98,14/11/2022,Cardiology
1,nwm104_total,0,0,0,15/11/2022,Cardiology
1,nwm52_total,2,2,2,15/11/2022,Cardiology
1,nwm78_total,1,1,1,15/11/2022,Cardiology
1,wl_Deferred,0,0,0,15/11/2022,Cardiology
1,wl_Planned,171,171,171,15/11/2022,Cardiology
1,wl_size_active,99,99,99,15/11/2022,Cardiology
2,nwm104_total,0,0,0,16/11/2022,Cardiology
2,nwm52_total,2,2,2,16/11/2022,Cardiology
2,nwm78_total,1,1,1,16/11/2022,Cardiology
2,wl_Deferred,0,0,0,16/11/2022,Cardiology
2,wl_Planned,167,167,167,16/11/2022,Cardiology
2,wl_size_active,100,100,100,16/11/2022,Cardiology
3,nwm104_total,0,0,0,17/11/2022,Cardiology
3,nwm52_total,2,2,2,17/11/2022,Cardiology
3,nwm78_total,1,1,1,17/11/2022,Cardiology
3,wl_Deferred,0,0,0,17/11/2022,Cardiology
3,wl_Planned,167,167,167,17/11/2022,Cardiology
3,wl_size_active,103,103,103,17/11/2022,Cardiology
4,nwm104_total,0,0,0,18/11/2022,Cardiology
4,nwm52_total,2,2,2,18/11/2022,Cardiology
4,nwm78_total,1,1,1,18/11/2022,Cardiology
4,wl_Deferred,0,0,0,18/11/2022,Cardiology
4,wl_Planned,168,168,168,18/11/2022,Cardiology
4,wl_size_active,106,106,106,18/11/2022,Cardiology
5,nwm104_total,0,0,0,19/11/2022,Cardiology
5,nwm52_total,2,2,2,19/11/2022,Cardiology
5,nwm78_total,1,1,1,19/11/2022,Cardiology
5,wl_Deferred,0,0,0,19/11/2022,Cardiology
5,wl_Planned,166,166,166,19/11/2022,Cardiology
5,wl_size_active,106,106,106,19/11/2022,Cardiology
6,nwm104_total,0,0,0,20/11/2022,Cardiology
6,nwm52_total,2,2,2,20/11/2022,Cardiology
6,nwm78_total,1,1,1,20/11/2022,Cardiology
6,wl_Deferred,0,0,0,20/11/2022,Cardiology
6,wl_Planned,167,167,167,20/11/2022,Cardiology
6,wl_size_active,107,107,107,20/11/2022,Cardiology
7,nwm104_total,0,0,0,21/11/2022,Cardiology
7,nwm52_total,2,2,2,21/11/2022,Cardiology
7,nwm78_total,1,1,1,21/11/2022,Cardiology
7,wl_Deferred,0,0,0,21/11/2022,Cardiology
7,wl_Planned,168,168,168,21/11/2022,Cardiology
7,wl_size_active,110,110,110,21/11/2022,Cardiology
8,nwm104_total,0,0,0,22/11/2022,Cardiology
8,nwm52_total,2,2,2,22/11/2022,Cardiology
8,nwm78_total,1,1,1,22/11/2022,Cardiology
8,wl_Deferred,0,0,0,22/11/2022,Cardiology
8,wl_Planned,166,166,166,22/11/2022,Cardiology
8,wl_size_active,110,110,110,22/11/2022,Cardiology
9,nwm104_total,0,0,0,23/11/2022,Cardiology
9,nwm52_total,2,2,2,23/11/2022,Cardiology
9,nwm78_total,1,1,1,23/11/2022,Cardiology
9,wl_Deferred,0,0,0,23/11/2022,Cardiology
9,wl_Planned,159,159,159,23/11/2022,Cardiology
9,wl_size_active,113,113,113,23/11/2022,Cardiology
10,nwm104_total,0,0,0,24/11/2022,Cardiology
10,nwm52_total,2,2,2,24/11/2022,Cardiology
10,nwm78_total,1,1,1,24/11/2022,Cardiology
10,wl_Deferred,0,0,0,24/11/2022,Cardiology
10,wl_Planned,161,161,161,24/11/2022,Cardiology
10,wl_size_active,114,114,114,24/11/2022,Cardiology
11,nwm104_total,0,0,0,25/11/2022,Cardiology
11,nwm52_total,2,2,2,25/11/2022,Cardiology
11,nwm78_total,1,1,1,25/11/2022,Cardiology
11,wl_Deferred,0,0,0,25/11/2022,Cardiology
11,wl_Planned,160,160,160,25/11/2022,Cardiology
11,wl_size_active,116,116,116,25/11/2022,Cardiology
12,nwm104_total,0,0,0,26/11/2022,Cardiology
12,nwm52_total,2,2,2,26/11/2022,Cardiology
12,nwm78_total,1,1,1,26/11/2022,Cardiology
12,wl_Deferred,0,0,0,26/11/2022,Cardiology
12,wl_Planned,156,156,156,26/11/2022,Cardiology
12,wl_size_active,119,119,119,26/11/2022,Cardiology
13,nwm104_total,0,0,0,27/11/2022,Cardiology
13,nwm52_total,2,2,2,27/11/2022,Cardiology
13,nwm78_total,1,1,1,27/11/2022,Cardiology
13,wl_Deferred,0,0,0,27/11/2022,Cardiology
13,wl_Planned,154,154,154,27/11/2022,Cardiology
13,wl_size_active,120,120,120,27/11/2022,Cardiology
14,nwm104_total,0,0,0,28/11/2022,Cardiology
14,nwm52_total,2,2,2,28/11/2022,Cardiology
14,nwm78_total,1,1,1,28/11/2022,Cardiology
14,wl_Deferred,0,0,0,28/11/2022,Cardiology
14,wl_Planned,148,148,148,28/11/2022,Cardiology
14,wl_size_active,122,122,122,28/11/2022,Cardiology
15,nwm104_total,0,0,0,29/11/2022,Cardiology
15,nwm52_total,2,2,2,29/11/2022,Cardiology
15,nwm78_total,1,1,1,29/11/2022,Cardiology
15,wl_Deferred,0,0,0,29/11/2022,Cardiology
15,wl_Planned,144,144,144,29/11/2022,Cardiology
15,wl_size_active,124,124,124,29/11/2022,Cardiology
16,nwm104_total,0,0,0,30/11/2022,Cardiology
16,nwm52_total,1,1,1,30/11/2022,Cardiology
16,nwm78_total,0,0,0,30/11/2022,Cardiology
16,wl_Deferred,0,0,0,30/11/2022,Cardiology
16,wl_Planned,140,140,140,30/11/2022,Cardiology
16,wl_size_active,125,125,125,30/11/2022,Cardiology
17,nwm104_total,0,0,0,01/12/2022,Cardiology
17,nwm52_total,1,1,1,01/12/2022,Cardiology
17,nwm78_total,0,0,0,01/12/2022,Cardiology
17,wl_Deferred,0,0,0,01/12/2022,Cardiology
17,wl_Planned,137,137,137,01/12/2022,Cardiology
17,wl_size_active,127,127,127,01/12/2022,Cardiology
18,nwm104_total,0,0,0,02/12/2022,Cardiology
18,nwm52_total,1,1,1,02/12/2022,Cardiology
18,nwm78_total,0,0,0,02/12/2022,Cardiology
18,wl_Deferred,0,0,0,02/12/2022,Cardiology
18,wl_Planned,135,135,135,02/12/2022,Cardiology
18,wl_size_active,128,128,128,02/12/2022,Cardiology
19,nwm104_total,0,0,0,03/12/2022,Cardiology
19,nwm52_total,0,0,0,03/12/2022,Cardiology
19,nwm78_total,0,0,0,03/12/2022,Cardiology
19,wl_Deferred,0,0,0,03/12/2022,Cardiology
19,wl_Planned,134,134,134,03/12/2022,Cardiology
19,wl_size_active,129,129,129,03/12/2022,Cardiology
20,nwm104_total,0,0,0,04/12/2022,Cardiology
20,nwm52_total,0,0,0,04/12/2022,Cardiology
20,nwm78_total,0,0,0,04/12/2022,Cardiology
20,wl_Deferred,0,0,0,04/12/2022,Cardiology
20,wl_Planned,135,135,135,04/12/2022,Cardiology
20,wl_size_active,132,132,132,04/12/2022,Cardiology
21,nwm104_total,0,0,0,05/12/2022,Cardiology
21,nwm52_total,0,0,0,05/12/2022,Cardiology
21,nwm78_total,0,0,0,05/12/2022,Cardiology
21,wl_Deferred,0,0,0,05/12/2022,Cardiology
21,wl_Planned,134,134,134,05/12/2022,Cardiology
21,wl_size_active,132,132,132,05/12/2022,Cardiology
22,nwm104_total,0,0,0,06/12/2022,Cardiology
22,nwm52_total,0,0,0,06/12/2022,Cardiology
22,nwm78_total,0,0,0,06/12/2022,Cardiology
22,wl_Deferred,0,0,0,06/12/2022,Cardiology
22,wl_Planned,132,132,132,06/12/2022,Cardiology
22,wl_size_active,134,134,134,06/12/2022,Cardiology
23,nwm104_total,0,0,0,07/12/2022,Cardiology
23,nwm52_total,0,0,0,07/12/2022,Cardiology
23,nwm78_total,0,0,0,07/12/2022,Cardiology
23,wl_Deferred,0,0,0,07/12/2022,Cardiology
23,wl_Planned,133,133,133,07/12/2022,Cardiology
23,wl_size_active,132,132,132,07/12/2022,Cardiology
24,nwm104_total,0,0,0,08/12/2022,Cardiology
24,nwm52_total,0,0,0,08/12/2022,Cardiology
24,nwm78_total,0,0,0,08/12/2022,Cardiology
24,wl_Deferred,0,0,0,08/12/2022,Cardiology
24,wl_Planned,130,130,130,08/12/2022,Cardiology
24,wl_size_active,133,133,133,08/12/2022,Cardiology
25,nwm104_total,0,0,0,09/12/2022,Cardiology
25,nwm52_total,0,0,0,09/12/2022,Cardiology
25,nwm78_total,0,0,0,09/12/2022,Cardiology
25,wl_Deferred,0,0,0,09/12/2022,Cardiology
25,wl_Planned,130,130,130,09/12/2022,Cardiology
25,wl_size_active,134,134,134,09/12/2022,Cardiology
26,nwm104_total,0,0,0,10/12/2022,Cardiology
26,nwm52_total,0,0,0,10/12/2022,Cardiology
26,nwm78_total,0,0,0,10/12/2022,Cardiology
26,wl_Deferred,0,0,0,10/12/2022,Cardiology
26,wl_Planned,128,128,128,10/12/2022,Cardiology
26,wl_size_active,134,134,134,10/12/2022,Cardiology
27,nwm104_total,0,0,0,11/12/2022,Cardiology
27,nwm52_total,0,0,0,11/12/2022,Cardiology
27,nwm78_total,0,0,0,11/12/2022,Cardiology
27,wl_Deferred,0,0,0,11/12/2022,Cardiology
27,wl_Planned,134,134,134,11/12/2022,Cardiology
27,wl_size_active,132,132,132,11/12/2022,Cardiology
28,nwm104_total,0,0,0,12/12/2022,Cardiology
28,nwm52_total,0,0,0,12/12/2022,Cardiology
28,nwm78_total,0,0,0,12/12/2022,Cardiology
28,wl_Deferred,0,0,0,12/12/2022,Cardiology
28,wl_Planned,134,134,134,12/12/2022,Cardiology
28,wl_size_active,131,131,131,12/12/2022,Cardiology
29,nwm104_total,0,0,0,13/12/2022,Cardiology
29,nwm52_total,0,0,0,13/12/2022,Cardiology
29,nwm78_total,0,0,0,13/12/2022,Cardiology
29,wl_Deferred,0,0,0,13/12/2022,Cardiology
29,wl_Planned,134,134,134,13/12/2022,Cardiology
29,wl_size_active,132,132,132,13/12/2022,Cardiology
30,nwm104_total,0,0,0,14/12/2022,Cardiology
30,nwm52_total,0,0,0,14/12/2022,Cardiology
30,nwm78_total,0,0,0,14/12/2022,Cardiology
30,wl_Deferred,0,0,0,14/12/2022,Cardiology
30,wl_Planned,132,132,132,14/12/2022,Cardiology
30,wl_size_active,133,133,133,14/12/2022,Cardiology
31,nwm104_total,0,0,0,15/12/2022,Cardiology
31,nwm52_total,0,0,0,15/12/2022,Cardiology
31,nwm78_total,0,0,0,15/12/2022,Cardiology
31,wl_Deferred,0,0,0,15/12/2022,Cardiology
31,wl_Planned,132,132,132,15/12/2022,Cardiology
31,wl_size_active,135,135,135,15/12/2022,Cardiology
32,nwm104_total,0,0,0,16/12/2022,Cardiology
32,nwm52_total,0,0,0,16/12/2022,Cardiology
32,nwm78_total,0,0,0,16/12/2022,Cardiology
32,wl_Deferred,0,0,0,16/12/2022,Cardiology
32,wl_Planned,134,134,134,16/12/2022,Cardiology
32,wl_size_active,137,137,137,16/12/2022,Cardiology
33,nwm104_total,0,0,0,17/12/2022,Cardiology
33,nwm52_total,0,0,0,17/12/2022,Cardiology
33,nwm78_total,0,0,0,17/12/2022,Cardiology
33,wl_Deferred,0,0,0,17/12/2022,Cardiology
33,wl_Planned,134,134,134,17/12/2022,Cardiology
33,wl_size_active,136,136,136,17/12/2022,Cardiology
34,nwm104_total,0,0,0,18/12/2022,Cardiology
34,nwm52_total,0,0,0,18/12/2022,Cardiology
34,nwm78_total,0,0,0,18/12/2022,Cardiology
34,wl_Deferred,0,0,0,18/12/2022,Cardiology
34,wl_Planned,133,133,133,18/12/2022,Cardiology
34,wl_size_active,135,135,135,18/12/2022,Cardiology
35,nwm104_total,0,0,0,19/12/2022,Cardiology
35,nwm52_total,0,0,0,19/12/2022,Cardiology
35,nwm78_total,0,0,0,19/12/2022,Cardiology
35,wl_Deferred,0,0,0,19/12/2022,Cardiology
35,wl_Planned,128,128,128,19/12/2022,Cardiology
35,wl_size_active,134,134,134,19/12/2022,Cardiology
36,nwm104_total,0,0,0,20/12/2022,Cardiology
36,nwm52_total,0,0,0,20/12/2022,Cardiology
36,nwm78_total,0,0,0,20/12/2022,Cardiology
36,wl_Deferred,0,0,0,20/12/2022,Cardiology
36,wl_Planned,126,126,126,20/12/2022,Cardiology
36,wl_size_active,133,133,133,20/12/2022,Cardiology
37,nwm104_total,0,0,0,21/12/2022,Cardiology
37,nwm52_total,0,0,0,21/12/2022,Cardiology
37,nwm78_total,0,0,0,21/12/2022,Cardiology
37,wl_Deferred,0,0,0,21/12/2022,Cardiology
37,wl_Planned,125,125,125,21/12/2022,Cardiology
37,wl_size_active,129,129,129,21/12/2022,Cardiology
38,nwm104_total,0,0,0,22/12/2022,Cardiology
38,nwm52_total,0,0,0,22/12/2022,Cardiology
38,nwm78_total,0,0,0,22/12/2022,Cardiology
38,wl_Deferred,0,0,0,22/12/2022,Cardiology
38,wl_Planned,124,124,124,22/12/2022,Cardiology
38,wl_size_active,126,126,126,22/12/2022,Cardiology
39,nwm104_total,0,0,0,23/12/2022,Cardiology
39,nwm52_total,0,0,0,23/12/2022,Cardiology
39,nwm78_total,0,0,0,23/12/2022,Cardiology
39,wl_Deferred,0,0,0,23/12/2022,Cardiology
39,wl_Planned,124,124,124,23/12/2022,Cardiology
39,wl_size_active,128,128,128,23/12/2022,Cardiology
40,nwm104_total,0,0,0,24/12/2022,Cardiology
40,nwm52_total,0,0,0,24/12/2022,Cardiology
40,nwm78_total,0,0,0,24/12/2022,Cardiology
40,wl_Deferred,0,0,0,24/12/2022,Cardiology
40,wl_Planned,122,122,122,24/12/2022,Cardiology
40,wl_size_active,129,129,129,24/12/2022,Cardiology
41,nwm104_total,0,0,0,25/12/2022,Cardiology
