day,metric,mean,q025,q975,date,specialty
0,nwm104_total,0,0,0,14/11/2022,General Surgery
0,nwm52_total,83,83,83,14/11/2022,General Surgery
0,nwm78_total,15,15,15,14/11/2022,General Surgery
0,wl_Deferred,4,4,4,14/11/2022,General Surgery
0,wl_Planned,10,10,10,14/11/2022,General Surgery
0,wl_size_active,468,468,468,14/11/2022,General Surgery
1,nwm104_total,0,0,0,15/11/2022,General Surgery
1,nwm52_total,89,89,89,15/11/2022,General Surgery
1,nwm78_total,16,16,16,15/11/2022,General Surgery
1,wl_Deferred,4,4,4,15/11/2022,General Surgery
1,wl_Planned,10,10,10,15/11/2022,General Surgery
1,wl_size_active,464,464,464,15/11/2022,General Surgery
2,nwm104_total,0,0,0,16/11/2022,General Surgery
2,nwm52_total,88,88,88,16/11/2022,General Surgery
2,nwm78_total,16,16,16,16/11/2022,General Surgery
2,wl_Deferred,4,4,4,16/11/2022,General Surgery
2,wl_Planned,10,10,10,16/11/2022,General Surgery
2,wl_size_active,466,466,466,16/11/2022,General Surgery
3,nwm104_total,0,0,0,17/11/2022,General Surgery
3,nwm52_total,86,86,86,17/11/2022,General Surgery
3,nwm78_total,16,16,16,17/11/2022,General Surgery
3,wl_Deferred,4,4,4,17/11/2022,General Surgery
3,wl_Planned,10,10,10,17/11/2022,General Surgery
3,wl_size_active,464,464,464,17/11/2022,General Surgery
4,nwm104_total,0,0,0,18/11/2022,General Surgery
4,nwm52_total,84,84,84,18/11/2022,General Surgery
4,nwm78_total,16,16,16,18/11/2022,General Surgery
4,wl_Deferred,4,4,4,18/11/2022,General Surgery
4,wl_Planned,10,10,10,18/11/2022,General Surgery
4,wl_size_active,459,459,459,18/11/2022,General Surgery
5,nwm104_total,0,0,0,19/11/2022,General Surgery
5,nwm52_total,84,84,84,19/11/2022,General Surgery
5,nwm78_total,16,16,16,19/11/2022,General Surgery
5,wl_Deferred,4,4,4,19/11/2022,General Surgery
5,wl_Planned,10,10,10,19/11/2022,General Surgery
5,wl_size_active,459,459,459,19/11/2022,General Surgery
6,nwm104_total,0,0,0,20/11/2022,General Surgery
6,nwm52_total,84,84,84,20/11/2022,General Surgery
6,nwm78_total,16,16,16,20/11/2022,General Surgery
6,wl_Deferred,4,4,4,20/11/2022,General Surgery
6,wl_Planned,10,10,10,20/11/2022,General Surgery
6,wl_size_active,457,457,457,20/11/2022,General Surgery
7,nwm104_total,0,0,0,21/11/2022,General Surgery
7,nwm52_total,84,84,84,21/11/2022,General Surgery
7,nwm78_total,16,16,16,21/11/2022,General Surgery
