day,metric,mean,q025,q975,date,specialty
0,nwm104_total,0,0,0,14/11/2022,Rheumatology
0,nwm52_total,0,0,0,14/11/2022,Rheumatology
0,nwm78_total,0,0,0,14/11/2022,Rheumatology
0,wl_Deferred,0,0,0,14/11/2022,Rheumatology
0,wl_Planned,363,363,363,14/11/2022,Rheumatology
0,wl_size_active,24,24,24,14/11/2022,Rheumatology
1,nwm104_total,0,0,0,15/11/2022,Rheumatology
1,nwm52_total,0,0,0,15/11/2022,Rheumatology
1,nwm78_total,0,0,0,15/11/2022,Rheumatology
1,wl_Deferred,0,0,0,15/11/2022,Rheumatology
1,wl_Planned,364,364,364,15/11/2022,Rheumatology
1,wl_size_active,24,24,24,15/11/2022,Rheumatology
2,nwm104_total,0,0,0,16/11/2022,Rheumatology
2,nwm52_total,0,0,0,16/11/2022,Rheumatology
2,nwm78_total,0,0,0,16/11/2022,Rheumatology
2,wl_Deferred,0,0,0,16/11/2022,Rheumatology
2,wl_Planned,362,362,362,16/11/2022,Rheumatology
2,wl_size_active,24,24,24,16/11/2022,Rheumatology
3,nwm104_total,0,0,0,17/11/2022,Rheumatology
3,nwm52_total,0,0,0,17/11/2022,Rheumatology
3,nwm78_total,0,0,0,17/11/2022,Rheumatology
3,wl_Deferred,0,0,0,17/11/2022,Rheumatology
3,wl_Planned,364,364,364,17/11/2022,Rheumatology
3,wl_size_active,22,22,22,17/11/2022,Rheumatology
4,nwm104_total,0,0,0,18/11/2022,Rheumatology
4,nwm52_total,0,0,0,18/11/2022,Rheumatology
4,nwm78_total,0,0,0,18/11/2022,Rheumatology
4,wl_Deferred,0,0,0,18/11/2022,Rheumatology
4,wl_Planned,366,366,366,18/11/2022,Rheumatology
4,wl_size_active,22,22,22,18/11/2022,Rheumatology
5,nwm104_total,0,0,0,19/11/2022,Rheumatology
5,nwm52_total,0,0,0,19/11/2022,Rheumatology
5,nwm78_total,0,0,0,19/11/2022,Rheumatology
5,wl_Deferred,0,0,0,19/11/2022,Rheumatology
5,wl_Planned,370,370,370,19/11/2022,Rheumatology
5,wl_size_active,21,21,21,19/11/2022,Rheumatology
6,nwm104_total,0,0,0,20/11/2022,Rheumatology
6,nwm52_total,0,0,0,20/11/2022,Rheumatology
6,nwm78_total,0,0,0,20/11/2022,Rheumatology
6,wl_Deferred,0,0,0,20/11/2022,Rheumatology
6,wl_Planned,371,371,371,20/11/2022,Rheumatology
6,wl_size_active,18,18,18,20/11/2022,Rheumatology
7,nwm104_total,0,0,0,21/11/2022,Rheumatology
7,nwm52_total,0,0,0,21/11/2022,Rheumatology
7,nwm78_total,0,0,0,21/11/2022,Rheumatology
7,wl_Deferred,0,0,0,21/11/2022,Rheumatology
7,wl_Planned,368,368,368,21/11/2022,Rheumatology
7,wl_size_active,19,19,19,21/11/2022,Rheumatology
8,nwm104_total,0,0,0,22/11/2022,Rheumatology
8,nwm52_total,0,0,0,22/11/2022,Rheumatology
8,nwm78_total,0,0,0,22/11/2022,Rheumatology
8,wl_Deferred,0,0,0,22/11/2022,Rheumatology
8,wl_Planned,370,370,370,22/11/2022,Rheumatology
8,wl_size_active,19,19,19,22/11/2022,Rheumatology
9,nwm104_total,0,0,0,23/11/2022,Rheumatology
9,nwm52_total,0,0,0,23/11/2022,Rheumatology
9,nwm78_total,0,0,0,23/11/2022,Rheumatology
9,wl_Deferred,0,0,0,23/11/2022,Rheumatology
9,wl_Planned,371,371,371,23/11/2022,Rheumatology
9,wl_size_active,19,19,19,23/11/2022,Rheumatology
10,nwm104_total,0,0,0,24/11/2022,Rheumatology
10,nwm52_total,0,0,0,24/11/2022,Rheumatology
10,nwm78_total,0,0,0,24/11/2022,Rheumatology
10,wl_Deferred,0,0,0,24/11/2022,Rheumatology
10,wl_Planned,367,367,367,24/11/2022,Rheumatology
10,wl_size_active,19,19,19,24/11/2022,Rheumatology
11,nwm104_total,0,0,0,25/11/2022,Rheumatology
11,nwm52_total,0,0,0,25/11/2022,Rheumatology
11,nwm78_total,0,0,0,25/11/2022,Rheumatology
11,wl_Deferred,0,0,0,25/11/2022,Rheumatology
11,wl_Planned,367,367,367,25/11/2022,Rheumatology
11,wl_size_active,20,20,20,25/11/2022,Rheumatology
12,nwm104_total,0,0,0,26/11/2022,Rheumatology
12,nwm52_total,0,0,0,26/11/2022,Rheumatology
12,nwm78_total,0,0,0,26/11/2022,Rheumatology
12,wl_Deferred,0,0,0,26/11/2022,Rheumatology
12,wl_Planned,373,373,373,26/11/2022,Rheumatology
12,wl_size_active,18,18,18,26/11/2022,Rheumatology
13,nwm104_total,0,0,0,27/11/2022,Rheumatology
13,nwm52_total,0,0,0,27/11/2022,Rheumatology
13,nwm78_total,0,0,0,27/11/2022,Rheumatology
13,wl_Deferred,0,0,0,27/11/2022,Rheumatology
13,wl_Planned,376,376,376,27/11/2022,Rheumatology
13,wl_size_active,16,16,16,27/11/2022,Rheumatology
14,nwm104_total,0,0,0,28/11/2022,Rheumatology
14,nwm52_total,0,0,0,28/11/2022,Rheumatology
14,nwm78_total,0,0,0,28/11/2022,Rheumatology
14,wl_Deferred,0,0,0,28/11/2022,Rheumatology
14,wl_Planned,374,374,374,28/11/2022,Rheumatology
14,wl_size_active,16,16,16,28/11/2022,Rheumatology
15,nwm104_total,0,0,0,29/11/2022,Rheumatology
15,nwm52_total,0,0,0,29/11/2022,Rheumatology
15,nwm78_total,0,0,0,29/11/2022,Rheumatology
15,wl_Deferred,0,0,0,29/11/2022,Rheumatology
15,wl_Planned,372,372,372,29/11/2022,Rheumatology
15,wl_size_active,18,18,18,29/11/2022,Rheumatology
16,nwm104_total,0,0,0,30/11/2022,Rheumatology
16,nwm52_total,0,0,0,30/11/2022,Rheumatology
16,nwm78_total,0,0,0,30/11/2022,Rheumatology
16,wl_Deferred,0,0,0,30/11/2022,Rheumatology
16,wl_Planned,377,377,377,30/11/2022,Rheumatology
16,wl_size_active,19,19,19,30/11/2022,Rheumatology
17,nwm104_total,0,0,0,01/12/2022,Rheumatology
17,nwm52_total,0,0,0,01/12/2022,Rheumatology
17,nwm78_total,0,0,0,01/12/2022,Rheumatology
17,wl_Deferred,0,0,0,01/12/2022,Rheumatology
17,wl_Planned,377,377,377,01/12/2022,Rheumatology
17,wl_size_active,18,18,18,01/12/2022,Rheumatology
18,nwm104_total,0,0,0,02/12/2022,Rheumatology
18,nwm52_total,0,0,0,02/12/2022,Rheumatology
18,nwm78_total,0,0,0,02/12/2022,Rheumatology
18,wl_Deferred,0,0,0,02/12/2022,Rheumatology
18,wl_Planned,382,382,382,02/12/2022,Rheumatology
18,wl_size_active,17,17,17,02/12/2022,Rheumatology
19,nwm104_total,0,0,0,03/12/2022,Rheumatology
19,nwm52_total,0,0,0,03/12/2022,Rheumatology
19,nwm78_total,0,0,0,03/12/2022,Rheumatology
19,wl_Deferred,0,0,0,03/12/2022,Rheumatology
19,wl_Planned,384,384,384,03/12/2022,Rheumatology
19,wl_size_active,17,17,17,03/12/2022,Rheumatology
20,nwm104_total,0,0,0,04/12/2022,Rheumatology
20,nwm52_total,0,0,0,04/12/2022,Rheumatology
20,nwm78_total,0,0,0,04/12/2022,Rheumatology
20,wl_Deferred,0,0,0,04/12/2022,Rheumatology
20,wl_Planned,391,391,391,04/12/2022,Rheumatology
20,wl_size_active,14,14,14,04/12/2022,Rheumatology
21,nwm104_total,0,0,0,05/12/2022,Rheumatology
21,nwm52_total,0,0,0,05/12/2022,Rheumatology
21,nwm78_total,0,0,0,05/12/2022,Rheumatology
21,wl_Deferred,0,0,0,05/12/2022,Rheumatology
21,wl_Planned,392,392,392,05/12/2022,Rheumatology
21,wl_size_active,14,14,14,05/12/2022,Rheumatology
22,nwm104_total,0,0,0,06/12/2022,Rheumatology
22,nwm52_total,0,0,0,06/12/2022,Rheumatology
22,nwm78_total,0,0,0,06/12/2022,Rheumatology
22,wl_Deferred,0,0,0,06/12/2022,Rheumatology
22,wl_Planned,398,398,398,06/12/2022,Rheumatology
22,wl_size_active,14,14,14,06/12/2022,Rheumatology
23,nwm104_total,0,0,0,07/12/2022,Rheumatology
23,nwm52_total,0,0,0,07/12/2022,Rheumatology
23,nwm78_total,0,0,0,07/12/2022,Rheumatology
23,wl_Deferred,0,0,0,07/12/2022,Rheumatology
23,wl_Planned,405,405,405,07/12/2022,Rheumatology
23,wl_size_active,13,13,13,07/12/2022,Rheumatology
24,nwm104_total,0,0,0,08/12/2022,Rheumatology
24,nwm52_total,0,0,0,08/12/2022,Rheumatology
24,nwm78_total,0,0,0,08/12/2022,Rheumatology
24,wl_Deferred,0,0,0,08/12/2022,Rheumatology
24,wl_Planned,408,408,408,08/12/2022,Rheumatology
24,wl_size_active,16,16,16,08/12/2022,Rheumatology
25,nwm104_total,0,0,0,09/12/2022,Rheumatology
25,nwm52_total,0,0,0,09/12/2022,Rheumatology
25,nwm78_total,0,0,0,09/12/2022,Rheumatology
25,wl_Deferred,0,0,0,09/12/2022,Rheumatology
25,wl_Planned,410,410,410,09/12/2022,Rheumatology
25,wl_size_active,16,16,16,09/12/2022,Rheumatology
26,nwm104_total,0,0,0,10/12/2022,Rheumatology
26,nwm52_total,0,0,0,10/12/2022,Rheumatology
26,nwm78_total,0,0,0,10/12/2022,Rheumatology
26,wl_Deferred,0,0,0,10/12/2022,Rheumatology
26,wl_Planned,412,412,412,10/12/2022,Rheumatology
26,wl_size_active,14,14,14,10/12/2022,Rheumatology
27,nwm104_total,0,0,0,11/12/2022,Rheumatology
27,nwm52_total,0,0,0,11/12/2022,Rheumatology
27,nwm78_total,0,0,0,11/12/2022,Rheumatology
27,wl_Deferred,0,0,0,11/12/2022,Rheumatology
27,wl_Planned,416,416,416,11/12/2022,Rheumatology
27,wl_size_active,13,13,13,11/12/2022,Rheumatology
28,nwm104_total,0,0,0,12/12/2022,Rheumatology
28,nwm52_total,0,0,0,12/12/2022,Rheumatology
28,nwm78_total,0,0,0,12/12/2022,Rheumatology
28,wl_Deferred,0,0,0,12/12/2022,Rheumatology
28,wl_Planned,418,418,418,12/12/2022,Rheumatology
28,wl_size_active,9,9,9,12/12/2022,Rheumatology
29,nwm104_total,0,0,0,13/12/2022,Rheumatology
29,nwm52_total,0,0,0,13/12/2022,Rheumatology
29,nwm78_total,0,0,0,13/12/2022,Rheumatology
29,wl_Deferred,0,0,0,13/12/2022,Rheumatology
29,wl_Planned,428,428,428,13/12/2022,Rheumatology
29,wl_size_active,7,7,7,13/12/2022,Rheumatology
30,nwm104_total,0,0,0,14/12/2022,Rheumatology
30,nwm52_total,0,0,0,14/12/2022,Rheumatology
30,nwm78_total,0,0,0,14/12/2022,Rheumatology
30,wl_Deferred,0,0,0,14/12/2022,Rheumatology
30,wl_Planned,431,431,431,14/12/2022,Rheumatology
