day,metric,mean,q025,q975,date,specialty
0,nwm104_total,3,3,3,14/11/2022,Trauma & Orthopaedics
0,nwm52_total,492,492,492,14/11/2022,Trauma & Orthopaedics
0,nwm78_total,49,49,49,14/11/2022,Trauma & Orthopaedics
0,wl_Deferred,104,104,104,14/11/2022,Trauma & Orthopaedics
0,wl_Planned,20,20,20,14/11/2022,Trauma & Orthopaedics
0,wl_size_active,4285,4285,4285,14/11/2022,Trauma & Orthopaedics
1,nwm104_total,3,3,3,15/11/2022,Trauma & Orthopaedics
1,nwm52_total,521,521,521,15/11/2022,Trauma & Orthopaedics
1,nwm78_total,56,56,56,15/11/2022,Trauma & Orthopaedics
1,wl_Deferred,103,103,103,15/11/2022,Trauma & Orthopaedics
1,wl_Planned,19,19,19,15/11/2022,Trauma & Orthopaedics
1,wl_size_active,4277,4277,4277,15/11/2022,Trauma & Orthopaedics
2,nwm104_total,3,3,3,16/11/2022,Trauma & Orthopaedics
2,nwm52_total,521,521,521,16/11/2022,Trauma & Orthopaedics
2,nwm78_total,56,56,56,16/11/2022,Trauma & Orthopaedics
2,wl_Deferred,103,103,103,16/11/2022,Trauma & Orthopaedics
2,wl_Planned,19,19,19,16/11/2022,Trauma & Orthopaedics
2,wl_size_active,4286,4286,4286,16/11/2022,Trauma & Orthopaedics
3,nwm104_total,3,3,3,17/11/2022,Trauma & Orthopaedics
3,nwm52_total,521,521,521,17/11/2022,Trauma & Orthopaedics
3,nwm78_total,56,56,56,17/11/2022,Trauma & Orthopaedics
3,wl_Deferred,103,103,103,17/11/2022,Trauma & Orthopaedics
3,wl_Planned,19,19,19,17/11/2022,Trauma & Orthopaedics
3,wl_size_active,4290,4290,4290,17/11/2022,Trauma & Orthopaedics
4,nwm104_total,4,4,4,18/11/2022,Trauma & Orthopaedics
4,nwm52_total,521,521,521,18/11/2022,Trauma & Orthopaedics
4,nwm78_total,57,57,57,18/11/2022,Trauma & Orthopaedics
4,wl_Deferred,103,103,103,18/11/2022,Trauma & Orthopaedics
4,wl_Planned,19,19,19,18/11/2022,Trauma & Orthopaedics
4,wl_size_active,4281,4281,4281,18/11/2022,Trauma & Orthopaedics
5,nwm104_total,4,4,4,19/11/2022,Trauma & Orthopaedics
5,nwm52_total,519,519,519,19/11/2022,Trauma & Orthopaedics
5,nwm78_total,57,57,57,19/11/2022,Trauma & Orthopaedics
5,wl_Deferred,103,103,103,19/11/2022,Trauma & Orthopaedics
5,wl_Planned,19,19,19,19/11/2022,Trauma & Orthopaedics
5,wl_size_active,4270,4270,4270,19/11/2022,Trauma & Orthopaedics
6,nwm104_total,4,4,4,20/11/2022,Trauma & Orthopaedics
6,nwm52_total,518,518,518,20/11/2022,Trauma & Orthopaedics
6,nwm78_total,57,57,57,20/11/2022,Trauma & Orthopaedics
6,wl_Deferred,103,103,103,20/11/2022,Trauma & Orthopaedics
6,wl_Planned,19,19,19,20/11/2022,Trauma & Orthopaedics
6,wl_size_active,4282,4282,4282,20/11/2022,Trauma & Orthopaedics
7,nwm104_total,4,4,4,21/11/2022,Trauma & Orthopaedics
7,nwm52_total,516,516,516,21/11/2022,Trauma & Orthopaedics
7,nwm78_total,57,57,57,21/11/2022,Trauma & Orthopaedics
7,wl_Deferred,103,103,103,21/11/2022,Trauma & Orthopaedics
7,wl_Planned,19,19,19,21/11/2022,Trauma & Orthopaedics
7,wl_size_active,4281,4281,4281,21/11/2022,Trauma & Orthopaedics
8,nwm104_total,5,5,5,22/11/2022,Trauma & Orthopaedics
8,nwm52_total,552,552,552,22/11/2022,Trauma & Orthopaedics
8,nwm78_total,61,61,61,22/11/2022,Trauma & Orthopaedics
8,wl_Deferred,103,103,103,22/11/2022,Trauma & Orthopaedics
8,wl_Planned,17,17,17,22/11/2022,Trauma & Orthopaedics
8,wl_size_active,4293,4293,4293,22/11/2022,Trauma & Orthopaedics
9,nwm104_total,5,5,5,23/11/2022,Trauma & Orthopaedics
9,nwm52_total,553,553,553,23/11/2022,Trauma & Orthopaedics
9,nwm78_total,61,61,61,23/11/2022,Trauma & Orthopaedics
9,wl_Deferred,103,103,103,23/11/2022,Trauma & Orthopaedics
9,wl_Planned,17,17,17,23/11/2022,Trauma & Orthopaedics
9,wl_size_active,4301,4301,4301,23/11/2022,Trauma & Orthopaedics
10,nwm104_total,5,5,5,24/11/2022,Trauma & Orthopaedics
10,nwm52_total,553,553,553,24/11/2022,Trauma & Orthopaedics
10,nwm78_total,61,61,61,24/11/2022,Trauma & Orthopaedics
10,wl_Deferred,103,103,103,24/11/2022,Trauma & Orthopaedics
10,wl_Planned,16,16,16,24/11/2022,Trauma & Orthopaedics
10,wl_size_active,4292,4292,4292,24/11/2022,Trauma & Orthopaedics
11,nwm104_total,5,5,5,25/11/2022,Trauma & Orthopaedics
11,nwm52_total,552,552,552,25/11/2022,Trauma & Orthopaedics
11,nwm78_total,61,61,61,25/11/2022,Trauma & Orthopaedics
11,wl_Deferred,102,102,102,25/11/2022,Trauma & Orthopaedics
11,wl_Planned,16,16,16,25/11/2022,Trauma & Orthopaedics
11,wl_size_active,4292,4292,4292,25/11/2022,Trauma & Orthopaedics
12,nwm104_total,5,5,5,26/11/2022,Trauma & Orthopaedics
12,nwm52_total,552,552,552,26/11/2022,Trauma & Orthopaedics
12,nwm78_total,61,61,61,26/11/2022,Trauma & Orthopaedics
12,wl_Deferred,101,101,101,26/11/2022,Trauma & Orthopaedics
12,wl_Planned,17,17,17,26/11/2022,Trauma & Orthopaedics
12,wl_size_active,4301,4301,4301,26/11/2022,Trauma & Orthopaedics
13,nwm104_total,5,5,5,27/11/2022,Trauma & Orthopaedics
13,nwm52_total,552,552,552,27/11/2022,Trauma & Orthopaedics
13,nwm78_total,61,61,61,27/11/2022,Trauma & Orthopaedics
13,wl_Deferred,101,101,101,27/11/2022,Trauma & Orthopaedics
13,wl_Planned,17,17,17,27/11/2022,Trauma & Orthopaedics
13,wl_size_active,4296,4296,4296,27/11/2022,Trauma & Orthopaedics
14,nwm104_total,5,5,5,28/11/2022,Trauma & Orthopaedics
14,nwm52_total,552,552,552,28/11/2022,Trauma & Orthopaedics
14,nwm78_total,61,61,61,28/11/2022,Trauma & Orthopaedics
14,wl_Deferred,101,101,101,28/11/2022,Trauma & Orthopaedics
14,wl_Planned,16,16,16,28/11/2022,Trauma & Orthopaedics
14,wl_size_active,4295,4295,4295,28/11/2022,Trauma & Orthopaedics
15,nwm104_total,9,9,9,29/11/2022,Trauma & Orthopaedics
15,nwm52_total,586,586,586,29/11/2022,Trauma & Orthopaedics
15,nwm78_total,70,70,70,29/11/2022,Trauma & Orthopaedics
15,wl_Deferred,100,100,100,29/11/2022,Trauma & Orthopaedics
15,wl_Planned,16,16,16,29/11/2022,Trauma & Orthopaedics
15,wl_size_active,4286,4286,4286,29/11/2022,Trauma & Orthopaedics
16,nwm104_total,3,3,3,30/11/2022,Trauma & Orthopaedics
16,nwm52_total,571,571,571,30/11/2022,Trauma & Orthopaedics
16,nwm78_total,55,55,55,30/11/2022,Trauma & Orthopaedics
16,wl_Deferred,100,100,100,30/11/2022,Trauma & Orthopaedics
16,wl_Planned,16,16,16,30/11/2022,Trauma & Orthopaedics
16,wl_size_active,4286,4286,4286,30/11/2022,Trauma & Orthopaedics
17,nwm104_total,3,3,3,01/12/2022,Trauma & Orthopaedics
17,nwm52_total,560,560,560,01/12/2022,Trauma & Orthopaedics
17,nwm78_total,44,44,44,01/12/2022,Trauma & Orthopaedics
17,wl_Deferred,100,100,100,01/12/2022,Trauma & Orthopaedics
17,wl_Planned,16,16,16,01/12/2022,Trauma & Orthopaedics
17,wl_size_active,4298,4298,4298,01/12/2022,Trauma & Orthopaedics
18,nwm104_total,3,3,3,02/12/2022,Trauma & Orthopaedics
18,nwm52_total,539,539,539,02/12/2022,Trauma & Orthopaedics
18,nwm78_total,24,24,24,02/12/2022,Trauma & Orthopaedics
18,wl_Deferred,100,100,100,02/12/2022,Trauma & Orthopaedics
18,wl_Planned,16,16,16,02/12/2022,Trauma & Orthopaedics
18,wl_size_active,4288,4288,4288,02/12/2022,Trauma & Orthopaedics
19,nwm104_total,3,3,3,03/12/2022,Trauma & Orthopaedics
19,nwm52_total,531,531,531,03/12/2022,Trauma & Orthopaedics
19,nwm78_total,17,17,17,03/12/2022,Trauma & Orthopaedics
19,wl_Deferred,100,100,100,03/12/2022,Trauma & Orthopaedics
19,wl_Planned,16,16,16,03/12/2022,Trauma & Orthopaedics
19,wl_size_active,4294,4294,4294,03/12/2022,Trauma & Orthopaedics
20,nwm104_total,3,3,3,04/12/2022,Trauma & Orthopaedics
20,nwm52_total,518,518,518,04/12/2022,Trauma & Orthopaedics
20,nwm78_total,12,12,12,04/12/2022,Trauma & Orthopaedics
20,wl_Deferred,99,99,99,04/12/2022,Trauma & Orthopaedics
20,wl_Planned,16,16,16,04/12/2022,Trauma & Orthopaedics
20,wl_size_active,4293,4293,4293,04/12/2022,Trauma & Orthopaedics
21,nwm104_total,3,3,3,05/12/2022,Trauma & Orthopaedics
