day,metric,mean,q025,q975,date,specialty
0,nwm104_total,0,0,0,14/11/2022,Urology
0,nwm52_total,85,85,85,14/11/2022,Urology
0,nwm78_total,16,16,16,14/11/2022,Urology
0,wl_Deferred,6,6,6,14/11/2022,Urology
0,wl_Planned,163,163,163,14/11/2022,Urology
0,wl_size_active,579,579,579,14/11/2022,Urology
1,nwm104_total,0,0,0,15/11/2022,Urology
1,nwm52_total,88,88,88,15/11/2022,Urology
1,nwm78_total,16,16,16,15/11/2022,Urology
1,wl_Deferred,6,6,6,15/11/2022,Urology
1,wl_Planned,162,162,162,15/11/2022,Urology
1,wl_size_active,578,578,578,15/11/2022,Urology
2,nwm104_total,0,0,0,16/11/2022,Urology
2,nwm52_total,87,87,87,16/11/2022,Urology
2,nwm78_total,16,16,16,16/11/2022,Urology
2,wl_Deferred,6,6,6,16/11/2022,Urology
2,wl_Planned,162,162,162,16/11/2022,Urology
2,wl_size_active,573,573,573,16/11/2022,Urology
3,nwm104_total,0,0,0,17/11/2022,Urology
3,nwm52_total,86,86,86,17/11/2022,Urology
3,nwm78_total,16,16,16,17/11/2022,Urology
3,wl_Deferred,6,6,6,17/11/2022,Urology
3,wl_Planned,162,162,162,17/11/2022,Urology
3,wl_size_active,570,570,570,17/11/2022,Urology
4,nwm104_total,0,0,0,18/11/2022,Urology
4,nwm52_total,86,86,86,18/11/2022,Urology
4,nwm78_total,16,16,16,18/11/2022,Urology
4,wl_Deferred,6,6,6,18/11/2022,Urology
4,wl_Planned,162,162,162,18/11/2022,Urology
4,wl_size_active,569,569,569,18/11/2022,Urology
5,nwm104_total,0,0,0,19/11/2022,Urology
5,nwm52_total,85,85,85,19/11/2022,Urology
5,nwm78_total,16,16,16,19/11/2022,Urology
5,wl_Deferred,6,6,6,19/11/2022,Urology
5,wl_Planned,162,162,162,19/11/2022,Urology
5,wl_size_active,565,565,565,19/11/2022,Urology
6,nwm104_total,0,0,0,20/11/2022,Urology
6,nwm52_total,85,85,85,20/11/2022,Urology
6,nwm78_total,16,16,16,20/11/2022,Urology
6,wl_Deferred,6,6,6,20/11/2022,Urology
6,wl_Planned,162,162,162,20/11/2022,Urology
6,wl_size_active,561,561,561,20/11/2022,Urology
7,nwm104_total,0,0,0,21/11/2022,Urology
7,nwm52_total,85,85,85,21/11/2022,Urology
7,nwm78_total,16,16,16,21/11/2022,Urology
7,wl_Deferred,6,6,6,21/11/2022,Urology
7,wl_Planned,160,160,160,21/11/2022,Urology
7,wl_size_active,561,561,561,21/11/2022,Urology
8,nwm104_total,0,0,0,22/11/2022,Urology
8,nwm52_total,88,88,88,22/11/2022,Urology
8,nwm78_total,18,18,18,22/11/2022,Urology
8,wl_Deferred,6,6,6,22/11/2022,Urology
8,wl_Planned,160,160,160,22/11/2022,Urology
8,wl_size_active,560,560,560,22/11/2022,Urology
9,nwm104_total,0,0,0,23/11/2022,Urology
9,nwm52_total,88,88,88,23/11/2022,Urology
9,nwm78_total,18,18,18,23/11/2022,Urology
9,wl_Deferred,6,6,6,23/11/2022,Urology
9,wl_Planned,160,160,160,23/11/2022,Urology
9,wl_size_active,558,558,558,23/11/2022,Urology
10,nwm104_total,0,0,0,24/11/2022,Urology
10,nwm52_total,88,88,88,24/11/2022,Urology
10,nwm78_total,18,18,18,24/11/2022,Urology
10,wl_Deferred,6,6,6,24/11/2022,Urology
10,wl_Planned,160,160,160,24/11/2022,Urology
10,wl_size_active,557,557,557,24/11/2022,Urology
11,nwm104_total,0,0,0,25/11/2022,Urology
11,nwm52_total,87,87,87,25/11/2022,Urology
11,nwm78_total,18,18,18,25/11/2022,Urology
11,wl_Deferred,6,6,6,25/11/2022,Urology
11,wl_Planned,160,160,160,25/11/2022,Urology
11,wl_size_active,553,553,553,25/11/2022,Urology
12,nwm104_total,0,0,0,26/11/2022,Urology
12,nwm52_total,87,87,87,26/11/2022,Urology
12,nwm78_total,18,18,18,26/11/2022,Urology
12,wl_Deferred,6,6,6,26/11/2022,Urology
12,wl_Planned,160,160,160,26/11/2022,Urology
12,wl_size_active,551,551,551,26/11/2022,Urology
13,nwm104_total,0,0,0,27/11/2022,Urology
13,nwm52_total,86,86,86,27/11/2022,Urology
13,nwm78_total,17,17,17,27/11/2022,Urology
13,wl_Deferred,6,6,6,27/11/2022,Urology
