day,metric,mean,q025,q975,date,specialty
0,nwm104_total,0,0,0,14/11/2022,Gynaecology
0,nwm52_total,65,65,65,14/11/2022,Gynaecology
0,nwm78_total,12,12,12,14/11/2022,Gynaecology
0,wl_Deferred,0,0,0,14/11/2022,Gynaecology
0,wl_Planned,3,3,3,14/11/2022,Gynaecology
0,wl_size_active,250,250,250,14/11/2022,Gynaecology
1,nwm104_total,0,0,0,15/11/2022,Gynaecology
1,nwm52_total,68,68,68,15/11/2022,Gynaecology
1,nwm78_total,12,12,12,15/11/2022,Gynaecology
1,wl_Deferred,0,0,0,15/11/2022,Gynaecology
1,wl_Planned,0,0,0,15/11/2022,Gynaecology
1,wl_size_active,249,249,249,15/11/2022,Gynaecology
2,nwm104_total,0,0,0,16/11/2022,Gynaecology
2,nwm52_total,66,66,66,16/11/2022,Gynaecology
2,nwm78_total,10,10,10,16/11/2022,Gynaecology
2,wl_Deferred,0,0,0,16/11/2022,Gynaecology
2,wl_Planned,0,0,0,16/11/2022,Gynaecology
2,wl_size_active,249,249,249,16/11/2022,Gynaecology
3,nwm104_total,0,0,0,17/11/2022,Gynaecology
3,nwm52_total,64,64,64,17/11/2022,Gynaecology
3,nwm78_total,9,9,9,17/11/2022,Gynaecology
3,wl_Deferred,0,0,0,17/11/2022,Gynaecology
3,wl_Planned,0,0,0,17/11/2022,Gynaecology
3,wl_size_active,253,253,253,17/11/2022,Gynaecology
4,nwm104_total,0,0,0,18/11/2022,Gynaecology
4,nwm52_total,62,62,62,18/11/2022,Gynaecology
4,nwm78_total,9,9,9,18/11/2022,Gynaecology
4,wl_Deferred,0,0,0,18/11/2022,Gynaecology
4,wl_Planned,0,0,0,18/11/2022,Gynaecology
4,wl_size_active,253,253,253,18/11/2022,Gynaecology
5,nwm104_total,0,0,0,19/11/2022,Gynaecology
5,nwm52_total,60,60,60,19/11/2022,Gynaecology
5,nwm78_total,9,9,9,19/11/2022,Gynaecology
5,wl_Deferred,0,0,0,19/11/2022,Gynaecology
5,wl_Planned,0,0,0,19/11/2022,Gynaecology
5,wl_size_active,253,253,253,19/11/2022,Gynaecology
6,nwm104_total,0,0,0,20/11/2022,Gynaecology
6,nwm52_total,59,59,59,20/11/2022,Gynaecology
6,nwm78_total,9,9,9,20/11/2022,Gynaecology
6,wl_Deferred,0,0,0,20/11/2022,Gynaecology
6,wl_Planned,0,0,0,20/11/2022,Gynaecology
6,wl_size_active,251,251,251,20/11/2022,Gynaecology
7,nwm104_total,0,0,0,21/11/2022,Gynaecology
7,nwm52_total,59,59,59,21/11/2022,Gynaecology
7,nwm78_total,9,9,9,21/11/2022,Gynaecology
7,wl_Deferred,0,0,0,21/11/2022,Gynaecology
7,wl_Planned,0,0,0,21/11/2022,Gynaecology
7,wl_size_active,253,253,253,21/11/2022,Gynaecology
8,nwm104_total,0,0,0,22/11/2022,Gynaecology
8,nwm52_total,60,60,60,22/11/2022,Gynaecology
8,nwm78_total,12,12,12,22/11/2022,Gynaecology
8,wl_Deferred,0,0,0,22/11/2022,Gynaecology
8,wl_Planned,0,0,0,22/11/2022,Gynaecology
8,wl_size_active,255,255,255,22/11/2022,Gynaecology
9,nwm104_total,0,0,0,23/11/2022,Gynaecology
9,nwm52_total,60,60,60,23/11/2022,Gynaecology
9,nwm78_total,12,12,12,23/11/2022,Gynaecology
9,wl_Deferred,0,0,0,23/11/2022,Gynaecology
9,wl_Planned,0,0,0,23/11/2022,Gynaecology
9,wl_size_active,255,255,255,23/11/2022,Gynaecology
10,nwm104_total,0,0,0,24/11/2022,Gynaecology
10,nwm52_total,60,60,60,24/11/2022,Gynaecology
10,nwm78_total,12,12,12,24/11/2022,Gynaecology
10,wl_Deferred,0,0,0,24/11/2022,Gynaecology
10,wl_Planned,0,0,0,24/11/2022,Gynaecology
10,wl_size_active,257,257,257,24/11/2022,Gynaecology
11,nwm104_total,0,0,0,25/11/2022,Gynaecology
11,nwm52_total,60,60,60,25/11/2022,Gynaecology
11,nwm78_total,12,12,12,25/11/2022,Gynaecology
11,wl_Deferred,0,0,0,25/11/2022,Gynaecology
11,wl_Planned,0,0,0,25/11/2022,Gynaecology
11,wl_size_active,257,257,257,25/11/2022,Gynaecology
12,nwm104_total,0,0,0,26/11/2022,Gynaecology
12,nwm52_total,60,60,60,26/11/2022,Gynaecology
12,nwm78_total,12,12,12,26/11/2022,Gynaecology
12,wl_Deferred,0,0,0,26/11/2022,Gynaecology
12,wl_Planned,0,0,0,26/11/2022,Gynaecology
12,wl_size_active,255,255,255,26/11/2022,Gynaecology
13,nwm104_total,0,0,0,27/11/2022,Gynaecology
13,nwm52_total,61,61,61,27/11/2022,Gynaecology
13,nwm78_total,12,12,12,27/11/2022,Gynaecology
13,wl_Deferred,0,0,0,27/11/2022,Gynaecology
13,wl_Planned,0,0,0,27/11/2022,Gynaecology
13,wl_size_active,258,258,258,27/11/2022,Gynaecology
14,nwm104_total,0,0,0,28/11/2022,Gynaecology
14,nwm52_total,62,62,62,28/11/2022,Gynaecology
14,nwm78_total,12,12,12,28/11/2022,Gynaecology
14,wl_Deferred,0,0,0,28/11/2022,Gynaecology
14,wl_Planned,0,0,0,28/11/2022,Gynaecology
14,wl_size_active,259,259,259,28/11/2022,Gynaecology
15,nwm104_total,0,0,0,29/11/2022,Gynaecology
15,nwm52_total,63,63,63,29/11/2022,Gynaecology
15,nwm78_total,13,13,13,29/11/2022,Gynaecology
