"","date",".rep",".sim","speciality","wl_type"
"1",2023-01-09,"1",718.240634993994,"Colorectal Surgery","Active_wl"
"2",2023-01-10,"1",721.889714269729,"Colorectal Surgery","Active_wl"
"3",2023-01-11,"1",725.86838667861,"Colorectal Surgery","Active_wl"
"4",2023-01-12,"1",727.429231764072,"Colorectal Surgery","Active_wl"
"5",2023-01-13,"1",722.276490801224,"Colorectal Surgery","Active_wl"
"6",2023-01-14,"1",716.332294421992,"Colorectal Surgery","Active_wl"
"7",2023-01-15,"1",710.885993096558,"Colorectal Surgery","Active_wl"
"8",2023-01-16,"1",704.136339092013,"Colorectal Surgery","Active_wl"
"9",2023-01-17,"1",714.76541227172,"Colorectal Surgery","Active_wl"
"10",2023-01-18,"1",716.639977512965,"Colorectal Surgery","Active_wl"
"11",2023-01-19,"1",724.925194181361,"Colorectal Surgery","Active_wl"
"12",2023-01-20,"1",731.368069118764,"Colorectal Surgery","Active_wl"
"13",2023-01-21,"1",730.00970809436,"Colorectal Surgery","Active_wl"
"14",2023-01-22,"1",727.239726570914,"Colorectal Surgery","Active_wl"
"15",2023-01-23,"1",740.690978152893,"Colorectal Surgery","Active_wl"
"16",2023-01-24,"1",739.386740939028,"Colorectal Surgery","Active_wl"
"17",2023-01-25,"1",737.216767566565,"Colorectal Surgery","Active_wl"
"18",2023-01-26,"1",734.965595293528,"Colorectal Surgery","Active_wl"
"19",2023-01-27,"1",726.388838990638,"Colorectal Surgery","Active_wl"
"20",2023-01-28,"1",729.666699807655,"Colorectal Surgery","Active_wl"
"21",2023-01-29,"1",725.034427094697,"Colorectal Surgery","Active_wl"
"22",2023-01-30,"1",718.672584305923,"Colorectal Surgery","Active_wl"
"23",2023-01-31,"1",719.516823422796,"Colorectal Surgery","Active_wl"
"24",2023-02-01,"1",721.519653843244,"Colorectal Surgery","Active_wl"
"25",2023-02-02,"1",731.182045788891,"Colorectal Surgery","Active_wl"
"26",2023-02-03,"1",733.090700059376,"Colorectal Surgery","Active_wl"
"27",2023-02-04,"1",726.504596107369,"Colorectal Surgery","Active_wl"
"28",2023-02-05,"1",717.081297834112,"Colorectal Surgery","Active_wl"
"29",2023-02-06,"1",712.192948121478,"Colorectal Surgery","Active_wl"
