"","date",".rep",".sim","speciality","wl_type"
"1",2023-01-09,"1",72.7342477166822,"Thoracic Medicine","Active_wl"
"2",2023-01-10,"1",72.4848708954345,"Thoracic Medicine","Active_wl"
"3",2023-01-11,"1",71.7980272366418,"Thoracic Medicine","Active_wl"
"4",2023-01-12,"1",68.5328602405439,"Thoracic Medicine","Active_wl"
"5",2023-01-13,"1",69.044171971281,"Thoracic Medicine","Active_wl"
"6",2023-01-14,"1",71.0762360868148,"Thoracic Medicine","Active_wl"
"7",2023-01-15,"1",70.3822476177533,"Thoracic Medicine","Active_wl"
"8",2023-01-16,"1",70.1474378271714,"Thoracic Medicine","Active_wl"
"9",2023-01-17,"1",71.0608144066968,"Thoracic Medicine","Active_wl"
"10",2023-01-18,"1",70.4471292204448,"Thoracic Medicine","Active_wl"
"11",2023-01-19,"1",70.7737827748561,"Thoracic Medicine","Active_wl"
"12",2023-01-20,"1",72.1111907725278,"Thoracic Medicine","Active_wl"
"13",2023-01-21,"1",71.3789630409762,"Thoracic Medicine","Active_wl"
"14",2023-01-22,"1",69.7303415896928,"Thoracic Medicine","Active_wl"
"15",2023-01-23,"1",68.2197570904228,"Thoracic Medicine","Active_wl"
"16",2023-01-24,"1",68.0698771474482,"Thoracic Medicine","Active_wl"
"17",2023-01-25,"1",68.1079031046876,"Thoracic Medicine","Active_wl"
"18",2023-01-26,"1",66.5253520681857,"Thoracic Medicine","Active_wl"
"19",2023-01-27,"1",68.8502642720393,"Thoracic Medicine","Active_wl"
"20",2023-01-28,"1",71.0325398234176,"Thoracic Medicine","Active_wl"
"21",2023-01-29,"1",68.5299818014722,"Thoracic Medicine","Active_wl"
"22",2023-01-30,"1",68.4939015892326,"Thoracic Medicine","Active_wl"
"23",2023-01-31,"1",69.4842284944189,"Thoracic Medicine","Active_wl"
"24",2023-02-01,"1",68.6787408547282,"Thoracic Medicine","Active_wl"
"25",2023-02-02,"1",67.1753133486508,"Thoracic Medicine","Active_wl"
"26",2023-02-03,"1",68.1860511078959,"Thoracic Medicine","Active_wl"
"27",2023-02-04,"1",65.0500160964478,"Thoracic Medicine","Active_wl"
"28",2023-02-05,"1",64.7277675120616,"Thoracic Medicine","Active_wl"
"29",2023-02-06,"1",65.1141071180386,"Thoracic Medicine","Active_wl"
"30",2023-02-07,"1",66.4369722591137,"Thoracic Medicine","Active_wl"
"31",2023-02-08,"1",68.4162468380709,"Thoracic Medicine","Active_wl"
"32",2023-02-09,"1",66.2074543591499,"Thoracic Medicine","Active_wl"
"33",2023-02-10,"1",69.4121024768119,"Thoracic Medicine","Active_wl"
"34",2023-02-11,"1",68.9975493236805,"Thoracic Medicine","Active_wl"
"35",2023-02-12,"1",69.2397157677136,"Thoracic Medicine","Active_wl"
"36",2023-02-13,"1",69.0595672647175,"Thoracic Medicine","Active_wl"
"37",2023-02-14,"1",68.7271262906515,"Thoracic Medicine","Active_wl"
"38",2023-02-15,"1",71.4041998595594,"Thoracic Medicine","Active_wl"
"39",2023-02-16,"1",71.8413362150009,"Thoracic Medicine","Active_wl"
"40",2023-02-17,"1",71.4336059178309,"Thoracic Medicine","Active_wl"
"41",2023-02-18,"1",70.7447154157851,"Thoracic Medicine","Active_wl"
"42",2023-02-19,"1",71.9166096935875,"Thoracic Medicine","Active_wl"
"43",2023-02-20,"1",71.410840063517,"Thoracic Medicine","Active_wl"
"44",2023-02-21,"1",72.0225942059559,"Thoracic Medicine","Active_wl"
"45",2023-02-22,"1",72.102509838921,"Thoracic Medicine","Active_wl"
