"","date",".rep",".sim","speciality","wl_type"
"1",2023-01-09,"1",4260.94629475246,"Trauma & Orthopaedics","Active_wl"
"2",2023-01-10,"1",4271.12990374089,"Trauma & Orthopaedics","Active_wl"
"3",2023-01-11,"1",4250.90720086938,"Trauma & Orthopaedics","Active_wl"
"4",2023-01-12,"1",4276.63762339905,"Trauma & Orthopaedics","Active_wl"
"5",2023-01-13,"1",4268.38043899816,"Trauma & Orthopaedics","Active_wl"
"6",2023-01-14,"1",4272.41183216378,"Trauma & Orthopaedics","Active_wl"
"7",2023-01-15,"1",4285.25326820505,"Trauma & Orthopaedics","Active_wl"
"8",2023-01-16,"1",4280.36653980248,"Trauma & Orthopaedics","Active_wl"
"9",2023-01-17,"1",4300.84713469973,"Trauma & Orthopaedics","Active_wl"
"10",2023-01-18,"1",4297.07702338687,"Trauma & Orthopaedics","Active_wl"
"11",2023-01-19,"1",4291.05481507464,"Trauma & Orthopaedics","Active_wl"
"12",2023-01-20,"1",4284.22714589902,"Trauma & Orthopaedics","Active_wl"
"13",2023-01-21,"1",4286.58446085365,"Trauma & Orthopaedics","Active_wl"
"14",2023-01-22,"1",4289.46804831345,"Trauma & Orthopaedics","Active_wl"
"15",2023-01-23,"1",4289.78421125045,"Trauma & Orthopaedics","Active_wl"
"16",2023-01-24,"1",4294.84902522941,"Trauma & Orthopaedics","Active_wl"
"17",2023-01-25,"1",4285.99319068983,"Trauma & Orthopaedics","Active_wl"
"18",2023-01-26,"1",4284.97645964104,"Trauma & Orthopaedics","Active_wl"
"19",2023-01-27,"1",4278.83209325543,"Trauma & Orthopaedics","Active_wl"
"20",2023-01-28,"1",4287.5141463591,"Trauma & Orthopaedics","Active_wl"
"21",2023-01-29,"1",4294.81974883221,"Trauma & Orthopaedics","Active_wl"
"22",2023-01-30,"1",4298.7541479852,"Trauma & Orthopaedics","Active_wl"
"23",2023-01-31,"1",4300.64148556975,"Trauma & Orthopaedics","Active_wl"
"24",2023-02-01,"1",4304.4594171304,"Trauma & Orthopaedics","Active_wl"
"25",2023-02-02,"1",4310.39030656431,"Trauma & Orthopaedics","Active_wl"
"26",2023-02-03,"1",4314.20452225259,"Trauma & Orthopaedics","Active_wl"
"27",2023-02-04,"1",4306.78916976459,"Trauma & Orthopaedics","Active_wl"
"28",2023-02-05,"1",4314.01578099657,"Trauma & Orthopaedics","Active_wl"
"29",2023-02-06,"1",4305.84885485895,"Trauma & Orthopaedics","Active_wl"
"30",2023-02-07,"1",4290.36328704564,"Trauma & Orthopaedics","Active_wl"
"31",2023-02-08,"1",4310.9965381086,"Trauma & Orthopaedics","Active_wl"
"32",2023-02-09,"1",4305.8601879523,"Trauma & Orthopaedics","Active_wl"
"33",2023-02-10,"1",4305.41289259565,"Trauma & Orthopaedics","Active_wl"
"34",2023-02-11,"1",4305.69719715998,"Trauma & Orthopaedics","Active_wl"
"35",2023-02-12,"1",4297.18367256422,"Trauma & Orthopaedics","Active_wl"
"36",2023-02-13,"1",4290.73858431732,"Trauma & Orthopaedics","Active_wl"
"37",2023-02-14,"1",4287.6108671875,"Trauma & Orthopaedics","Active_wl"
"38",2023-02-15,"1",4269.88745189975,"Trauma & Orthopaedics","Active_wl"
"39",2023-02-16,"1",4262.43614138312,"Trauma & Orthopaedics","Active_wl"
"40",2023-02-17,"1",4260.32305069646,"Trauma & Orthopaedics","Active_wl"
"41",2023-02-18,"1",4286.45980056618,"Trauma & Orthopaedics","Active_wl"
"42",2023-02-19,"1",4270.74902557598,"Trauma & Orthopaedics","Active_wl"
"43",2023-02-20,"1",4277.35622827974,"Trauma & Orthopaedics","Active_wl"
"44",2023-02-21,"1",4265.37835197971,"Trauma & Orthopaedics","Active_wl"
"45",2023-02-22,"1",4260.00030981075,"Trauma & Orthopaedics","Active_wl"
