"","date",".rep",".sim","speciality","wl_type"
"1",2023-01-09,"1",135.61038805681,"Vascular Surgery","Active_wl"
"2",2023-01-10,"1",135.210821923143,"Vascular Surgery","Active_wl"
"3",2023-01-11,"1",135.691559751612,"Vascular Surgery","Active_wl"
"4",2023-01-12,"1",135.138365154384,"Vascular Surgery","Active_wl"
"5",2023-01-13,"1",136.070554093724,"Vascular Surgery","Active_wl"
"6",2023-01-14,"1",135.415354047614,"Vascular Surgery","Active_wl"
"7",2023-01-15,"1",134.655707541101,"Vascular Surgery","Active_wl"
"8",2023-01-16,"1",134.826322037277,"Vascular Surgery","Active_wl"
"9",2023-01-17,"1",134.205667258604,"Vascular Surgery","Active_wl"
"10",2023-01-18,"1",133.885156315938,"Vascular Surgery","Active_wl"
"11",2023-01-19,"1",134.315498135098,"Vascular Surgery","Active_wl"
"12",2023-01-20,"1",135.976518416793,"Vascular Surgery","Active_wl"
"13",2023-01-21,"1",134.506571713947,"Vascular Surgery","Active_wl"
"14",2023-01-22,"1",134.456466044776,"Vascular Surgery","Active_wl"
"15",2023-01-23,"1",134.650064829683,"Vascular Surgery","Active_wl"
"16",2023-01-24,"1",135.266479523913,"Vascular Surgery","Active_wl"
"17",2023-01-25,"1",133.416467327427,"Vascular Surgery","Active_wl"
"18",2023-01-26,"1",132.046064349054,"Vascular Surgery","Active_wl"
"19",2023-01-27,"1",133.191098176182,"Vascular Surgery","Active_wl"
"20",2023-01-28,"1",133.551419331843,"Vascular Surgery","Active_wl"
"21",2023-01-29,"1",132.452284822523,"Vascular Surgery","Active_wl"
"22",2023-01-30,"1",132.458416676768,"Vascular Surgery","Active_wl"
"23",2023-01-31,"1",132.402420136588,"Vascular Surgery","Active_wl"
"24",2023-02-01,"1",132.364458265289,"Vascular Surgery","Active_wl"
"25",2023-02-02,"1",131.579923534017,"Vascular Surgery","Active_wl"
"26",2023-02-03,"1",132.544825747879,"Vascular Surgery","Active_wl"
"27",2023-02-04,"1",130.959409687845,"Vascular Surgery","Active_wl"
"28",2023-02-05,"1",130.972646314291,"Vascular Surgery","Active_wl"
"29",2023-02-06,"1",131.774960089665,"Vascular Surgery","Active_wl"
"30",2023-02-07,"1",131.511459595203,"Vascular Surgery","Active_wl"
"31",2023-02-08,"1",130.76759311799,"Vascular Surgery","Active_wl"
"32",2023-02-09,"1",129.495622830444,"Vascular Surgery","Active_wl"
"33",2023-02-10,"1",129.816737068814,"Vascular Surgery","Active_wl"
"34",2023-02-11,"1",129.021880659028,"Vascular Surgery","Active_wl"
"35",2023-02-12,"1",130.032802794092,"Vascular Surgery","Active_wl"
"36",2023-02-13,"1",129.115956540539,"Vascular Surgery","Active_wl"
"37",2023-02-14,"1",128.164194189043,"Vascular Surgery","Active_wl"
"38",2023-02-15,"1",127.013703380011,"Vascular Surgery","Active_wl"
"39",2023-02-16,"1",127.353231521689,"Vascular Surgery","Active_wl"
"40",2023-02-17,"1",126.712414061615,"Vascular Surgery","Active_wl"
"41",2023-02-18,"1",125.174086673715,"Vascular Surgery","Active_wl"
"42",2023-02-19,"1",126.200976200287,"Vascular Surgery","Active_wl"
"43",2023-02-20,"1",126.457718023546,"Vascular Surgery","Active_wl"
"44",2023-02-21,"1",126.104619724622,"Vascular Surgery","Active_wl"
"45",2023-02-22,"1",125.339812892781,"Vascular Surgery","Active_wl"
"46",2023-02-23,"1",124.320647459322,"Vascular Surgery","Active_wl"
"47",2023-02-24,"1",124.589591076575,"Vascular Surgery","Active_wl"
"48",2023-02-25,"1",125.607431888498,"Vascular Surgery","Active_wl"
"49",2023-02-26,"1",126.007591805642,"Vascular Surgery","Active_wl"
"50",2023-02-27,"1",126.4226352153,"Vascular Surgery","Active_wl"
"51",2023-02-28,"1",124.9656451435,"Vascular Surgery","Active_wl"
"52",2023-03-01,"1",125.690825464057,"Vascular Surgery","Active_wl"
"53",2023-03-02,"1",125.634224500105,"Vascular Surgery","Active_wl"
"54",2023-03-03,"1",126.5422789513,"Vascular Surgery","Active_wl"
"55",2023-03-04,"1",126.347189431973,"Vascular Surgery","Active_wl"
"56",2023-03-05,"1",125.519156592329,"Vascular Surgery","Active_wl"
"57",2023-03-06,"1",125.142881450535,"Vascular Surgery","Active_wl"
"58",2023-03-07,"1",124.984783215199,"Vascular Surgery","Active_wl"
"59",2023-03-08,"1",125.110062662852,"Vascular Surgery","Active_wl"
"60",2023-03-09,"1",124.347714504528,"Vascular Surgery","Active_wl"
"61",2023-03-10,"1",125.004992968334,"Vascular Surgery","Active_wl"
"62",2023-03-11,"1",125.718608950773,"Vascular Surgery","Active_wl"
"63",2023-03-12,"1",125.979994032679,"Vascular Surgery","Active_wl"
"64",2023-03-13,"1",125.815913356032,"Vascular Surgery","Active_wl"
"65",2023-03-14,"1",126.797754685822,"Vascular Surgery","Active_wl"
"66",2023-03-15,"1",125.991416130075,"Vascular Surgery","Active_wl"
"67",2023-03-16,"1",126.020846290366,"Vascular Surgery","Active_wl"
"68",2023-03-17,"1",127.129754767209,"Vascular Surgery","Active_wl"
"69",2023-03-18,"1",128.23233619972,"Vascular Surgery","Active_wl"
"70",2023-03-19,"1",128.234213728145,"Vascular Surgery","Active_wl"
"71",2023-03-20,"1",128.167372726603,"Vascular Surgery","Active_wl"
"72",2023-03-21,"1",128.851693124843,"Vascular Surgery","Active_wl"
"73",2023-03-22,"1",128.442828435396,"Vascular Surgery","Active_wl"
"74",2023-03-23,"1",126.478786034602,"Vascular Surgery","Active_wl"
"75",2023-03-24,"1",126.060548521084,"Vascular Surgery","Active_wl"
"76",2023-03-25,"1",127.109031300773,"Vascular Surgery","Active_wl"
"77",2023-03-26,"1",128.20571648529,"Vascular Surgery","Active_wl"
"78",2023-03-27,"1",128.91076982271,"Vascular Surgery","Active_wl"
"79",2023-03-28,"1",128.273919194205,"Vascular Surgery","Active_wl"
"80",2023-03-29,"1",126.867540323735,"Vascular Surgery","Active_wl"
"81",2023-03-30,"1",126.257324394806,"Vascular Surgery","Active_wl"
"82",2023-03-31,"1",128.137585793259,"Vascular Surgery","Active_wl"
"83",2023-04-01,"1",127.29440817812,"Vascular Surgery","Active_wl"
"84",2023-04-02,"1",128.235280986883,"Vascular Surgery","Active_wl"
"85",2023-04-03,"1",126.703051326399,"Vascular Surgery","Active_wl"
"86",2023-04-04,"1",126.67657067003,"Vascular Surgery","Active_wl"
"87",2023-04-05,"1",126.461773547757,"Vascular Surgery","Active_wl"
"88",2023-04-06,"1",126.972527421126,"Vascular Surgery","Active_wl"
"89",2023-04-07,"1",127.781852040842,"Vascular Surgery","Active_wl"
"90",2023-04-08,"1",127.944332558722,"Vascular Surgery","Active_wl"
"91",2023-04-09,"1",126.754110174819,"Vascular Surgery","Active_wl"
"92",2023-04-10,"1",128.309762742158,"Vascular Surgery","Active_wl"
"93",2023-04-11,"1",128.961043379625,"Vascular Surgery","Active_wl"
