"","date",".rep",".sim","speciality","wl_type"
"1",2023-01-09,"1",1.89670859264015,"ENT","Deferred"
"2",2023-01-10,"1",1.89622538170315,"ENT","Deferred"
"3",2023-01-11,"1",1.93381517467677,"ENT","Deferred"
"4",2023-01-12,"1",1.967725749268,"ENT","Deferred"
"5",2023-01-13,"1",2.05459899639916,"ENT","Deferred"
"6",2023-01-14,"1",2.25784410917362,"ENT","Deferred"
"7",2023-01-15,"1",2.33329896431872,"ENT","Deferred"
"8",2023-01-16,"1",2.30533968882929,"ENT","Deferred"
"9",2023-01-17,"1",2.3933667005078,"ENT","Deferred"
"10",2023-01-18,"1",2.40347856797448,"ENT","Deferred"
"11",2023-01-19,"1",2.45192780099058,"ENT","Deferred"
"12",2023-01-20,"1",2.45729557417745,"ENT","Deferred"
"13",2023-01-21,"1",2.51750738963006,"ENT","Deferred"
"14",2023-01-22,"1",2.57502478273948,"ENT","Deferred"
"15",2023-01-23,"1",2.53575851455684,"ENT","Deferred"
"16",2023-01-24,"1",2.46252828077221,"ENT","Deferred"
"17",2023-01-25,"1",2.47736323421759,"ENT","Deferred"
"18",2023-01-26,"1",2.46931974828993,"ENT","Deferred"
"19",2023-01-27,"1",2.3387968679756,"ENT","Deferred"
"20",2023-01-28,"1",2.40262485851875,"ENT","Deferred"
"21",2023-01-29,"1",2.39594316131633,"ENT","Deferred"
"22",2023-01-30,"1",2.29622082732608,"ENT","Deferred"
"23",2023-01-31,"1",2.38078922705027,"ENT","Deferred"
"24",2023-02-01,"1",2.50720722830823,"ENT","Deferred"
"25",2023-02-02,"1",2.36310598182224,"ENT","Deferred"
"26",2023-02-03,"1",2.24988257965596,"ENT","Deferred"
"27",2023-02-04,"1",2.18947822288592,"ENT","Deferred"
"28",2023-02-05,"1",1.98438251009479,"ENT","Deferred"
"29",2023-02-06,"1",1.89209782163952,"ENT","Deferred"
"30",2023-02-07,"1",2.02744752585669,"ENT","Deferred"
"31",2023-02-08,"1",2.01910986914506,"ENT","Deferred"
"32",2023-02-09,"1",1.91470898082126,"ENT","Deferred"
"33",2023-02-10,"1",2.051892503345,"ENT","Deferred"
"34",2023-02-11,"1",2.16340408455946,"ENT","Deferred"
"35",2023-02-12,"1",2.06810935389715,"ENT","Deferred"
"36",2023-02-13,"1",1.90103993898617,"ENT","Deferred"
"37",2023-02-14,"1",2.06369554477498,"ENT","Deferred"
"38",2023-02-15,"1",2.10893388953446,"ENT","Deferred"
"39",2023-02-16,"1",2.11196638426882,"ENT","Deferred"
"40",2023-02-17,"1",1.88029629286814,"ENT","Deferred"
"41",2023-02-18,"1",1.91864992810185,"ENT","Deferred"
"42",2023-02-19,"1",1.75314897100328,"ENT","Deferred"
"43",2023-02-20,"1",1.81105778217929,"ENT","Deferred"
"44",2023-02-21,"1",1.63155388941359,"ENT","Deferred"
"45",2023-02-22,"1",1.43376065897085,"ENT","Deferred"
"46",2023-02-23,"1",1.52328581634503,"ENT","Deferred"
"47",2023-02-24,"1",1.54165738709737,"ENT","Deferred"
"48",2023-02-25,"1",1.46399666599718,"ENT","Deferred"
"49",2023-02-26,"1",1.36206015710121,"ENT","Deferred"
"50",2023-02-27,"1",1.36618606253445,"ENT","Deferred"
"51",2023-02-28,"1",1.23541111716829,"ENT","Deferred"
"52",2023-03-01,"1",1.22803713857707,"ENT","Deferred"
"53",2023-03-02,"1",1.30405542006515,"ENT","Deferred"
"54",2023-03-03,"1",1.44132949723632,"ENT","Deferred"
"55",2023-03-04,"1",1.52798504268706,"ENT","Deferred"
"56",2023-03-05,"1",1.64258743754334,"ENT","Deferred"
"57",2023-03-06,"1",1.58020506560756,"ENT","Deferred"
"58",2023-03-07,"1",1.63298698384983,"ENT","Deferred"
"59",2023-03-08,"1",1.73343461273508,"ENT","Deferred"
"60",2023-03-09,"1",1.6575159255379,"ENT","Deferred"
"61",2023-03-10,"1",1.8149464200895,"ENT","Deferred"
"62",2023-03-11,"1",1.79836549435302,"ENT","Deferred"
"63",2023-03-12,"1",1.7173303873229,"ENT","Deferred"
"64",2023-03-13,"1",1.71668144239944,"ENT","Deferred"
"65",2023-03-14,"1",1.63047019085488,"ENT","Deferred"
"66",2023-03-15,"1",1.80713341726113,"ENT","Deferred"
"67",2023-03-16,"1",1.81658244282984,"ENT","Deferred"
"68",2023-03-17,"1",1.75176319929094,"ENT","Deferred"
"69",2023-03-18,"1",1.5967369087216,"ENT","Deferred"
"70",2023-03-19,"1",1.61702401478131,"ENT","Deferred"
"71",2023-03-20,"1",1.48264640714108,"ENT","Deferred"
"72",2023-03-21,"1",1.51078006689597,"ENT","Deferred"
"73",2023-03-22,"1",1.49165571721059,"ENT","Deferred"
"74",2023-03-23,"1",1.41031506015856,"ENT","Deferred"
"75",2023-03-24,"1",1.32883338390699,"ENT","Deferred"
"76",2023-03-25,"1",1.29310599559379,"ENT","Deferred"
"77",2023-03-26,"1",1.46017775028386,"ENT","Deferred"
"78",2023-03-27,"1",1.64478372482745,"ENT","Deferred"
"79",2023-03-28,"1",1.61648033049355,"ENT","Deferred"
"80",2023-03-29,"1",1.72753786649863,"ENT","Deferred"
"81",2023-03-30,"1",1.83547152558372,"ENT","Deferred"
"82",2023-03-31,"1",1.76711080921006,"ENT","Deferred"
"83",2023-04-01,"1",1.92183278073873,"ENT","Deferred"
"84",2023-04-02,"1",1.98387135031219,"ENT","Deferred"
"85",2023-04-03,"1",2.04907824523822,"ENT","Deferred"
"86",2023-04-04,"1",2.20712951672618,"ENT","Deferred"
"87",2023-04-05,"1",2.15496177091026,"ENT","Deferred"
"88",2023-04-06,"1",2.2565336218484,"ENT","Deferred"
"89",2023-04-07,"1",2.27029363725938,"ENT","Deferred"
"90",2023-04-08,"1",2.23005199040262,"ENT","Deferred"
"91",2023-04-09,"1",2.09344729448819,"ENT","Deferred"
"92",2023-04-10,"1",2.2422211315534,"ENT","Deferred"
"93",2023-04-11,"1",2.15512476785304,"ENT","Deferred"
"94",2023-04-12,"1",2.19235981912226,"ENT","Deferred"
"95",2023-04-13,"1",1.96952062649693,"ENT","Deferred"
"96",2023-04-14,"1",1.95411934048657,"ENT","Deferred"
"97",2023-04-15,"1",1.94557238908132,"ENT","Deferred"
"98",2023-04-16,"1",1.98578907635714,"ENT","Deferred"
"99",2023-04-17,"1",2.21126648067098,"ENT","Deferred"
"100",2023-04-18,"1",2.08328640714594,"ENT","Deferred"
"101",2023-04-19,"1",2.06466336321651,"ENT","Deferred"
"102",2023-04-20,"1",2.10583678530983,"ENT","Deferred"
"103",2023-04-21,"1",2.05827572886125,"ENT","Deferred"
"104",2023-04-22,"1",1.95525745209624,"ENT","Deferred"
"105",2023-04-23,"1",1.99981115532258,"ENT","Deferred"
"106",2023-04-24,"1",2.10990701654821,"ENT","Deferred"
"107",2023-04-25,"1",2.21677179586398,"ENT","Deferred"
"108",2023-04-26,"1",1.92739494338606,"ENT","Deferred"
"109",2023-04-27,"1",1.81702477838588,"ENT","Deferred"
"110",2023-04-28,"1",1.84556114449255,"ENT","Deferred"
"111",2023-04-29,"1",1.92219870110918,"ENT","Deferred"
"112",2023-04-30,"1",2.05609172363875,"ENT","Deferred"
"113",2023-05-01,"1",2.20444787685509,"ENT","Deferred"
"114",2023-05-02,"1",2.2766442952505,"ENT","Deferred"
"115",2023-05-03,"1",2.09044073037874,"ENT","Deferred"
"116",2023-05-04,"1",2.03172074540357,"ENT","Deferred"
"117",2023-05-05,"1",2.0678021603077,"ENT","Deferred"
"118",2023-05-06,"1",2.13454485022243,"ENT","Deferred"
"119",2023-05-07,"1",2.05762321241215,"ENT","Deferred"
"120",2023-05-08,"1",2.01485861267591,"ENT","Deferred"
"121",2023-05-09,"1",2.12067533803044,"ENT","Deferred"
"122",2023-05-10,"1",2.08144058337051,"ENT","Deferred"
"123",2023-05-11,"1",1.94211775029267,"ENT","Deferred"
"124",2023-05-12,"1",1.72115250459256,"ENT","Deferred"
"125",2023-05-13,"1",1.79616061101702,"ENT","Deferred"
"126",2023-05-14,"1",1.76322215270339,"ENT","Deferred"
"127",2023-05-15,"1",1.85174879871091,"ENT","Deferred"
"128",2023-05-16,"1",1.68906304506473,"ENT","Deferred"
"129",2023-05-17,"1",1.6640646645592,"ENT","Deferred"
"130",2023-05-18,"1",1.65123743285852,"ENT","Deferred"
"131",2023-05-19,"1",1.6304102412624,"ENT","Deferred"
"132",2023-05-20,"1",1.52762659295105,"ENT","Deferred"
"133",2023-05-21,"1",1.50226975348675,"ENT","Deferred"
"134",2023-05-22,"1",1.67152932162663,"ENT","Deferred"
"135",2023-05-23,"1",1.62417543921892,"ENT","Deferred"
"136",2023-05-24,"1",1.48381347937491,"ENT","Deferred"
"137",2023-05-25,"1",1.20483766407001,"ENT","Deferred"
"138",2023-05-26,"1",1.36623420862423,"ENT","Deferred"
"139",2023-05-27,"1",1.49802244753555,"ENT","Deferred"
"140",2023-05-28,"1",1.613043025546,"ENT","Deferred"
"141",2023-05-29,"1",1.77383391555033,"ENT","Deferred"
"142",2023-05-30,"1",1.81519566575705,"ENT","Deferred"
"143",2023-05-31,"1",1.72000651920206,"ENT","Deferred"
"144",2023-06-01,"1",1.72445621313049,"ENT","Deferred"
"145",2023-06-02,"1",1.75317593803018,"ENT","Deferred"
"146",2023-06-03,"1",1.69513257552768,"ENT","Deferred"
"147",2023-06-04,"1",1.60905896281737,"ENT","Deferred"
"148",2023-06-05,"1",1.43440803160662,"ENT","Deferred"
"149",2023-06-06,"1",1.63499231817272,"ENT","Deferred"
