"","date",".rep",".sim","speciality","wl_type"
"1",2023-01-09,"1",11.577271954458,"General Surgery","Deferred"
"2",2023-01-10,"1",10.8083275918151,"General Surgery","Deferred"
"3",2023-01-11,"1",10.8517358020241,"General Surgery","Deferred"
"4",2023-01-12,"1",10.3808977102256,"General Surgery","Deferred"
"5",2023-01-13,"1",9.56544311195063,"General Surgery","Deferred"
"6",2023-01-14,"1",10.028677290944,"General Surgery","Deferred"
"7",2023-01-15,"1",10.3965622850264,"General Surgery","Deferred"
"8",2023-01-16,"1",10.5810404222691,"General Surgery","Deferred"
"9",2023-01-17,"1",10.1903858990141,"General Surgery","Deferred"
"10",2023-01-18,"1",10.3888351906174,"General Surgery","Deferred"
"11",2023-01-19,"1",10.1111069626887,"General Surgery","Deferred"
"12",2023-01-20,"1",10.5076367476845,"General Surgery","Deferred"
"13",2023-01-21,"1",10.0225908367133,"General Surgery","Deferred"
"14",2023-01-22,"1",10.1971932586287,"General Surgery","Deferred"
"15",2023-01-23,"1",9.83829709261249,"General Surgery","Deferred"
"16",2023-01-24,"1",10.3741636513258,"General Surgery","Deferred"
"17",2023-01-25,"1",10.7994202927014,"General Surgery","Deferred"
"18",2023-01-26,"1",10.1840043621013,"General Surgery","Deferred"
"19",2023-01-27,"1",9.71348963911347,"General Surgery","Deferred"
"20",2023-01-28,"1",10.4613795312412,"General Surgery","Deferred"
"21",2023-01-29,"1",10.7098317886125,"General Surgery","Deferred"
"22",2023-01-30,"1",10.994927530489,"General Surgery","Deferred"
"23",2023-01-31,"1",11.1007254479418,"General Surgery","Deferred"
"24",2023-02-01,"1",10.1190801875228,"General Surgery","Deferred"
"25",2023-02-02,"1",9.56543905533614,"General Surgery","Deferred"
"26",2023-02-03,"1",9.93587450978779,"General Surgery","Deferred"
"27",2023-02-04,"1",9.49887140270142,"General Surgery","Deferred"
"28",2023-02-05,"1",8.61245669465698,"General Surgery","Deferred"
"29",2023-02-06,"1",8.89820489988819,"General Surgery","Deferred"
"30",2023-02-07,"1",9.17882998310055,"General Surgery","Deferred"
"31",2023-02-08,"1",8.88464087601889,"General Surgery","Deferred"
"32",2023-02-09,"1",9.62298697979862,"General Surgery","Deferred"
