"","date",".rep",".sim","speciality","wl_type"
"1",2023-01-04,"1",1.04352408839979,"Ophthalmology","Deferred"
"2",2023-01-05,"1",0,"Ophthalmology","Deferred"
"3",2023-01-06,"1",0,"Ophthalmology","Deferred"
"4",2023-01-07,"1",0,"Ophthalmology","Deferred"
"5",2023-01-08,"1",0,"Ophthalmology","Deferred"
"6",2023-01-09,"1",0,"Ophthalmology","Deferred"
"7",2023-01-10,"1",0,"Ophthalmology","Deferred"
"8",2023-01-11,"1",0,"Ophthalmology","Deferred"
"9",2023-01-12,"1",0,"Ophthalmology","Deferred"
"10",2023-01-13,"1",0,"Ophthalmology","Deferred"
"11",2023-01-14,"1",0,"Ophthalmology","Deferred"
"12",2023-01-15,"1",0,"Ophthalmology","Deferred"
"13",2023-01-16,"1",0,"Ophthalmology","Deferred"
"14",2023-01-17,"1",0,"Ophthalmology","Deferred"
"15",2023-01-18,"1",0,"Ophthalmology","Deferred"
"16",2023-01-19,"1",0,"Ophthalmology","Deferred"
"17",2023-01-20,"1",0,"Ophthalmology","Deferred"
"18",2023-01-21,"1",0,"Ophthalmology","Deferred"
"19",2023-01-22,"1",0,"Ophthalmology","Deferred"
"20",2023-01-23,"1",0,"Ophthalmology","Deferred"
"21",2023-01-24,"1",0,"Ophthalmology","Deferred"
"22",2023-01-25,"1",0,"Ophthalmology","Deferred"
"23",2023-01-26,"1",0,"Ophthalmology","Deferred"
"24",2023-01-27,"1",0,"Ophthalmology","Deferred"
"25",2023-01-28,"1",0,"Ophthalmology","Deferred"
"26",2023-01-29,"1",0,"Ophthalmology","Deferred"
"27",2023-01-30,"1",0,"Ophthalmology","Deferred"
"28",2023-01-31,"1",0,"Ophthalmology","Deferred"
"29",2023-02-01,"1",0,"Ophthalmology","Deferred"
"30",2023-02-02,"1",0,"Ophthalmology","Deferred"
"31",2023-02-03,"1",0,"Ophthalmology","Deferred"
"32",2023-02-04,"1",0,"Ophthalmology","Deferred"
"33",2023-02-05,"1",0,"Ophthalmology","Deferred"
"34",2023-02-06,"1",0,"Ophthalmology","Deferred"
"35",2023-02-07,"1",0,"Ophthalmology","Deferred"
"36",2023-02-08,"1",0,"Ophthalmology","Deferred"
"37",2023-02-09,"1",0,"Ophthalmology","Deferred"
"38",2023-02-10,"1",0,"Ophthalmology","Deferred"
"39",2023-02-11,"1",0,"Ophthalmology","Deferred"
"40",2023-02-12,"1",0,"Ophthalmology","Deferred"
"41",2023-02-13,"1",0,"Ophthalmology","Deferred"
"42",2023-02-14,"1",0,"Ophthalmology","Deferred"
"43",2023-02-15,"1",0,"Ophthalmology","Deferred"
"44",2023-02-16,"1",0,"Ophthalmology","Deferred"
"45",2023-02-17,"1",0,"Ophthalmology","Deferred"
"46",2023-02-18,"1",0,"Ophthalmology","Deferred"
"47",2023-02-19,"1",0,"Ophthalmology","Deferred"
"48",2023-02-20,"1",0,"Ophthalmology","Deferred"
"49",2023-02-21,"1",0,"Ophthalmology","Deferred"
"50",2023-02-22,"1",0,"Ophthalmology","Deferred"
"51",2023-02-23,"1",0,"Ophthalmology","Deferred"
"52",2023-02-24,"1",0,"Ophthalmology","Deferred"
"53",2023-02-25,"1",0,"Ophthalmology","Deferred"
"54",2023-02-26,"1",0,"Ophthalmology","Deferred"
"55",2023-02-27,"1",0,"Ophthalmology","Deferred"
"56",2023-02-28,"1",0,"Ophthalmology","Deferred"
"57",2023-03-01,"1",0,"Ophthalmology","Deferred"
"58",2023-03-02,"1",0,"Ophthalmology","Deferred"
"59",2023-03-03,"1",0,"Ophthalmology","Deferred"
