"","date",".rep",".sim","speciality","wl_type"
"1",2023-01-09,"1",2.01112559414845,"Urology","Deferred"
"2",2023-01-10,"1",2.30230121789705,"Urology","Deferred"
"3",2023-01-11,"1",2.31832035444946,"Urology","Deferred"
"4",2023-01-12,"1",2.17433623786116,"Urology","Deferred"
"5",2023-01-13,"1",2.30177151411587,"Urology","Deferred"
"6",2023-01-14,"1",2.27151841168737,"Urology","Deferred"
"7",2023-01-15,"1",1.85417279231356,"Urology","Deferred"
"8",2023-01-16,"1",1.59814160706968,"Urology","Deferred"
"9",2023-01-17,"1",1.8148492336024,"Urology","Deferred"
"10",2023-01-18,"1",1.84456996272282,"Urology","Deferred"
"11",2023-01-19,"1",2.19582461151946,"Urology","Deferred"
"12",2023-01-20,"1",2.19333672799836,"Urology","Deferred"
"13",2023-01-21,"1",1.87547868759862,"Urology","Deferred"
"14",2023-01-22,"1",2.05426746309978,"Urology","Deferred"
"15",2023-01-23,"1",2.25521935831761,"Urology","Deferred"
"16",2023-01-24,"1",2.02785143833256,"Urology","Deferred"
"17",2023-01-25,"1",1.90711863315293,"Urology","Deferred"
"18",2023-01-26,"1",1.27349642055201,"Urology","Deferred"
"19",2023-01-27,"1",1.68385036927973,"Urology","Deferred"
"20",2023-01-28,"1",1.79115834147882,"Urology","Deferred"
"21",2023-01-29,"1",1.33769801037154,"Urology","Deferred"
"22",2023-01-30,"1",1.37907301675193,"Urology","Deferred"
"23",2023-01-31,"1",1.24268067415089,"Urology","Deferred"
"24",2023-02-01,"1",1.22773507309023,"Urology","Deferred"
"25",2023-02-02,"1",1.46977122385463,"Urology","Deferred"
"26",2023-02-03,"1",1.33626862010508,"Urology","Deferred"
"27",2023-02-04,"1",1.40852692410793,"Urology","Deferred"
"28",2023-02-05,"1",1.11059095024076,"Urology","Deferred"
"29",2023-02-06,"1",1.27334486026435,"Urology","Deferred"
"30",2023-02-07,"1",1.36929105180726,"Urology","Deferred"
"31",2023-02-08,"1",1.61010190239715,"Urology","Deferred"
"32",2023-02-09,"1",1.57232535636496,"Urology","Deferred"
"33",2023-02-10,"1",1.64577869919268,"Urology","Deferred"
"34",2023-02-11,"1",1.44336123381182,"Urology","Deferred"
"35",2023-02-12,"1",1.3080790031296,"Urology","Deferred"
"36",2023-02-13,"1",1.38191851306386,"Urology","Deferred"
"37",2023-02-14,"1",1.03117692272758,"Urology","Deferred"
"38",2023-02-15,"1",1.01695085413343,"Urology","Deferred"
"39",2023-02-16,"1",0,"Urology","Deferred"
"40",2023-02-17,"1",0,"Urology","Deferred"
"41",2023-02-18,"1",0,"Urology","Deferred"
"42",2023-02-19,"1",0,"Urology","Deferred"
"43",2023-02-20,"1",1.2535200738564,"Urology","Deferred"
"44",2023-02-21,"1",1.35916561094059,"Urology","Deferred"
"45",2023-02-22,"1",1.29444939284379,"Urology","Deferred"
"46",2023-02-23,"1",1.44374188447921,"Urology","Deferred"
"47",2023-02-24,"1",1.40458724173463,"Urology","Deferred"
"48",2023-02-25,"1",1.45150766158442,"Urology","Deferred"
"49",2023-02-26,"1",1.35996065756775,"Urology","Deferred"
"50",2023-02-27,"1",1.55188437827776,"Urology","Deferred"
"51",2023-02-28,"1",1.54708928669364,"Urology","Deferred"
"52",2023-03-01,"1",1.64027416970782,"Urology","Deferred"
"53",2023-03-02,"1",1.50076505878821,"Urology","Deferred"
"54",2023-03-03,"1",1.24760502722403,"Urology","Deferred"
"55",2023-03-04,"1",1.27665676537416,"Urology","Deferred"
"56",2023-03-05,"1",1.25546649664392,"Urology","Deferred"
"57",2023-03-06,"1",1.13312677091477,"Urology","Deferred"
"58",2023-03-07,"1",1.38690011362888,"Urology","Deferred"
"59",2023-03-08,"1",1.291435945262,"Urology","Deferred"
"60",2023-03-09,"1",1.51022648764959,"Urology","Deferred"
"61",2023-03-10,"1",1.89982103173688,"Urology","Deferred"
"62",2023-03-11,"1",1.96135060925128,"Urology","Deferred"
"63",2023-03-12,"1",1.77400380462498,"Urology","Deferred"
"64",2023-03-13,"1",1.98761463832927,"Urology","Deferred"
"65",2023-03-14,"1",1.8893160743046,"Urology","Deferred"
"66",2023-03-15,"1",1.86841594195466,"Urology","Deferred"
"67",2023-03-16,"1",1.75519610269782,"Urology","Deferred"
"68",2023-03-17,"1",1.64798193437466,"Urology","Deferred"
"69",2023-03-18,"1",1.46159921025174,"Urology","Deferred"
"70",2023-03-19,"1",1.44553554302955,"Urology","Deferred"
"71",2023-03-20,"1",1.61167760277599,"Urology","Deferred"
"72",2023-03-21,"1",1.48273109815196,"Urology","Deferred"
"73",2023-03-22,"1",1.39797820168843,"Urology","Deferred"
"74",2023-03-23,"1",1.82276803491235,"Urology","Deferred"
"75",2023-03-24,"1",1.94682388349,"Urology","Deferred"
"76",2023-03-25,"1",1.69638028776462,"Urology","Deferred"
"77",2023-03-26,"1",1.67041631298702,"Urology","Deferred"
"78",2023-03-27,"1",1.61877908891099,"Urology","Deferred"
"79",2023-03-28,"1",1.44585215039245,"Urology","Deferred"
"80",2023-03-29,"1",1.46649909415454,"Urology","Deferred"
"81",2023-03-30,"1",1.38104918059494,"Urology","Deferred"
"82",2023-03-31,"1",1.59159339234897,"Urology","Deferred"
"83",2023-04-01,"1",1.43482565200336,"Urology","Deferred"
"84",2023-04-02,"1",1.46262561593842,"Urology","Deferred"
"85",2023-04-03,"1",1.50982776060967,"Urology","Deferred"
"86",2023-04-04,"1",1.44950618774072,"Urology","Deferred"
"87",2023-04-05,"1",1.56470942687284,"Urology","Deferred"
"88",2023-04-06,"1",1.47365748960449,"Urology","Deferred"
"89",2023-04-07,"1",1.46993855518403,"Urology","Deferred"
"90",2023-04-08,"1",1.54861992267141,"Urology","Deferred"
"91",2023-04-09,"1",1.50119493229443,"Urology","Deferred"
"92",2023-04-10,"1",1.44288952465007,"Urology","Deferred"
"93",2023-04-11,"1",1.57815755415168,"Urology","Deferred"
"94",2023-04-12,"1",1.98360721266173,"Urology","Deferred"
"95",2023-04-13,"1",1.90016332049383,"Urology","Deferred"
"96",2023-04-14,"1",1.88171878782698,"Urology","Deferred"
"97",2023-04-15,"1",2.41907313565651,"Urology","Deferred"
"98",2023-04-16,"1",2.49935803147385,"Urology","Deferred"
"99",2023-04-17,"1",2.37224949159247,"Urology","Deferred"
"100",2023-04-18,"1",2.43846251141772,"Urology","Deferred"
"101",2023-04-19,"1",2.74360764904432,"Urology","Deferred"
"102",2023-04-20,"1",2.98557664299986,"Urology","Deferred"
"103",2023-04-21,"1",2.64531895885691,"Urology","Deferred"
"104",2023-04-22,"1",2.45553630931598,"Urology","Deferred"
"105",2023-04-23,"1",2.46204600889193,"Urology","Deferred"
"106",2023-04-24,"1",2.2234081405334,"Urology","Deferred"
"107",2023-04-25,"1",2.19471778165281,"Urology","Deferred"
"108",2023-04-26,"1",2.2886705948333,"Urology","Deferred"
"109",2023-04-27,"1",2.1997332311478,"Urology","Deferred"
"110",2023-04-28,"1",2.0324555752139,"Urology","Deferred"
"111",2023-04-29,"1",1.9804808979349,"Urology","Deferred"
"112",2023-04-30,"1",2.18056772617151,"Urology","Deferred"
"113",2023-05-01,"1",2.15993616904757,"Urology","Deferred"
"114",2023-05-02,"1",2.19671410400616,"Urology","Deferred"
"115",2023-05-03,"1",2.16833323895195,"Urology","Deferred"
"116",2023-05-04,"1",2.00954487993294,"Urology","Deferred"
"117",2023-05-05,"1",2.02154970549555,"Urology","Deferred"
"118",2023-05-06,"1",2.2442280171899,"Urology","Deferred"
"119",2023-05-07,"1",2.35720866294281,"Urology","Deferred"
"120",2023-05-08,"1",1.9500534685863,"Urology","Deferred"
"121",2023-05-09,"1",1.59855043327991,"Urology","Deferred"
"122",2023-05-10,"1",2.00505703178145,"Urology","Deferred"
"123",2023-05-11,"1",1.94653082711524,"Urology","Deferred"
"124",2023-05-12,"1",2.13481436735763,"Urology","Deferred"
"125",2023-05-13,"1",2.04937544491541,"Urology","Deferred"
"126",2023-05-14,"1",1.88809116931092,"Urology","Deferred"
"127",2023-05-15,"1",2.14489977604837,"Urology","Deferred"
"128",2023-05-16,"1",2.30386481878287,"Urology","Deferred"
"129",2023-05-17,"1",2.43054320680472,"Urology","Deferred"
"130",2023-05-18,"1",2.33787797690633,"Urology","Deferred"
"131",2023-05-19,"1",2.12252357804741,"Urology","Deferred"
"132",2023-05-20,"1",2.38288316012296,"Urology","Deferred"
"133",2023-05-21,"1",2.73499704148371,"Urology","Deferred"
"134",2023-05-22,"1",2.44725782191302,"Urology","Deferred"
"135",2023-05-23,"1",2.42152256488458,"Urology","Deferred"
"136",2023-05-24,"1",2.55628556292144,"Urology","Deferred"
"137",2023-05-25,"1",2.50436278257061,"Urology","Deferred"
"138",2023-05-26,"1",2.32425015382212,"Urology","Deferred"
"139",2023-05-27,"1",2.73147143405903,"Urology","Deferred"
"140",2023-05-28,"1",2.62503091976509,"Urology","Deferred"
"141",2023-05-29,"1",2.39595875147307,"Urology","Deferred"
"142",2023-05-30,"1",2.3955810089068,"Urology","Deferred"
"143",2023-05-31,"1",2.30668626448874,"Urology","Deferred"
"144",2023-06-01,"1",2.3486705194092,"Urology","Deferred"
"145",2023-06-02,"1",2.34139249704388,"Urology","Deferred"
"146",2023-06-03,"1",2.28684325218197,"Urology","Deferred"
