"","date",".rep",".sim","speciality","wl_type"
"1",2022-10-13,"1",1.09752712272762,"Breast Surgery","Planned"
"2",2022-10-14,"1",1.10927425526125,"Breast Surgery","Planned"
"3",2022-10-15,"1",1.0912210946829,"Breast Surgery","Planned"
"4",2022-10-16,"1",1.2887309502252,"Breast Surgery","Planned"
"5",2022-10-17,"1",1.22472898390788,"Breast Surgery","Planned"
"6",2022-10-18,"1",1.45238494624937,"Breast Surgery","Planned"
"7",2022-10-19,"1",1.39754780392673,"Breast Surgery","Planned"
"8",2022-10-20,"1",1.51684114470154,"Breast Surgery","Planned"
"9",2022-10-21,"1",1.43921862969193,"Breast Surgery","Planned"
"10",2022-10-22,"1",1.384608966966,"Breast Surgery","Planned"
"11",2022-10-23,"1",1.43262406923382,"Breast Surgery","Planned"
"12",2022-10-24,"1",1.30027068612489,"Breast Surgery","Planned"
"13",2022-10-25,"1",1.07436123307747,"Breast Surgery","Planned"
"14",2022-10-26,"1",1.14854054867598,"Breast Surgery","Planned"
"15",2022-10-27,"1",1.17102620468363,"Breast Surgery","Planned"
"16",2022-10-28,"1",1.12356678893267,"Breast Surgery","Planned"
"17",2022-10-29,"1",1.30910386772091,"Breast Surgery","Planned"
"18",2022-10-30,"1",1.32953646774914,"Breast Surgery","Planned"
"19",2022-10-31,"1",1.37833625100874,"Breast Surgery","Planned"
"20",2022-11-01,"1",1.45091205869759,"Breast Surgery","Planned"
"21",2022-11-02,"1",1.62955549372184,"Breast Surgery","Planned"
"22",2022-11-03,"1",1.46908628122471,"Breast Surgery","Planned"
"23",2022-11-04,"1",1.43368495378875,"Breast Surgery","Planned"
"24",2022-11-05,"1",1.66568581097716,"Breast Surgery","Planned"
"25",2022-11-06,"1",1.77674292981352,"Breast Surgery","Planned"
"26",2022-11-07,"1",1.73525092046926,"Breast Surgery","Planned"
"27",2022-11-08,"1",1.79590241556877,"Breast Surgery","Planned"
"28",2022-11-09,"1",1.80350750414691,"Breast Surgery","Planned"
"29",2022-11-10,"1",2.12691205786597,"Breast Surgery","Planned"
"30",2022-11-11,"1",2.10214619889508,"Breast Surgery","Planned"
"31",2022-11-12,"1",2.03598579192572,"Breast Surgery","Planned"
"32",2022-11-13,"1",2.21170345194601,"Breast Surgery","Planned"
"33",2022-11-14,"1",2.06290818651162,"Breast Surgery","Planned"
"34",2022-11-15,"1",1.93864696850189,"Breast Surgery","Planned"
"35",2022-11-16,"1",1.84726375671263,"Breast Surgery","Planned"
"36",2022-11-17,"1",1.75569109719542,"Breast Surgery","Planned"
"37",2022-11-18,"1",1.72262949236489,"Breast Surgery","Planned"
"38",2022-11-19,"1",1.72213784367407,"Breast Surgery","Planned"
"39",2022-11-20,"1",1.95030794200966,"Breast Surgery","Planned"
