"","date",".rep",".sim","speciality","wl_type"
"1",2023-01-09,"1",149.221546883876,"Cardiology","Planned"
"2",2023-01-10,"1",149.753251412633,"Cardiology","Planned"
"3",2023-01-11,"1",151.217081667025,"Cardiology","Planned"
"4",2023-01-12,"1",152.577417544983,"Cardiology","Planned"
"5",2023-01-13,"1",150.235746543238,"Cardiology","Planned"
"6",2023-01-14,"1",150.050263519145,"Cardiology","Planned"
"7",2023-01-15,"1",151.836123007322,"Cardiology","Planned"
"8",2023-01-16,"1",152.161545527688,"Cardiology","Planned"
"9",2023-01-17,"1",154.378252484389,"Cardiology","Planned"
"10",2023-01-18,"1",154.784019877816,"Cardiology","Planned"
"11",2023-01-19,"1",155.31919152899,"Cardiology","Planned"
"12",2023-01-20,"1",152.685138466676,"Cardiology","Planned"
"13",2023-01-21,"1",149.182747363262,"Cardiology","Planned"
"14",2023-01-22,"1",148.257707175565,"Cardiology","Planned"
"15",2023-01-23,"1",146.488062743384,"Cardiology","Planned"
"16",2023-01-24,"1",146.690365860573,"Cardiology","Planned"
"17",2023-01-25,"1",149.163170010512,"Cardiology","Planned"
"18",2023-01-26,"1",147.237017275546,"Cardiology","Planned"
"19",2023-01-27,"1",146.303947003332,"Cardiology","Planned"
"20",2023-01-28,"1",144.771093624627,"Cardiology","Planned"
"21",2023-01-29,"1",147.593090262406,"Cardiology","Planned"
"22",2023-01-30,"1",145.49210415005,"Cardiology","Planned"
"23",2023-01-31,"1",143.236756268655,"Cardiology","Planned"
"24",2023-02-01,"1",141.925960881262,"Cardiology","Planned"
"25",2023-02-02,"1",140.79730483042,"Cardiology","Planned"
"26",2023-02-03,"1",140.980395343262,"Cardiology","Planned"
"27",2023-02-04,"1",140.122130413956,"Cardiology","Planned"
"28",2023-02-05,"1",137.284512761262,"Cardiology","Planned"
"29",2023-02-06,"1",138.196493922415,"Cardiology","Planned"
"30",2023-02-07,"1",138.089113357239,"Cardiology","Planned"
"31",2023-02-08,"1",140.308652473619,"Cardiology","Planned"
"32",2023-02-09,"1",143.295040255641,"Cardiology","Planned"
"33",2023-02-10,"1",142.093232683524,"Cardiology","Planned"
"34",2023-02-11,"1",140.416023436729,"Cardiology","Planned"
"35",2023-02-12,"1",140.993198502179,"Cardiology","Planned"
"36",2023-02-13,"1",139.543422340271,"Cardiology","Planned"
"37",2023-02-14,"1",142.545998476641,"Cardiology","Planned"
"38",2023-02-15,"1",141.405425346644,"Cardiology","Planned"
"39",2023-02-16,"1",145.267816857565,"Cardiology","Planned"
"40",2023-02-17,"1",146.104451270356,"Cardiology","Planned"
"41",2023-02-18,"1",143.983200189268,"Cardiology","Planned"
"42",2023-02-19,"1",144.214033548034,"Cardiology","Planned"
"43",2023-02-20,"1",143.263380870667,"Cardiology","Planned"
"44",2023-02-21,"1",145.211467469676,"Cardiology","Planned"
"45",2023-02-22,"1",143.314294820869,"Cardiology","Planned"
"46",2023-02-23,"1",141.7044734873,"Cardiology","Planned"
"47",2023-02-24,"1",140.843486005617,"Cardiology","Planned"
"48",2023-02-25,"1",138.859649429941,"Cardiology","Planned"
"49",2023-02-26,"1",136.8032701483,"Cardiology","Planned"
"50",2023-02-27,"1",139.846216935728,"Cardiology","Planned"
"51",2023-02-28,"1",140.633850117039,"Cardiology","Planned"
"52",2023-03-01,"1",139.028426202942,"Cardiology","Planned"
"53",2023-03-02,"1",137.990206714815,"Cardiology","Planned"
"54",2023-03-03,"1",135.502390786994,"Cardiology","Planned"
"55",2023-03-04,"1",132.490989190471,"Cardiology","Planned"
"56",2023-03-05,"1",131.837623693894,"Cardiology","Planned"
"57",2023-03-06,"1",134.064215177462,"Cardiology","Planned"
"58",2023-03-07,"1",135.632025025312,"Cardiology","Planned"
"59",2023-03-08,"1",138.462397160164,"Cardiology","Planned"
"60",2023-03-09,"1",142.431466889241,"Cardiology","Planned"
"61",2023-03-10,"1",140.979359968058,"Cardiology","Planned"
"62",2023-03-11,"1",138.511834173217,"Cardiology","Planned"
"63",2023-03-12,"1",142.389889901266,"Cardiology","Planned"
"64",2023-03-13,"1",139.780283424294,"Cardiology","Planned"
"65",2023-03-14,"1",140.881592841414,"Cardiology","Planned"
"66",2023-03-15,"1",141.597368697028,"Cardiology","Planned"
"67",2023-03-16,"1",139.562516233093,"Cardiology","Planned"
"68",2023-03-17,"1",139.107448899028,"Cardiology","Planned"
"69",2023-03-18,"1",136.927695348118,"Cardiology","Planned"
"70",2023-03-19,"1",139.119597264862,"Cardiology","Planned"
"71",2023-03-20,"1",139.770646557096,"Cardiology","Planned"
"72",2023-03-21,"1",138.712607123955,"Cardiology","Planned"
"73",2023-03-22,"1",139.591388597275,"Cardiology","Planned"
"74",2023-03-23,"1",138.294276516067,"Cardiology","Planned"
"75",2023-03-24,"1",137.607095742905,"Cardiology","Planned"
"76",2023-03-25,"1",135.615940246294,"Cardiology","Planned"
"77",2023-03-26,"1",137.4523925483,"Cardiology","Planned"
"78",2023-03-27,"1",135.899044338858,"Cardiology","Planned"
"79",2023-03-28,"1",134.015952135071,"Cardiology","Planned"
"80",2023-03-29,"1",133.783139402605,"Cardiology","Planned"
"81",2023-03-30,"1",135.832507247124,"Cardiology","Planned"
"82",2023-03-31,"1",134.563552484584,"Cardiology","Planned"
"83",2023-04-01,"1",132.014919212634,"Cardiology","Planned"
"84",2023-04-02,"1",133.847252271363,"Cardiology","Planned"
"85",2023-04-03,"1",133.980364208916,"Cardiology","Planned"
"86",2023-04-04,"1",134.815954359385,"Cardiology","Planned"
"87",2023-04-05,"1",134.93567052241,"Cardiology","Planned"
"88",2023-04-06,"1",136.461246365556,"Cardiology","Planned"
"89",2023-04-07,"1",134.484229923859,"Cardiology","Planned"
"90",2023-04-08,"1",134.147696964959,"Cardiology","Planned"
"91",2023-04-09,"1",132.711159441885,"Cardiology","Planned"
"92",2023-04-10,"1",133.500935961555,"Cardiology","Planned"
"93",2023-04-11,"1",135.056152694954,"Cardiology","Planned"
"94",2023-04-12,"1",137.539140874779,"Cardiology","Planned"
"95",2023-04-13,"1",140.063404207583,"Cardiology","Planned"
"96",2023-04-14,"1",138.914837840992,"Cardiology","Planned"
"97",2023-04-15,"1",139.220708965979,"Cardiology","Planned"
"98",2023-04-16,"1",139.013972276419,"Cardiology","Planned"
"99",2023-04-17,"1",138.424433506922,"Cardiology","Planned"
"100",2023-04-18,"1",137.79282632368,"Cardiology","Planned"
"101",2023-04-19,"1",137.992484045687,"Cardiology","Planned"
"102",2023-04-20,"1",137.637335738286,"Cardiology","Planned"
"103",2023-04-21,"1",136.893654628945,"Cardiology","Planned"
"104",2023-04-22,"1",136.427507203156,"Cardiology","Planned"
"105",2023-04-23,"1",138.08208072096,"Cardiology","Planned"
"106",2023-04-24,"1",137.449580991383,"Cardiology","Planned"
"107",2023-04-25,"1",138.282470328144,"Cardiology","Planned"
"108",2023-04-26,"1",138.147290949399,"Cardiology","Planned"
"109",2023-04-27,"1",139.016810070076,"Cardiology","Planned"
"110",2023-04-28,"1",138.233681285996,"Cardiology","Planned"
"111",2023-04-29,"1",138.230316554351,"Cardiology","Planned"
"112",2023-04-30,"1",138.346461812052,"Cardiology","Planned"
"113",2023-05-01,"1",137.831336350334,"Cardiology","Planned"
"114",2023-05-02,"1",137.976506023008,"Cardiology","Planned"
"115",2023-05-03,"1",137.523136437159,"Cardiology","Planned"
