"","date",".rep",".sim","speciality","wl_type"
"1",2023-01-09,"1",1.31002454298729,"ENT","Planned"
"2",2023-01-10,"1",1.41728524897605,"ENT","Planned"
"3",2023-01-11,"1",1.69474309565477,"ENT","Planned"
"4",2023-01-12,"1",1.90302884300509,"ENT","Planned"
"5",2023-01-13,"1",1.94039865804659,"ENT","Planned"
"6",2023-01-14,"1",1.71125434031547,"ENT","Planned"
"7",2023-01-15,"1",1.45254283739673,"ENT","Planned"
"8",2023-01-16,"1",1.71375280102856,"ENT","Planned"
"9",2023-01-17,"1",2.03551073055203,"ENT","Planned"
"10",2023-01-18,"1",2.07445614215184,"ENT","Planned"
"11",2023-01-19,"1",1.94214697902624,"ENT","Planned"
"12",2023-01-20,"1",2.1380860334304,"ENT","Planned"
"13",2023-01-21,"1",1.87263908955555,"ENT","Planned"
"14",2023-01-22,"1",1.68361790420152,"ENT","Planned"
"15",2023-01-23,"1",1.70043716075495,"ENT","Planned"
"16",2023-01-24,"1",1.77239644701827,"ENT","Planned"
"17",2023-01-25,"1",1.95198832618123,"ENT","Planned"
"18",2023-01-26,"1",1.77797719061039,"ENT","Planned"
"19",2023-01-27,"1",1.79615701634113,"ENT","Planned"
"20",2023-01-28,"1",1.71413713257095,"ENT","Planned"
"21",2023-01-29,"1",1.66279439014987,"ENT","Planned"
"22",2023-01-30,"1",1.91845537912178,"ENT","Planned"
"23",2023-01-31,"1",1.96656773057819,"ENT","Planned"
"24",2023-02-01,"1",1.81462297986077,"ENT","Planned"
"25",2023-02-02,"1",1.42815200636569,"ENT","Planned"
"26",2023-02-03,"1",1.11881578977794,"ENT","Planned"
"27",2023-02-04,"1",0,"ENT","Planned"
"28",2023-02-05,"1",0,"ENT","Planned"
"29",2023-02-06,"1",1.20000297656641,"ENT","Planned"
"30",2023-02-07,"1",1.41144541901682,"ENT","Planned"
"31",2023-02-08,"1",1.38823119339659,"ENT","Planned"
"32",2023-02-09,"1",1.20745935748553,"ENT","Planned"
"33",2023-02-10,"1",1.26026614816052,"ENT","Planned"
"34",2023-02-11,"1",1.15264164345108,"ENT","Planned"
"35",2023-02-12,"1",1.19747734731694,"ENT","Planned"
"36",2023-02-13,"1",1.21918665162576,"ENT","Planned"
"37",2023-02-14,"1",0,"ENT","Planned"
"38",2023-02-15,"1",1.01263005840123,"ENT","Planned"
"39",2023-02-16,"1",1.16082810914432,"ENT","Planned"
"40",2023-02-17,"1",1.26278134387101,"ENT","Planned"
"41",2023-02-18,"1",1.76681526460514,"ENT","Planned"
"42",2023-02-19,"1",1.98617347760066,"ENT","Planned"
"43",2023-02-20,"1",1.66405107536139,"ENT","Planned"
"44",2023-02-21,"1",1.84800029359256,"ENT","Planned"
"45",2023-02-22,"1",1.82043536597586,"ENT","Planned"
"46",2023-02-23,"1",1.74365458247206,"ENT","Planned"
"47",2023-02-24,"1",1.74046422166293,"ENT","Planned"
"48",2023-02-25,"1",1.73131651212416,"ENT","Planned"
"49",2023-02-26,"1",1.63107574224549,"ENT","Planned"
"50",2023-02-27,"1",1.70035472895503,"ENT","Planned"
"51",2023-02-28,"1",2.0481377194197,"ENT","Planned"
"52",2023-03-01,"1",1.77685450495996,"ENT","Planned"
"53",2023-03-02,"1",1.73271078901046,"ENT","Planned"
"54",2023-03-03,"1",1.59474444591394,"ENT","Planned"
"55",2023-03-04,"1",1.41606243919788,"ENT","Planned"
"56",2023-03-05,"1",1.23262404773864,"ENT","Planned"
"57",2023-03-06,"1",1.03598302004888,"ENT","Planned"
"58",2023-03-07,"1",1.20681915400476,"ENT","Planned"
"59",2023-03-08,"1",1.3408021995866,"ENT","Planned"
"60",2023-03-09,"1",0,"ENT","Planned"
