"","date",".rep",".sim","speciality","wl_type"
"1",2023-01-09,"1",2299.7885069827,"Gastroenterology","Planned"
"2",2023-01-10,"1",2304.51277772835,"Gastroenterology","Planned"
"3",2023-01-11,"1",2308.25988327765,"Gastroenterology","Planned"
"4",2023-01-12,"1",2311.50862095455,"Gastroenterology","Planned"
"5",2023-01-13,"1",2313.58307972639,"Gastroenterology","Planned"
"6",2023-01-14,"1",2311.29363288121,"Gastroenterology","Planned"
"7",2023-01-15,"1",2309.12466450589,"Gastroenterology","Planned"
"8",2023-01-16,"1",2315.05117485363,"Gastroenterology","Planned"
"9",2023-01-17,"1",2316.3348364295,"Gastroenterology","Planned"
"10",2023-01-18,"1",2322.52513309265,"Gastroenterology","Planned"
"11",2023-01-19,"1",2319.67764797454,"Gastroenterology","Planned"
"12",2023-01-20,"1",2319.12261132676,"Gastroenterology","Planned"
"13",2023-01-21,"1",2318.85201578833,"Gastroenterology","Planned"
"14",2023-01-22,"1",2317.51023467074,"Gastroenterology","Planned"
"15",2023-01-23,"1",2315.89832782098,"Gastroenterology","Planned"
"16",2023-01-24,"1",2319.13494139316,"Gastroenterology","Planned"
"17",2023-01-25,"1",2320.78605167813,"Gastroenterology","Planned"
"18",2023-01-26,"1",2316.3463756071,"Gastroenterology","Planned"
"19",2023-01-27,"1",2314.08473141755,"Gastroenterology","Planned"
"20",2023-01-28,"1",2312.17437063904,"Gastroenterology","Planned"
"21",2023-01-29,"1",2311.24750732628,"Gastroenterology","Planned"
"22",2023-01-30,"1",2307.6122525256,"Gastroenterology","Planned"
"23",2023-01-31,"1",2306.23551148295,"Gastroenterology","Planned"
"24",2023-02-01,"1",2309.11884876452,"Gastroenterology","Planned"
"25",2023-02-02,"1",2307.62867697095,"Gastroenterology","Planned"
"26",2023-02-03,"1",2311.49251624768,"Gastroenterology","Planned"
"27",2023-02-04,"1",2313.37505908194,"Gastroenterology","Planned"
"28",2023-02-05,"1",2311.4628124902,"Gastroenterology","Planned"
"29",2023-02-06,"1",2315.16965374965,"Gastroenterology","Planned"
"30",2023-02-07,"1",2317.16452976671,"Gastroenterology","Planned"
"31",2023-02-08,"1",2323.93889171771,"Gastroenterology","Planned"
"32",2023-02-09,"1",2326.02126458263,"Gastroenterology","Planned"
"33",2023-02-10,"1",2326.39218079289,"Gastroenterology","Planned"
"34",2023-02-11,"1",2326.3302342983,"Gastroenterology","Planned"
"35",2023-02-12,"1",2327.28723458408,"Gastroenterology","Planned"
"36",2023-02-13,"1",2328.56361379298,"Gastroenterology","Planned"
"37",2023-02-14,"1",2332.80124452345,"Gastroenterology","Planned"
"38",2023-02-15,"1",2335.64743163633,"Gastroenterology","Planned"
"39",2023-02-16,"1",2338.31513666708,"Gastroenterology","Planned"
"40",2023-02-17,"1",2341.77530566184,"Gastroenterology","Planned"
"41",2023-02-18,"1",2340.08698206138,"Gastroenterology","Planned"
"42",2023-02-19,"1",2340.20903524301,"Gastroenterology","Planned"
"43",2023-02-20,"1",2344.47860273303,"Gastroenterology","Planned"
"44",2023-02-21,"1",2344.71104712018,"Gastroenterology","Planned"
"45",2023-02-22,"1",2347.44823115979,"Gastroenterology","Planned"
"46",2023-02-23,"1",2346.45560221242,"Gastroenterology","Planned"
"47",2023-02-24,"1",2346.8108628362,"Gastroenterology","Planned"
"48",2023-02-25,"1",2346.7112925866,"Gastroenterology","Planned"
"49",2023-02-26,"1",2343.16962700352,"Gastroenterology","Planned"
