"","date",".rep",".sim","speciality","wl_type"
"1",2023-01-09,"1",12.0629501220285,"General Surgery","Planned"
"2",2023-01-10,"1",12.5575976257692,"General Surgery","Planned"
"3",2023-01-11,"1",12.2741581878784,"General Surgery","Planned"
"4",2023-01-12,"1",12.727004257512,"General Surgery","Planned"
"5",2023-01-13,"1",12.8975624575617,"General Surgery","Planned"
"6",2023-01-14,"1",13.5329620185723,"General Surgery","Planned"
"7",2023-01-15,"1",12.9066538781821,"General Surgery","Planned"
"8",2023-01-16,"1",12.2028775385488,"General Surgery","Planned"
"9",2023-01-17,"1",11.3830513294829,"General Surgery","Planned"
"10",2023-01-18,"1",10.4660157348905,"General Surgery","Planned"
"11",2023-01-19,"1",9.70529516390321,"General Surgery","Planned"
"12",2023-01-20,"1",10.624656877188,"General Surgery","Planned"
"13",2023-01-21,"1",10.8571179616876,"General Surgery","Planned"
"14",2023-01-22,"1",11.0983104948875,"General Surgery","Planned"
"15",2023-01-23,"1",10.7390731392567,"General Surgery","Planned"
"16",2023-01-24,"1",11.1357603439781,"General Surgery","Planned"
"17",2023-01-25,"1",10.9625884728394,"General Surgery","Planned"
"18",2023-01-26,"1",10.4498649275675,"General Surgery","Planned"
"19",2023-01-27,"1",11.0644197979078,"General Surgery","Planned"
"20",2023-01-28,"1",10.6229690871721,"General Surgery","Planned"
"21",2023-01-29,"1",9.63772532267523,"General Surgery","Planned"
"22",2023-01-30,"1",9.34476096375966,"General Surgery","Planned"
"23",2023-01-31,"1",9.20950097338727,"General Surgery","Planned"
"24",2023-02-01,"1",9.23203828236764,"General Surgery","Planned"
"25",2023-02-02,"1",9.46871345411825,"General Surgery","Planned"
"26",2023-02-03,"1",10.2982585695245,"General Surgery","Planned"
"27",2023-02-04,"1",10.4833444186258,"General Surgery","Planned"
"28",2023-02-05,"1",10.1126777357392,"General Surgery","Planned"
"29",2023-02-06,"1",10.7887828382287,"General Surgery","Planned"
"30",2023-02-07,"1",11.2131057416027,"General Surgery","Planned"
"31",2023-02-08,"1",11.1812571162957,"General Surgery","Planned"
"32",2023-02-09,"1",11.3089378697851,"General Surgery","Planned"
"33",2023-02-10,"1",10.8789387526502,"General Surgery","Planned"
"34",2023-02-11,"1",10.9012829784239,"General Surgery","Planned"
"35",2023-02-12,"1",10.6530065742812,"General Surgery","Planned"
"36",2023-02-13,"1",10.0338956432711,"General Surgery","Planned"
"37",2023-02-14,"1",9.91205015162199,"General Surgery","Planned"
