"","date",".rep",".sim","speciality","wl_type"
"1",2023-01-09,"1",2.99573643197815,"Gynaecology","Planned"
"2",2023-01-10,"1",2.89380258485844,"Gynaecology","Planned"
"3",2023-01-11,"1",2.8009994293431,"Gynaecology","Planned"
"4",2023-01-12,"1",2.7530650814802,"Gynaecology","Planned"
"5",2023-01-13,"1",2.46101460033293,"Gynaecology","Planned"
"6",2023-01-14,"1",2.05501682610792,"Gynaecology","Planned"
"7",2023-01-15,"1",1.93761827053027,"Gynaecology","Planned"
"8",2023-01-16,"1",2.26359377633881,"Gynaecology","Planned"
"9",2023-01-17,"1",2.0011781172205,"Gynaecology","Planned"
"10",2023-01-18,"1",1.87827379390128,"Gynaecology","Planned"
"11",2023-01-19,"1",1.58975587056938,"Gynaecology","Planned"
"12",2023-01-20,"1",1.27046266459742,"Gynaecology","Planned"
"13",2023-01-21,"1",0,"Gynaecology","Planned"
"14",2023-01-22,"1",0,"Gynaecology","Planned"
"15",2023-01-23,"1",0,"Gynaecology","Planned"
"16",2023-01-24,"1",0,"Gynaecology","Planned"
"17",2023-01-25,"1",0,"Gynaecology","Planned"
"18",2023-01-26,"1",1.0087258733189,"Gynaecology","Planned"
"19",2023-01-27,"1",0,"Gynaecology","Planned"
"20",2023-01-28,"1",0,"Gynaecology","Planned"
"21",2023-01-29,"1",1.09367972301767,"Gynaecology","Planned"
"22",2023-01-30,"1",1.18840372351255,"Gynaecology","Planned"
"23",2023-01-31,"1",1.27148189430448,"Gynaecology","Planned"
"24",2023-02-01,"1",1.35800699980566,"Gynaecology","Planned"
"25",2023-02-02,"1",1.65121393174707,"Gynaecology","Planned"
"26",2023-02-03,"1",1.5191122991735,"Gynaecology","Planned"
"27",2023-02-04,"1",1.43112589648999,"Gynaecology","Planned"
"28",2023-02-05,"1",1.61698160122062,"Gynaecology","Planned"
"29",2023-02-06,"1",1.407090806372,"Gynaecology","Planned"
"30",2023-02-07,"1",1.42889387612089,"Gynaecology","Planned"
"31",2023-02-08,"1",1.44568143601538,"Gynaecology","Planned"
"32",2023-02-09,"1",1.28894630076397,"Gynaecology","Planned"
"33",2023-02-10,"1",0,"Gynaecology","Planned"
"34",2023-02-11,"1",0,"Gynaecology","Planned"
"35",2023-02-12,"1",1.12780899567783,"Gynaecology","Planned"
"36",2023-02-13,"1",1.38457836519477,"Gynaecology","Planned"
"37",2023-02-14,"1",1.1408659759973,"Gynaecology","Planned"
"38",2023-02-15,"1",1.15058542367815,"Gynaecology","Planned"
"39",2023-02-16,"1",0,"Gynaecology","Planned"
"40",2023-02-17,"1",0,"Gynaecology","Planned"
"41",2023-02-18,"1",0,"Gynaecology","Planned"
"42",2023-02-19,"1",0,"Gynaecology","Planned"
"43",2023-02-20,"1",0,"Gynaecology","Planned"
"44",2023-02-21,"1",0,"Gynaecology","Planned"
"45",2023-02-22,"1",0,"Gynaecology","Planned"
"46",2023-02-23,"1",0,"Gynaecology","Planned"
"47",2023-02-24,"1",1.08630959831679,"Gynaecology","Planned"
"48",2023-02-25,"1",1.0952118366934,"Gynaecology","Planned"
"49",2023-02-26,"1",0,"Gynaecology","Planned"
"50",2023-02-27,"1",0,"Gynaecology","Planned"
"51",2023-02-28,"1",0,"Gynaecology","Planned"
"52",2023-03-01,"1",0,"Gynaecology","Planned"
"53",2023-03-02,"1",0,"Gynaecology","Planned"
"54",2023-03-03,"1",0,"Gynaecology","Planned"
"55",2023-03-04,"1",0,"Gynaecology","Planned"
"56",2023-03-05,"1",0,"Gynaecology","Planned"
"57",2023-03-06,"1",0,"Gynaecology","Planned"
"58",2023-03-07,"1",1.04121738860119,"Gynaecology","Planned"
"59",2023-03-08,"1",1.260195114351,"Gynaecology","Planned"
"60",2023-03-09,"1",1.16042924721027,"Gynaecology","Planned"
"61",2023-03-10,"1",1.11713604504511,"Gynaecology","Planned"
"62",2023-03-11,"1",0,"Gynaecology","Planned"
"63",2023-03-12,"1",0,"Gynaecology","Planned"
"64",2023-03-13,"1",0,"Gynaecology","Planned"
"65",2023-03-14,"1",0,"Gynaecology","Planned"
"66",2023-03-15,"1",0,"Gynaecology","Planned"
"67",2023-03-16,"1",0,"Gynaecology","Planned"
"68",2023-03-17,"1",0,"Gynaecology","Planned"
"69",2023-03-18,"1",0,"Gynaecology","Planned"
"70",2023-03-19,"1",0,"Gynaecology","Planned"
"71",2023-03-20,"1",0,"Gynaecology","Planned"
"72",2023-03-21,"1",0,"Gynaecology","Planned"
"73",2023-03-22,"1",0,"Gynaecology","Planned"
"74",2023-03-23,"1",0,"Gynaecology","Planned"
"75",2023-03-24,"1",0,"Gynaecology","Planned"
"76",2023-03-25,"1",0,"Gynaecology","Planned"
"77",2023-03-26,"1",0,"Gynaecology","Planned"
"78",2023-03-27,"1",0,"Gynaecology","Planned"
"79",2023-03-28,"1",0,"Gynaecology","Planned"
"80",2023-03-29,"1",0,"Gynaecology","Planned"
"81",2023-03-30,"1",0,"Gynaecology","Planned"
"82",2023-03-31,"1",0,"Gynaecology","Planned"
"83",2023-04-01,"1",0,"Gynaecology","Planned"
"84",2023-04-02,"1",0,"Gynaecology","Planned"
"85",2023-04-03,"1",0,"Gynaecology","Planned"
"86",2023-04-04,"1",0,"Gynaecology","Planned"
"87",2023-04-05,"1",0,"Gynaecology","Planned"
"88",2023-04-06,"1",0,"Gynaecology","Planned"
"89",2023-04-07,"1",0,"Gynaecology","Planned"
"90",2023-04-08,"1",0,"Gynaecology","Planned"
"91",2023-04-09,"1",0,"Gynaecology","Planned"
"92",2023-04-10,"1",0,"Gynaecology","Planned"
"93",2023-04-11,"1",0,"Gynaecology","Planned"
"94",2023-04-12,"1",0,"Gynaecology","Planned"
