"","date",".rep",".sim","speciality","wl_type"
"1",2023-01-09,"1",28.3030501347088,"Haematology","Planned"
"2",2023-01-10,"1",30.1929247028023,"Haematology","Planned"
"3",2023-01-11,"1",31.116662026511,"Haematology","Planned"
"4",2023-01-12,"1",30.3012504557807,"Haematology","Planned"
"5",2023-01-13,"1",30.3704740688103,"Haematology","Planned"
"6",2023-01-14,"1",31.0110173000316,"Haematology","Planned"
"7",2023-01-15,"1",31.4413764218587,"Haematology","Planned"
"8",2023-01-16,"1",31.6020929797558,"Haematology","Planned"
"9",2023-01-17,"1",31.8442416917902,"Haematology","Planned"
"10",2023-01-18,"1",31.4935702816044,"Haematology","Planned"
"11",2023-01-19,"1",32.8066345394417,"Haematology","Planned"
"12",2023-01-20,"1",31.7960079677006,"Haematology","Planned"
"13",2023-01-21,"1",30.4786060833556,"Haematology","Planned"
"14",2023-01-22,"1",31.655947362563,"Haematology","Planned"
"15",2023-01-23,"1",33.8817939348188,"Haematology","Planned"
"16",2023-01-24,"1",31.9989630116254,"Haematology","Planned"
"17",2023-01-25,"1",31.4541922232879,"Haematology","Planned"
"18",2023-01-26,"1",31.4704351985996,"Haematology","Planned"
"19",2023-01-27,"1",32.0305929085254,"Haematology","Planned"
"20",2023-01-28,"1",31.6107491853039,"Haematology","Planned"
"21",2023-01-29,"1",32.6239269660391,"Haematology","Planned"
"22",2023-01-30,"1",29.0822179774275,"Haematology","Planned"
"23",2023-01-31,"1",29.7061457186435,"Haematology","Planned"
"24",2023-02-01,"1",28.3769092740068,"Haematology","Planned"
"25",2023-02-02,"1",27.7277080752128,"Haematology","Planned"
"26",2023-02-03,"1",27.2223239395895,"Haematology","Planned"
"27",2023-02-04,"1",24.8449566661625,"Haematology","Planned"
"28",2023-02-05,"1",25.2538942961216,"Haematology","Planned"
"29",2023-02-06,"1",23.7728277838203,"Haematology","Planned"
"30",2023-02-07,"1",21.9488526630737,"Haematology","Planned"
"31",2023-02-08,"1",20.0262092263935,"Haematology","Planned"
"32",2023-02-09,"1",21.5862655738892,"Haematology","Planned"
"33",2023-02-10,"1",20.5864843083342,"Haematology","Planned"
"34",2023-02-11,"1",20.1325004212394,"Haematology","Planned"
"35",2023-02-12,"1",20.4027059702859,"Haematology","Planned"
"36",2023-02-13,"1",23.1914838767294,"Haematology","Planned"
"37",2023-02-14,"1",18.9866978420805,"Haematology","Planned"
"38",2023-02-15,"1",18.6719072012304,"Haematology","Planned"
"39",2023-02-16,"1",18.5514594821261,"Haematology","Planned"
"40",2023-02-17,"1",20.3128840788881,"Haematology","Planned"
"41",2023-02-18,"1",16.4654188253712,"Haematology","Planned"
"42",2023-02-19,"1",14.7165882185633,"Haematology","Planned"
"43",2023-02-20,"1",13.1713016149731,"Haematology","Planned"
"44",2023-02-21,"1",12.8644399888434,"Haematology","Planned"
"45",2023-02-22,"1",12.1844480195379,"Haematology","Planned"
"46",2023-02-23,"1",12.0102118207127,"Haematology","Planned"
"47",2023-02-24,"1",11.097077991195,"Haematology","Planned"
"48",2023-02-25,"1",11.8503490139595,"Haematology","Planned"
"49",2023-02-26,"1",13.3170016720567,"Haematology","Planned"
"50",2023-02-27,"1",16.3833613830058,"Haematology","Planned"
"51",2023-02-28,"1",16.8508226559584,"Haematology","Planned"
"52",2023-03-01,"1",17.9876088223874,"Haematology","Planned"
"53",2023-03-02,"1",18.1283833961086,"Haematology","Planned"
"54",2023-03-03,"1",14.3790852366027,"Haematology","Planned"
"55",2023-03-04,"1",12.0786557315312,"Haematology","Planned"
"56",2023-03-05,"1",12.1502229131895,"Haematology","Planned"
"57",2023-03-06,"1",12.1462392235224,"Haematology","Planned"
"58",2023-03-07,"1",9.86141301484104,"Haematology","Planned"
"59",2023-03-08,"1",8.56260748286265,"Haematology","Planned"
"60",2023-03-09,"1",6.43413904326391,"Haematology","Planned"
"61",2023-03-10,"1",8.04754081939001,"Haematology","Planned"
"62",2023-03-11,"1",8.98971184836471,"Haematology","Planned"
"63",2023-03-12,"1",7.89455462522563,"Haematology","Planned"
"64",2023-03-13,"1",6.3957565088805,"Haematology","Planned"
"65",2023-03-14,"1",5.99303522734853,"Haematology","Planned"
"66",2023-03-15,"1",4.84244843588201,"Haematology","Planned"
"67",2023-03-16,"1",5.14735852846179,"Haematology","Planned"
"68",2023-03-17,"1",4.37095006487942,"Haematology","Planned"
"69",2023-03-18,"1",3.46050154437966,"Haematology","Planned"
"70",2023-03-19,"1",2.58754130210148,"Haematology","Planned"
"71",2023-03-20,"1",4.09048094226536,"Haematology","Planned"
"72",2023-03-21,"1",5.08152471315166,"Haematology","Planned"
"73",2023-03-22,"1",5.87881709068526,"Haematology","Planned"
"74",2023-03-23,"1",4.74055827880417,"Haematology","Planned"
"75",2023-03-24,"1",7.0878315745488,"Haematology","Planned"
"76",2023-03-25,"1",6.37121264022373,"Haematology","Planned"
"77",2023-03-26,"1",7.36403054392857,"Haematology","Planned"
"78",2023-03-27,"1",6.55033903985974,"Haematology","Planned"
"79",2023-03-28,"1",7.83590706066442,"Haematology","Planned"
"80",2023-03-29,"1",7.85716218931661,"Haematology","Planned"
"81",2023-03-30,"1",7.11868657201962,"Haematology","Planned"
"82",2023-03-31,"1",5.62808485226422,"Haematology","Planned"
"83",2023-04-01,"1",6.01196934645805,"Haematology","Planned"
"84",2023-04-02,"1",3.52219908002486,"Haematology","Planned"
"85",2023-04-03,"1",3.92872970606567,"Haematology","Planned"
"86",2023-04-04,"1",2.89330862957995,"Haematology","Planned"
"87",2023-04-05,"1",5.25137386463965,"Haematology","Planned"
"88",2023-04-06,"1",6.55860530855665,"Haematology","Planned"
"89",2023-04-07,"1",7.89096000258108,"Haematology","Planned"
"90",2023-04-08,"1",6.72892324723218,"Haematology","Planned"
"91",2023-04-09,"1",8.5485512100478,"Haematology","Planned"
"92",2023-04-10,"1",10.5522519591131,"Haematology","Planned"
"93",2023-04-11,"1",11.5856557639221,"Haematology","Planned"
"94",2023-04-12,"1",11.4940443678871,"Haematology","Planned"
"95",2023-04-13,"1",11.2359132683085,"Haematology","Planned"
"96",2023-04-14,"1",9.96731237026771,"Haematology","Planned"
"97",2023-04-15,"1",9.19867621074371,"Haematology","Planned"
"98",2023-04-16,"1",11.0769959872094,"Haematology","Planned"
"99",2023-04-17,"1",11.702241539341,"Haematology","Planned"
"100",2023-04-18,"1",11.0471726151551,"Haematology","Planned"
"101",2023-04-19,"1",11.0604772580627,"Haematology","Planned"
"102",2023-04-20,"1",12.0251331827695,"Haematology","Planned"
"103",2023-04-21,"1",11.1965476335457,"Haematology","Planned"
"104",2023-04-22,"1",8.42417787059373,"Haematology","Planned"
"105",2023-04-23,"1",7.4515311356631,"Haematology","Planned"
"106",2023-04-24,"1",5.69098843487815,"Haematology","Planned"
"107",2023-04-25,"1",4.44059968054495,"Haematology","Planned"
"108",2023-04-26,"1",2.34408257807994,"Haematology","Planned"
"109",2023-04-27,"1",2.28499704719917,"Haematology","Planned"
"110",2023-04-28,"1",0,"Haematology","Planned"
"111",2023-04-29,"1",0,"Haematology","Planned"
"112",2023-04-30,"1",0,"Haematology","Planned"
"113",2023-05-01,"1",0,"Haematology","Planned"
"114",2023-05-02,"1",0,"Haematology","Planned"
"115",2023-05-03,"1",0,"Haematology","Planned"
"116",2023-05-04,"1",0,"Haematology","Planned"
"117",2023-05-05,"1",0,"Haematology","Planned"
"118",2023-05-06,"1",0,"Haematology","Planned"
"119",2023-05-07,"1",0,"Haematology","Planned"
"120",2023-05-08,"1",0,"Haematology","Planned"
"121",2023-05-09,"1",0,"Haematology","Planned"
"122",2023-05-10,"1",0,"Haematology","Planned"
"123",2023-05-11,"1",0,"Haematology","Planned"
"124",2023-05-12,"1",0,"Haematology","Planned"
"125",2023-05-13,"1",0,"Haematology","Planned"
"126",2023-05-14,"1",0,"Haematology","Planned"
"127",2023-05-15,"1",0,"Haematology","Planned"
"128",2023-05-16,"1",0,"Haematology","Planned"
"129",2023-05-17,"1",0,"Haematology","Planned"
"130",2023-05-18,"1",0,"Haematology","Planned"
"131",2023-05-19,"1",0,"Haematology","Planned"
"132",2023-05-20,"1",0,"Haematology","Planned"
"133",2023-05-21,"1",0,"Haematology","Planned"
"134",2023-05-22,"1",0,"Haematology","Planned"
"135",2023-05-23,"1",0,"Haematology","Planned"
"136",2023-05-24,"1",0,"Haematology","Planned"
"137",2023-05-25,"1",0,"Haematology","Planned"
"138",2023-05-26,"1",0,"Haematology","Planned"
"139",2023-05-27,"1",0,"Haematology","Planned"
"140",2023-05-28,"1",0,"Haematology","Planned"
"141",2023-05-29,"1",0,"Haematology","Planned"
"142",2023-05-30,"1",0,"Haematology","Planned"
"143",2023-05-31,"1",0,"Haematology","Planned"
"144",2023-06-01,"1",0,"Haematology","Planned"
"145",2023-06-02,"1",0,"Haematology","Planned"
"146",2023-06-03,"1",0,"Haematology","Planned"
"147",2023-06-04,"1",0,"Haematology","Planned"
"148",2023-06-05,"1",0,"Haematology","Planned"
"149",2023-06-06,"1",0,"Haematology","Planned"
"150",2023-06-07,"1",0,"Haematology","Planned"
"151",2023-06-08,"1",0,"Haematology","Planned"
"152",2023-06-09,"1",0,"Haematology","Planned"
"153",2023-06-10,"1",0,"Haematology","Planned"
"154",2023-06-11,"1",0,"Haematology","Planned"
"155",2023-06-12,"1",0,"Haematology","Planned"
"156",2023-06-13,"1",0,"Haematology","Planned"
"157",2023-06-14,"1",0,"Haematology","Planned"
"158",2023-06-15,"1",0,"Haematology","Planned"
"159",2023-06-16,"1",0,"Haematology","Planned"
"160",2023-06-17,"1",0,"Haematology","Planned"
"161",2023-06-18,"1",0,"Haematology","Planned"
"162",2023-06-19,"1",0,"Haematology","Planned"
"163",2023-06-20,"1",0,"Haematology","Planned"
"164",2023-06-21,"1",0,"Haematology","Planned"
"165",2023-06-22,"1",0,"Haematology","Planned"
"166",2023-06-23,"1",0,"Haematology","Planned"
"167",2023-06-24,"1",0,"Haematology","Planned"
"168",2023-06-25,"1",0,"Haematology","Planned"
"169",2023-06-26,"1",0,"Haematology","Planned"
"170",2023-06-27,"1",0,"Haematology","Planned"
"171",2023-06-28,"1",0,"Haematology","Planned"
"172",2023-06-29,"1",0,"Haematology","Planned"
"173",2023-06-30,"1",0,"Haematology","Planned"
"174",2023-07-01,"1",0,"Haematology","Planned"
"175",2023-07-02,"1",0,"Haematology","Planned"
"176",2023-07-03,"1",0,"Haematology","Planned"
"177",2023-07-04,"1",0,"Haematology","Planned"
"178",2023-07-05,"1",0,"Haematology","Planned"
"179",2023-07-06,"1",0,"Haematology","Planned"
"180",2023-07-07,"1",0,"Haematology","Planned"
"181",2023-07-08,"1",0,"Haematology","Planned"
"182",2023-07-09,"1",0,"Haematology","Planned"
"183",2023-07-10,"1",0,"Haematology","Planned"
"184",2023-07-11,"1",0,"Haematology","Planned"
"185",2023-07-12,"1",0,"Haematology","Planned"
"186",2023-07-13,"1",0,"Haematology","Planned"
"187",2023-07-14,"1",0,"Haematology","Planned"
"188",2023-07-15,"1",0,"Haematology","Planned"
"189",2023-07-16,"1",0,"Haematology","Planned"
"190",2023-07-17,"1",0,"Haematology","Planned"
"191",2023-07-18,"1",0,"Haematology","Planned"
"192",2023-07-19,"1",0,"Haematology","Planned"
"193",2023-07-20,"1",0,"Haematology","Planned"
"194",2023-07-21,"1",0,"Haematology","Planned"
"195",2023-07-22,"1",0,"Haematology","Planned"
"196",2023-07-23,"1",0,"Haematology","Planned"
"197",2023-07-24,"1",0,"Haematology","Planned"
"198",2023-07-25,"1",0,"Haematology","Planned"
"199",2023-07-26,"1",0,"Haematology","Planned"
"200",2023-07-27,"1",0,"Haematology","Planned"
"201",2023-07-28,"1",0,"Haematology","Planned"
"202",2023-07-29,"1",0,"Haematology","Planned"
"203",2023-07-30,"1",0,"Haematology","Planned"
"204",2023-07-31,"1",0,"Haematology","Planned"
"205",2023-08-01,"1",0,"Haematology","Planned"
"206",2023-08-02,"1",0,"Haematology","Planned"
"207",2023-08-03,"1",0,"Haematology","Planned"
"208",2023-08-04,"1",0,"Haematology","Planned"
"209",2023-08-05,"1",0,"Haematology","Planned"
"210",2023-08-06,"1",0,"Haematology","Planned"
"211",2023-08-07,"1",0,"Haematology","Planned"
"212",2023-08-08,"1",0,"Haematology","Planned"
"213",2023-08-09,"1",2.52626699851466,"Haematology","Planned"
"214",2023-08-10,"1",3.82295443178242,"Haematology","Planned"
"215",2023-08-11,"1",3.33091517834271,"Haematology","Planned"
"216",2023-08-12,"1",2.90779912516282,"Haematology","Planned"
"217",2023-08-13,"1",2.93555263300153,"Haematology","Planned"
"218",2023-08-14,"1",3.71047035314039,"Haematology","Planned"
"219",2023-08-15,"1",3.70048157632713,"Haematology","Planned"
"220",2023-08-16,"1",4.03414995778419,"Haematology","Planned"
"221",2023-08-17,"1",5.72088157200559,"Haematology","Planned"
"222",2023-08-18,"1",9.19980849847983,"Haematology","Planned"
"223",2023-08-19,"1",9.29191852351111,"Haematology","Planned"
"224",2023-08-20,"1",13.2552482516134,"Haematology","Planned"
"225",2023-08-21,"1",17.3061429500409,"Haematology","Planned"
"226",2023-08-22,"1",19.0602173862979,"Haematology","Planned"
"227",2023-08-23,"1",21.0173229397641,"Haematology","Planned"
"228",2023-08-24,"1",21.6284106580963,"Haematology","Planned"
"229",2023-08-25,"1",23.4315733785254,"Haematology","Planned"
"230",2023-08-26,"1",24.1253129237369,"Haematology","Planned"
"231",2023-08-27,"1",26.0746179524768,"Haematology","Planned"
"232",2023-08-28,"1",25.1368862314432,"Haematology","Planned"
"233",2023-08-29,"1",24.5441556845591,"Haematology","Planned"
"234",2023-08-30,"1",25.0891970139758,"Haematology","Planned"
"235",2023-08-31,"1",25.1164930899651,"Haematology","Planned"
"236",2023-09-01,"1",24.2766063599656,"Haematology","Planned"
"237",2023-09-02,"1",22.4896519796798,"Haematology","Planned"
"238",2023-09-03,"1",21.6535105047699,"Haematology","Planned"
"239",2023-09-04,"1",23.4024841341028,"Haematology","Planned"
"240",2023-09-05,"1",23.1961099880644,"Haematology","Planned"
"241",2023-09-06,"1",23.2388865620064,"Haematology","Planned"
"242",2023-09-07,"1",23.3077965945106,"Haematology","Planned"
"243",2023-09-08,"1",25.6705619085334,"Haematology","Planned"
"244",2023-09-09,"1",24.3759277385713,"Haematology","Planned"
"245",2023-09-10,"1",26.3321238881833,"Haematology","Planned"
"246",2023-09-11,"1",28.5618712910845,"Haematology","Planned"
"247",2023-09-12,"1",30.3100522254817,"Haematology","Planned"
"248",2023-09-13,"1",28.7212455604748,"Haematology","Planned"
"249",2023-09-14,"1",31.7862520453946,"Haematology","Planned"
"250",2023-09-15,"1",32.7686561993359,"Haematology","Planned"
"251",2023-09-16,"1",32.0439424728668,"Haematology","Planned"
"252",2023-09-17,"1",32.0124259711046,"Haematology","Planned"
"253",2023-09-18,"1",35.2200990588597,"Haematology","Planned"
"254",2023-09-19,"1",36.1806013291768,"Haematology","Planned"
"255",2023-09-20,"1",38.3409809033335,"Haematology","Planned"
"256",2023-09-21,"1",39.6790962864704,"Haematology","Planned"
"257",2023-09-22,"1",41.307795402846,"Haematology","Planned"
"258",2023-09-23,"1",41.9425973673024,"Haematology","Planned"
"259",2023-09-24,"1",39.9451465095358,"Haematology","Planned"
"260",2023-09-25,"1",39.455556791426,"Haematology","Planned"
"261",2023-09-26,"1",38.322424104084,"Haematology","Planned"
"262",2023-09-27,"1",39.186994970419,"Haematology","Planned"
"263",2023-09-28,"1",38.5114802483903,"Haematology","Planned"
"264",2023-09-29,"1",39.6511617779471,"Haematology","Planned"
"265",2023-09-30,"1",38.8694291235004,"Haematology","Planned"
"266",2023-10-01,"1",37.2990186672527,"Haematology","Planned"
"267",2023-10-02,"1",36.0205479491541,"Haematology","Planned"
"268",2023-10-03,"1",36.4404650889433,"Haematology","Planned"
"269",2023-10-04,"1",36.9230883245459,"Haematology","Planned"
"270",2023-10-05,"1",37.3280469869965,"Haematology","Planned"
"271",2023-10-06,"1",38.1808644820052,"Haematology","Planned"
"272",2023-10-07,"1",37.0892847931066,"Haematology","Planned"
"273",2023-10-08,"1",37.7195845599712,"Haematology","Planned"
"274",2023-10-09,"1",38.5531914594441,"Haematology","Planned"
"275",2023-10-10,"1",38.594603979395,"Haematology","Planned"
"276",2023-10-11,"1",37.6911565161267,"Haematology","Planned"
"277",2023-10-12,"1",36.9125154691581,"Haematology","Planned"
"278",2023-10-13,"1",38.1314449988211,"Haematology","Planned"
"279",2023-10-14,"1",36.8877564480173,"Haematology","Planned"
"280",2023-10-15,"1",36.548562039665,"Haematology","Planned"
"281",2023-10-16,"1",38.3891462069978,"Haematology","Planned"
"282",2023-10-17,"1",37.6398382325421,"Haematology","Planned"
"283",2023-10-18,"1",35.9668068521126,"Haematology","Planned"
"284",2023-10-19,"1",35.1135284304795,"Haematology","Planned"
"285",2023-10-20,"1",39.6294077188643,"Haematology","Planned"
"286",2023-10-21,"1",42.323932113681,"Haematology","Planned"
"287",2023-10-22,"1",42.5999567263729,"Haematology","Planned"
"288",2023-10-23,"1",44.3667410379485,"Haematology","Planned"
"289",2023-10-24,"1",47.5142424797371,"Haematology","Planned"
"290",2023-10-25,"1",47.7251583154944,"Haematology","Planned"
"291",2023-10-26,"1",46.259459309405,"Haematology","Planned"
"292",2023-10-27,"1",48.2542579191159,"Haematology","Planned"
"293",2023-10-28,"1",48.1027981359703,"Haematology","Planned"
"294",2023-10-29,"1",48.6160781182508,"Haematology","Planned"
"295",2023-10-30,"1",51.0432202613261,"Haematology","Planned"
"296",2023-10-31,"1",51.5792326168671,"Haematology","Planned"
"297",2023-11-01,"1",50.595320580416,"Haematology","Planned"
"298",2023-11-02,"1",54.2178184294682,"Haematology","Planned"
"299",2023-11-03,"1",57.3292117165085,"Haematology","Planned"
"300",2023-11-04,"1",54.7279930473392,"Haematology","Planned"
"301",2023-11-05,"1",53.4212682790616,"Haematology","Planned"
"302",2023-11-06,"1",53.7697857984133,"Haematology","Planned"
"303",2023-11-07,"1",52.9394267351289,"Haematology","Planned"
"304",2023-11-08,"1",49.7290789330206,"Haematology","Planned"
"305",2023-11-09,"1",49.2902334330435,"Haematology","Planned"
"306",2023-11-10,"1",46.3078946422276,"Haematology","Planned"
"307",2023-11-11,"1",46.3944002830225,"Haematology","Planned"
"308",2023-11-12,"1",47.0862826089644,"Haematology","Planned"
"309",2023-11-13,"1",47.076637102398,"Haematology","Planned"
"310",2023-11-14,"1",46.8964450691692,"Haematology","Planned"
"311",2023-11-15,"1",47.6414921473022,"Haematology","Planned"
"312",2023-11-16,"1",50.7049774039669,"Haematology","Planned"
"313",2023-11-17,"1",52.2197038249056,"Haematology","Planned"
"314",2023-11-18,"1",52.2305027708015,"Haematology","Planned"
"315",2023-11-19,"1",53.1991965330257,"Haematology","Planned"
"316",2023-11-20,"1",53.844353017444,"Haematology","Planned"
"317",2023-11-21,"1",56.337174642531,"Haematology","Planned"
"318",2023-11-22,"1",58.1922460726087,"Haematology","Planned"
"319",2023-11-23,"1",58.4573199634675,"Haematology","Planned"
"320",2023-11-24,"1",61.3819018219519,"Haematology","Planned"
"321",2023-11-25,"1",63.1409214470728,"Haematology","Planned"
"322",2023-11-26,"1",62.0404532849103,"Haematology","Planned"
