"","date",".rep",".sim","speciality","wl_type"
"1",2023-01-09,"1",1.93806192043923,"Oral Surgery","Planned"
"2",2023-01-10,"1",2.06065875555375,"Oral Surgery","Planned"
"3",2023-01-11,"1",1.7137231143386,"Oral Surgery","Planned"
"4",2023-01-12,"1",1.97679187806576,"Oral Surgery","Planned"
"5",2023-01-13,"1",1.77579145427387,"Oral Surgery","Planned"
"6",2023-01-14,"1",1.77819873752561,"Oral Surgery","Planned"
"7",2023-01-15,"1",1.57600965225122,"Oral Surgery","Planned"
"8",2023-01-16,"1",1.50347108796658,"Oral Surgery","Planned"
"9",2023-01-17,"1",1.22567128190131,"Oral Surgery","Planned"
"10",2023-01-18,"1",0,"Oral Surgery","Planned"
"11",2023-01-19,"1",0,"Oral Surgery","Planned"
"12",2023-01-20,"1",0,"Oral Surgery","Planned"
"13",2023-01-21,"1",0,"Oral Surgery","Planned"
"14",2023-01-22,"1",0,"Oral Surgery","Planned"
"15",2023-01-23,"1",0,"Oral Surgery","Planned"
"16",2023-01-24,"1",0,"Oral Surgery","Planned"
"17",2023-01-25,"1",0,"Oral Surgery","Planned"
"18",2023-01-26,"1",0,"Oral Surgery","Planned"
"19",2023-01-27,"1",0,"Oral Surgery","Planned"
"20",2023-01-28,"1",0,"Oral Surgery","Planned"
"21",2023-01-29,"1",0,"Oral Surgery","Planned"
"22",2023-01-30,"1",0,"Oral Surgery","Planned"
"23",2023-01-31,"1",0,"Oral Surgery","Planned"
"24",2023-02-01,"1",0,"Oral Surgery","Planned"
"25",2023-02-02,"1",0,"Oral Surgery","Planned"
"26",2023-02-03,"1",0,"Oral Surgery","Planned"
"27",2023-02-04,"1",0,"Oral Surgery","Planned"
"28",2023-02-05,"1",0,"Oral Surgery","Planned"
"29",2023-02-06,"1",0,"Oral Surgery","Planned"
"30",2023-02-07,"1",0,"Oral Surgery","Planned"
"31",2023-02-08,"1",0,"Oral Surgery","Planned"
"32",2023-02-09,"1",0,"Oral Surgery","Planned"
"33",2023-02-10,"1",0,"Oral Surgery","Planned"
"34",2023-02-11,"1",0,"Oral Surgery","Planned"
"35",2023-02-12,"1",0,"Oral Surgery","Planned"
"36",2023-02-13,"1",0,"Oral Surgery","Planned"
"37",2023-02-14,"1",0,"Oral Surgery","Planned"
"38",2023-02-15,"1",0,"Oral Surgery","Planned"
"39",2023-02-16,"1",0,"Oral Surgery","Planned"
"40",2023-02-17,"1",0,"Oral Surgery","Planned"
"41",2023-02-18,"1",0,"Oral Surgery","Planned"
"42",2023-02-19,"1",0,"Oral Surgery","Planned"
"43",2023-02-20,"1",0,"Oral Surgery","Planned"
"44",2023-02-21,"1",0,"Oral Surgery","Planned"
"45",2023-02-22,"1",0,"Oral Surgery","Planned"
"46",2023-02-23,"1",0,"Oral Surgery","Planned"
"47",2023-02-24,"1",0,"Oral Surgery","Planned"
"48",2023-02-25,"1",0,"Oral Surgery","Planned"
"49",2023-02-26,"1",0,"Oral Surgery","Planned"
"50",2023-02-27,"1",0,"Oral Surgery","Planned"
"51",2023-02-28,"1",0,"Oral Surgery","Planned"
"52",2023-03-01,"1",0,"Oral Surgery","Planned"
"53",2023-03-02,"1",0,"Oral Surgery","Planned"
"54",2023-03-03,"1",0,"Oral Surgery","Planned"
"55",2023-03-04,"1",0,"Oral Surgery","Planned"
"56",2023-03-05,"1",0,"Oral Surgery","Planned"
"57",2023-03-06,"1",0,"Oral Surgery","Planned"
"58",2023-03-07,"1",0,"Oral Surgery","Planned"
"59",2023-03-08,"1",0,"Oral Surgery","Planned"
"60",2023-03-09,"1",0,"Oral Surgery","Planned"
"61",2023-03-10,"1",0,"Oral Surgery","Planned"
"62",2023-03-11,"1",0,"Oral Surgery","Planned"
"63",2023-03-12,"1",0,"Oral Surgery","Planned"
"64",2023-03-13,"1",0,"Oral Surgery","Planned"
"65",2023-03-14,"1",0,"Oral Surgery","Planned"
"66",2023-03-15,"1",0,"Oral Surgery","Planned"
"67",2023-03-16,"1",0,"Oral Surgery","Planned"
"68",2023-03-17,"1",0,"Oral Surgery","Planned"
