"","date",".rep",".sim","speciality","wl_type"
"1",2023-01-09,"1",0,"Paediatric Dentistry","Planned"
"2",2023-01-10,"1",1.067627624026,"Paediatric Dentistry","Planned"
"3",2023-01-11,"1",0,"Paediatric Dentistry","Planned"
"4",2023-01-12,"1",1.29454060278731,"Paediatric Dentistry","Planned"
"5",2023-01-13,"1",0,"Paediatric Dentistry","Planned"
"6",2023-01-14,"1",0,"Paediatric Dentistry","Planned"
"7",2023-01-15,"1",0,"Paediatric Dentistry","Planned"
"8",2023-01-16,"1",0,"Paediatric Dentistry","Planned"
"9",2023-01-17,"1",0,"Paediatric Dentistry","Planned"
"10",2023-01-18,"1",0,"Paediatric Dentistry","Planned"
"11",2023-01-19,"1",0,"Paediatric Dentistry","Planned"
"12",2023-01-20,"1",0,"Paediatric Dentistry","Planned"
"13",2023-01-21,"1",0,"Paediatric Dentistry","Planned"
"14",2023-01-22,"1",0,"Paediatric Dentistry","Planned"
"15",2023-01-23,"1",0,"Paediatric Dentistry","Planned"
"16",2023-01-24,"1",0,"Paediatric Dentistry","Planned"
"17",2023-01-25,"1",0,"Paediatric Dentistry","Planned"
"18",2023-01-26,"1",0,"Paediatric Dentistry","Planned"
"19",2023-01-27,"1",0,"Paediatric Dentistry","Planned"
"20",2023-01-28,"1",0,"Paediatric Dentistry","Planned"
"21",2023-01-29,"1",0,"Paediatric Dentistry","Planned"
"22",2023-01-30,"1",0,"Paediatric Dentistry","Planned"
"23",2023-01-31,"1",0,"Paediatric Dentistry","Planned"
"24",2023-02-01,"1",0,"Paediatric Dentistry","Planned"
"25",2023-02-02,"1",0,"Paediatric Dentistry","Planned"
"26",2023-02-03,"1",0,"Paediatric Dentistry","Planned"
"27",2023-02-04,"1",0,"Paediatric Dentistry","Planned"
"28",2023-02-05,"1",0,"Paediatric Dentistry","Planned"
"29",2023-02-06,"1",0,"Paediatric Dentistry","Planned"
"30",2023-02-07,"1",0,"Paediatric Dentistry","Planned"
"31",2023-02-08,"1",0,"Paediatric Dentistry","Planned"
"32",2023-02-09,"1",0,"Paediatric Dentistry","Planned"
"33",2023-02-10,"1",0,"Paediatric Dentistry","Planned"
"34",2023-02-11,"1",0,"Paediatric Dentistry","Planned"
"35",2023-02-12,"1",0,"Paediatric Dentistry","Planned"
"36",2023-02-13,"1",0,"Paediatric Dentistry","Planned"
"37",2023-02-14,"1",0,"Paediatric Dentistry","Planned"
"38",2023-02-15,"1",0,"Paediatric Dentistry","Planned"
"39",2023-02-16,"1",0,"Paediatric Dentistry","Planned"
"40",2023-02-17,"1",0,"Paediatric Dentistry","Planned"
"41",2023-02-18,"1",0,"Paediatric Dentistry","Planned"
"42",2023-02-19,"1",0,"Paediatric Dentistry","Planned"
"43",2023-02-20,"1",0,"Paediatric Dentistry","Planned"
"44",2023-02-21,"1",0,"Paediatric Dentistry","Planned"
"45",2023-02-22,"1",0,"Paediatric Dentistry","Planned"
"46",2023-02-23,"1",0,"Paediatric Dentistry","Planned"
"47",2023-02-24,"1",0,"Paediatric Dentistry","Planned"
"48",2023-02-25,"1",0,"Paediatric Dentistry","Planned"
"49",2023-02-26,"1",0,"Paediatric Dentistry","Planned"
"50",2023-02-27,"1",0,"Paediatric Dentistry","Planned"
"51",2023-02-28,"1",0,"Paediatric Dentistry","Planned"
"52",2023-03-01,"1",0,"Paediatric Dentistry","Planned"
"53",2023-03-02,"1",0,"Paediatric Dentistry","Planned"
"54",2023-03-03,"1",0,"Paediatric Dentistry","Planned"
"55",2023-03-04,"1",0,"Paediatric Dentistry","Planned"
"56",2023-03-05,"1",1.04786525652184,"Paediatric Dentistry","Planned"
"57",2023-03-06,"1",1.05635808999997,"Paediatric Dentistry","Planned"
"58",2023-03-07,"1",1.0073820700498,"Paediatric Dentistry","Planned"
"59",2023-03-08,"1",1.63783990833488,"Paediatric Dentistry","Planned"
"60",2023-03-09,"1",1.10882105167175,"Paediatric Dentistry","Planned"
"61",2023-03-10,"1",2.08472955068395,"Paediatric Dentistry","Planned"
"62",2023-03-11,"1",2.08338304243499,"Paediatric Dentistry","Planned"
"63",2023-03-12,"1",1.80121976700318,"Paediatric Dentistry","Planned"
"64",2023-03-13,"1",1.67948539663255,"Paediatric Dentistry","Planned"
"65",2023-03-14,"1",1.79391782185941,"Paediatric Dentistry","Planned"
"66",2023-03-15,"1",2.02986704191876,"Paediatric Dentistry","Planned"
"67",2023-03-16,"1",1.90318192612225,"Paediatric Dentistry","Planned"
"68",2023-03-17,"1",1.95748833799904,"Paediatric Dentistry","Planned"
"69",2023-03-18,"1",3.07949980129568,"Paediatric Dentistry","Planned"
"70",2023-03-19,"1",3.13792294684171,"Paediatric Dentistry","Planned"
"71",2023-03-20,"1",3.16752671180827,"Paediatric Dentistry","Planned"
"72",2023-03-21,"1",3.38299302454514,"Paediatric Dentistry","Planned"
"73",2023-03-22,"1",3.67607146167803,"Paediatric Dentistry","Planned"
"74",2023-03-23,"1",4.0363726965625,"Paediatric Dentistry","Planned"
"75",2023-03-24,"1",4.41212185457079,"Paediatric Dentistry","Planned"
"76",2023-03-25,"1",3.30529898156227,"Paediatric Dentistry","Planned"
"77",2023-03-26,"1",2.73369468937856,"Paediatric Dentistry","Planned"
"78",2023-03-27,"1",3.50311909210405,"Paediatric Dentistry","Planned"
"79",2023-03-28,"1",3.86146330574918,"Paediatric Dentistry","Planned"
"80",2023-03-29,"1",3.89701888386294,"Paediatric Dentistry","Planned"
"81",2023-03-30,"1",3.09887664249926,"Paediatric Dentistry","Planned"
"82",2023-03-31,"1",3.28151517638672,"Paediatric Dentistry","Planned"
"83",2023-04-01,"1",3.5057735699445,"Paediatric Dentistry","Planned"
"84",2023-04-02,"1",3.81876440131045,"Paediatric Dentistry","Planned"
"85",2023-04-03,"1",3.52633166475625,"Paediatric Dentistry","Planned"
"86",2023-04-04,"1",3.74707401348417,"Paediatric Dentistry","Planned"
"87",2023-04-05,"1",3.74454066266052,"Paediatric Dentistry","Planned"
"88",2023-04-06,"1",4.21031934533162,"Paediatric Dentistry","Planned"
"89",2023-04-07,"1",3.74410051337504,"Paediatric Dentistry","Planned"
"90",2023-04-08,"1",3.73214722335932,"Paediatric Dentistry","Planned"
"91",2023-04-09,"1",3.75821497000251,"Paediatric Dentistry","Planned"
"92",2023-04-10,"1",3.48782400686343,"Paediatric Dentistry","Planned"
"93",2023-04-11,"1",4.07997794971814,"Paediatric Dentistry","Planned"
"94",2023-04-12,"1",4.22438971535635,"Paediatric Dentistry","Planned"
"95",2023-04-13,"1",3.58644869728349,"Paediatric Dentistry","Planned"
"96",2023-04-14,"1",3.43406676244303,"Paediatric Dentistry","Planned"
"97",2023-04-15,"1",3.22587045800619,"Paediatric Dentistry","Planned"
"98",2023-04-16,"1",3.57215198913162,"Paediatric Dentistry","Planned"
"99",2023-04-17,"1",3.85320699087862,"Paediatric Dentistry","Planned"
"100",2023-04-18,"1",4.66846927138976,"Paediatric Dentistry","Planned"
"101",2023-04-19,"1",4.59652116202314,"Paediatric Dentistry","Planned"
"102",2023-04-20,"1",4.47028976773969,"Paediatric Dentistry","Planned"
"103",2023-04-21,"1",4.46877349049164,"Paediatric Dentistry","Planned"
"104",2023-04-22,"1",4.0296760200978,"Paediatric Dentistry","Planned"
"105",2023-04-23,"1",4.21922123509501,"Paediatric Dentistry","Planned"
"106",2023-04-24,"1",4.27289442990728,"Paediatric Dentistry","Planned"
"107",2023-04-25,"1",3.90804974783912,"Paediatric Dentistry","Planned"
"108",2023-04-26,"1",3.92793561488131,"Paediatric Dentistry","Planned"
"109",2023-04-27,"1",3.71382613526312,"Paediatric Dentistry","Planned"
"110",2023-04-28,"1",3.30977779340425,"Paediatric Dentistry","Planned"
"111",2023-04-29,"1",3.17117397791341,"Paediatric Dentistry","Planned"
"112",2023-04-30,"1",2.76417092713348,"Paediatric Dentistry","Planned"
"113",2023-05-01,"1",2.79980771822225,"Paediatric Dentistry","Planned"
"114",2023-05-02,"1",2.90411120946228,"Paediatric Dentistry","Planned"
"115",2023-05-03,"1",3.18683796345001,"Paediatric Dentistry","Planned"
"116",2023-05-04,"1",3.04042820417946,"Paediatric Dentistry","Planned"
"117",2023-05-05,"1",3.24623889104513,"Paediatric Dentistry","Planned"
"118",2023-05-06,"1",3.85128567536481,"Paediatric Dentistry","Planned"
"119",2023-05-07,"1",3.63059872119084,"Paediatric Dentistry","Planned"
"120",2023-05-08,"1",4.18740758985552,"Paediatric Dentistry","Planned"
"121",2023-05-09,"1",3.65964326769009,"Paediatric Dentistry","Planned"
"122",2023-05-10,"1",3.92837989162358,"Paediatric Dentistry","Planned"
"123",2023-05-11,"1",3.50190038058784,"Paediatric Dentistry","Planned"
"124",2023-05-12,"1",4.13490098317126,"Paediatric Dentistry","Planned"
"125",2023-05-13,"1",4.08045346357218,"Paediatric Dentistry","Planned"
"126",2023-05-14,"1",3.70855907173562,"Paediatric Dentistry","Planned"
"127",2023-05-15,"1",3.65889747723421,"Paediatric Dentistry","Planned"
"128",2023-05-16,"1",3.31829497273144,"Paediatric Dentistry","Planned"
"129",2023-05-17,"1",4.12432813161998,"Paediatric Dentistry","Planned"
"130",2023-05-18,"1",3.3129763684872,"Paediatric Dentistry","Planned"
"131",2023-05-19,"1",3.79873907153936,"Paediatric Dentistry","Planned"
"132",2023-05-20,"1",3.35386226294525,"Paediatric Dentistry","Planned"
"133",2023-05-21,"1",3.1154088371816,"Paediatric Dentistry","Planned"
