"","date",".rep",".sim","speciality","wl_type"
"1",2023-01-09,"1",151.123979620666,"Pain Management","Planned"
"2",2023-01-10,"1",150.427562745694,"Pain Management","Planned"
"3",2023-01-11,"1",149.95961263672,"Pain Management","Planned"
"4",2023-01-12,"1",148.5670289251,"Pain Management","Planned"
"5",2023-01-13,"1",148.232053511862,"Pain Management","Planned"
"6",2023-01-14,"1",146.766742531506,"Pain Management","Planned"
"7",2023-01-15,"1",145.761593564348,"Pain Management","Planned"
"8",2023-01-16,"1",147.253169915865,"Pain Management","Planned"
"9",2023-01-17,"1",147.043790962255,"Pain Management","Planned"
"10",2023-01-18,"1",149.077035096357,"Pain Management","Planned"
"11",2023-01-19,"1",149.648909668593,"Pain Management","Planned"
"12",2023-01-20,"1",149.704445532374,"Pain Management","Planned"
"13",2023-01-21,"1",149.148280675715,"Pain Management","Planned"
"14",2023-01-22,"1",149.705195406436,"Pain Management","Planned"
"15",2023-01-23,"1",149.484536992608,"Pain Management","Planned"
"16",2023-01-24,"1",147.805990052633,"Pain Management","Planned"
"17",2023-01-25,"1",149.511439716702,"Pain Management","Planned"
"18",2023-01-26,"1",147.265111298615,"Pain Management","Planned"
"19",2023-01-27,"1",146.520857279644,"Pain Management","Planned"
"20",2023-01-28,"1",146.182885847199,"Pain Management","Planned"
"21",2023-01-29,"1",143.826412713899,"Pain Management","Planned"
"22",2023-01-30,"1",143.910288789103,"Pain Management","Planned"
"23",2023-01-31,"1",142.608101297183,"Pain Management","Planned"
"24",2023-02-01,"1",144.314476008565,"Pain Management","Planned"
"25",2023-02-02,"1",144.339518757476,"Pain Management","Planned"
"26",2023-02-03,"1",144.121880749426,"Pain Management","Planned"
"27",2023-02-04,"1",143.759063203455,"Pain Management","Planned"
"28",2023-02-05,"1",142.674026976514,"Pain Management","Planned"
"29",2023-02-06,"1",143.925637941387,"Pain Management","Planned"
"30",2023-02-07,"1",143.387015409394,"Pain Management","Planned"
"31",2023-02-08,"1",143.971344120294,"Pain Management","Planned"
"32",2023-02-09,"1",142.876376901053,"Pain Management","Planned"
"33",2023-02-10,"1",139.969143751766,"Pain Management","Planned"
"34",2023-02-11,"1",141.346940044584,"Pain Management","Planned"
"35",2023-02-12,"1",138.877894824558,"Pain Management","Planned"
"36",2023-02-13,"1",141.725290320137,"Pain Management","Planned"
"37",2023-02-14,"1",141.222610314368,"Pain Management","Planned"
"38",2023-02-15,"1",141.773233902844,"Pain Management","Planned"
"39",2023-02-16,"1",140.648365439884,"Pain Management","Planned"
"40",2023-02-17,"1",141.498528295566,"Pain Management","Planned"
"41",2023-02-18,"1",142.444141776415,"Pain Management","Planned"
"42",2023-02-19,"1",140.853945282413,"Pain Management","Planned"
"43",2023-02-20,"1",141.958776712451,"Pain Management","Planned"
"44",2023-02-21,"1",142.057853102744,"Pain Management","Planned"
"45",2023-02-22,"1",144.747196047833,"Pain Management","Planned"
"46",2023-02-23,"1",143.629728300973,"Pain Management","Planned"
"47",2023-02-24,"1",141.610343627138,"Pain Management","Planned"
"48",2023-02-25,"1",140.406797988266,"Pain Management","Planned"
"49",2023-02-26,"1",140.700877785496,"Pain Management","Planned"
"50",2023-02-27,"1",141.139636744944,"Pain Management","Planned"
"51",2023-02-28,"1",140.353690545776,"Pain Management","Planned"
"52",2023-03-01,"1",141.31929348572,"Pain Management","Planned"
"53",2023-03-02,"1",141.66042271496,"Pain Management","Planned"
"54",2023-03-03,"1",140.876529075057,"Pain Management","Planned"
"55",2023-03-04,"1",139.015923741264,"Pain Management","Planned"
"56",2023-03-05,"1",138.624846523868,"Pain Management","Planned"
"57",2023-03-06,"1",137.923561496553,"Pain Management","Planned"
"58",2023-03-07,"1",135.58165280054,"Pain Management","Planned"
"59",2023-03-08,"1",135.640820161648,"Pain Management","Planned"
"60",2023-03-09,"1",134.94372228156,"Pain Management","Planned"
"61",2023-03-10,"1",134.881937335982,"Pain Management","Planned"
"62",2023-03-11,"1",134.91386511584,"Pain Management","Planned"
"63",2023-03-12,"1",136.125125578542,"Pain Management","Planned"
"64",2023-03-13,"1",134.101876236923,"Pain Management","Planned"
"65",2023-03-14,"1",133.4889325336,"Pain Management","Planned"
"66",2023-03-15,"1",134.183885932146,"Pain Management","Planned"
"67",2023-03-16,"1",132.708195419987,"Pain Management","Planned"
"68",2023-03-17,"1",133.066568778664,"Pain Management","Planned"
"69",2023-03-18,"1",132.179424704951,"Pain Management","Planned"
"70",2023-03-19,"1",131.983987241723,"Pain Management","Planned"
"71",2023-03-20,"1",133.726993996938,"Pain Management","Planned"
"72",2023-03-21,"1",133.041011633983,"Pain Management","Planned"
"73",2023-03-22,"1",134.030885643592,"Pain Management","Planned"
"74",2023-03-23,"1",134.928607968566,"Pain Management","Planned"
"75",2023-03-24,"1",133.974864315471,"Pain Management","Planned"
"76",2023-03-25,"1",134.704523161588,"Pain Management","Planned"
"77",2023-03-26,"1",135.711590442089,"Pain Management","Planned"
"78",2023-03-27,"1",134.625301614283,"Pain Management","Planned"
"79",2023-03-28,"1",135.175637053765,"Pain Management","Planned"
"80",2023-03-29,"1",135.438815870321,"Pain Management","Planned"
"81",2023-03-30,"1",136.50807158417,"Pain Management","Planned"
"82",2023-03-31,"1",133.661484583536,"Pain Management","Planned"
"83",2023-04-01,"1",132.871620406914,"Pain Management","Planned"
"84",2023-04-02,"1",133.813285942853,"Pain Management","Planned"
"85",2023-04-03,"1",132.753361447938,"Pain Management","Planned"
"86",2023-04-04,"1",134.18700830887,"Pain Management","Planned"
"87",2023-04-05,"1",134.859031932467,"Pain Management","Planned"
"88",2023-04-06,"1",134.128115997528,"Pain Management","Planned"
"89",2023-04-07,"1",133.249801715263,"Pain Management","Planned"
"90",2023-04-08,"1",133.425671501562,"Pain Management","Planned"
"91",2023-04-09,"1",135.165344157405,"Pain Management","Planned"
"92",2023-04-10,"1",135.8226822831,"Pain Management","Planned"
"93",2023-04-11,"1",136.471074088897,"Pain Management","Planned"
"94",2023-04-12,"1",136.561630096587,"Pain Management","Planned"
"95",2023-04-13,"1",137.096594232614,"Pain Management","Planned"
"96",2023-04-14,"1",136.937156570809,"Pain Management","Planned"
"97",2023-04-15,"1",136.227422187945,"Pain Management","Planned"
"98",2023-04-16,"1",137.983777721426,"Pain Management","Planned"
"99",2023-04-17,"1",137.180510036584,"Pain Management","Planned"
"100",2023-04-18,"1",136.854304445033,"Pain Management","Planned"
"101",2023-04-19,"1",138.421807468883,"Pain Management","Planned"
"102",2023-04-20,"1",138.291007313438,"Pain Management","Planned"
"103",2023-04-21,"1",137.243786988557,"Pain Management","Planned"
"104",2023-04-22,"1",136.175206355568,"Pain Management","Planned"
"105",2023-04-23,"1",134.472029064551,"Pain Management","Planned"
"106",2023-04-24,"1",135.286697153462,"Pain Management","Planned"
"107",2023-04-25,"1",135.756222595872,"Pain Management","Planned"
"108",2023-04-26,"1",137.617010556283,"Pain Management","Planned"
"109",2023-04-27,"1",139.290537199333,"Pain Management","Planned"
"110",2023-04-28,"1",139.074687857152,"Pain Management","Planned"
"111",2023-04-29,"1",138.440499992316,"Pain Management","Planned"
"112",2023-04-30,"1",138.729615951126,"Pain Management","Planned"
"113",2023-05-01,"1",141.522847222561,"Pain Management","Planned"
"114",2023-05-02,"1",141.674363829402,"Pain Management","Planned"
"115",2023-05-03,"1",142.817071111503,"Pain Management","Planned"
"116",2023-05-04,"1",143.566275258888,"Pain Management","Planned"
"117",2023-05-05,"1",142.325122776429,"Pain Management","Planned"
"118",2023-05-06,"1",143.138795124548,"Pain Management","Planned"
"119",2023-05-07,"1",140.500404416379,"Pain Management","Planned"
"120",2023-05-08,"1",142.008328743515,"Pain Management","Planned"
"121",2023-05-09,"1",142.795389973018,"Pain Management","Planned"
"122",2023-05-10,"1",143.874148326276,"Pain Management","Planned"
"123",2023-05-11,"1",143.088810590175,"Pain Management","Planned"
"124",2023-05-12,"1",141.897792608204,"Pain Management","Planned"
"125",2023-05-13,"1",140.233506307002,"Pain Management","Planned"
"126",2023-05-14,"1",139.792705451908,"Pain Management","Planned"
"127",2023-05-15,"1",141.418492226916,"Pain Management","Planned"
"128",2023-05-16,"1",141.186835557236,"Pain Management","Planned"
"129",2023-05-17,"1",138.207323126808,"Pain Management","Planned"
"130",2023-05-18,"1",137.226969858473,"Pain Management","Planned"
"131",2023-05-19,"1",137.021564970109,"Pain Management","Planned"
"132",2023-05-20,"1",139.649223217765,"Pain Management","Planned"
"133",2023-05-21,"1",140.919087656556,"Pain Management","Planned"
"134",2023-05-22,"1",141.291701382818,"Pain Management","Planned"
"135",2023-05-23,"1",141.613514451742,"Pain Management","Planned"
"136",2023-05-24,"1",144.051935027985,"Pain Management","Planned"
"137",2023-05-25,"1",141.482368102754,"Pain Management","Planned"
"138",2023-05-26,"1",139.060051587375,"Pain Management","Planned"
"139",2023-05-27,"1",140.641899109525,"Pain Management","Planned"
"140",2023-05-28,"1",141.910562912571,"Pain Management","Planned"
"141",2023-05-29,"1",142.771413887867,"Pain Management","Planned"
"142",2023-05-30,"1",142.522713628832,"Pain Management","Planned"
"143",2023-05-31,"1",142.385863244948,"Pain Management","Planned"
"144",2023-06-01,"1",142.842582240009,"Pain Management","Planned"
"145",2023-06-02,"1",141.976281184186,"Pain Management","Planned"
"146",2023-06-03,"1",140.261642445164,"Pain Management","Planned"
"147",2023-06-04,"1",140.856514504315,"Pain Management","Planned"
"148",2023-06-05,"1",142.406407263661,"Pain Management","Planned"
"149",2023-06-06,"1",140.836277591037,"Pain Management","Planned"
"150",2023-06-07,"1",143.869184216183,"Pain Management","Planned"
"151",2023-06-08,"1",143.914303526683,"Pain Management","Planned"
"152",2023-06-09,"1",144.437451905332,"Pain Management","Planned"
"153",2023-06-10,"1",145.910377033062,"Pain Management","Planned"
"154",2023-06-11,"1",146.153408842479,"Pain Management","Planned"
"155",2023-06-12,"1",144.029735166867,"Pain Management","Planned"
"156",2023-06-13,"1",144.300343768446,"Pain Management","Planned"
"157",2023-06-14,"1",144.91574233374,"Pain Management","Planned"
"158",2023-06-15,"1",145.057033906358,"Pain Management","Planned"
"159",2023-06-16,"1",143.146370459778,"Pain Management","Planned"
"160",2023-06-17,"1",142.165175267672,"Pain Management","Planned"
"161",2023-06-18,"1",143.483848709716,"Pain Management","Planned"
"162",2023-06-19,"1",143.72960161912,"Pain Management","Planned"
"163",2023-06-20,"1",144.479364240217,"Pain Management","Planned"
"164",2023-06-21,"1",146.692239135583,"Pain Management","Planned"
"165",2023-06-22,"1",148.266714791601,"Pain Management","Planned"
"166",2023-06-23,"1",149.453384329202,"Pain Management","Planned"
"167",2023-06-24,"1",148.019505986536,"Pain Management","Planned"
"168",2023-06-25,"1",147.626748186265,"Pain Management","Planned"
"169",2023-06-26,"1",146.536695285231,"Pain Management","Planned"
"170",2023-06-27,"1",145.008757611221,"Pain Management","Planned"
"171",2023-06-28,"1",145.239079773746,"Pain Management","Planned"
"172",2023-06-29,"1",143.937934948237,"Pain Management","Planned"
"173",2023-06-30,"1",143.929390235541,"Pain Management","Planned"
"174",2023-07-01,"1",142.962832206237,"Pain Management","Planned"
"175",2023-07-02,"1",144.75579516467,"Pain Management","Planned"
"176",2023-07-03,"1",146.347707646016,"Pain Management","Planned"
"177",2023-07-04,"1",146.294961226466,"Pain Management","Planned"
"178",2023-07-05,"1",147.739293809071,"Pain Management","Planned"
