"","date",".rep",".sim","speciality","wl_type"
"1",2023-01-09,"1",190.524763442479,"Urology","Planned"
"2",2023-01-10,"1",188.332075542266,"Urology","Planned"
"3",2023-01-11,"1",191.623112896091,"Urology","Planned"
"4",2023-01-12,"1",190.242321766484,"Urology","Planned"
"5",2023-01-13,"1",185.010498282503,"Urology","Planned"
"6",2023-01-14,"1",179.080670462366,"Urology","Planned"
"7",2023-01-15,"1",180.666136024169,"Urology","Planned"
"8",2023-01-16,"1",178.965305303069,"Urology","Planned"
"9",2023-01-17,"1",177.208217561793,"Urology","Planned"
"10",2023-01-18,"1",173.232274047498,"Urology","Planned"
"11",2023-01-19,"1",176.685087933493,"Urology","Planned"
"12",2023-01-20,"1",174.326712951404,"Urology","Planned"
"13",2023-01-21,"1",172.96378932402,"Urology","Planned"
"14",2023-01-22,"1",175.121464802139,"Urology","Planned"
"15",2023-01-23,"1",179.033047445689,"Urology","Planned"
"16",2023-01-24,"1",179.171527113379,"Urology","Planned"
"17",2023-01-25,"1",179.170659922775,"Urology","Planned"
"18",2023-01-26,"1",181.222347316194,"Urology","Planned"
"19",2023-01-27,"1",179.118874066728,"Urology","Planned"
"20",2023-01-28,"1",179.528364323689,"Urology","Planned"
"21",2023-01-29,"1",176.061902066489,"Urology","Planned"
"22",2023-01-30,"1",175.628580572466,"Urology","Planned"
"23",2023-01-31,"1",172.631960579507,"Urology","Planned"
"24",2023-02-01,"1",172.31453232695,"Urology","Planned"
"25",2023-02-02,"1",173.545779452,"Urology","Planned"
"26",2023-02-03,"1",173.350438027391,"Urology","Planned"
"27",2023-02-04,"1",170.914632242674,"Urology","Planned"
"28",2023-02-05,"1",171.447517112157,"Urology","Planned"
"29",2023-02-06,"1",175.305900664355,"Urology","Planned"
"30",2023-02-07,"1",172.708910736062,"Urology","Planned"
"31",2023-02-08,"1",166.955013907428,"Urology","Planned"
"32",2023-02-09,"1",169.397229115514,"Urology","Planned"
"33",2023-02-10,"1",167.038962732997,"Urology","Planned"
"34",2023-02-11,"1",164.325838612343,"Urology","Planned"
"35",2023-02-12,"1",164.793238327439,"Urology","Planned"
"36",2023-02-13,"1",169.04143371952,"Urology","Planned"
"37",2023-02-14,"1",163.850674367109,"Urology","Planned"
"38",2023-02-15,"1",161.423496758274,"Urology","Planned"
"39",2023-02-16,"1",168.592342195589,"Urology","Planned"
"40",2023-02-17,"1",162.147405784148,"Urology","Planned"
"41",2023-02-18,"1",160.871165494406,"Urology","Planned"
"42",2023-02-19,"1",162.327605558539,"Urology","Planned"
"43",2023-02-20,"1",163.067801595396,"Urology","Planned"
"44",2023-02-21,"1",164.11995329308,"Urology","Planned"
"45",2023-02-22,"1",165.552954085612,"Urology","Planned"
"46",2023-02-23,"1",166.088136589452,"Urology","Planned"
"47",2023-02-24,"1",166.144906784946,"Urology","Planned"
"48",2023-02-25,"1",165.768547426306,"Urology","Planned"
"49",2023-02-26,"1",164.330260448011,"Urology","Planned"
"50",2023-02-27,"1",165.183455438896,"Urology","Planned"
"51",2023-02-28,"1",163.125073533968,"Urology","Planned"
"52",2023-03-01,"1",162.84783880685,"Urology","Planned"
"53",2023-03-02,"1",161.290698619467,"Urology","Planned"
"54",2023-03-03,"1",158.599444928099,"Urology","Planned"
"55",2023-03-04,"1",155.818238262045,"Urology","Planned"
"56",2023-03-05,"1",152.951613621894,"Urology","Planned"
"57",2023-03-06,"1",154.93515107299,"Urology","Planned"
"58",2023-03-07,"1",153.119022092649,"Urology","Planned"
"59",2023-03-08,"1",153.272530305225,"Urology","Planned"
"60",2023-03-09,"1",154.282719563368,"Urology","Planned"
"61",2023-03-10,"1",157.459421426345,"Urology","Planned"
"62",2023-03-11,"1",157.146510581128,"Urology","Planned"
"63",2023-03-12,"1",156.154767411236,"Urology","Planned"
"64",2023-03-13,"1",154.187798006464,"Urology","Planned"
"65",2023-03-14,"1",156.822450977572,"Urology","Planned"
"66",2023-03-15,"1",155.249248102529,"Urology","Planned"
"67",2023-03-16,"1",155.668591277905,"Urology","Planned"
"68",2023-03-17,"1",158.626124785591,"Urology","Planned"
"69",2023-03-18,"1",155.980410910663,"Urology","Planned"
"70",2023-03-19,"1",156.837505348401,"Urology","Planned"
"71",2023-03-20,"1",157.924744530839,"Urology","Planned"
"72",2023-03-21,"1",158.97182451796,"Urology","Planned"
"73",2023-03-22,"1",153.754933520165,"Urology","Planned"
"74",2023-03-23,"1",157.862699684151,"Urology","Planned"
"75",2023-03-24,"1",155.75239495651,"Urology","Planned"
"76",2023-03-25,"1",153.17370154982,"Urology","Planned"
"77",2023-03-26,"1",151.752022939912,"Urology","Planned"
"78",2023-03-27,"1",149.446368232963,"Urology","Planned"
"79",2023-03-28,"1",150.704248433704,"Urology","Planned"
"80",2023-03-29,"1",149.595507583359,"Urology","Planned"
"81",2023-03-30,"1",152.161252391667,"Urology","Planned"
"82",2023-03-31,"1",149.431013348864,"Urology","Planned"
"83",2023-04-01,"1",147.361675482738,"Urology","Planned"
"84",2023-04-02,"1",147.761366895637,"Urology","Planned"
"85",2023-04-03,"1",147.231323524445,"Urology","Planned"
"86",2023-04-04,"1",144.639313870523,"Urology","Planned"
"87",2023-04-05,"1",144.246778316423,"Urology","Planned"
"88",2023-04-06,"1",146.921317961159,"Urology","Planned"
"89",2023-04-07,"1",143.120357255907,"Urology","Planned"
"90",2023-04-08,"1",144.611914887183,"Urology","Planned"
"91",2023-04-09,"1",144.087496618423,"Urology","Planned"
"92",2023-04-10,"1",144.091963018562,"Urology","Planned"
"93",2023-04-11,"1",143.865095502337,"Urology","Planned"
"94",2023-04-12,"1",146.102095789099,"Urology","Planned"
"95",2023-04-13,"1",146.555190696417,"Urology","Planned"
"96",2023-04-14,"1",144.832395178356,"Urology","Planned"
"97",2023-04-15,"1",146.40626228179,"Urology","Planned"
"98",2023-04-16,"1",145.739489658699,"Urology","Planned"
"99",2023-04-17,"1",145.752025165077,"Urology","Planned"
"100",2023-04-18,"1",145.780889283481,"Urology","Planned"
"101",2023-04-19,"1",148.457619088418,"Urology","Planned"
"102",2023-04-20,"1",150.644008424833,"Urology","Planned"
"103",2023-04-21,"1",148.386999397928,"Urology","Planned"
"104",2023-04-22,"1",144.21435725757,"Urology","Planned"
"105",2023-04-23,"1",143.953834891284,"Urology","Planned"
"106",2023-04-24,"1",145.477048894986,"Urology","Planned"
"107",2023-04-25,"1",148.141985515264,"Urology","Planned"
"108",2023-04-26,"1",150.368963883921,"Urology","Planned"
"109",2023-04-27,"1",152.22404798669,"Urology","Planned"
"110",2023-04-28,"1",149.637434098349,"Urology","Planned"
"111",2023-04-29,"1",149.876726100908,"Urology","Planned"
"112",2023-04-30,"1",151.309084317275,"Urology","Planned"
"113",2023-05-01,"1",152.966737386911,"Urology","Planned"
"114",2023-05-02,"1",155.119130569904,"Urology","Planned"
"115",2023-05-03,"1",157.100320078616,"Urology","Planned"
"116",2023-05-04,"1",161.109090407009,"Urology","Planned"
"117",2023-05-05,"1",164.327139948624,"Urology","Planned"
"118",2023-05-06,"1",162.26596289684,"Urology","Planned"
"119",2023-05-07,"1",163.528880431374,"Urology","Planned"
"120",2023-05-08,"1",166.677033336922,"Urology","Planned"
"121",2023-05-09,"1",170.118268397468,"Urology","Planned"
"122",2023-05-10,"1",171.81159139849,"Urology","Planned"
"123",2023-05-11,"1",171.335990032421,"Urology","Planned"
"124",2023-05-12,"1",168.419175199452,"Urology","Planned"
"125",2023-05-13,"1",167.244649963664,"Urology","Planned"
"126",2023-05-14,"1",166.914790370008,"Urology","Planned"
"127",2023-05-15,"1",165.866125238673,"Urology","Planned"
"128",2023-05-16,"1",168.056584742917,"Urology","Planned"
"129",2023-05-17,"1",165.90518241813,"Urology","Planned"
"130",2023-05-18,"1",164.636349583391,"Urology","Planned"
"131",2023-05-19,"1",166.719050869942,"Urology","Planned"
"132",2023-05-20,"1",166.093509219371,"Urology","Planned"
"133",2023-05-21,"1",168.603105568713,"Urology","Planned"
"134",2023-05-22,"1",167.352336120848,"Urology","Planned"
"135",2023-05-23,"1",167.843073335308,"Urology","Planned"
"136",2023-05-24,"1",168.609830025272,"Urology","Planned"
"137",2023-05-25,"1",172.693076067835,"Urology","Planned"
"138",2023-05-26,"1",175.616344945652,"Urology","Planned"
"139",2023-05-27,"1",175.677069722495,"Urology","Planned"
"140",2023-05-28,"1",171.151992021926,"Urology","Planned"
"141",2023-05-29,"1",170.071632452734,"Urology","Planned"
"142",2023-05-30,"1",171.894503324172,"Urology","Planned"
"143",2023-05-31,"1",168.759440947564,"Urology","Planned"
