"","date",".rep",".sim","speciality","wl_type"
"1",2022-12-14,"1",3.13619673397743,"Cardiology","lw_wl"
"2",2022-12-15,"1",3.07348519146126,"Cardiology","lw_wl"
"3",2022-12-16,"1",3.02857793940104,"Cardiology","lw_wl"
"4",2022-12-17,"1",2.70604105913946,"Cardiology","lw_wl"
"5",2022-12-18,"1",3.06501675295447,"Cardiology","lw_wl"
"6",2022-12-19,"1",3.10524428219501,"Cardiology","lw_wl"
"7",2022-12-20,"1",3.21728265374323,"Cardiology","lw_wl"
"8",2022-12-21,"1",3.69013481679848,"Cardiology","lw_wl"
"9",2022-12-22,"1",3.64884049178709,"Cardiology","lw_wl"
"10",2022-12-23,"1",3.7902004700579,"Cardiology","lw_wl"
"11",2022-12-24,"1",3.7270843016479,"Cardiology","lw_wl"
"12",2022-12-25,"1",4.04300917032137,"Cardiology","lw_wl"
"13",2022-12-26,"1",3.98094339565069,"Cardiology","lw_wl"
"14",2022-12-27,"1",4.63228542640759,"Cardiology","lw_wl"
"15",2022-12-28,"1",4.17748767548687,"Cardiology","lw_wl"
"16",2022-12-29,"1",3.9606687268894,"Cardiology","lw_wl"
"17",2022-12-30,"1",4.24039890991339,"Cardiology","lw_wl"
"18",2022-12-31,"1",4.40092441035821,"Cardiology","lw_wl"
"19",2023-01-01,"1",4.37791427652718,"Cardiology","lw_wl"
"20",2023-01-02,"1",4.58616804656702,"Cardiology","lw_wl"
"21",2023-01-03,"1",4.90231851478924,"Cardiology","lw_wl"
"22",2023-01-04,"1",4.56188507972496,"Cardiology","lw_wl"
"23",2023-01-05,"1",4.50666578072924,"Cardiology","lw_wl"
"24",2023-01-06,"1",4.71559255898293,"Cardiology","lw_wl"
"25",2023-01-07,"1",4.79560391400575,"Cardiology","lw_wl"
"26",2023-01-08,"1",4.89998603037784,"Cardiology","lw_wl"
"27",2023-01-09,"1",4.922489857844,"Cardiology","lw_wl"
"28",2023-01-10,"1",4.49264160628378,"Cardiology","lw_wl"
"29",2023-01-11,"1",4.74261194168159,"Cardiology","lw_wl"
"30",2023-01-12,"1",4.70899433219556,"Cardiology","lw_wl"
"31",2023-01-13,"1",4.29935919012878,"Cardiology","lw_wl"
"32",2023-01-14,"1",4.30271162243436,"Cardiology","lw_wl"
"33",2023-01-15,"1",4.42611751070268,"Cardiology","lw_wl"
"34",2023-01-16,"1",4.54881184710915,"Cardiology","lw_wl"
"35",2023-01-17,"1",4.6210306103995,"Cardiology","lw_wl"
"36",2023-01-18,"1",4.67349643200459,"Cardiology","lw_wl"
"37",2023-01-19,"1",4.68583234996844,"Cardiology","lw_wl"
"38",2023-01-20,"1",4.4003502074492,"Cardiology","lw_wl"
"39",2023-01-21,"1",3.92408382201423,"Cardiology","lw_wl"
"40",2023-01-22,"1",3.85499633389827,"Cardiology","lw_wl"
"41",2023-01-23,"1",4.00347478788512,"Cardiology","lw_wl"
"42",2023-01-24,"1",3.72265169703163,"Cardiology","lw_wl"
"43",2023-01-25,"1",3.71148787770319,"Cardiology","lw_wl"
"44",2023-01-26,"1",4.20860326210608,"Cardiology","lw_wl"
"45",2023-01-27,"1",4.61005923320814,"Cardiology","lw_wl"
"46",2023-01-28,"1",4.39949553741767,"Cardiology","lw_wl"
"47",2023-01-29,"1",4.17379096624556,"Cardiology","lw_wl"
"48",2023-01-30,"1",4.75101695935988,"Cardiology","lw_wl"
"49",2023-01-31,"1",4.79763948422343,"Cardiology","lw_wl"
"50",2023-02-01,"1",5.43665232703059,"Cardiology","lw_wl"
"51",2023-02-02,"1",5.57371002651251,"Cardiology","lw_wl"
"52",2023-02-03,"1",5.82498317637186,"Cardiology","lw_wl"
"53",2023-02-04,"1",5.64167463167771,"Cardiology","lw_wl"
"54",2023-02-05,"1",5.99832805743042,"Cardiology","lw_wl"
"55",2023-02-06,"1",5.53188653328019,"Cardiology","lw_wl"
"56",2023-02-07,"1",6.16748627231997,"Cardiology","lw_wl"
"57",2023-02-08,"1",6.77725567534861,"Cardiology","lw_wl"
"58",2023-02-09,"1",6.46003288880646,"Cardiology","lw_wl"
"59",2023-02-10,"1",6.72173187144044,"Cardiology","lw_wl"
"60",2023-02-11,"1",6.82400090350726,"Cardiology","lw_wl"
"61",2023-02-12,"1",6.72200848113831,"Cardiology","lw_wl"
"62",2023-02-13,"1",5.97604801079395,"Cardiology","lw_wl"
"63",2023-02-14,"1",5.70824834878029,"Cardiology","lw_wl"
"64",2023-02-15,"1",6.16958493406531,"Cardiology","lw_wl"
"65",2023-02-16,"1",6.09299453309599,"Cardiology","lw_wl"
"66",2023-02-17,"1",6.21040415476761,"Cardiology","lw_wl"
"67",2023-02-18,"1",6.93319908410187,"Cardiology","lw_wl"
"68",2023-02-19,"1",7.10077416032558,"Cardiology","lw_wl"
"69",2023-02-20,"1",7.32860229643473,"Cardiology","lw_wl"
"70",2023-02-21,"1",5.9462554523305,"Cardiology","lw_wl"
"71",2023-02-22,"1",6.27189829930564,"Cardiology","lw_wl"
"72",2023-02-23,"1",7.14160652326615,"Cardiology","lw_wl"
"73",2023-02-24,"1",7.06036726721847,"Cardiology","lw_wl"
"74",2023-02-25,"1",6.93754772571332,"Cardiology","lw_wl"
"75",2023-02-26,"1",6.80205395865756,"Cardiology","lw_wl"
"76",2023-02-27,"1",6.66325128410189,"Cardiology","lw_wl"
"77",2023-02-28,"1",6.19012440441739,"Cardiology","lw_wl"
"78",2023-03-01,"1",6.15506338230464,"Cardiology","lw_wl"
"79",2023-03-02,"1",6.0324920889778,"Cardiology","lw_wl"
"80",2023-03-03,"1",5.50893639210274,"Cardiology","lw_wl"
"81",2023-03-04,"1",4.93288735184496,"Cardiology","lw_wl"
"82",2023-03-05,"1",4.45802755227156,"Cardiology","lw_wl"
"83",2023-03-06,"1",4.37041253156015,"Cardiology","lw_wl"
"84",2023-03-07,"1",4.5298364753686,"Cardiology","lw_wl"
"85",2023-03-08,"1",5.19004241916251,"Cardiology","lw_wl"
"86",2023-03-09,"1",5.83157646655102,"Cardiology","lw_wl"
"87",2023-03-10,"1",5.90805482263921,"Cardiology","lw_wl"
"88",2023-03-11,"1",5.81121511036286,"Cardiology","lw_wl"
"89",2023-03-12,"1",5.79833967659089,"Cardiology","lw_wl"
"90",2023-03-13,"1",6.39238058574697,"Cardiology","lw_wl"
"91",2023-03-14,"1",6.33094256222565,"Cardiology","lw_wl"
"92",2023-03-15,"1",6.20790921310099,"Cardiology","lw_wl"
"93",2023-03-16,"1",6.37198917996671,"Cardiology","lw_wl"
"94",2023-03-17,"1",6.88449012180781,"Cardiology","lw_wl"
"95",2023-03-18,"1",6.9654687212351,"Cardiology","lw_wl"
"96",2023-03-19,"1",6.814331621088,"Cardiology","lw_wl"
"97",2023-03-20,"1",6.78776591660858,"Cardiology","lw_wl"
"98",2023-03-21,"1",6.75438281151494,"Cardiology","lw_wl"
"99",2023-03-22,"1",7.10460140877524,"Cardiology","lw_wl"
"100",2023-03-23,"1",7.7168047415962,"Cardiology","lw_wl"
"101",2023-03-24,"1",7.1094849166717,"Cardiology","lw_wl"
"102",2023-03-25,"1",7.12004575516798,"Cardiology","lw_wl"
"103",2023-03-26,"1",7.27780924139945,"Cardiology","lw_wl"
"104",2023-03-27,"1",7.29707644565867,"Cardiology","lw_wl"
"105",2023-03-28,"1",7.55477117805884,"Cardiology","lw_wl"
"106",2023-03-29,"1",7.01605196254979,"Cardiology","lw_wl"
"107",2023-03-30,"1",6.91584595290575,"Cardiology","lw_wl"
"108",2023-03-31,"1",6.52044111082593,"Cardiology","lw_wl"
"109",2023-04-01,"1",6.90817084202285,"Cardiology","lw_wl"
"110",2023-04-02,"1",6.94698686376107,"Cardiology","lw_wl"
"111",2023-04-03,"1",7.07215235435842,"Cardiology","lw_wl"
"112",2023-04-04,"1",7.09663063284261,"Cardiology","lw_wl"
"113",2023-04-05,"1",7.14847483406873,"Cardiology","lw_wl"
"114",2023-04-06,"1",6.47980822046519,"Cardiology","lw_wl"
"115",2023-04-07,"1",7.15873586908984,"Cardiology","lw_wl"
"116",2023-04-08,"1",6.48803948092282,"Cardiology","lw_wl"
"117",2023-04-09,"1",6.87613564237052,"Cardiology","lw_wl"
"118",2023-04-10,"1",7.24184015752795,"Cardiology","lw_wl"
"119",2023-04-11,"1",7.8135768536743,"Cardiology","lw_wl"
"120",2023-04-12,"1",6.58929618235316,"Cardiology","lw_wl"
"121",2023-04-13,"1",6.36930012121067,"Cardiology","lw_wl"
"122",2023-04-14,"1",6.49342753138127,"Cardiology","lw_wl"
"123",2023-04-15,"1",5.88750397424911,"Cardiology","lw_wl"
