"","date",".rep",".sim","speciality","wl_type"
"1",2022-12-14,"1",39.2157067470551,"Colorectal Surgery","lw_wl"
"2",2022-12-15,"1",38.5279856684663,"Colorectal Surgery","lw_wl"
"3",2022-12-16,"1",38.4928036922448,"Colorectal Surgery","lw_wl"
"4",2022-12-17,"1",38.7269441235147,"Colorectal Surgery","lw_wl"
"5",2022-12-18,"1",38.1621247139765,"Colorectal Surgery","lw_wl"
"6",2022-12-19,"1",38.3453811278279,"Colorectal Surgery","lw_wl"
"7",2022-12-20,"1",39.4334442447701,"Colorectal Surgery","lw_wl"
"8",2022-12-21,"1",39.4753729589578,"Colorectal Surgery","lw_wl"
"9",2022-12-22,"1",40.6096654359706,"Colorectal Surgery","lw_wl"
"10",2022-12-23,"1",40.9373124395004,"Colorectal Surgery","lw_wl"
"11",2022-12-24,"1",41.3096150851989,"Colorectal Surgery","lw_wl"
"12",2022-12-25,"1",40.9712435932342,"Colorectal Surgery","lw_wl"
"13",2022-12-26,"1",40.6007259153471,"Colorectal Surgery","lw_wl"
"14",2022-12-27,"1",40.2863720862581,"Colorectal Surgery","lw_wl"
"15",2022-12-28,"1",40.5369764638835,"Colorectal Surgery","lw_wl"
"16",2022-12-29,"1",40.819774014604,"Colorectal Surgery","lw_wl"
"17",2022-12-30,"1",40.1189141064528,"Colorectal Surgery","lw_wl"
"18",2022-12-31,"1",39.365228264161,"Colorectal Surgery","lw_wl"
"19",2023-01-01,"1",39.1256329573454,"Colorectal Surgery","lw_wl"
"20",2023-01-02,"1",39.5611430399987,"Colorectal Surgery","lw_wl"
"21",2023-01-03,"1",39.9241755565271,"Colorectal Surgery","lw_wl"
"22",2023-01-04,"1",40.5508172402578,"Colorectal Surgery","lw_wl"
"23",2023-01-05,"1",40.7123938742663,"Colorectal Surgery","lw_wl"
"24",2023-01-06,"1",40.4061098484631,"Colorectal Surgery","lw_wl"
"25",2023-01-07,"1",40.7032360187052,"Colorectal Surgery","lw_wl"
"26",2023-01-08,"1",40.0693281360248,"Colorectal Surgery","lw_wl"
"27",2023-01-09,"1",40.2756127523626,"Colorectal Surgery","lw_wl"
"28",2023-01-10,"1",40.2931287881295,"Colorectal Surgery","lw_wl"
"29",2023-01-11,"1",40.5135110438269,"Colorectal Surgery","lw_wl"
"30",2023-01-12,"1",41.4190600514661,"Colorectal Surgery","lw_wl"
"31",2023-01-13,"1",41.6056157431127,"Colorectal Surgery","lw_wl"
"32",2023-01-14,"1",42.2297401893134,"Colorectal Surgery","lw_wl"
"33",2023-01-15,"1",42.9116079332321,"Colorectal Surgery","lw_wl"
"34",2023-01-16,"1",43.1877688621215,"Colorectal Surgery","lw_wl"
"35",2023-01-17,"1",42.8584915559228,"Colorectal Surgery","lw_wl"
"36",2023-01-18,"1",43.1508550642684,"Colorectal Surgery","lw_wl"
"37",2023-01-19,"1",44.1495785744851,"Colorectal Surgery","lw_wl"
"38",2023-01-20,"1",43.9126777311109,"Colorectal Surgery","lw_wl"
"39",2023-01-21,"1",42.1464802169552,"Colorectal Surgery","lw_wl"
"40",2023-01-22,"1",43.0704709786677,"Colorectal Surgery","lw_wl"
"41",2023-01-23,"1",43.5065406571938,"Colorectal Surgery","lw_wl"
"42",2023-01-24,"1",43.6015304346931,"Colorectal Surgery","lw_wl"
"43",2023-01-25,"1",42.992511414888,"Colorectal Surgery","lw_wl"
"44",2023-01-26,"1",42.4831837964821,"Colorectal Surgery","lw_wl"
"45",2023-01-27,"1",41.4458335140767,"Colorectal Surgery","lw_wl"
"46",2023-01-28,"1",41.3538311893383,"Colorectal Surgery","lw_wl"
"47",2023-01-29,"1",41.5120582809338,"Colorectal Surgery","lw_wl"
"48",2023-01-30,"1",40.9641615417533,"Colorectal Surgery","lw_wl"
"49",2023-01-31,"1",41.5720739886677,"Colorectal Surgery","lw_wl"
"50",2023-02-01,"1",41.7769515979307,"Colorectal Surgery","lw_wl"
"51",2023-02-02,"1",41.666375328429,"Colorectal Surgery","lw_wl"
"52",2023-02-03,"1",42.0010730190985,"Colorectal Surgery","lw_wl"
"53",2023-02-04,"1",42.2096570891017,"Colorectal Surgery","lw_wl"
"54",2023-02-05,"1",43.5479116820224,"Colorectal Surgery","lw_wl"
"55",2023-02-06,"1",44.0667393485587,"Colorectal Surgery","lw_wl"
"56",2023-02-07,"1",44.0588353307574,"Colorectal Surgery","lw_wl"
"57",2023-02-08,"1",44.2287703389123,"Colorectal Surgery","lw_wl"
"58",2023-02-09,"1",44.3511943987969,"Colorectal Surgery","lw_wl"
"59",2023-02-10,"1",43.514058571611,"Colorectal Surgery","lw_wl"
"60",2023-02-11,"1",43.6607622070292,"Colorectal Surgery","lw_wl"
"61",2023-02-12,"1",43.7912632387565,"Colorectal Surgery","lw_wl"
"62",2023-02-13,"1",43.8132495339538,"Colorectal Surgery","lw_wl"
"63",2023-02-14,"1",43.2346711467638,"Colorectal Surgery","lw_wl"
"64",2023-02-15,"1",43.6808137226739,"Colorectal Surgery","lw_wl"
"65",2023-02-16,"1",43.1625413792207,"Colorectal Surgery","lw_wl"
"66",2023-02-17,"1",43.6759751338869,"Colorectal Surgery","lw_wl"
"67",2023-02-18,"1",43.6793440681633,"Colorectal Surgery","lw_wl"
