"","date",".rep",".sim","speciality","wl_type"
"1",2022-12-06,"1",0,"Haematology","lw_wl"
"2",2022-12-07,"1",0,"Haematology","lw_wl"
"3",2022-12-08,"1",0,"Haematology","lw_wl"
"4",2022-12-09,"1",0,"Haematology","lw_wl"
"5",2022-12-10,"1",0,"Haematology","lw_wl"
"6",2022-12-11,"1",0,"Haematology","lw_wl"
"7",2022-12-12,"1",0,"Haematology","lw_wl"
"8",2022-12-13,"1",0,"Haematology","lw_wl"
"9",2022-12-14,"1",0,"Haematology","lw_wl"
"10",2022-12-15,"1",0,"Haematology","lw_wl"
"11",2022-12-16,"1",0,"Haematology","lw_wl"
"12",2022-12-17,"1",0,"Haematology","lw_wl"
"13",2022-12-18,"1",0,"Haematology","lw_wl"
"14",2022-12-19,"1",0,"Haematology","lw_wl"
"15",2022-12-20,"1",0,"Haematology","lw_wl"
"16",2022-12-21,"1",0,"Haematology","lw_wl"
"17",2022-12-22,"1",0,"Haematology","lw_wl"
"18",2022-12-23,"1",0,"Haematology","lw_wl"
"19",2022-12-24,"1",0,"Haematology","lw_wl"
"20",2022-12-25,"1",0,"Haematology","lw_wl"
"21",2022-12-26,"1",0,"Haematology","lw_wl"
"22",2022-12-27,"1",0,"Haematology","lw_wl"
"23",2022-12-28,"1",0,"Haematology","lw_wl"
"24",2022-12-29,"1",0,"Haematology","lw_wl"
"25",2022-12-30,"1",0,"Haematology","lw_wl"
"26",2022-12-31,"1",0,"Haematology","lw_wl"
"27",2023-01-01,"1",0,"Haematology","lw_wl"
"28",2023-01-02,"1",0,"Haematology","lw_wl"
"29",2023-01-03,"1",0,"Haematology","lw_wl"
"30",2023-01-04,"1",0,"Haematology","lw_wl"
"31",2023-01-05,"1",0,"Haematology","lw_wl"
"32",2023-01-06,"1",0,"Haematology","lw_wl"
"33",2023-01-07,"1",0,"Haematology","lw_wl"
"34",2023-01-08,"1",0,"Haematology","lw_wl"
"35",2023-01-09,"1",0,"Haematology","lw_wl"
"36",2023-01-10,"1",0,"Haematology","lw_wl"
"37",2023-01-11,"1",0,"Haematology","lw_wl"
"38",2023-01-12,"1",0,"Haematology","lw_wl"
"39",2023-01-13,"1",0,"Haematology","lw_wl"
"40",2023-01-14,"1",0,"Haematology","lw_wl"
"41",2023-01-15,"1",0,"Haematology","lw_wl"
"42",2023-01-16,"1",0,"Haematology","lw_wl"
"43",2023-01-17,"1",0,"Haematology","lw_wl"
"44",2023-01-18,"1",0,"Haematology","lw_wl"
"45",2023-01-19,"1",0,"Haematology","lw_wl"
"46",2023-01-20,"1",0,"Haematology","lw_wl"
"47",2023-01-21,"1",0,"Haematology","lw_wl"
"48",2023-01-22,"1",0,"Haematology","lw_wl"
"49",2023-01-23,"1",0,"Haematology","lw_wl"
