"","date",".rep",".sim","speciality","wl_type"
"1",2022-12-14,"1",12.5571488355629,"Pain Management","lw_wl"
"2",2022-12-15,"1",12.0707725420039,"Pain Management","lw_wl"
"3",2022-12-16,"1",12.7533352047464,"Pain Management","lw_wl"
"4",2022-12-17,"1",12.9576349245443,"Pain Management","lw_wl"
"5",2022-12-18,"1",13.3678918544858,"Pain Management","lw_wl"
"6",2022-12-19,"1",13.6159816394023,"Pain Management","lw_wl"
"7",2022-12-20,"1",13.0390664905503,"Pain Management","lw_wl"
"8",2022-12-21,"1",13.5348566435216,"Pain Management","lw_wl"
"9",2022-12-22,"1",12.9766760392157,"Pain Management","lw_wl"
"10",2022-12-23,"1",13.467543329873,"Pain Management","lw_wl"
"11",2022-12-24,"1",13.6066687879183,"Pain Management","lw_wl"
"12",2022-12-25,"1",13.131851155777,"Pain Management","lw_wl"
"13",2022-12-26,"1",11.5598951559978,"Pain Management","lw_wl"
"14",2022-12-27,"1",11.3023873242033,"Pain Management","lw_wl"
"15",2022-12-28,"1",11.1534850495697,"Pain Management","lw_wl"
"16",2022-12-29,"1",11.5101689051895,"Pain Management","lw_wl"
"17",2022-12-30,"1",11.740763777403,"Pain Management","lw_wl"
"18",2022-12-31,"1",12.6002500700427,"Pain Management","lw_wl"
"19",2023-01-01,"1",13.7881524685227,"Pain Management","lw_wl"
"20",2023-01-02,"1",13.2888717245259,"Pain Management","lw_wl"
"21",2023-01-03,"1",13.5828091588871,"Pain Management","lw_wl"
"22",2023-01-04,"1",13.3932243956565,"Pain Management","lw_wl"
"23",2023-01-05,"1",13.2712809335516,"Pain Management","lw_wl"
"24",2023-01-06,"1",13.3914462448292,"Pain Management","lw_wl"
"25",2023-01-07,"1",13.4131389998971,"Pain Management","lw_wl"
"26",2023-01-08,"1",13.1753109835719,"Pain Management","lw_wl"
"27",2023-01-09,"1",12.9962113766225,"Pain Management","lw_wl"
"28",2023-01-10,"1",14.695044214864,"Pain Management","lw_wl"
"29",2023-01-11,"1",15.3065772160704,"Pain Management","lw_wl"
"30",2023-01-12,"1",15.4872336643539,"Pain Management","lw_wl"
"31",2023-01-13,"1",15.2175881903746,"Pain Management","lw_wl"
"32",2023-01-14,"1",15.3550625214323,"Pain Management","lw_wl"
"33",2023-01-15,"1",14.7465002113374,"Pain Management","lw_wl"
"34",2023-01-16,"1",14.6675289033791,"Pain Management","lw_wl"
"35",2023-01-17,"1",15.3529309233257,"Pain Management","lw_wl"
"36",2023-01-18,"1",14.8088837307431,"Pain Management","lw_wl"
"37",2023-01-19,"1",12.8289102527332,"Pain Management","lw_wl"
"38",2023-01-20,"1",12.1780733004674,"Pain Management","lw_wl"
"39",2023-01-21,"1",13.3077185819833,"Pain Management","lw_wl"
"40",2023-01-22,"1",13.6416957342785,"Pain Management","lw_wl"
"41",2023-01-23,"1",13.2317018656719,"Pain Management","lw_wl"
"42",2023-01-24,"1",12.2290867518115,"Pain Management","lw_wl"
"43",2023-01-25,"1",12.7620873899202,"Pain Management","lw_wl"
"44",2023-01-26,"1",13.309498220357,"Pain Management","lw_wl"
"45",2023-01-27,"1",13.0833089409361,"Pain Management","lw_wl"
"46",2023-01-28,"1",12.9951653246334,"Pain Management","lw_wl"
"47",2023-01-29,"1",12.2150749636369,"Pain Management","lw_wl"
"48",2023-01-30,"1",12.2017021068438,"Pain Management","lw_wl"
"49",2023-01-31,"1",12.3903370090705,"Pain Management","lw_wl"
"50",2023-02-01,"1",12.0823638904819,"Pain Management","lw_wl"
"51",2023-02-02,"1",12.5216032353622,"Pain Management","lw_wl"
"52",2023-02-03,"1",13.4641337757014,"Pain Management","lw_wl"
"53",2023-02-04,"1",14.0657983075338,"Pain Management","lw_wl"
"54",2023-02-05,"1",13.2501576692677,"Pain Management","lw_wl"
"55",2023-02-06,"1",13.9278955427858,"Pain Management","lw_wl"
"56",2023-02-07,"1",14.3534289151658,"Pain Management","lw_wl"
"57",2023-02-08,"1",14.9493014323561,"Pain Management","lw_wl"
"58",2023-02-09,"1",14.953355111507,"Pain Management","lw_wl"
"59",2023-02-10,"1",14.6852723417733,"Pain Management","lw_wl"
"60",2023-02-11,"1",15.0929406040155,"Pain Management","lw_wl"
"61",2023-02-12,"1",15.0845319549274,"Pain Management","lw_wl"
"62",2023-02-13,"1",13.4445392735728,"Pain Management","lw_wl"
"63",2023-02-14,"1",12.7591333797563,"Pain Management","lw_wl"
"64",2023-02-15,"1",13.5712389676833,"Pain Management","lw_wl"
"65",2023-02-16,"1",13.7739222419995,"Pain Management","lw_wl"
