"","date",".rep",".sim","speciality","wl_type"
"1",2022-12-14,"1",10.9294210111604,"Thoracic Medicine","lw_wl"
"2",2022-12-15,"1",10.8857312241016,"Thoracic Medicine","lw_wl"
"3",2022-12-16,"1",10.9628034872223,"Thoracic Medicine","lw_wl"
"4",2022-12-17,"1",10.9805230760441,"Thoracic Medicine","lw_wl"
"5",2022-12-18,"1",10.9272343498242,"Thoracic Medicine","lw_wl"
"6",2022-12-19,"1",10.9966541294854,"Thoracic Medicine","lw_wl"
"7",2022-12-20,"1",11.0327815023496,"Thoracic Medicine","lw_wl"
"8",2022-12-21,"1",11.0845331578587,"Thoracic Medicine","lw_wl"
"9",2022-12-22,"1",11.1177848525604,"Thoracic Medicine","lw_wl"
"10",2022-12-23,"1",11.1606129211293,"Thoracic Medicine","lw_wl"
"11",2022-12-24,"1",11.094276171375,"Thoracic Medicine","lw_wl"
"12",2022-12-25,"1",11.2723419077066,"Thoracic Medicine","lw_wl"
"13",2022-12-26,"1",11.3068021695456,"Thoracic Medicine","lw_wl"
"14",2022-12-27,"1",11.280237123912,"Thoracic Medicine","lw_wl"
"15",2022-12-28,"1",11.2979050424916,"Thoracic Medicine","lw_wl"
"16",2022-12-29,"1",11.2979317598864,"Thoracic Medicine","lw_wl"
"17",2022-12-30,"1",11.4105021703073,"Thoracic Medicine","lw_wl"
"18",2022-12-31,"1",11.4536280580271,"Thoracic Medicine","lw_wl"
"19",2023-01-01,"1",11.5056418927632,"Thoracic Medicine","lw_wl"
"20",2023-01-02,"1",11.4280652278158,"Thoracic Medicine","lw_wl"
"21",2023-01-03,"1",11.5578034382392,"Thoracic Medicine","lw_wl"
"22",2023-01-04,"1",11.4898421819579,"Thoracic Medicine","lw_wl"
"23",2023-01-05,"1",11.5932316321203,"Thoracic Medicine","lw_wl"
"24",2023-01-06,"1",11.5382314548585,"Thoracic Medicine","lw_wl"
"25",2023-01-07,"1",11.6520614583545,"Thoracic Medicine","lw_wl"
"26",2023-01-08,"1",11.6450884383536,"Thoracic Medicine","lw_wl"
"27",2023-01-09,"1",11.5912008200702,"Thoracic Medicine","lw_wl"
"28",2023-01-10,"1",11.6150083143622,"Thoracic Medicine","lw_wl"
"29",2023-01-11,"1",11.4409430892194,"Thoracic Medicine","lw_wl"
"30",2023-01-12,"1",11.4773615338242,"Thoracic Medicine","lw_wl"
"31",2023-01-13,"1",11.5795940609198,"Thoracic Medicine","lw_wl"
"32",2023-01-14,"1",11.6613045474226,"Thoracic Medicine","lw_wl"
"33",2023-01-15,"1",11.644494250525,"Thoracic Medicine","lw_wl"
