"","date",".rep",".sim","speciality","wl_type"
"1",2022-12-14,"1",440.423088358892,"ENT","o_wl"
"2",2022-12-15,"1",440.656298086694,"ENT","o_wl"
"3",2022-12-16,"1",441.128107577273,"ENT","o_wl"
"4",2022-12-17,"1",440.389338494226,"ENT","o_wl"
"5",2022-12-18,"1",440.232151868417,"ENT","o_wl"
"6",2022-12-19,"1",441.999789700308,"ENT","o_wl"
"7",2022-12-20,"1",444.523538004744,"ENT","o_wl"
"8",2022-12-21,"1",440.433051328193,"ENT","o_wl"
"9",2022-12-22,"1",442.315078167718,"ENT","o_wl"
"10",2022-12-23,"1",443.240084934371,"ENT","o_wl"
"11",2022-12-24,"1",443.22465052497,"ENT","o_wl"
"12",2022-12-25,"1",440.939988642615,"ENT","o_wl"
"13",2022-12-26,"1",443.812833409362,"ENT","o_wl"
"14",2022-12-27,"1",445.150699711346,"ENT","o_wl"
"15",2022-12-28,"1",443.3041534467,"ENT","o_wl"
"16",2022-12-29,"1",445.514759703502,"ENT","o_wl"
"17",2022-12-30,"1",445.950347749169,"ENT","o_wl"
"18",2022-12-31,"1",446.417655387316,"ENT","o_wl"
"19",2023-01-01,"1",448.501916369359,"ENT","o_wl"
"20",2023-01-02,"1",450.043525985732,"ENT","o_wl"
"21",2023-01-03,"1",452.126018122718,"ENT","o_wl"
"22",2023-01-04,"1",450.992979624473,"ENT","o_wl"
"23",2023-01-05,"1",450.071569780217,"ENT","o_wl"
"24",2023-01-06,"1",452.222773511422,"ENT","o_wl"
"25",2023-01-07,"1",451.21935897955,"ENT","o_wl"
"26",2023-01-08,"1",450.11973151839,"ENT","o_wl"
"27",2023-01-09,"1",453.267708095393,"ENT","o_wl"
"28",2023-01-10,"1",455.716850283026,"ENT","o_wl"
"29",2023-01-11,"1",455.52942822964,"ENT","o_wl"
"30",2023-01-12,"1",457.779494229895,"ENT","o_wl"
"31",2023-01-13,"1",461.034704343689,"ENT","o_wl"
"32",2023-01-14,"1",462.968460332165,"ENT","o_wl"
"33",2023-01-15,"1",461.983484982977,"ENT","o_wl"
"34",2023-01-16,"1",462.272286887359,"ENT","o_wl"
"35",2023-01-17,"1",461.385270975735,"ENT","o_wl"
"36",2023-01-18,"1",460.623333533094,"ENT","o_wl"
"37",2023-01-19,"1",459.697879049959,"ENT","o_wl"
"38",2023-01-20,"1",461.283563268809,"ENT","o_wl"
"39",2023-01-21,"1",461.791946535426,"ENT","o_wl"
"40",2023-01-22,"1",462.255288502328,"ENT","o_wl"
"41",2023-01-23,"1",462.007249028779,"ENT","o_wl"
"42",2023-01-24,"1",459.009658839297,"ENT","o_wl"
"43",2023-01-25,"1",459.139693300258,"ENT","o_wl"
"44",2023-01-26,"1",459.079939074188,"ENT","o_wl"
"45",2023-01-27,"1",459.191824577065,"ENT","o_wl"
"46",2023-01-28,"1",458.600233977069,"ENT","o_wl"
"47",2023-01-29,"1",457.937786181903,"ENT","o_wl"
"48",2023-01-30,"1",457.096008767769,"ENT","o_wl"
"49",2023-01-31,"1",455.143961425126,"ENT","o_wl"
"50",2023-02-01,"1",455.102798394809,"ENT","o_wl"
"51",2023-02-02,"1",456.12854096115,"ENT","o_wl"
"52",2023-02-03,"1",454.038651177302,"ENT","o_wl"
"53",2023-02-04,"1",452.661045291791,"ENT","o_wl"
"54",2023-02-05,"1",450.026726395405,"ENT","o_wl"
"55",2023-02-06,"1",447.303895848243,"ENT","o_wl"
"56",2023-02-07,"1",445.881981343022,"ENT","o_wl"
"57",2023-02-08,"1",447.196008364538,"ENT","o_wl"
"58",2023-02-09,"1",447.027813762211,"ENT","o_wl"
"59",2023-02-10,"1",444.483302327557,"ENT","o_wl"
"60",2023-02-11,"1",445.585131647915,"ENT","o_wl"
"61",2023-02-12,"1",446.950904360166,"ENT","o_wl"
"62",2023-02-13,"1",447.847666825434,"ENT","o_wl"
"63",2023-02-14,"1",445.447352354758,"ENT","o_wl"
"64",2023-02-15,"1",443.508928616543,"ENT","o_wl"
"65",2023-02-16,"1",444.240991309367,"ENT","o_wl"
"66",2023-02-17,"1",445.233429245407,"ENT","o_wl"
"67",2023-02-18,"1",445.995371906888,"ENT","o_wl"
"68",2023-02-19,"1",446.254697450755,"ENT","o_wl"
"69",2023-02-20,"1",444.406888932385,"ENT","o_wl"
"70",2023-02-21,"1",444.522672467274,"ENT","o_wl"
"71",2023-02-22,"1",446.44826389033,"ENT","o_wl"
"72",2023-02-23,"1",445.656606031354,"ENT","o_wl"
"73",2023-02-24,"1",447.153806373051,"ENT","o_wl"
"74",2023-02-25,"1",444.978036086879,"ENT","o_wl"
"75",2023-02-26,"1",445.011399658811,"ENT","o_wl"
"76",2023-02-27,"1",446.156481129694,"ENT","o_wl"
"77",2023-02-28,"1",448.577004661304,"ENT","o_wl"
"78",2023-03-01,"1",452.284108475631,"ENT","o_wl"
"79",2023-03-02,"1",451.541701139327,"ENT","o_wl"
"80",2023-03-03,"1",453.244353905059,"ENT","o_wl"
"81",2023-03-04,"1",454.578879079582,"ENT","o_wl"
"82",2023-03-05,"1",453.840437686084,"ENT","o_wl"
"83",2023-03-06,"1",454.664710025366,"ENT","o_wl"
"84",2023-03-07,"1",455.972497768952,"ENT","o_wl"
"85",2023-03-08,"1",456.789827089129,"ENT","o_wl"
"86",2023-03-09,"1",452.943278547794,"ENT","o_wl"
"87",2023-03-10,"1",455.756391350103,"ENT","o_wl"
"88",2023-03-11,"1",454.490098000703,"ENT","o_wl"
"89",2023-03-12,"1",456.252803584012,"ENT","o_wl"
"90",2023-03-13,"1",457.707378674556,"ENT","o_wl"
"91",2023-03-14,"1",460.11209781772,"ENT","o_wl"
"92",2023-03-15,"1",458.818464002659,"ENT","o_wl"
"93",2023-03-16,"1",460.333519423617,"ENT","o_wl"
"94",2023-03-17,"1",461.586784121307,"ENT","o_wl"
"95",2023-03-18,"1",462.900585677779,"ENT","o_wl"
"96",2023-03-19,"1",460.966869841569,"ENT","o_wl"
"97",2023-03-20,"1",461.41481681063,"ENT","o_wl"
"98",2023-03-21,"1",461.858864477543,"ENT","o_wl"
"99",2023-03-22,"1",459.682575564019,"ENT","o_wl"
"100",2023-03-23,"1",460.038776679681,"ENT","o_wl"
"101",2023-03-24,"1",458.079737498132,"ENT","o_wl"
"102",2023-03-25,"1",457.545371535315,"ENT","o_wl"
"103",2023-03-26,"1",457.101426691398,"ENT","o_wl"
"104",2023-03-27,"1",455.615819123714,"ENT","o_wl"
"105",2023-03-28,"1",450.788371601011,"ENT","o_wl"
"106",2023-03-29,"1",449.428963326021,"ENT","o_wl"
"107",2023-03-30,"1",447.26692214217,"ENT","o_wl"
"108",2023-03-31,"1",450.367853173162,"ENT","o_wl"
"109",2023-04-01,"1",450.612810859958,"ENT","o_wl"
"110",2023-04-02,"1",449.891186828305,"ENT","o_wl"
"111",2023-04-03,"1",452.213590700964,"ENT","o_wl"
"112",2023-04-04,"1",451.872570167933,"ENT","o_wl"
"113",2023-04-05,"1",449.700454758452,"ENT","o_wl"
"114",2023-04-06,"1",450.546674001574,"ENT","o_wl"
"115",2023-04-07,"1",454.642472693793,"ENT","o_wl"
"116",2023-04-08,"1",455.782404614348,"ENT","o_wl"
"117",2023-04-09,"1",456.627563626258,"ENT","o_wl"
"118",2023-04-10,"1",457.33876830761,"ENT","o_wl"
"119",2023-04-11,"1",460.147218302663,"ENT","o_wl"
"120",2023-04-12,"1",458.308280242623,"ENT","o_wl"
"121",2023-04-13,"1",460.79937170339,"ENT","o_wl"
"122",2023-04-14,"1",462.638076552113,"ENT","o_wl"
"123",2023-04-15,"1",462.810077116481,"ENT","o_wl"
"124",2023-04-16,"1",463.179467044843,"ENT","o_wl"
"125",2023-04-17,"1",466.429690120902,"ENT","o_wl"
"126",2023-04-18,"1",465.982923875026,"ENT","o_wl"
"127",2023-04-19,"1",466.527425015461,"ENT","o_wl"
"128",2023-04-20,"1",468.929746343118,"ENT","o_wl"
"129",2023-04-21,"1",472.652710960029,"ENT","o_wl"
"130",2023-04-22,"1",471.791805367358,"ENT","o_wl"
"131",2023-04-23,"1",471.287931340035,"ENT","o_wl"
"132",2023-04-24,"1",472.18229180286,"ENT","o_wl"
"133",2023-04-25,"1",472.892148825057,"ENT","o_wl"
"134",2023-04-26,"1",474.288724119339,"ENT","o_wl"
"135",2023-04-27,"1",474.363018965132,"ENT","o_wl"
"136",2023-04-28,"1",474.718943655424,"ENT","o_wl"
"137",2023-04-29,"1",475.587838486862,"ENT","o_wl"
"138",2023-04-30,"1",480.650131248411,"ENT","o_wl"
"139",2023-05-01,"1",482.119267036388,"ENT","o_wl"
"140",2023-05-02,"1",484.263597002953,"ENT","o_wl"
"141",2023-05-03,"1",485.930179595453,"ENT","o_wl"
"142",2023-05-04,"1",486.077437087898,"ENT","o_wl"
"143",2023-05-05,"1",486.434979364744,"ENT","o_wl"
"144",2023-05-06,"1",488.757867707352,"ENT","o_wl"
"145",2023-05-07,"1",488.738838788865,"ENT","o_wl"
"146",2023-05-08,"1",491.153069816287,"ENT","o_wl"
"147",2023-05-09,"1",490.313487289464,"ENT","o_wl"
"148",2023-05-10,"1",492.295916556005,"ENT","o_wl"
"149",2023-05-11,"1",495.666311424847,"ENT","o_wl"
"150",2023-05-12,"1",499.386534886071,"ENT","o_wl"
"151",2023-05-13,"1",500.474551923021,"ENT","o_wl"
"152",2023-05-14,"1",501.115656433239,"ENT","o_wl"
"153",2023-05-15,"1",503.210476844693,"ENT","o_wl"
"154",2023-05-16,"1",502.462610593842,"ENT","o_wl"
"155",2023-05-17,"1",503.6719721385,"ENT","o_wl"
"156",2023-05-18,"1",503.879948917968,"ENT","o_wl"
"157",2023-05-19,"1",502.286861834822,"ENT","o_wl"
"158",2023-05-20,"1",503.223600608914,"ENT","o_wl"
"159",2023-05-21,"1",505.387979749176,"ENT","o_wl"
"160",2023-05-22,"1",505.799068875613,"ENT","o_wl"
"161",2023-05-23,"1",506.419966526519,"ENT","o_wl"
"162",2023-05-24,"1",504.45136316972,"ENT","o_wl"
"163",2023-05-25,"1",504.149104846148,"ENT","o_wl"
"164",2023-05-26,"1",504.82732729992,"ENT","o_wl"
"165",2023-05-27,"1",504.252945872225,"ENT","o_wl"
"166",2023-05-28,"1",503.904151571265,"ENT","o_wl"
"167",2023-05-29,"1",504.233182997107,"ENT","o_wl"
"168",2023-05-30,"1",506.523089299021,"ENT","o_wl"
"169",2023-05-31,"1",507.367246012662,"ENT","o_wl"
"170",2023-06-01,"1",510.519950077157,"ENT","o_wl"
"171",2023-06-02,"1",510.887890389426,"ENT","o_wl"
"172",2023-06-03,"1",512.689207852385,"ENT","o_wl"
"173",2023-06-04,"1",514.982501061397,"ENT","o_wl"
"174",2023-06-05,"1",516.140488109214,"ENT","o_wl"
"175",2023-06-06,"1",520.29908201368,"ENT","o_wl"
"176",2023-06-07,"1",520.197903935939,"ENT","o_wl"
"177",2023-06-08,"1",517.75274649612,"ENT","o_wl"
"178",2023-06-09,"1",518.934987977333,"ENT","o_wl"
"179",2023-06-10,"1",519.25455971522,"ENT","o_wl"
"180",2023-06-11,"1",522.885059237425,"ENT","o_wl"
"181",2023-06-12,"1",525.012516196177,"ENT","o_wl"
"182",2023-06-13,"1",523.21855272978,"ENT","o_wl"
"183",2023-06-14,"1",522.900835779748,"ENT","o_wl"
"184",2023-06-15,"1",524.153708656445,"ENT","o_wl"
"185",2023-06-16,"1",529.274419412052,"ENT","o_wl"
"186",2023-06-17,"1",532.832896087319,"ENT","o_wl"
"187",2023-06-18,"1",533.75400728124,"ENT","o_wl"
"188",2023-06-19,"1",533.916649222635,"ENT","o_wl"
