"","date",".rep",".sim","speciality","wl_type"
"1",2022-12-14,"1",1112.84653118839,"Gastroenterology","o_wl"
"2",2022-12-15,"1",1126.06412056502,"Gastroenterology","o_wl"
"3",2022-12-16,"1",1131.37525205781,"Gastroenterology","o_wl"
"4",2022-12-17,"1",1121.73585768455,"Gastroenterology","o_wl"
"5",2022-12-18,"1",1108.75673310744,"Gastroenterology","o_wl"
"6",2022-12-19,"1",1107.42430859487,"Gastroenterology","o_wl"
"7",2022-12-20,"1",1115.14375149141,"Gastroenterology","o_wl"
"8",2022-12-21,"1",1123.69757372336,"Gastroenterology","o_wl"
"9",2022-12-22,"1",1128.61110341396,"Gastroenterology","o_wl"
"10",2022-12-23,"1",1138.98163128564,"Gastroenterology","o_wl"
"11",2022-12-24,"1",1130.88269693613,"Gastroenterology","o_wl"
"12",2022-12-25,"1",1119.49424778568,"Gastroenterology","o_wl"
"13",2022-12-26,"1",1120.45151828002,"Gastroenterology","o_wl"
"14",2022-12-27,"1",1121.47666409077,"Gastroenterology","o_wl"
"15",2022-12-28,"1",1131.80526785021,"Gastroenterology","o_wl"
"16",2022-12-29,"1",1130.81453787263,"Gastroenterology","o_wl"
"17",2022-12-30,"1",1147.3800744205,"Gastroenterology","o_wl"
"18",2022-12-31,"1",1128.79850452641,"Gastroenterology","o_wl"
"19",2023-01-01,"1",1093.76320564857,"Gastroenterology","o_wl"
"20",2023-01-02,"1",1103.09259238044,"Gastroenterology","o_wl"
"21",2023-01-03,"1",1108.66338630246,"Gastroenterology","o_wl"
"22",2023-01-04,"1",1123.09057475077,"Gastroenterology","o_wl"
"23",2023-01-05,"1",1121.87124375822,"Gastroenterology","o_wl"
"24",2023-01-06,"1",1126.32082656236,"Gastroenterology","o_wl"
"25",2023-01-07,"1",1104.93110588359,"Gastroenterology","o_wl"
"26",2023-01-08,"1",1099.80228514833,"Gastroenterology","o_wl"
"27",2023-01-09,"1",1122.50920118041,"Gastroenterology","o_wl"
"28",2023-01-10,"1",1107.53606724449,"Gastroenterology","o_wl"
"29",2023-01-11,"1",1114.73454341573,"Gastroenterology","o_wl"
"30",2023-01-12,"1",1111.24402983915,"Gastroenterology","o_wl"
"31",2023-01-13,"1",1114.34901917292,"Gastroenterology","o_wl"
"32",2023-01-14,"1",1097.2547526636,"Gastroenterology","o_wl"
"33",2023-01-15,"1",1090.24669751156,"Gastroenterology","o_wl"
"34",2023-01-16,"1",1102.76886190393,"Gastroenterology","o_wl"
"35",2023-01-17,"1",1098.26308762851,"Gastroenterology","o_wl"
"36",2023-01-18,"1",1112.91219191428,"Gastroenterology","o_wl"
"37",2023-01-19,"1",1103.25420535806,"Gastroenterology","o_wl"
"38",2023-01-20,"1",1108.09686569145,"Gastroenterology","o_wl"
"39",2023-01-21,"1",1090.49751292388,"Gastroenterology","o_wl"
"40",2023-01-22,"1",1089.5011153763,"Gastroenterology","o_wl"
"41",2023-01-23,"1",1093.67525407918,"Gastroenterology","o_wl"
"42",2023-01-24,"1",1088.29728823963,"Gastroenterology","o_wl"
"43",2023-01-25,"1",1105.20141939334,"Gastroenterology","o_wl"
"44",2023-01-26,"1",1107.00427195367,"Gastroenterology","o_wl"
"45",2023-01-27,"1",1114.93208108607,"Gastroenterology","o_wl"
"46",2023-01-28,"1",1087.19468903359,"Gastroenterology","o_wl"
"47",2023-01-29,"1",1080.63439406914,"Gastroenterology","o_wl"
"48",2023-01-30,"1",1089.77623289856,"Gastroenterology","o_wl"
"49",2023-01-31,"1",1076.72675351571,"Gastroenterology","o_wl"
"50",2023-02-01,"1",1079.81054612806,"Gastroenterology","o_wl"
"51",2023-02-02,"1",1076.58194448562,"Gastroenterology","o_wl"
"52",2023-02-03,"1",1083.68337162045,"Gastroenterology","o_wl"
"53",2023-02-04,"1",1063.4439537317,"Gastroenterology","o_wl"
"54",2023-02-05,"1",1049.61192328036,"Gastroenterology","o_wl"
"55",2023-02-06,"1",1053.80883222518,"Gastroenterology","o_wl"
"56",2023-02-07,"1",1039.47829062865,"Gastroenterology","o_wl"
"57",2023-02-08,"1",1041.25262569682,"Gastroenterology","o_wl"
"58",2023-02-09,"1",1047.79183684865,"Gastroenterology","o_wl"
"59",2023-02-10,"1",1058.82568312191,"Gastroenterology","o_wl"
"60",2023-02-11,"1",1041.55437565452,"Gastroenterology","o_wl"
"61",2023-02-12,"1",1033.47398148291,"Gastroenterology","o_wl"
"62",2023-02-13,"1",1056.36840647076,"Gastroenterology","o_wl"
"63",2023-02-14,"1",1048.97777506782,"Gastroenterology","o_wl"
"64",2023-02-15,"1",1054.15146041746,"Gastroenterology","o_wl"
"65",2023-02-16,"1",1055.59919154456,"Gastroenterology","o_wl"
"66",2023-02-17,"1",1066.17020146828,"Gastroenterology","o_wl"
"67",2023-02-18,"1",1057.95813236852,"Gastroenterology","o_wl"
"68",2023-02-19,"1",1046.9886285837,"Gastroenterology","o_wl"
"69",2023-02-20,"1",1052.59286297212,"Gastroenterology","o_wl"
"70",2023-02-21,"1",1047.513277957,"Gastroenterology","o_wl"
"71",2023-02-22,"1",1062.74590436547,"Gastroenterology","o_wl"
"72",2023-02-23,"1",1065.31504904184,"Gastroenterology","o_wl"
"73",2023-02-24,"1",1071.73954754088,"Gastroenterology","o_wl"
"74",2023-02-25,"1",1055.09325718789,"Gastroenterology","o_wl"
"75",2023-02-26,"1",1046.68002180033,"Gastroenterology","o_wl"
"76",2023-02-27,"1",1067.68327231564,"Gastroenterology","o_wl"
"77",2023-02-28,"1",1066.09711160773,"Gastroenterology","o_wl"
"78",2023-03-01,"1",1073.67236566474,"Gastroenterology","o_wl"
"79",2023-03-02,"1",1060.48353947913,"Gastroenterology","o_wl"
"80",2023-03-03,"1",1071.5925320188,"Gastroenterology","o_wl"
"81",2023-03-04,"1",1054.81368789928,"Gastroenterology","o_wl"
"82",2023-03-05,"1",1037.03661303713,"Gastroenterology","o_wl"
"83",2023-03-06,"1",1045.96939267399,"Gastroenterology","o_wl"
"84",2023-03-07,"1",1047.9365701971,"Gastroenterology","o_wl"
"85",2023-03-08,"1",1057.72008749381,"Gastroenterology","o_wl"
"86",2023-03-09,"1",1048.61016179031,"Gastroenterology","o_wl"
"87",2023-03-10,"1",1047.83195747458,"Gastroenterology","o_wl"
"88",2023-03-11,"1",1030.17112967867,"Gastroenterology","o_wl"
"89",2023-03-12,"1",1017.49440091898,"Gastroenterology","o_wl"
"90",2023-03-13,"1",1031.18482875714,"Gastroenterology","o_wl"
"91",2023-03-14,"1",1020.99281314646,"Gastroenterology","o_wl"
"92",2023-03-15,"1",1037.75427782876,"Gastroenterology","o_wl"
"93",2023-03-16,"1",1025.62597290436,"Gastroenterology","o_wl"
"94",2023-03-17,"1",1042.66816836015,"Gastroenterology","o_wl"
"95",2023-03-18,"1",1030.49599961913,"Gastroenterology","o_wl"
"96",2023-03-19,"1",1024.57596556088,"Gastroenterology","o_wl"
"97",2023-03-20,"1",1033.84625111351,"Gastroenterology","o_wl"
"98",2023-03-21,"1",1016.5717260312,"Gastroenterology","o_wl"
"99",2023-03-22,"1",1046.77292704882,"Gastroenterology","o_wl"
"100",2023-03-23,"1",1037.97844430171,"Gastroenterology","o_wl"
"101",2023-03-24,"1",1052.21009530424,"Gastroenterology","o_wl"
"102",2023-03-25,"1",1020.55738744536,"Gastroenterology","o_wl"
"103",2023-03-26,"1",1005.07136384179,"Gastroenterology","o_wl"
"104",2023-03-27,"1",1006.28417341792,"Gastroenterology","o_wl"
"105",2023-03-28,"1",1001.36025603453,"Gastroenterology","o_wl"
"106",2023-03-29,"1",1025.82005332806,"Gastroenterology","o_wl"
"107",2023-03-30,"1",1022.1075067256,"Gastroenterology","o_wl"
"108",2023-03-31,"1",1033.27678654741,"Gastroenterology","o_wl"
"109",2023-04-01,"1",1011.82020059989,"Gastroenterology","o_wl"
"110",2023-04-02,"1",1009.56862699131,"Gastroenterology","o_wl"
"111",2023-04-03,"1",1019.79663046223,"Gastroenterology","o_wl"
"112",2023-04-04,"1",1011.00732353935,"Gastroenterology","o_wl"
"113",2023-04-05,"1",1030.47739907653,"Gastroenterology","o_wl"
"114",2023-04-06,"1",1018.49255615859,"Gastroenterology","o_wl"
"115",2023-04-07,"1",1032.42801946756,"Gastroenterology","o_wl"
"116",2023-04-08,"1",1021.96600648365,"Gastroenterology","o_wl"
"117",2023-04-09,"1",1011.90046199257,"Gastroenterology","o_wl"
"118",2023-04-10,"1",1011.50175981567,"Gastroenterology","o_wl"
"119",2023-04-11,"1",999.581510603414,"Gastroenterology","o_wl"
"120",2023-04-12,"1",1027.43601456353,"Gastroenterology","o_wl"
"121",2023-04-13,"1",1023.5241307036,"Gastroenterology","o_wl"
"122",2023-04-14,"1",1030.4342603172,"Gastroenterology","o_wl"
"123",2023-04-15,"1",1006.80167119125,"Gastroenterology","o_wl"
"124",2023-04-16,"1",995.301432638544,"Gastroenterology","o_wl"
"125",2023-04-17,"1",1003.31348904283,"Gastroenterology","o_wl"
"126",2023-04-18,"1",990.0742227014,"Gastroenterology","o_wl"
"127",2023-04-19,"1",1006.29302243446,"Gastroenterology","o_wl"
"128",2023-04-20,"1",1001.83867934833,"Gastroenterology","o_wl"
"129",2023-04-21,"1",1002.48889990066,"Gastroenterology","o_wl"
"130",2023-04-22,"1",986.588902522761,"Gastroenterology","o_wl"
"131",2023-04-23,"1",975.321398882751,"Gastroenterology","o_wl"
"132",2023-04-24,"1",985.131294394289,"Gastroenterology","o_wl"
"133",2023-04-25,"1",990.429685459344,"Gastroenterology","o_wl"
"134",2023-04-26,"1",1015.57861784622,"Gastroenterology","o_wl"
"135",2023-04-27,"1",1010.87115982385,"Gastroenterology","o_wl"
"136",2023-04-28,"1",1020.41090546413,"Gastroenterology","o_wl"
"137",2023-04-29,"1",1011.17875785332,"Gastroenterology","o_wl"
"138",2023-04-30,"1",1003.89943885316,"Gastroenterology","o_wl"
"139",2023-05-01,"1",1009.4419533912,"Gastroenterology","o_wl"
"140",2023-05-02,"1",1010.02571878075,"Gastroenterology","o_wl"
"141",2023-05-03,"1",1018.6201306832,"Gastroenterology","o_wl"
"142",2023-05-04,"1",986.88919395627,"Gastroenterology","o_wl"
"143",2023-05-05,"1",992.117605710522,"Gastroenterology","o_wl"
"144",2023-05-06,"1",972.737579847602,"Gastroenterology","o_wl"
"145",2023-05-07,"1",972.570275067823,"Gastroenterology","o_wl"
"146",2023-05-08,"1",993.357057070734,"Gastroenterology","o_wl"
"147",2023-05-09,"1",987.583886193905,"Gastroenterology","o_wl"
"148",2023-05-10,"1",993.440955891507,"Gastroenterology","o_wl"
"149",2023-05-11,"1",994.65964195621,"Gastroenterology","o_wl"
"150",2023-05-12,"1",1003.6210136554,"Gastroenterology","o_wl"
"151",2023-05-13,"1",985.385035054267,"Gastroenterology","o_wl"
"152",2023-05-14,"1",966.25903335939,"Gastroenterology","o_wl"
"153",2023-05-15,"1",983.630451563543,"Gastroenterology","o_wl"
"154",2023-05-16,"1",975.298944664562,"Gastroenterology","o_wl"
"155",2023-05-17,"1",986.317234620243,"Gastroenterology","o_wl"
"156",2023-05-18,"1",973.608038747877,"Gastroenterology","o_wl"
"157",2023-05-19,"1",963.012769836999,"Gastroenterology","o_wl"
"158",2023-05-20,"1",947.07701867823,"Gastroenterology","o_wl"
"159",2023-05-21,"1",940.555230848357,"Gastroenterology","o_wl"
"160",2023-05-22,"1",952.363094562751,"Gastroenterology","o_wl"
"161",2023-05-23,"1",954.698978099276,"Gastroenterology","o_wl"
"162",2023-05-24,"1",963.342337367509,"Gastroenterology","o_wl"
"163",2023-05-25,"1",963.877465427191,"Gastroenterology","o_wl"
"164",2023-05-26,"1",961.190142684174,"Gastroenterology","o_wl"
"165",2023-05-27,"1",946.737084171751,"Gastroenterology","o_wl"
"166",2023-05-28,"1",950.100650164401,"Gastroenterology","o_wl"
"167",2023-05-29,"1",958.861633199605,"Gastroenterology","o_wl"
"168",2023-05-30,"1",965.012794931748,"Gastroenterology","o_wl"
"169",2023-05-31,"1",971.649226260544,"Gastroenterology","o_wl"
"170",2023-06-01,"1",961.452555577536,"Gastroenterology","o_wl"
"171",2023-06-02,"1",975.445192558869,"Gastroenterology","o_wl"
"172",2023-06-03,"1",944.799127493166,"Gastroenterology","o_wl"
"173",2023-06-04,"1",939.806278568672,"Gastroenterology","o_wl"
"174",2023-06-05,"1",959.071698594824,"Gastroenterology","o_wl"
"175",2023-06-06,"1",971.538560526303,"Gastroenterology","o_wl"
"176",2023-06-07,"1",985.280016993061,"Gastroenterology","o_wl"
"177",2023-06-08,"1",967.911214131024,"Gastroenterology","o_wl"
"178",2023-06-09,"1",971.266517956491,"Gastroenterology","o_wl"
"179",2023-06-10,"1",947.896230268959,"Gastroenterology","o_wl"
"180",2023-06-11,"1",945.256828539185,"Gastroenterology","o_wl"
"181",2023-06-12,"1",961.313206657922,"Gastroenterology","o_wl"
"182",2023-06-13,"1",970.135110590553,"Gastroenterology","o_wl"
"183",2023-06-14,"1",982.103309464465,"Gastroenterology","o_wl"
"184",2023-06-15,"1",962.761115004184,"Gastroenterology","o_wl"
"185",2023-06-16,"1",958.234425102655,"Gastroenterology","o_wl"
"186",2023-06-17,"1",937.698676720653,"Gastroenterology","o_wl"
"187",2023-06-18,"1",925.774157894368,"Gastroenterology","o_wl"
"188",2023-06-19,"1",946.041473382324,"Gastroenterology","o_wl"
"189",2023-06-20,"1",950.885598678082,"Gastroenterology","o_wl"
"190",2023-06-21,"1",968.673285447892,"Gastroenterology","o_wl"
"191",2023-06-22,"1",955.596538554652,"Gastroenterology","o_wl"
"192",2023-06-23,"1",973.332254033764,"Gastroenterology","o_wl"
"193",2023-06-24,"1",945.766867951593,"Gastroenterology","o_wl"
"194",2023-06-25,"1",936.24016210498,"Gastroenterology","o_wl"
"195",2023-06-26,"1",953.438020885483,"Gastroenterology","o_wl"
"196",2023-06-27,"1",956.02247853818,"Gastroenterology","o_wl"
"197",2023-06-28,"1",981.88876377779,"Gastroenterology","o_wl"
"198",2023-06-29,"1",971.574311334459,"Gastroenterology","o_wl"
"199",2023-06-30,"1",972.117884543602,"Gastroenterology","o_wl"
"200",2023-07-01,"1",951.333796779739,"Gastroenterology","o_wl"
"201",2023-07-02,"1",945.619103580729,"Gastroenterology","o_wl"
"202",2023-07-03,"1",955.712060346521,"Gastroenterology","o_wl"
"203",2023-07-04,"1",972.202995602834,"Gastroenterology","o_wl"
"204",2023-07-05,"1",993.808240456518,"Gastroenterology","o_wl"
"205",2023-07-06,"1",974.714961016773,"Gastroenterology","o_wl"
"206",2023-07-07,"1",969.50197748926,"Gastroenterology","o_wl"
"207",2023-07-08,"1",948.298535806171,"Gastroenterology","o_wl"
"208",2023-07-09,"1",945.653912216252,"Gastroenterology","o_wl"
"209",2023-07-10,"1",967.005593810757,"Gastroenterology","o_wl"
"210",2023-07-11,"1",970.46178143911,"Gastroenterology","o_wl"
"211",2023-07-12,"1",996.704069716631,"Gastroenterology","o_wl"
"212",2023-07-13,"1",990.121102981724,"Gastroenterology","o_wl"
"213",2023-07-14,"1",996.55138235549,"Gastroenterology","o_wl"
"214",2023-07-15,"1",973.152445949475,"Gastroenterology","o_wl"
"215",2023-07-16,"1",965.364890507914,"Gastroenterology","o_wl"
"216",2023-07-17,"1",976.355531060736,"Gastroenterology","o_wl"
"217",2023-07-18,"1",977.62645284804,"Gastroenterology","o_wl"
"218",2023-07-19,"1",996.794226278549,"Gastroenterology","o_wl"
"219",2023-07-20,"1",990.380686780407,"Gastroenterology","o_wl"
"220",2023-07-21,"1",988.238451885073,"Gastroenterology","o_wl"
"221",2023-07-22,"1",976.418111198021,"Gastroenterology","o_wl"
"222",2023-07-23,"1",957.432704897287,"Gastroenterology","o_wl"
"223",2023-07-24,"1",977.656454626289,"Gastroenterology","o_wl"
