"","date",".rep",".sim","speciality","wl_type"
"1",2022-12-14,"1",246.074190193456,"Gynaecology","o_wl"
"2",2022-12-15,"1",243.051688801146,"Gynaecology","o_wl"
"3",2022-12-16,"1",242.810574456504,"Gynaecology","o_wl"
"4",2022-12-17,"1",243.451128113923,"Gynaecology","o_wl"
"5",2022-12-18,"1",241.356983953471,"Gynaecology","o_wl"
"6",2022-12-19,"1",243.175526159158,"Gynaecology","o_wl"
"7",2022-12-20,"1",241.303633851876,"Gynaecology","o_wl"
"8",2022-12-21,"1",242.533853305886,"Gynaecology","o_wl"
"9",2022-12-22,"1",239.681228830305,"Gynaecology","o_wl"
"10",2022-12-23,"1",241.219643128409,"Gynaecology","o_wl"
"11",2022-12-24,"1",240.611143580785,"Gynaecology","o_wl"
"12",2022-12-25,"1",237.451000572963,"Gynaecology","o_wl"
"13",2022-12-26,"1",240.350749173927,"Gynaecology","o_wl"
"14",2022-12-27,"1",237.876308933607,"Gynaecology","o_wl"
"15",2022-12-28,"1",239.508751524701,"Gynaecology","o_wl"
"16",2022-12-29,"1",238.010997692427,"Gynaecology","o_wl"
"17",2022-12-30,"1",237.807319984829,"Gynaecology","o_wl"
"18",2022-12-31,"1",238.542726615899,"Gynaecology","o_wl"
"19",2023-01-01,"1",235.960847251197,"Gynaecology","o_wl"
"20",2023-01-02,"1",237.589657927474,"Gynaecology","o_wl"
"21",2023-01-03,"1",236.59739947939,"Gynaecology","o_wl"
"22",2023-01-04,"1",236.308426084455,"Gynaecology","o_wl"
"23",2023-01-05,"1",234.526595488811,"Gynaecology","o_wl"
"24",2023-01-06,"1",234.625770631108,"Gynaecology","o_wl"
"25",2023-01-07,"1",233.758131261551,"Gynaecology","o_wl"
"26",2023-01-08,"1",232.886002588488,"Gynaecology","o_wl"
"27",2023-01-09,"1",235.121729294561,"Gynaecology","o_wl"
"28",2023-01-10,"1",234.404327469719,"Gynaecology","o_wl"
"29",2023-01-11,"1",235.174945410742,"Gynaecology","o_wl"
"30",2023-01-12,"1",235.500877270602,"Gynaecology","o_wl"
"31",2023-01-13,"1",234.579543865299,"Gynaecology","o_wl"
"32",2023-01-14,"1",231.702359235581,"Gynaecology","o_wl"
"33",2023-01-15,"1",232.497778876109,"Gynaecology","o_wl"
"34",2023-01-16,"1",233.694905387383,"Gynaecology","o_wl"
"35",2023-01-17,"1",232.363916032934,"Gynaecology","o_wl"
"36",2023-01-18,"1",233.187191367458,"Gynaecology","o_wl"
"37",2023-01-19,"1",232.785279258084,"Gynaecology","o_wl"
"38",2023-01-20,"1",232.343267315058,"Gynaecology","o_wl"
"39",2023-01-21,"1",231.739950776491,"Gynaecology","o_wl"
"40",2023-01-22,"1",233.660296517491,"Gynaecology","o_wl"
"41",2023-01-23,"1",235.905151098342,"Gynaecology","o_wl"
"42",2023-01-24,"1",233.833646217219,"Gynaecology","o_wl"
"43",2023-01-25,"1",235.737856128362,"Gynaecology","o_wl"
"44",2023-01-26,"1",233.626940699381,"Gynaecology","o_wl"
"45",2023-01-27,"1",234.110615927541,"Gynaecology","o_wl"
"46",2023-01-28,"1",233.106756466783,"Gynaecology","o_wl"
