"","date",".rep",".sim","speciality","wl_type"
"1",2022-12-14,"1",18.9669693995342,"Rheumatology","o_wl"
"2",2022-12-15,"1",20.2184505703802,"Rheumatology","o_wl"
"3",2022-12-16,"1",20.7364707088619,"Rheumatology","o_wl"
"4",2022-12-17,"1",21.6711095859818,"Rheumatology","o_wl"
"5",2022-12-18,"1",21.2470390454599,"Rheumatology","o_wl"
"6",2022-12-19,"1",19.4581126553877,"Rheumatology","o_wl"
"7",2022-12-20,"1",20.1656308485025,"Rheumatology","o_wl"
"8",2022-12-21,"1",20.4495144235031,"Rheumatology","o_wl"
"9",2022-12-22,"1",21.318870462109,"Rheumatology","o_wl"
"10",2022-12-23,"1",22.1565481751178,"Rheumatology","o_wl"
"11",2022-12-24,"1",21.7474377313785,"Rheumatology","o_wl"
"12",2022-12-25,"1",21.6656437539887,"Rheumatology","o_wl"
"13",2022-12-26,"1",20.3338384936966,"Rheumatology","o_wl"
"14",2022-12-27,"1",20.1294791500932,"Rheumatology","o_wl"
"15",2022-12-28,"1",20.1617864059798,"Rheumatology","o_wl"
"16",2022-12-29,"1",19.8515189324636,"Rheumatology","o_wl"
"17",2022-12-30,"1",20.8973412890223,"Rheumatology","o_wl"
"18",2022-12-31,"1",20.9844896299532,"Rheumatology","o_wl"
"19",2023-01-01,"1",20.779335020088,"Rheumatology","o_wl"
"20",2023-01-02,"1",21.0737819424173,"Rheumatology","o_wl"
"21",2023-01-03,"1",21.3110558820163,"Rheumatology","o_wl"
"22",2023-01-04,"1",20.9795891129043,"Rheumatology","o_wl"
"23",2023-01-05,"1",21.6186092353906,"Rheumatology","o_wl"
"24",2023-01-06,"1",22.7286093192583,"Rheumatology","o_wl"
"25",2023-01-07,"1",22.3855687322499,"Rheumatology","o_wl"
"26",2023-01-08,"1",21.7441104751554,"Rheumatology","o_wl"
"27",2023-01-09,"1",21.5461723050177,"Rheumatology","o_wl"
"28",2023-01-10,"1",20.73154213149,"Rheumatology","o_wl"
"29",2023-01-11,"1",21.3359560072537,"Rheumatology","o_wl"
"30",2023-01-12,"1",22.1092868771545,"Rheumatology","o_wl"
"31",2023-01-13,"1",22.7008143398842,"Rheumatology","o_wl"
"32",2023-01-14,"1",23.3908614419683,"Rheumatology","o_wl"
"33",2023-01-15,"1",23.0324994338192,"Rheumatology","o_wl"
"34",2023-01-16,"1",22.3506089426502,"Rheumatology","o_wl"
"35",2023-01-17,"1",22.710372502489,"Rheumatology","o_wl"
"36",2023-01-18,"1",22.8031822278656,"Rheumatology","o_wl"
"37",2023-01-19,"1",23.6878737720606,"Rheumatology","o_wl"
"38",2023-01-20,"1",24.6359341123765,"Rheumatology","o_wl"
"39",2023-01-21,"1",24.780269178532,"Rheumatology","o_wl"
"40",2023-01-22,"1",23.9729592266026,"Rheumatology","o_wl"
"41",2023-01-23,"1",23.8240822170345,"Rheumatology","o_wl"
"42",2023-01-24,"1",23.6922446875723,"Rheumatology","o_wl"
"43",2023-01-25,"1",24.03398635818,"Rheumatology","o_wl"
"44",2023-01-26,"1",24.0992341791818,"Rheumatology","o_wl"
"45",2023-01-27,"1",25.1655839956853,"Rheumatology","o_wl"
"46",2023-01-28,"1",26.6207265659423,"Rheumatology","o_wl"
"47",2023-01-29,"1",25.8543674417787,"Rheumatology","o_wl"
"48",2023-01-30,"1",26.5339441002264,"Rheumatology","o_wl"
"49",2023-01-31,"1",26.3164977202331,"Rheumatology","o_wl"
