"List","Speciality","Date list cleared","List size at 2023-03-20","Predicted list size in 365 days ","Predicted change (%) "
">65 weeks","Thoracic Medicine",NA,10,10,"negligible"
">65 weeks","Gastroenterology",NA,33,28,"-15.15 %"
">65 weeks","Breast Surgery",2023-03-20,1,0,NA
">65 weeks","Cardiology",2023-06-17,4,0,NA
">65 weeks","Colorectal Surgery",2023-11-27,6,0,NA
">65 weeks","ENT",2023-07-30,26,0,NA
">65 weeks","General Medicine",2023-03-20,0,0,NA
">65 weeks","General Surgery",2023-05-02,14,0,NA
">65 weeks","Gynaecology",2023-12-04,37,0,NA
">65 weeks","Haematology",2022-12-06,NA,0,NA
">65 weeks","Ophthalmology",2023-04-07,5,0,NA
">65 weeks","Oral Surgery",2023-05-24,4,0,NA
">65 weeks","Paediatric Dentistry",2023-05-04,3,0,NA
">65 weeks","Pain Management",2023-12-23,5,0,NA
">65 weeks","Plastic Surgery",2023-05-20,3,0,NA
">65 weeks","Rheumatology",2023-03-20,0,0,NA
">65 weeks","Trauma & Orthopaedics",2024-03-05,138,0,NA
">65 weeks","Urology",2024-01-29,23,0,NA
">65 weeks","Vascular Surgery",2023-06-29,21,0,NA
