"","List","Speciality","Date list cleared","Patients (mean)","Change since 2023-01-09"
"1",">52","Breast Surgery",2023-02-21,NA,NA
"2",">52","Cardiology",2023-01-30,NA,NA
"3",">52","Colorectal Surgery",NA,27,"-6.9 %"
"4",">52","ENT",NA,52,"+1.96 %"
"5",">52","Gastroenterology",NA,32,"-8.57 %"
"6",">52","General Surgery",NA,40,NA
"7",">52","Gynaecology",NA,28,"+7.69 %"
"8",">52","Ophthalmology",NA,35,"-5.41 %"
"9",">52","Oral Surgery",2023-03-15,NA,NA
"10",">52","Paediatric Dentistry",2023-04-14,NA,NA
"11",">52","Pain Management",2023-04-05,NA,NA
"12",">52","Plastic Surgery",2023-01-09,NA,NA
"13",">52","Thoracic Medicine",2023-01-09,NA,NA
"14",">52","Trauma & Orthopaedics",NA,234,"+0.86 %"
"15",">52","Urology",2023-04-29,NA,NA
"16",">52","Vascular Surgery",2023-06-30,NA,NA
"17",">65","Breast Surgery",2023-02-20,NA,NA
"18",">65","Cardiology",2023-03-26,NA,NA
"19",">65","Colorectal Surgery",NA,18,NA
"20",">65","ENT",2023-05-28,NA,NA
"21",">65","Gastroenterology",NA,30,"-3.23 %"
"22",">65","General Medicine",2023-01-09,NA,NA
"23",">65","General Surgery",2023-04-17,NA,NA
"24",">65","Gynaecology",NA,47,"-2.08 %"
"25",">65","Haematology",2022-12-06,NA,NA
"26",">65","Ophthalmology",NA,26,"+4 %"
"27",">65","Oral Surgery",2023-03-23,NA,NA
"28",">65","Paediatric Dentistry",2023-01-06,NA,NA
"29",">65","Pain Management",2023-01-12,NA,NA
"30",">65","Plastic Surgery",2023-01-09,NA,NA
"31",">65","Rheumatology",NA,9,"+125 %"
"32",">65","Thoracic Medicine",NA,9,NA
"33",">65","Trauma & Orthopaedics",NA,132,"-0.75 %"
"34",">65","Urology",NA,45,"-4.26 %"
"35",">65","Vascular Surgery",2023-07-05,NA,NA
