day,metric,mean,q025,q975,date,specialty
0,nwl104_total,0,0,0,27/09/2022,Breast Surgery
0,nwl52_total,87,87,87,27/09/2022,Breast Surgery
0,nwm104_total,0,0,0,27/09/2022,Breast Surgery
0,nwm52_total,5,5,5,27/09/2022,Breast Surgery
0,nwm78_total,0,0,0,27/09/2022,Breast Surgery
0,rtt_nwm78_total,0,0,0,27/09/2022,Breast Surgery
0,wl_size,92,92,92,27/09/2022,Breast Surgery
1,nwl104_total,0,0,0,28/09/2022,Breast Surgery
1,nwl52_total,86,86,86,28/09/2022,Breast Surgery
1,nwm104_total,0,0,0,28/09/2022,Breast Surgery
1,nwm52_total,5,5,5,28/09/2022,Breast Surgery
1,nwm78_total,0,0,0,28/09/2022,Breast Surgery
1,rtt_maxwt,0,0,0,28/09/2022,Breast Surgery
1,rtt_meanwt,0,0,0,28/09/2022,Breast Surgery
1,rtt_medianwt,0,0,0,28/09/2022,Breast Surgery
1,rtt_nwm78_total,0,0,0,28/09/2022,Breast Surgery
1,wl_size,91,91,91,28/09/2022,Breast Surgery
2,nwl104_total,0,0,0,29/09/2022,Breast Surgery
2,nwl52_total,87,87,87,29/09/2022,Breast Surgery
2,nwm104_total,0,0,0,29/09/2022,Breast Surgery
2,nwm52_total,5,5,5,29/09/2022,Breast Surgery
2,nwm78_total,0,0,0,29/09/2022,Breast Surgery
2,rtt_maxwt,0,0,0,29/09/2022,Breast Surgery
2,rtt_meanwt,0,0,0,29/09/2022,Breast Surgery
2,rtt_medianwt,0,0,0,29/09/2022,Breast Surgery
2,rtt_nwm78_total,0,0,0,29/09/2022,Breast Surgery
2,wl_size,92,92,92,29/09/2022,Breast Surgery
3,nwl104_total,0,0,0,30/09/2022,Breast Surgery
3,nwl52_total,91,91,91,30/09/2022,Breast Surgery
3,nwm104_total,0,0,0,30/09/2022,Breast Surgery
3,nwm52_total,5,5,5,30/09/2022,Breast Surgery
3,nwm78_total,0,0,0,30/09/2022,Breast Surgery
3,rtt_maxwt,1,1,1,30/09/2022,Breast Surgery
3,rtt_meanwt,1,1,1,30/09/2022,Breast Surgery
3,rtt_medianwt,1,1,1,30/09/2022,Breast Surgery
3,rtt_nwm78_total,0,0,0,30/09/2022,Breast Surgery
3,wl_size,96,96,96,30/09/2022,Breast Surgery
4,nwl104_total,0,0,0,01/10/2022,Breast Surgery
4,nwl52_total,89,89,89,01/10/2022,Breast Surgery
4,nwm104_total,0,0,0,01/10/2022,Breast Surgery
4,nwm52_total,5,5,5,01/10/2022,Breast Surgery
4,nwm78_total,0,0,0,01/10/2022,Breast Surgery
4,rtt_maxwt,1,1,1,01/10/2022,Breast Surgery
4,rtt_meanwt,1,1,1,01/10/2022,Breast Surgery
4,rtt_medianwt,1,1,1,01/10/2022,Breast Surgery
4,rtt_nwm78_total,0,0,0,01/10/2022,Breast Surgery
4,wl_size,94,94,94,01/10/2022,Breast Surgery
5,nwl104_total,0,0,0,02/10/2022,Breast Surgery
5,nwl52_total,89,89,89,02/10/2022,Breast Surgery
5,nwm104_total,0,0,0,02/10/2022,Breast Surgery
5,nwm52_total,5,5,5,02/10/2022,Breast Surgery
5,nwm78_total,0,0,0,02/10/2022,Breast Surgery
5,rtt_maxwt,1,1,1,02/10/2022,Breast Surgery
5,rtt_meanwt,0.5,0.5,0.5,02/10/2022,Breast Surgery
5,rtt_medianwt,0.5,0.5,0.5,02/10/2022,Breast Surgery
5,rtt_nwm78_total,0,0,0,02/10/2022,Breast Surgery
5,wl_size,94,94,94,02/10/2022,Breast Surgery
6,nwl104_total,0,0,0,03/10/2022,Breast Surgery
6,nwl52_total,90,90,90,03/10/2022,Breast Surgery
6,nwm104_total,0,0,0,03/10/2022,Breast Surgery
6,nwm52_total,5,5,5,03/10/2022,Breast Surgery
6,nwm78_total,0,0,0,03/10/2022,Breast Surgery
6,rtt_maxwt,0,0,0,03/10/2022,Breast Surgery
6,rtt_meanwt,0,0,0,03/10/2022,Breast Surgery
6,rtt_medianwt,0,0,0,03/10/2022,Breast Surgery
6,rtt_nwm78_total,0,0,0,03/10/2022,Breast Surgery
