day,metric,mean,q025,q975,date,specialty
0,nwl104_total,0,0,0,27/09/2022,Cardiology
0,nwl52_total,96,96,96,27/09/2022,Cardiology
0,nwm104_total,0,0,0,27/09/2022,Cardiology
0,nwm52_total,2,2,2,27/09/2022,Cardiology
0,nwm78_total,61,61,61,27/09/2022,Cardiology
0,rtt_nwm78_total,61,61,61,27/09/2022,Cardiology
0,wl_size,270,270,270,27/09/2022,Cardiology
1,nwl104_total,0,0,0,28/09/2022,Cardiology
1,nwl52_total,0,0,0,28/09/2022,Cardiology
1,nwm104_total,0,0,0,28/09/2022,Cardiology
1,nwm52_total,0,0,0,28/09/2022,Cardiology
1,nwm78_total,0,0,0,28/09/2022,Cardiology
1,rtt_nwm78_total,0,0,0,28/09/2022,Cardiology
1,wl_size,0,0,0,28/09/2022,Cardiology
2,nwl104_total,0,0,0,29/09/2022,Cardiology
2,nwl52_total,0,0,0,29/09/2022,Cardiology
2,nwm104_total,0,0,0,29/09/2022,Cardiology
2,nwm52_total,0,0,0,29/09/2022,Cardiology
2,nwm78_total,0,0,0,29/09/2022,Cardiology
2,rtt_nwm78_total,0,0,0,29/09/2022,Cardiology
2,wl_size,0,0,0,29/09/2022,Cardiology
3,nwl104_total,0,0,0,30/09/2022,Cardiology
3,nwl52_total,0,0,0,30/09/2022,Cardiology
3,nwm104_total,0,0,0,30/09/2022,Cardiology
3,nwm52_total,0,0,0,30/09/2022,Cardiology
3,nwm78_total,0,0,0,30/09/2022,Cardiology
3,rtt_maxwt,0,0,0,30/09/2022,Cardiology
3,rtt_meanwt,0,0,0,30/09/2022,Cardiology
3,rtt_medianwt,0,0,0,30/09/2022,Cardiology
3,rtt_nwm78_total,0,0,0,30/09/2022,Cardiology
3,wl_size,0,0,0,30/09/2022,Cardiology
4,nwl104_total,0,0,0,01/10/2022,Cardiology
4,nwl52_total,0,0,0,01/10/2022,Cardiology
4,nwm104_total,0,0,0,01/10/2022,Cardiology
4,nwm52_total,0,0,0,01/10/2022,Cardiology
4,nwm78_total,0,0,0,01/10/2022,Cardiology
4,rtt_nwm78_total,0,0,0,01/10/2022,Cardiology
4,wl_size,0,0,0,01/10/2022,Cardiology
5,nwl104_total,0,0,0,02/10/2022,Cardiology
5,nwl52_total,0,0,0,02/10/2022,Cardiology
5,nwm104_total,0,0,0,02/10/2022,Cardiology
5,nwm52_total,0,0,0,02/10/2022,Cardiology
5,nwm78_total,0,0,0,02/10/2022,Cardiology
5,rtt_maxwt,0,0,0,02/10/2022,Cardiology
5,rtt_meanwt,0,0,0,02/10/2022,Cardiology
5,rtt_medianwt,0,0,0,02/10/2022,Cardiology
5,rtt_nwm78_total,0,0,0,02/10/2022,Cardiology
5,wl_size,3,3,3,02/10/2022,Cardiology
6,nwl104_total,0,0,0,03/10/2022,Cardiology
6,nwl52_total,0,0,0,03/10/2022,Cardiology
6,nwm104_total,0,0,0,03/10/2022,Cardiology
6,nwm52_total,0,0,0,03/10/2022,Cardiology
6,nwm78_total,0,0,0,03/10/2022,Cardiology
6,rtt_maxwt,0,0,0,03/10/2022,Cardiology
6,rtt_meanwt,0,0,0,03/10/2022,Cardiology
6,rtt_medianwt,0,0,0,03/10/2022,Cardiology
6,rtt_nwm78_total,0,0,0,03/10/2022,Cardiology
6,wl_size,3,3,3,03/10/2022,Cardiology
7,nwl104_total,0,0,0,04/10/2022,Cardiology
7,nwl52_total,0,0,0,04/10/2022,Cardiology
7,nwm104_total,0,0,0,04/10/2022,Cardiology
7,nwm52_total,0,0,0,04/10/2022,Cardiology
7,nwm78_total,0,0,0,04/10/2022,Cardiology
7,rtt_nwm78_total,0,0,0,04/10/2022,Cardiology
7,wl_size,0,0,0,04/10/2022,Cardiology
8,nwl104_total,0,0,0,05/10/2022,Cardiology
8,nwl52_total,0,0,0,05/10/2022,Cardiology
8,nwm104_total,0,0,0,05/10/2022,Cardiology
8,nwm52_total,0,0,0,05/10/2022,Cardiology
8,nwm78_total,0,0,0,05/10/2022,Cardiology
8,rtt_maxwt,0,0,0,05/10/2022,Cardiology
8,rtt_meanwt,0,0,0,05/10/2022,Cardiology
8,rtt_medianwt,0,0,0,05/10/2022,Cardiology
8,rtt_nwm78_total,0,0,0,05/10/2022,Cardiology
8,wl_size,2,2,2,05/10/2022,Cardiology
9,nwl104_total,0,0,0,06/10/2022,Cardiology
9,nwl52_total,0,0,0,06/10/2022,Cardiology
9,nwm104_total,0,0,0,06/10/2022,Cardiology
9,nwm52_total,0,0,0,06/10/2022,Cardiology
9,nwm78_total,0,0,0,06/10/2022,Cardiology
9,rtt_maxwt,0,0,0,06/10/2022,Cardiology
9,rtt_meanwt,0,0,0,06/10/2022,Cardiology
9,rtt_medianwt,0,0,0,06/10/2022,Cardiology
9,rtt_nwm78_total,0,0,0,06/10/2022,Cardiology
9,wl_size,4,4,4,06/10/2022,Cardiology
10,nwl104_total,0,0,0,07/10/2022,Cardiology
10,nwl52_total,0,0,0,07/10/2022,Cardiology
10,nwm104_total,0,0,0,07/10/2022,Cardiology
10,nwm52_total,0,0,0,07/10/2022,Cardiology
10,nwm78_total,0,0,0,07/10/2022,Cardiology
10,rtt_maxwt,0,0,0,07/10/2022,Cardiology
10,rtt_meanwt,0,0,0,07/10/2022,Cardiology
10,rtt_medianwt,0,0,0,07/10/2022,Cardiology
10,rtt_nwm78_total,0,0,0,07/10/2022,Cardiology
10,wl_size,5,5,5,07/10/2022,Cardiology
11,nwl104_total,0,0,0,08/10/2022,Cardiology
11,nwl52_total,0,0,0,08/10/2022,Cardiology
11,nwm104_total,0,0,0,08/10/2022,Cardiology
11,nwm52_total,0,0,0,08/10/2022,Cardiology
11,nwm78_total,0,0,0,08/10/2022,Cardiology
11,rtt_maxwt,0,0,0,08/10/2022,Cardiology
11,rtt_meanwt,0,0,0,08/10/2022,Cardiology
11,rtt_medianwt,0,0,0,08/10/2022,Cardiology
11,rtt_nwm78_total,0,0,0,08/10/2022,Cardiology
11,wl_size,9,9,9,08/10/2022,Cardiology
12,nwl104_total,0,0,0,09/10/2022,Cardiology
12,nwl52_total,0,0,0,09/10/2022,Cardiology
12,nwm104_total,0,0,0,09/10/2022,Cardiology
12,nwm52_total,0,0,0,09/10/2022,Cardiology
12,nwm78_total,0,0,0,09/10/2022,Cardiology
12,rtt_maxwt,0,0,0,09/10/2022,Cardiology
12,rtt_meanwt,0,0,0,09/10/2022,Cardiology
12,rtt_medianwt,0,0,0,09/10/2022,Cardiology
12,rtt_nwm78_total,0,0,0,09/10/2022,Cardiology
12,wl_size,10,10,10,09/10/2022,Cardiology
13,nwl104_total,0,0,0,10/10/2022,Cardiology
13,nwl52_total,0,0,0,10/10/2022,Cardiology
13,nwm104_total,0,0,0,10/10/2022,Cardiology
13,nwm52_total,0,0,0,10/10/2022,Cardiology
13,nwm78_total,0,0,0,10/10/2022,Cardiology
13,rtt_maxwt,0,0,0,10/10/2022,Cardiology
13,rtt_meanwt,0,0,0,10/10/2022,Cardiology
13,rtt_medianwt,0,0,0,10/10/2022,Cardiology
13,rtt_nwm78_total,0,0,0,10/10/2022,Cardiology
13,wl_size,10,10,10,10/10/2022,Cardiology
14,nwl104_total,0,0,0,11/10/2022,Cardiology
14,nwl52_total,0,0,0,11/10/2022,Cardiology
14,nwm104_total,0,0,0,11/10/2022,Cardiology
14,nwm52_total,0,0,0,11/10/2022,Cardiology
14,nwm78_total,0,0,0,11/10/2022,Cardiology
14,rtt_nwm78_total,0,0,0,11/10/2022,Cardiology
14,wl_size,0,0,0,11/10/2022,Cardiology
15,nwl104_total,0,0,0,12/10/2022,Cardiology
15,nwl52_total,0,0,0,12/10/2022,Cardiology
15,nwm104_total,0,0,0,12/10/2022,Cardiology
15,nwm52_total,0,0,0,12/10/2022,Cardiology
15,nwm78_total,0,0,0,12/10/2022,Cardiology
15,rtt_maxwt,0,0,0,12/10/2022,Cardiology
15,rtt_meanwt,0,0,0,12/10/2022,Cardiology
15,rtt_medianwt,0,0,0,12/10/2022,Cardiology
15,rtt_nwm78_total,0,0,0,12/10/2022,Cardiology
15,wl_size,2,2,2,12/10/2022,Cardiology
16,nwl104_total,0,0,0,13/10/2022,Cardiology
16,nwl52_total,0,0,0,13/10/2022,Cardiology
16,nwm104_total,0,0,0,13/10/2022,Cardiology
16,nwm52_total,0,0,0,13/10/2022,Cardiology
16,nwm78_total,0,0,0,13/10/2022,Cardiology
16,rtt_maxwt,0,0,0,13/10/2022,Cardiology
16,rtt_meanwt,0,0,0,13/10/2022,Cardiology
16,rtt_medianwt,0,0,0,13/10/2022,Cardiology
16,rtt_nwm78_total,0,0,0,13/10/2022,Cardiology
16,wl_size,2,2,2,13/10/2022,Cardiology
17,nwl104_total,0,0,0,14/10/2022,Cardiology
17,nwl52_total,0,0,0,14/10/2022,Cardiology
17,nwm104_total,0,0,0,14/10/2022,Cardiology
17,nwm52_total,0,0,0,14/10/2022,Cardiology
17,nwm78_total,0,0,0,14/10/2022,Cardiology
17,rtt_maxwt,0,0,0,14/10/2022,Cardiology
17,rtt_meanwt,0,0,0,14/10/2022,Cardiology
17,rtt_medianwt,0,0,0,14/10/2022,Cardiology
17,rtt_nwm78_total,0,0,0,14/10/2022,Cardiology
17,wl_size,3,3,3,14/10/2022,Cardiology
18,nwl104_total,0,0,0,15/10/2022,Cardiology
18,nwl52_total,0,0,0,15/10/2022,Cardiology
18,nwm104_total,0,0,0,15/10/2022,Cardiology
18,nwm52_total,0,0,0,15/10/2022,Cardiology
18,nwm78_total,0,0,0,15/10/2022,Cardiology
18,rtt_nwm78_total,0,0,0,15/10/2022,Cardiology
18,wl_size,0,0,0,15/10/2022,Cardiology
19,nwl104_total,0,0,0,16/10/2022,Cardiology
19,nwl52_total,0,0,0,16/10/2022,Cardiology
19,nwm104_total,0,0,0,16/10/2022,Cardiology
19,nwm52_total,0,0,0,16/10/2022,Cardiology
19,nwm78_total,0,0,0,16/10/2022,Cardiology
19,rtt_maxwt,0,0,0,16/10/2022,Cardiology
19,rtt_meanwt,0,0,0,16/10/2022,Cardiology
19,rtt_medianwt,0,0,0,16/10/2022,Cardiology
19,rtt_nwm78_total,0,0,0,16/10/2022,Cardiology
19,wl_size,2,2,2,16/10/2022,Cardiology
20,nwl104_total,0,0,0,17/10/2022,Cardiology
20,nwl52_total,0,0,0,17/10/2022,Cardiology
20,nwm104_total,0,0,0,17/10/2022,Cardiology
20,nwm52_total,0,0,0,17/10/2022,Cardiology
20,nwm78_total,0,0,0,17/10/2022,Cardiology
20,rtt_nwm78_total,0,0,0,17/10/2022,Cardiology
20,wl_size,0,0,0,17/10/2022,Cardiology
21,nwl104_total,0,0,0,18/10/2022,Cardiology
21,nwl52_total,0,0,0,18/10/2022,Cardiology
21,nwm104_total,0,0,0,18/10/2022,Cardiology
21,nwm52_total,0,0,0,18/10/2022,Cardiology
21,nwm78_total,0,0,0,18/10/2022,Cardiology
21,rtt_nwm78_total,0,0,0,18/10/2022,Cardiology
21,wl_size,0,0,0,18/10/2022,Cardiology
22,nwl104_total,0,0,0,19/10/2022,Cardiology
22,nwl52_total,0,0,0,19/10/2022,Cardiology
22,nwm104_total,0,0,0,19/10/2022,Cardiology
22,nwm52_total,0,0,0,19/10/2022,Cardiology
22,nwm78_total,0,0,0,19/10/2022,Cardiology
22,rtt_maxwt,0,0,0,19/10/2022,Cardiology
22,rtt_meanwt,0,0,0,19/10/2022,Cardiology
22,rtt_medianwt,0,0,0,19/10/2022,Cardiology
22,rtt_nwm78_total,0,0,0,19/10/2022,Cardiology
22,wl_size,0,0,0,19/10/2022,Cardiology
23,nwl104_total,0,0,0,20/10/2022,Cardiology
23,nwl52_total,0,0,0,20/10/2022,Cardiology
23,nwm104_total,0,0,0,20/10/2022,Cardiology
23,nwm52_total,0,0,0,20/10/2022,Cardiology
23,nwm78_total,0,0,0,20/10/2022,Cardiology
23,rtt_maxwt,0,0,0,20/10/2022,Cardiology
23,rtt_meanwt,0,0,0,20/10/2022,Cardiology
23,rtt_medianwt,0,0,0,20/10/2022,Cardiology
23,rtt_nwm78_total,0,0,0,20/10/2022,Cardiology
23,wl_size,0,0,0,20/10/2022,Cardiology
24,nwl104_total,0,0,0,21/10/2022,Cardiology
24,nwl52_total,0,0,0,21/10/2022,Cardiology
24,nwm104_total,0,0,0,21/10/2022,Cardiology
24,nwm52_total,0,0,0,21/10/2022,Cardiology
24,nwm78_total,0,0,0,21/10/2022,Cardiology
24,rtt_nwm78_total,0,0,0,21/10/2022,Cardiology
24,wl_size,0,0,0,21/10/2022,Cardiology
25,nwl104_total,0,0,0,22/10/2022,Cardiology
25,nwl52_total,0,0,0,22/10/2022,Cardiology
25,nwm104_total,0,0,0,22/10/2022,Cardiology
25,nwm52_total,0,0,0,22/10/2022,Cardiology
25,nwm78_total,0,0,0,22/10/2022,Cardiology
25,rtt_maxwt,0,0,0,22/10/2022,Cardiology
25,rtt_meanwt,0,0,0,22/10/2022,Cardiology
25,rtt_medianwt,0,0,0,22/10/2022,Cardiology
25,rtt_nwm78_total,0,0,0,22/10/2022,Cardiology
25,wl_size,1,1,1,22/10/2022,Cardiology
26,nwl104_total,0,0,0,23/10/2022,Cardiology
26,nwl52_total,0,0,0,23/10/2022,Cardiology
26,nwm104_total,0,0,0,23/10/2022,Cardiology
26,nwm52_total,0,0,0,23/10/2022,Cardiology
26,nwm78_total,0,0,0,23/10/2022,Cardiology
26,rtt_maxwt,0,0,0,23/10/2022,Cardiology
26,rtt_meanwt,0,0,0,23/10/2022,Cardiology
26,rtt_medianwt,0,0,0,23/10/2022,Cardiology
26,rtt_nwm78_total,0,0,0,23/10/2022,Cardiology
26,wl_size,2,2,2,23/10/2022,Cardiology
27,nwl104_total,0,0,0,24/10/2022,Cardiology
27,nwl52_total,0,0,0,24/10/2022,Cardiology
27,nwm104_total,0,0,0,24/10/2022,Cardiology
27,nwm52_total,0,0,0,24/10/2022,Cardiology
