day,metric,mean,q025,q975,date,specialty
0,nwm104_total,0,0,0,05/12/2022,Colorectal Surgery
0,nwm52_total,34,34,34,05/12/2022,Colorectal Surgery
0,nwm78_total,2,2,2,05/12/2022,Colorectal Surgery
0,wl_Deferred,2,2,2,05/12/2022,Colorectal Surgery
0,wl_Planned,887,887,887,05/12/2022,Colorectal Surgery
0,wl_size_active,696,696,696,05/12/2022,Colorectal Surgery
1,nwm104_total,0,0,0,06/12/2022,Colorectal Surgery
1,nwm52_total,31.9,31,33.55,06/12/2022,Colorectal Surgery
1,nwm78_total,3,3,3,06/12/2022,Colorectal Surgery
1,wl_Deferred,2,2,2,06/12/2022,Colorectal Surgery
1,wl_Planned,885,882.45,887,06/12/2022,Colorectal Surgery
1,wl_size_active,705.1,701.35,710.4,06/12/2022,Colorectal Surgery
2,nwm104_total,0,0,0,07/12/2022,Colorectal Surgery
2,nwm52_total,31.2,31,32,07/12/2022,Colorectal Surgery
2,nwm78_total,3,3,3,07/12/2022,Colorectal Surgery
2,wl_Deferred,2,2,2,07/12/2022,Colorectal Surgery
2,wl_Planned,885.3,881.45,888.55,07/12/2022,Colorectal Surgery
2,wl_size_active,715.9,705.5999999999999,723.2,07/12/2022,Colorectal Surgery
3,nwm104_total,0,0,0,08/12/2022,Colorectal Surgery
3,nwm52_total,30.9,30.45,31,08/12/2022,Colorectal Surgery
3,nwm78_total,3,3,3,08/12/2022,Colorectal Surgery
3,wl_Deferred,2,2,2,08/12/2022,Colorectal Surgery
3,wl_Planned,885.6,882.45,890.0999999999999,08/12/2022,Colorectal Surgery
3,wl_size_active,724.3,715,733.2,08/12/2022,Colorectal Surgery
4,nwm104_total,0,0,0,09/12/2022,Colorectal Surgery
4,nwm52_total,30.9,30.45,31,09/12/2022,Colorectal Surgery
4,nwm78_total,3,3,3,09/12/2022,Colorectal Surgery
4,wl_Deferred,2,2,2,09/12/2022,Colorectal Surgery
4,wl_Planned,886.1,883,890.0999999999999,09/12/2022,Colorectal Surgery
4,wl_size_active,734.9,720.45,750.8499999999999,09/12/2022,Colorectal Surgery
5,nwm104_total,0,0,0,10/12/2022,Colorectal Surgery
5,nwm52_total,30.9,30.45,31,10/12/2022,Colorectal Surgery
5,nwm78_total,3,3,3,10/12/2022,Colorectal Surgery
5,wl_Deferred,2,2,2,10/12/2022,Colorectal Surgery
5,wl_Planned,886,882.45,891.2,10/12/2022,Colorectal Surgery
5,wl_size_active,741.3,723.3499999999999,758.15,10/12/2022,Colorectal Surgery
6,nwm104_total,0,0,0,11/12/2022,Colorectal Surgery
6,nwm52_total,30.9,30.45,31,11/12/2022,Colorectal Surgery
6,nwm78_total,3,3,3,11/12/2022,Colorectal Surgery
6,wl_Deferred,1.9,1.45,2,11/12/2022,Colorectal Surgery
6,wl_Planned,886,882,893.2,11/12/2022,Colorectal Surgery
6,wl_size_active,750.4,737.3499999999999,768.5,11/12/2022,Colorectal Surgery
7,nwm104_total,0,0,0,12/12/2022,Colorectal Surgery
7,nwm52_total,30.9,30.45,31,12/12/2022,Colorectal Surgery
7,nwm78_total,3,3,3,12/12/2022,Colorectal Surgery
7,wl_Deferred,1.9,1.45,2,12/12/2022,Colorectal Surgery
7,wl_Planned,886.5,882,894.65,12/12/2022,Colorectal Surgery
7,wl_size_active,760.9,745.9000000000001,783.5,12/12/2022,Colorectal Surgery
8,nwm104_total,0,0,0,13/12/2022,Colorectal Surgery
8,nwm52_total,31.8,31,32,13/12/2022,Colorectal Surgery
8,nwm78_total,3,3,3,13/12/2022,Colorectal Surgery
8,wl_Deferred,1.9,1.45,2,13/12/2022,Colorectal Surgery
8,wl_Planned,886.3,882.45,893.55,13/12/2022,Colorectal Surgery
8,wl_size_active,770.3,751.9,792.95,13/12/2022,Colorectal Surgery
9,nwm104_total,0,0,0,14/12/2022,Colorectal Surgery
9,nwm52_total,31.7,31,32,14/12/2022,Colorectal Surgery
9,nwm78_total,3,3,3,14/12/2022,Colorectal Surgery
9,wl_Deferred,1.9,1.45,2,14/12/2022,Colorectal Surgery
9,wl_Planned,886.9,882.9,893.0999999999999,14/12/2022,Colorectal Surgery
9,wl_size_active,779.1,757.05,803,14/12/2022,Colorectal Surgery
10,nwm104_total,0,0,0,15/12/2022,Colorectal Surgery
10,nwm52_total,31.7,31,32,15/12/2022,Colorectal Surgery
10,nwm78_total,3,3,3,15/12/2022,Colorectal Surgery
10,wl_Deferred,1.9,1.45,2,15/12/2022,Colorectal Surgery
10,wl_Planned,887,882.9,894.2,15/12/2022,Colorectal Surgery
10,wl_size_active,787.4,767.7,812.4,15/12/2022,Colorectal Surgery
11,nwm104_total,0,0,0,16/12/2022,Colorectal Surgery
11,nwm52_total,31.7,31,32,16/12/2022,Colorectal Surgery
11,nwm78_total,3,3,3,16/12/2022,Colorectal Surgery
11,wl_Deferred,1.9,1.45,2,16/12/2022,Colorectal Surgery
11,wl_Planned,886.7,881.25,892.55,16/12/2022,Colorectal Surgery
11,wl_size_active,798.1,776.15,823.5999999999999,16/12/2022,Colorectal Surgery
12,nwm104_total,0,0,0,17/12/2022,Colorectal Surgery
12,nwm52_total,31.7,31,32,17/12/2022,Colorectal Surgery
12,nwm78_total,3,3,3,17/12/2022,Colorectal Surgery
12,wl_Deferred,1.9,1.45,2,17/12/2022,Colorectal Surgery
12,wl_Planned,887.1,880.8,893.2,17/12/2022,Colorectal Surgery
12,wl_size_active,805.2,782.3,829.75,17/12/2022,Colorectal Surgery
13,nwm104_total,0,0,0,18/12/2022,Colorectal Surgery
13,nwm52_total,31.7,31,32,18/12/2022,Colorectal Surgery
13,nwm78_total,3,3,3,18/12/2022,Colorectal Surgery
13,wl_Deferred,1.9,1.45,2,18/12/2022,Colorectal Surgery
13,wl_Planned,888.2,882.25,894.65,18/12/2022,Colorectal Surgery
13,wl_size_active,816,791.45,841.5999999999999,18/12/2022,Colorectal Surgery
14,nwm104_total,0,0,0,19/12/2022,Colorectal Surgery
14,nwm52_total,31.6,30.45,32,19/12/2022,Colorectal Surgery
14,nwm78_total,3,3,3,19/12/2022,Colorectal Surgery
14,wl_Deferred,1.9,1.45,2,19/12/2022,Colorectal Surgery
14,wl_Planned,887.9,882.3499999999999,895.6500000000001,19/12/2022,Colorectal Surgery
14,wl_size_active,825.1,797.45,847.45,19/12/2022,Colorectal Surgery
15,nwm104_total,0,0,0,20/12/2022,Colorectal Surgery
15,nwm52_total,35.5,34.45,36,20/12/2022,Colorectal Surgery
15,nwm78_total,4,4,4,20/12/2022,Colorectal Surgery
15,wl_Deferred,1.9,1.45,2,20/12/2022,Colorectal Surgery
15,wl_Planned,888,881.8,895.6500000000001,20/12/2022,Colorectal Surgery
15,wl_size_active,833.7,804.35,858.45,20/12/2022,Colorectal Surgery
16,nwm104_total,0,0,0,21/12/2022,Colorectal Surgery
16,nwm52_total,35.4,34,36,21/12/2022,Colorectal Surgery
16,nwm78_total,4,4,4,21/12/2022,Colorectal Surgery
16,wl_Deferred,1.9,1.45,2,21/12/2022,Colorectal Surgery
16,wl_Planned,888.6,883.3499999999999,895.6500000000001,21/12/2022,Colorectal Surgery
16,wl_size_active,844.9,820.45,869.65,21/12/2022,Colorectal Surgery
17,nwm104_total,0,0,0,22/12/2022,Colorectal Surgery
17,nwm52_total,35.4,34,36,22/12/2022,Colorectal Surgery
17,nwm78_total,4,4,4,22/12/2022,Colorectal Surgery
17,wl_Deferred,1.9,1.45,2,22/12/2022,Colorectal Surgery
17,wl_Planned,888.4,883.8,893.65,22/12/2022,Colorectal Surgery
17,wl_size_active,855.5,833.45,879.55,22/12/2022,Colorectal Surgery
18,nwm104_total,0,0,0,23/12/2022,Colorectal Surgery
18,nwm52_total,35.3,34,36,23/12/2022,Colorectal Surgery
18,nwm78_total,4,4,4,23/12/2022,Colorectal Surgery
18,wl_Deferred,1.9,1.45,2,23/12/2022,Colorectal Surgery
18,wl_Planned,888,881.8,895.1,23/12/2022,Colorectal Surgery
18,wl_size_active,864.3,840.5,885.5,23/12/2022,Colorectal Surgery
19,nwm104_total,0,0,0,24/12/2022,Colorectal Surgery
19,nwm52_total,35.2,33.45,36,24/12/2022,Colorectal Surgery
19,nwm78_total,4,4,4,24/12/2022,Colorectal Surgery
19,wl_Deferred,1.9,1.45,2,24/12/2022,Colorectal Surgery
19,wl_Planned,888,881.25,895.6500000000001,24/12/2022,Colorectal Surgery
19,wl_size_active,871.4,850.05,889,24/12/2022,Colorectal Surgery
20,nwm104_total,0,0,0,25/12/2022,Colorectal Surgery
20,nwm52_total,35.2,33.45,36,25/12/2022,Colorectal Surgery
20,nwm78_total,4,4,4,25/12/2022,Colorectal Surgery
20,wl_Deferred,1.9,1.45,2,25/12/2022,Colorectal Surgery
20,wl_Planned,888.7,882.3499999999999,896.6500000000001,25/12/2022,Colorectal Surgery
20,wl_size_active,880.7,861.15,897.65,25/12/2022,Colorectal Surgery
21,nwm104_total,0,0,0,26/12/2022,Colorectal Surgery
21,nwm52_total,35.1,33.45,36,26/12/2022,Colorectal Surgery
21,nwm78_total,4,4,4,26/12/2022,Colorectal Surgery
21,wl_Deferred,1.9,1.45,2,26/12/2022,Colorectal Surgery
21,wl_Planned,889.2,882.8,896.6500000000001,26/12/2022,Colorectal Surgery
21,wl_size_active,891.1,869.4000000000001,910.75,26/12/2022,Colorectal Surgery
22,nwm104_total,0,0,0,27/12/2022,Colorectal Surgery
22,nwm52_total,38.1,36.45,39,27/12/2022,Colorectal Surgery
22,nwm78_total,4,4,4,27/12/2022,Colorectal Surgery
22,wl_Deferred,1.9,1.45,2,27/12/2022,Colorectal Surgery
22,wl_Planned,889.6,883.8,895.6500000000001,27/12/2022,Colorectal Surgery
22,wl_size_active,900.6,873.2,922.65,27/12/2022,Colorectal Surgery
23,nwm104_total,0,0,0,28/12/2022,Colorectal Surgery
23,nwm52_total,38,36.45,39,28/12/2022,Colorectal Surgery
23,nwm78_total,3.9,3.45,4,28/12/2022,Colorectal Surgery
23,wl_Deferred,1.9,1.45,2,28/12/2022,Colorectal Surgery
23,wl_Planned,889.9,884.8,895.55,28/12/2022,Colorectal Surgery
23,wl_size_active,909,881.6500000000001,931.55,28/12/2022,Colorectal Surgery
24,nwm104_total,0,0,0,29/12/2022,Colorectal Surgery
24,nwm52_total,38,36.45,39,29/12/2022,Colorectal Surgery
24,nwm78_total,3.9,3.45,4,29/12/2022,Colorectal Surgery
24,wl_Deferred,1.9,1.45,2,29/12/2022,Colorectal Surgery
24,wl_Planned,890.4,884.35,897.1,29/12/2022,Colorectal Surgery
24,wl_size_active,917.4,885.95,942.6500000000001,29/12/2022,Colorectal Surgery
25,nwm104_total,0,0,0,30/12/2022,Colorectal Surgery
25,nwm52_total,38,36.45,39,30/12/2022,Colorectal Surgery
25,nwm78_total,3.9,3.45,4,30/12/2022,Colorectal Surgery
25,wl_Deferred,1.9,1.45,2,30/12/2022,Colorectal Surgery
25,wl_Planned,891.4,885.8,898.55,30/12/2022,Colorectal Surgery
25,wl_size_active,929.5,894.65,957.0999999999999,30/12/2022,Colorectal Surgery
26,nwm104_total,0,0,0,31/12/2022,Colorectal Surgery
26,nwm52_total,38,36.45,39,31/12/2022,Colorectal Surgery
26,nwm78_total,3.9,3.45,4,31/12/2022,Colorectal Surgery
26,wl_Deferred,1.9,1.45,2,31/12/2022,Colorectal Surgery
26,wl_Planned,891.4,884.45,900.1,31/12/2022,Colorectal Surgery
26,wl_size_active,940,900.45,965.85,31/12/2022,Colorectal Surgery
27,nwm104_total,0,0,0,01/01/2023,Colorectal Surgery
27,nwm52_total,38,36.45,39,01/01/2023,Colorectal Surgery
27,nwm78_total,3.9,3.45,4,01/01/2023,Colorectal Surgery
27,wl_Deferred,1.9,1.45,2,01/01/2023,Colorectal Surgery
27,wl_Planned,891.4,884.45,899.55,01/01/2023,Colorectal Surgery
27,wl_size_active,949.5,907.5,976.3,01/01/2023,Colorectal Surgery
28,nwm104_total,0,0,0,02/01/2023,Colorectal Surgery
28,nwm52_total,38,36.45,39,02/01/2023,Colorectal Surgery
28,nwm78_total,3.9,3.45,4,02/01/2023,Colorectal Surgery
28,wl_Deferred,1.9,1.45,2,02/01/2023,Colorectal Surgery
28,wl_Planned,893.1,884.9000000000001,901.1,02/01/2023,Colorectal Surgery
28,wl_size_active,959.9,913.25,987.65,02/01/2023,Colorectal Surgery
29,nwm104_total,0,0,0,03/01/2023,Colorectal Surgery
29,nwm52_total,39,37.45,40,03/01/2023,Colorectal Surgery
29,nwm78_total,4.9,4.45,5,03/01/2023,Colorectal Surgery
29,wl_Deferred,1.9,1.45,2,03/01/2023,Colorectal Surgery
29,wl_Planned,893.6,886.45,901,03/01/2023,Colorectal Surgery
29,wl_size_active,968.6,924.8,994.65,03/01/2023,Colorectal Surgery
30,nwm104_total,0,0,0,04/01/2023,Colorectal Surgery
30,nwm52_total,39,37.45,40,04/01/2023,Colorectal Surgery
30,nwm78_total,4.9,4.45,5,04/01/2023,Colorectal Surgery
30,wl_Deferred,1.9,1.45,2,04/01/2023,Colorectal Surgery
30,wl_Planned,893.9,885,901.2,04/01/2023,Colorectal Surgery
30,wl_size_active,975.8,930.7,1001.85,04/01/2023,Colorectal Surgery
31,nwm104_total,0,0,0,05/01/2023,Colorectal Surgery
31,nwm52_total,39,37.45,40,05/01/2023,Colorectal Surgery
31,nwm78_total,4.9,4.45,5,05/01/2023,Colorectal Surgery
31,wl_Deferred,1.9,1.45,2,05/01/2023,Colorectal Surgery
31,wl_Planned,894.3,885,902.2,05/01/2023,Colorectal Surgery
31,wl_size_active,984.8,944.25,1014.45,05/01/2023,Colorectal Surgery
32,nwm104_total,0,0,0,06/01/2023,Colorectal Surgery
32,nwm52_total,38.9,37,40,06/01/2023,Colorectal Surgery
32,nwm78_total,4.9,4.45,5,06/01/2023,Colorectal Surgery
32,wl_Deferred,1.9,1.45,2,06/01/2023,Colorectal Surgery
32,wl_Planned,893.9,884.45,902.0999999999999,06/01/2023,Colorectal Surgery
32,wl_size_active,993.8,955.4499999999999,1022.45,06/01/2023,Colorectal Surgery
33,nwm104_total,0,0,0,07/01/2023,Colorectal Surgery
33,nwm52_total,38.9,37,40,07/01/2023,Colorectal Surgery
33,nwm78_total,4.9,4.45,5,07/01/2023,Colorectal Surgery
33,wl_Deferred,1.9,1.45,2,07/01/2023,Colorectal Surgery
33,wl_Planned,894,883.9,904.1,07/01/2023,Colorectal Surgery
33,wl_size_active,1001.7,963.25,1027.5,07/01/2023,Colorectal Surgery
34,nwm104_total,0,0,0,08/01/2023,Colorectal Surgery
34,nwm52_total,38.9,37,40,08/01/2023,Colorectal Surgery
34,nwm78_total,4.9,4.45,5,08/01/2023,Colorectal Surgery
34,wl_Deferred,1.9,1.45,2,08/01/2023,Colorectal Surgery
34,wl_Planned,894.3,883,904.55,08/01/2023,Colorectal Surgery
34,wl_size_active,1011.1,969.9499999999999,1039.25,08/01/2023,Colorectal Surgery
35,nwm104_total,0,0,0,09/01/2023,Colorectal Surgery
35,nwm52_total,38.9,37,40,09/01/2023,Colorectal Surgery
35,nwm78_total,4.9,4.45,5,09/01/2023,Colorectal Surgery
35,wl_Deferred,1.9,1.45,2,09/01/2023,Colorectal Surgery
35,wl_Planned,895.1,883.9,907.0999999999999,09/01/2023,Colorectal Surgery
35,wl_size_active,1018.8,979.45,1048.25,09/01/2023,Colorectal Surgery
36,nwm104_total,0,0,0,10/01/2023,Colorectal Surgery
36,nwm52_total,46.5,43.9,48,10/01/2023,Colorectal Surgery
36,nwm78_total,4.9,4.45,5,10/01/2023,Colorectal Surgery
36,wl_Deferred,1.9,1.45,2,10/01/2023,Colorectal Surgery
36,wl_Planned,895.7,885.35,907.65,10/01/2023,Colorectal Surgery
36,wl_size_active,1027,990.25,1053.8,10/01/2023,Colorectal Surgery
37,nwm104_total,0,0,0,11/01/2023,Colorectal Surgery
37,nwm52_total,46.5,43.9,48,11/01/2023,Colorectal Surgery
37,nwm78_total,4.9,4.45,5,11/01/2023,Colorectal Surgery
37,wl_Deferred,1.9,1.45,2,11/01/2023,Colorectal Surgery
37,wl_Planned,896.1,885.25,909.1,11/01/2023,Colorectal Surgery
37,wl_size_active,1034.5,993,1062.3,11/01/2023,Colorectal Surgery
38,nwm104_total,0,0,0,12/01/2023,Colorectal Surgery
38,nwm52_total,46.5,43.9,48,12/01/2023,Colorectal Surgery
38,nwm78_total,4.9,4.45,5,12/01/2023,Colorectal Surgery
38,wl_Deferred,1.9,1.45,2,12/01/2023,Colorectal Surgery
38,wl_Planned,896.3,883.7,909.1,12/01/2023,Colorectal Surgery
38,wl_size_active,1044.6,1003.05,1075.35,12/01/2023,Colorectal Surgery
39,nwm104_total,0,0,0,13/01/2023,Colorectal Surgery
39,nwm52_total,46.5,43.9,48,13/01/2023,Colorectal Surgery
39,nwm78_total,4.9,4.45,5,13/01/2023,Colorectal Surgery
39,wl_Deferred,1.9,1.45,2,13/01/2023,Colorectal Surgery
39,wl_Planned,896.5,883.1500000000001,909,13/01/2023,Colorectal Surgery
39,wl_size_active,1052.6,1008,1086.95,13/01/2023,Colorectal Surgery
40,nwm104_total,0,0,0,14/01/2023,Colorectal Surgery
40,nwm52_total,46.5,43.9,48,14/01/2023,Colorectal Surgery
40,nwm78_total,4.9,4.45,5,14/01/2023,Colorectal Surgery
40,wl_Deferred,1.9,1.45,2,14/01/2023,Colorectal Surgery
40,wl_Planned,897.2,883.1500000000001,911.0999999999999,14/01/2023,Colorectal Surgery
40,wl_size_active,1063.2,1017.35,1099.65,14/01/2023,Colorectal Surgery
41,nwm104_total,0,0,0,15/01/2023,Colorectal Surgery
41,nwm52_total,46.5,43.9,48,15/01/2023,Colorectal Surgery
41,nwm78_total,4.9,4.45,5,15/01/2023,Colorectal Surgery
41,wl_Deferred,1.9,1.45,2,15/01/2023,Colorectal Surgery
41,wl_Planned,897.8,883.7,911,15/01/2023,Colorectal Surgery
41,wl_size_active,1071.8,1029.05,1106.75,15/01/2023,Colorectal Surgery
42,nwm104_total,0,0,0,16/01/2023,Colorectal Surgery
42,nwm52_total,46.5,43.9,48,16/01/2023,Colorectal Surgery
42,nwm78_total,4.9,4.45,5,16/01/2023,Colorectal Surgery
42,wl_Deferred,1.9,1.45,2,16/01/2023,Colorectal Surgery
42,wl_Planned,897.8,884.25,910.55,16/01/2023,Colorectal Surgery
42,wl_size_active,1083.9,1041.95,1116,16/01/2023,Colorectal Surgery
43,nwm104_total,0,0,0,17/01/2023,Colorectal Surgery
43,nwm52_total,52.5,49.900000000000006,54,17/01/2023,Colorectal Surgery
43,nwm78_total,4.9,4.45,5,17/01/2023,Colorectal Surgery
43,wl_Deferred,1.9,1.45,2,17/01/2023,Colorectal Surgery
43,wl_Planned,898.2,884.15,911.55,17/01/2023,Colorectal Surgery
43,wl_size_active,1092.8,1046.8,1128.1999999999998,17/01/2023,Colorectal Surgery
44,nwm104_total,0,0,0,18/01/2023,Colorectal Surgery
44,nwm52_total,52.4,49.900000000000006,54,18/01/2023,Colorectal Surgery
44,nwm78_total,4.9,4.45,5,18/01/2023,Colorectal Surgery
44,wl_Deferred,1.9,1.45,2,18/01/2023,Colorectal Surgery
44,wl_Planned,898,883.1500000000001,911.55,18/01/2023,Colorectal Surgery
44,wl_size_active,1101.2,1052.25,1142.05,18/01/2023,Colorectal Surgery
45,nwm104_total,0,0,0,19/01/2023,Colorectal Surgery
45,nwm52_total,52.4,49.900000000000006,54,19/01/2023,Colorectal Surgery
45,nwm78_total,4.9,4.45,5,19/01/2023,Colorectal Surgery
45,wl_Deferred,1.9,1.45,2,19/01/2023,Colorectal Surgery
45,wl_Planned,898.8,886.8,912.0999999999999,19/01/2023,Colorectal Surgery
45,wl_size_active,1108.3,1061.5,1148.4,19/01/2023,Colorectal Surgery
46,nwm104_total,0,0,0,20/01/2023,Colorectal Surgery
46,nwm52_total,52.3,49.900000000000006,53.55,20/01/2023,Colorectal Surgery
46,nwm78_total,4.9,4.45,5,20/01/2023,Colorectal Surgery
46,wl_Deferred,1.9,1.45,2,20/01/2023,Colorectal Surgery
46,wl_Planned,899.3,887.7,912.65,20/01/2023,Colorectal Surgery
46,wl_size_active,1114.9,1065.9,1154.7,20/01/2023,Colorectal Surgery
47,nwm104_total,0,0,0,21/01/2023,Colorectal Surgery
47,nwm52_total,52.3,49.900000000000006,53.55,21/01/2023,Colorectal Surgery
47,nwm78_total,4.9,4.45,5,21/01/2023,Colorectal Surgery
47,wl_Deferred,1.9,1.45,2,21/01/2023,Colorectal Surgery
47,wl_Planned,899.2,887.1500000000001,912.55,21/01/2023,Colorectal Surgery
47,wl_size_active,1123.7,1076.95,1161.35,21/01/2023,Colorectal Surgery
48,nwm104_total,0,0,0,22/01/2023,Colorectal Surgery
48,nwm52_total,52.3,49.900000000000006,53.55,22/01/2023,Colorectal Surgery
48,nwm78_total,4.9,4.45,5,22/01/2023,Colorectal Surgery
48,wl_Deferred,1.9,1.45,2,22/01/2023,Colorectal Surgery
48,wl_Planned,899.2,887.8,912.55,22/01/2023,Colorectal Surgery
48,wl_size_active,1132.7,1084.45,1176.6999999999998,22/01/2023,Colorectal Surgery
49,nwm104_total,0,0,0,23/01/2023,Colorectal Surgery
49,nwm52_total,52.2,49.900000000000006,53.55,23/01/2023,Colorectal Surgery
49,nwm78_total,4.9,4.45,5,23/01/2023,Colorectal Surgery
49,wl_Deferred,1.9,1.45,2,23/01/2023,Colorectal Surgery
49,wl_Planned,899.3,886.8,912.55,23/01/2023,Colorectal Surgery
49,wl_size_active,1142.8,1091.9,1186.25,23/01/2023,Colorectal Surgery
50,nwm104_total,0.9,0.44999999999999996,1,24/01/2023,Colorectal Surgery
50,nwm52_total,55.1,52.9,56.55,24/01/2023,Colorectal Surgery
50,nwm78_total,5.9,5.449999999999999,6,24/01/2023,Colorectal Surgery
50,wl_Deferred,1.9,1.45,2,24/01/2023,Colorectal Surgery
50,wl_Planned,899.8,886.15,913.1,24/01/2023,Colorectal Surgery
50,wl_size_active,1152.6,1106,1196.3,24/01/2023,Colorectal Surgery
