day,metric,mean,q025,q975,date,specialty
0,nwl104_total,0,0,0,27/09/2022,ENT
0,nwl52_total,336,336,336,27/09/2022,ENT
0,nwm104_total,1,1,1,27/09/2022,ENT
0,nwm52_total,56,56,56,27/09/2022,ENT
0,nwm78_total,1,1,1,27/09/2022,ENT
0,rtt_nwm78_total,1,1,1,27/09/2022,ENT
0,wl_size,393,393,393,27/09/2022,ENT
1,nwl104_total,0,0,0,28/09/2022,ENT
1,nwl52_total,335,335,335,28/09/2022,ENT
1,nwm104_total,1,1,1,28/09/2022,ENT
1,nwm52_total,59,59,59,28/09/2022,ENT
1,nwm78_total,1,1,1,28/09/2022,ENT
1,rtt_nwm78_total,1,1,1,28/09/2022,ENT
1,wl_size,395,395,395,28/09/2022,ENT
2,nwl104_total,0,0,0,29/09/2022,ENT
2,nwl52_total,335,335,335,29/09/2022,ENT
2,nwm104_total,1,1,1,29/09/2022,ENT
2,nwm52_total,59,59,59,29/09/2022,ENT
2,nwm78_total,1,1,1,29/09/2022,ENT
2,rtt_maxwt,1,1,1,29/09/2022,ENT
2,rtt_meanwt,0.5,0.5,0.5,29/09/2022,ENT
2,rtt_medianwt,0.5,0.5,0.5,29/09/2022,ENT
2,rtt_nwm78_total,1,1,1,29/09/2022,ENT
2,wl_size,395,395,395,29/09/2022,ENT
3,nwl104_total,0,0,0,30/09/2022,ENT
3,nwl52_total,342,342,342,30/09/2022,ENT
3,nwm104_total,1,1,1,30/09/2022,ENT
3,nwm52_total,59,59,59,30/09/2022,ENT
3,nwm78_total,1,1,1,30/09/2022,ENT
3,rtt_maxwt,0,0,0,30/09/2022,ENT
3,rtt_meanwt,0,0,0,30/09/2022,ENT
3,rtt_medianwt,0,0,0,30/09/2022,ENT
3,rtt_nwm78_total,1,1,1,30/09/2022,ENT
3,wl_size,402,402,402,30/09/2022,ENT
4,nwl104_total,0,0,0,01/10/2022,ENT
4,nwl52_total,348,348,348,01/10/2022,ENT
4,nwm104_total,1,1,1,01/10/2022,ENT
4,nwm52_total,59,59,59,01/10/2022,ENT
4,nwm78_total,1,1,1,01/10/2022,ENT
4,rtt_nwm78_total,1,1,1,01/10/2022,ENT
4,wl_size,408,408,408,01/10/2022,ENT
5,nwl104_total,0,0,0,02/10/2022,ENT
5,nwl52_total,348,348,348,02/10/2022,ENT
5,nwm104_total,1,1,1,02/10/2022,ENT
5,nwm52_total,59,59,59,02/10/2022,ENT
5,nwm78_total,1,1,1,02/10/2022,ENT
5,rtt_maxwt,2,2,2,02/10/2022,ENT
5,rtt_meanwt,2,2,2,02/10/2022,ENT
