day,metric,mean,q025,q975,date,specialty
0,nwl104_total,0,0,0,27/09/2022,Endocrinology and Metabolic Medicine
0,nwl52_total,0,0,0,27/09/2022,Endocrinology and Metabolic Medicine
0,nwm104_total,0,0,0,27/09/2022,Endocrinology and Metabolic Medicine
0,nwm52_total,0,0,0,27/09/2022,Endocrinology and Metabolic Medicine
0,nwm78_total,1,1,1,27/09/2022,Endocrinology and Metabolic Medicine
0,rtt_nwm78_total,1,1,1,27/09/2022,Endocrinology and Metabolic Medicine
0,wl_size,1,1,1,27/09/2022,Endocrinology and Metabolic Medicine
1,nwl104_total,0,0,0,28/09/2022,Endocrinology and Metabolic Medicine
1,nwl52_total,0,0,0,28/09/2022,Endocrinology and Metabolic Medicine
1,nwm104_total,0,0,0,28/09/2022,Endocrinology and Metabolic Medicine
1,nwm52_total,0,0,0,28/09/2022,Endocrinology and Metabolic Medicine
1,nwm78_total,1,1,1,28/09/2022,Endocrinology and Metabolic Medicine
1,rtt_nwm78_total,1,1,1,28/09/2022,Endocrinology and Metabolic Medicine
1,wl_size,1,1,1,28/09/2022,Endocrinology and Metabolic Medicine
2,nwl104_total,0,0,0,29/09/2022,Endocrinology and Metabolic Medicine
2,nwl52_total,0,0,0,29/09/2022,Endocrinology and Metabolic Medicine
2,nwm104_total,0,0,0,29/09/2022,Endocrinology and Metabolic Medicine
2,nwm52_total,0,0,0,29/09/2022,Endocrinology and Metabolic Medicine
2,nwm78_total,1,1,1,29/09/2022,Endocrinology and Metabolic Medicine
2,rtt_nwm78_total,1,1,1,29/09/2022,Endocrinology and Metabolic Medicine
2,wl_size,1,1,1,29/09/2022,Endocrinology and Metabolic Medicine
3,nwl104_total,0,0,0,30/09/2022,Endocrinology and Metabolic Medicine
3,nwl52_total,0,0,0,30/09/2022,Endocrinology and Metabolic Medicine
3,nwm104_total,0,0,0,30/09/2022,Endocrinology and Metabolic Medicine
3,nwm52_total,0,0,0,30/09/2022,Endocrinology and Metabolic Medicine
3,nwm78_total,1,1,1,30/09/2022,Endocrinology and Metabolic Medicine
3,rtt_nwm78_total,1,1,1,30/09/2022,Endocrinology and Metabolic Medicine
3,wl_size,1,1,1,30/09/2022,Endocrinology and Metabolic Medicine
