day,metric,mean,q025,q975,date,specialty
0,nwm104_total,0,0,0,14/11/2022,Gastroenterology
0,nwm52_total,32,32,32,14/11/2022,Gastroenterology
0,nwm78_total,0,0,0,14/11/2022,Gastroenterology
0,wl_Deferred,0,0,0,14/11/2022,Gastroenterology
0,wl_Planned,2263,2263,2263,14/11/2022,Gastroenterology
0,wl_size_active,1240,1240,1240,14/11/2022,Gastroenterology
1,nwm104_total,0,0,0,15/11/2022,Gastroenterology
1,nwm52_total,31,31,31,15/11/2022,Gastroenterology
1,nwm78_total,1,1,1,15/11/2022,Gastroenterology
1,wl_Deferred,0,0,0,15/11/2022,Gastroenterology
1,wl_Planned,2242,2242,2242,15/11/2022,Gastroenterology
1,wl_size_active,1257,1257,1257,15/11/2022,Gastroenterology
2,nwm104_total,0,0,0,16/11/2022,Gastroenterology
2,nwm52_total,31,31,31,16/11/2022,Gastroenterology
2,nwm78_total,1,1,1,16/11/2022,Gastroenterology
2,wl_Deferred,0,0,0,16/11/2022,Gastroenterology
2,wl_Planned,2238,2238,2238,16/11/2022,Gastroenterology
2,wl_size_active,1270,1270,1270,16/11/2022,Gastroenterology
3,nwm104_total,0,0,0,17/11/2022,Gastroenterology
3,nwm52_total,31,31,31,17/11/2022,Gastroenterology
3,nwm78_total,1,1,1,17/11/2022,Gastroenterology
3,wl_Deferred,0,0,0,17/11/2022,Gastroenterology
3,wl_Planned,2233,2233,2233,17/11/2022,Gastroenterology
3,wl_size_active,1274,1274,1274,17/11/2022,Gastroenterology
4,nwm104_total,0,0,0,18/11/2022,Gastroenterology
4,nwm52_total,31,31,31,18/11/2022,Gastroenterology
4,nwm78_total,1,1,1,18/11/2022,Gastroenterology
4,wl_Deferred,0,0,0,18/11/2022,Gastroenterology
4,wl_Planned,2232,2232,2232,18/11/2022,Gastroenterology
4,wl_size_active,1267,1267,1267,18/11/2022,Gastroenterology
5,nwm104_total,0,0,0,19/11/2022,Gastroenterology
5,nwm52_total,31,31,31,19/11/2022,Gastroenterology
5,nwm78_total,1,1,1,19/11/2022,Gastroenterology
5,wl_Deferred,0,0,0,19/11/2022,Gastroenterology
5,wl_Planned,2227,2227,2227,19/11/2022,Gastroenterology
5,wl_size_active,1265,1265,1265,19/11/2022,Gastroenterology
6,nwm104_total,0,0,0,20/11/2022,Gastroenterology
6,nwm52_total,31,31,31,20/11/2022,Gastroenterology
6,nwm78_total,1,1,1,20/11/2022,Gastroenterology
6,wl_Deferred,0,0,0,20/11/2022,Gastroenterology
6,wl_Planned,2227,2227,2227,20/11/2022,Gastroenterology
6,wl_size_active,1263,1263,1263,20/11/2022,Gastroenterology
7,nwm104_total,0,0,0,21/11/2022,Gastroenterology
7,nwm52_total,31,31,31,21/11/2022,Gastroenterology
7,nwm78_total,1,1,1,21/11/2022,Gastroenterology
7,wl_Deferred,0,0,0,21/11/2022,Gastroenterology
7,wl_Planned,2227,2227,2227,21/11/2022,Gastroenterology
7,wl_size_active,1259,1259,1259,21/11/2022,Gastroenterology
8,nwm104_total,0,0,0,22/11/2022,Gastroenterology
8,nwm52_total,39,39,39,22/11/2022,Gastroenterology
8,nwm78_total,1,1,1,22/11/2022,Gastroenterology
8,wl_Deferred,0,0,0,22/11/2022,Gastroenterology
8,wl_Planned,2225,2225,2225,22/11/2022,Gastroenterology
8,wl_size_active,1257,1257,1257,22/11/2022,Gastroenterology
9,nwm104_total,0,0,0,23/11/2022,Gastroenterology
9,nwm52_total,39,39,39,23/11/2022,Gastroenterology
9,nwm78_total,1,1,1,23/11/2022,Gastroenterology
9,wl_Deferred,0,0,0,23/11/2022,Gastroenterology
9,wl_Planned,2226,2226,2226,23/11/2022,Gastroenterology
9,wl_size_active,1246,1246,1246,23/11/2022,Gastroenterology
10,nwm104_total,0,0,0,24/11/2022,Gastroenterology
10,nwm52_total,39,39,39,24/11/2022,Gastroenterology
10,nwm78_total,1,1,1,24/11/2022,Gastroenterology
10,wl_Deferred,0,0,0,24/11/2022,Gastroenterology
10,wl_Planned,2223,2223,2223,24/11/2022,Gastroenterology
10,wl_size_active,1247,1247,1247,24/11/2022,Gastroenterology
11,nwm104_total,0,0,0,25/11/2022,Gastroenterology
11,nwm52_total,38,38,38,25/11/2022,Gastroenterology
11,nwm78_total,1,1,1,25/11/2022,Gastroenterology
11,wl_Deferred,0,0,0,25/11/2022,Gastroenterology
11,wl_Planned,2223,2223,2223,25/11/2022,Gastroenterology
11,wl_size_active,1243,1243,1243,25/11/2022,Gastroenterology
12,nwm104_total,0,0,0,26/11/2022,Gastroenterology
12,nwm52_total,37,37,37,26/11/2022,Gastroenterology
12,nwm78_total,1,1,1,26/11/2022,Gastroenterology
12,wl_Deferred,0,0,0,26/11/2022,Gastroenterology
12,wl_Planned,2220,2220,2220,26/11/2022,Gastroenterology
12,wl_size_active,1239,1239,1239,26/11/2022,Gastroenterology
13,nwm104_total,0,0,0,27/11/2022,Gastroenterology
13,nwm52_total,37,37,37,27/11/2022,Gastroenterology
13,nwm78_total,1,1,1,27/11/2022,Gastroenterology
13,wl_Deferred,0,0,0,27/11/2022,Gastroenterology
13,wl_Planned,2222,2222,2222,27/11/2022,Gastroenterology
13,wl_size_active,1238,1238,1238,27/11/2022,Gastroenterology
14,nwm104_total,0,0,0,28/11/2022,Gastroenterology
14,nwm52_total,37,37,37,28/11/2022,Gastroenterology
14,nwm78_total,1,1,1,28/11/2022,Gastroenterology
14,wl_Deferred,0,0,0,28/11/2022,Gastroenterology
14,wl_Planned,2220,2220,2220,28/11/2022,Gastroenterology
14,wl_size_active,1241,1241,1241,28/11/2022,Gastroenterology
15,nwm104_total,0,0,0,29/11/2022,Gastroenterology
15,nwm52_total,41,41,41,29/11/2022,Gastroenterology
15,nwm78_total,2,2,2,29/11/2022,Gastroenterology
15,wl_Deferred,0,0,0,29/11/2022,Gastroenterology
15,wl_Planned,2222,2222,2222,29/11/2022,Gastroenterology
15,wl_size_active,1244,1244,1244,29/11/2022,Gastroenterology
16,nwm104_total,0,0,0,30/11/2022,Gastroenterology
16,nwm52_total,41,41,41,30/11/2022,Gastroenterology
16,nwm78_total,2,2,2,30/11/2022,Gastroenterology
16,wl_Deferred,0,0,0,30/11/2022,Gastroenterology
16,wl_Planned,2221,2221,2221,30/11/2022,Gastroenterology
16,wl_size_active,1242,1242,1242,30/11/2022,Gastroenterology
17,nwm104_total,0,0,0,01/12/2022,Gastroenterology
17,nwm52_total,41,41,41,01/12/2022,Gastroenterology
17,nwm78_total,2,2,2,01/12/2022,Gastroenterology
17,wl_Deferred,0,0,0,01/12/2022,Gastroenterology
17,wl_Planned,2214,2214,2214,01/12/2022,Gastroenterology
17,wl_size_active,1255,1255,1255,01/12/2022,Gastroenterology
18,nwm104_total,0,0,0,02/12/2022,Gastroenterology
18,nwm52_total,41,41,41,02/12/2022,Gastroenterology
18,nwm78_total,2,2,2,02/12/2022,Gastroenterology
18,wl_Deferred,0,0,0,02/12/2022,Gastroenterology
18,wl_Planned,2215,2215,2215,02/12/2022,Gastroenterology
18,wl_size_active,1260,1260,1260,02/12/2022,Gastroenterology
19,nwm104_total,0,0,0,03/12/2022,Gastroenterology
19,nwm52_total,41,41,41,03/12/2022,Gastroenterology
19,nwm78_total,2,2,2,03/12/2022,Gastroenterology
19,wl_Deferred,0,0,0,03/12/2022,Gastroenterology
19,wl_Planned,2217,2217,2217,03/12/2022,Gastroenterology
19,wl_size_active,1267,1267,1267,03/12/2022,Gastroenterology
20,nwm104_total,0,0,0,04/12/2022,Gastroenterology
20,nwm52_total,41,41,41,04/12/2022,Gastroenterology
20,nwm78_total,2,2,2,04/12/2022,Gastroenterology
20,wl_Deferred,0,0,0,04/12/2022,Gastroenterology
20,wl_Planned,2215,2215,2215,04/12/2022,Gastroenterology
20,wl_size_active,1279,1279,1279,04/12/2022,Gastroenterology
21,nwm104_total,0,0,0,05/12/2022,Gastroenterology
21,nwm52_total,41,41,41,05/12/2022,Gastroenterology
21,nwm78_total,2,2,2,05/12/2022,Gastroenterology
21,wl_Deferred,0,0,0,05/12/2022,Gastroenterology
21,wl_Planned,2217,2217,2217,05/12/2022,Gastroenterology
21,wl_size_active,1276,1276,1276,05/12/2022,Gastroenterology
22,nwm104_total,0,0,0,06/12/2022,Gastroenterology
22,nwm52_total,45,45,45,06/12/2022,Gastroenterology
22,nwm78_total,4,4,4,06/12/2022,Gastroenterology
22,wl_Deferred,0,0,0,06/12/2022,Gastroenterology
22,wl_Planned,2215,2215,2215,06/12/2022,Gastroenterology
22,wl_size_active,1267,1267,1267,06/12/2022,Gastroenterology
23,nwm104_total,0,0,0,07/12/2022,Gastroenterology
23,nwm52_total,45,45,45,07/12/2022,Gastroenterology
23,nwm78_total,4,4,4,07/12/2022,Gastroenterology
23,wl_Deferred,0,0,0,07/12/2022,Gastroenterology
23,wl_Planned,2216,2216,2216,07/12/2022,Gastroenterology
23,wl_size_active,1263,1263,1263,07/12/2022,Gastroenterology
24,nwm104_total,0,0,0,08/12/2022,Gastroenterology
24,nwm52_total,45,45,45,08/12/2022,Gastroenterology
24,nwm78_total,4,4,4,08/12/2022,Gastroenterology
24,wl_Deferred,0,0,0,08/12/2022,Gastroenterology
24,wl_Planned,2218,2218,2218,08/12/2022,Gastroenterology
24,wl_size_active,1258,1258,1258,08/12/2022,Gastroenterology
25,nwm104_total,0,0,0,09/12/2022,Gastroenterology
25,nwm52_total,45,45,45,09/12/2022,Gastroenterology
25,nwm78_total,4,4,4,09/12/2022,Gastroenterology
25,wl_Deferred,0,0,0,09/12/2022,Gastroenterology
25,wl_Planned,2217,2217,2217,09/12/2022,Gastroenterology
25,wl_size_active,1247,1247,1247,09/12/2022,Gastroenterology
26,nwm104_total,0,0,0,10/12/2022,Gastroenterology
26,nwm52_total,45,45,45,10/12/2022,Gastroenterology
26,nwm78_total,4,4,4,10/12/2022,Gastroenterology
26,wl_Deferred,0,0,0,10/12/2022,Gastroenterology
26,wl_Planned,2220,2220,2220,10/12/2022,Gastroenterology
26,wl_size_active,1260,1260,1260,10/12/2022,Gastroenterology
27,nwm104_total,0,0,0,11/12/2022,Gastroenterology
27,nwm52_total,45,45,45,11/12/2022,Gastroenterology
27,nwm78_total,4,4,4,11/12/2022,Gastroenterology
27,wl_Deferred,0,0,0,11/12/2022,Gastroenterology
27,wl_Planned,2218,2218,2218,11/12/2022,Gastroenterology
27,wl_size_active,1263,1263,1263,11/12/2022,Gastroenterology
28,nwm104_total,0,0,0,12/12/2022,Gastroenterology
28,nwm52_total,45,45,45,12/12/2022,Gastroenterology
28,nwm78_total,4,4,4,12/12/2022,Gastroenterology
28,wl_Deferred,0,0,0,12/12/2022,Gastroenterology
28,wl_Planned,2219,2219,2219,12/12/2022,Gastroenterology
28,wl_size_active,1261,1261,1261,12/12/2022,Gastroenterology
29,nwm104_total,0,0,0,13/12/2022,Gastroenterology
29,nwm52_total,48,48,48,13/12/2022,Gastroenterology
29,nwm78_total,4,4,4,13/12/2022,Gastroenterology
29,wl_Deferred,0,0,0,13/12/2022,Gastroenterology
29,wl_Planned,2220,2220,2220,13/12/2022,Gastroenterology
29,wl_size_active,1254,1254,1254,13/12/2022,Gastroenterology
30,nwm104_total,0,0,0,14/12/2022,Gastroenterology
30,nwm52_total,48,48,48,14/12/2022,Gastroenterology
30,nwm78_total,4,4,4,14/12/2022,Gastroenterology
30,wl_Deferred,0,0,0,14/12/2022,Gastroenterology
30,wl_Planned,2224,2224,2224,14/12/2022,Gastroenterology
30,wl_size_active,1257,1257,1257,14/12/2022,Gastroenterology
31,nwm104_total,0,0,0,15/12/2022,Gastroenterology
31,nwm52_total,49,49,49,15/12/2022,Gastroenterology
31,nwm78_total,5,5,5,15/12/2022,Gastroenterology
31,wl_Deferred,0,0,0,15/12/2022,Gastroenterology
31,wl_Planned,2220,2220,2220,15/12/2022,Gastroenterology
31,wl_size_active,1264,1264,1264,15/12/2022,Gastroenterology
32,nwm104_total,0,0,0,16/12/2022,Gastroenterology
32,nwm52_total,50,50,50,16/12/2022,Gastroenterology
32,nwm78_total,5,5,5,16/12/2022,Gastroenterology
32,wl_Deferred,0,0,0,16/12/2022,Gastroenterology
32,wl_Planned,2216,2216,2216,16/12/2022,Gastroenterology
32,wl_size_active,1252,1252,1252,16/12/2022,Gastroenterology
33,nwm104_total,0,0,0,17/12/2022,Gastroenterology
33,nwm52_total,50,50,50,17/12/2022,Gastroenterology
33,nwm78_total,5,5,5,17/12/2022,Gastroenterology
33,wl_Deferred,0,0,0,17/12/2022,Gastroenterology
33,wl_Planned,2216,2216,2216,17/12/2022,Gastroenterology
33,wl_size_active,1250,1250,1250,17/12/2022,Gastroenterology
34,nwm104_total,0,0,0,18/12/2022,Gastroenterology
34,nwm52_total,50,50,50,18/12/2022,Gastroenterology
34,nwm78_total,5,5,5,18/12/2022,Gastroenterology
34,wl_Deferred,0,0,0,18/12/2022,Gastroenterology
34,wl_Planned,2211,2211,2211,18/12/2022,Gastroenterology
34,wl_size_active,1247,1247,1247,18/12/2022,Gastroenterology
35,nwm104_total,0,0,0,19/12/2022,Gastroenterology
35,nwm52_total,50,50,50,19/12/2022,Gastroenterology
35,nwm78_total,5,5,5,19/12/2022,Gastroenterology
35,wl_Deferred,0,0,0,19/12/2022,Gastroenterology
35,wl_Planned,2210,2210,2210,19/12/2022,Gastroenterology
35,wl_size_active,1238,1238,1238,19/12/2022,Gastroenterology
36,nwm104_total,0,0,0,20/12/2022,Gastroenterology
36,nwm52_total,56,56,56,20/12/2022,Gastroenterology
36,nwm78_total,5,5,5,20/12/2022,Gastroenterology
36,wl_Deferred,0,0,0,20/12/2022,Gastroenterology
36,wl_Planned,2207,2207,2207,20/12/2022,Gastroenterology
36,wl_size_active,1240,1240,1240,20/12/2022,Gastroenterology
37,nwm104_total,1,1,1,21/12/2022,Gastroenterology
37,nwm52_total,55,55,55,21/12/2022,Gastroenterology
37,nwm78_total,5,5,5,21/12/2022,Gastroenterology
37,wl_Deferred,0,0,0,21/12/2022,Gastroenterology
