day,metric,mean,q025,q975,date,specialty
0,nwl104_total,0,0,0,14/11/2022,General Medicine
0,nwl52_total,0,0,0,14/11/2022,General Medicine
0,nwm104_total,1,1,1,14/11/2022,General Medicine
0,nwm52_total,1,1,1,14/11/2022,General Medicine
0,nwm78_total,1,1,1,14/11/2022,General Medicine
0,wl_Deferred,0,0,0,14/11/2022,General Medicine
0,wl_Planned,1,1,1,14/11/2022,General Medicine
0,wl_size_active,1,1,1,14/11/2022,General Medicine
1,nwl104_total,0,0,0,15/11/2022,General Medicine
1,nwl52_total,0,0,0,15/11/2022,General Medicine
1,nwm104_total,1,1,1,15/11/2022,General Medicine
1,nwm52_total,1,1,1,15/11/2022,General Medicine
1,nwm78_total,1,1,1,15/11/2022,General Medicine
1,wl_Deferred,0,0,0,15/11/2022,General Medicine
1,wl_Planned,1,1,1,15/11/2022,General Medicine
1,wl_size_active,1,1,1,15/11/2022,General Medicine
2,nwl104_total,0,0,0,16/11/2022,General Medicine
2,nwl52_total,0,0,0,16/11/2022,General Medicine
2,nwm104_total,1,1,1,16/11/2022,General Medicine
2,nwm52_total,1,1,1,16/11/2022,General Medicine
2,nwm78_total,1,1,1,16/11/2022,General Medicine
2,wl_Deferred,0,0,0,16/11/2022,General Medicine
2,wl_Planned,1,1,1,16/11/2022,General Medicine
2,wl_size_active,1,1,1,16/11/2022,General Medicine
3,nwl104_total,0,0,0,17/11/2022,General Medicine
3,nwl52_total,0,0,0,17/11/2022,General Medicine
3,nwm104_total,1,1,1,17/11/2022,General Medicine
3,nwm52_total,1,1,1,17/11/2022,General Medicine
3,nwm78_total,1,1,1,17/11/2022,General Medicine
3,wl_Deferred,0,0,0,17/11/2022,General Medicine
3,wl_Planned,1,1,1,17/11/2022,General Medicine
3,wl_size_active,1,1,1,17/11/2022,General Medicine
4,nwl104_total,0,0,0,18/11/2022,General Medicine
4,nwl52_total,0,0,0,18/11/2022,General Medicine
4,nwm104_total,1,1,1,18/11/2022,General Medicine
4,nwm52_total,1,1,1,18/11/2022,General Medicine
4,nwm78_total,1,1,1,18/11/2022,General Medicine
4,wl_Deferred,0,0,0,18/11/2022,General Medicine
4,wl_Planned,1,1,1,18/11/2022,General Medicine
4,wl_size_active,1,1,1,18/11/2022,General Medicine
5,nwl104_total,0,0,0,19/11/2022,General Medicine
5,nwl52_total,0,0,0,19/11/2022,General Medicine
5,nwm104_total,1,1,1,19/11/2022,General Medicine
5,nwm52_total,1,1,1,19/11/2022,General Medicine
5,nwm78_total,1,1,1,19/11/2022,General Medicine
5,wl_Deferred,0,0,0,19/11/2022,General Medicine
5,wl_Planned,1,1,1,19/11/2022,General Medicine
5,wl_size_active,1,1,1,19/11/2022,General Medicine
6,nwl104_total,0,0,0,20/11/2022,General Medicine
6,nwl52_total,0,0,0,20/11/2022,General Medicine
6,nwm104_total,1,1,1,20/11/2022,General Medicine
6,nwm52_total,1,1,1,20/11/2022,General Medicine
6,nwm78_total,1,1,1,20/11/2022,General Medicine
6,wl_Deferred,0,0,0,20/11/2022,General Medicine
6,wl_Planned,1,1,1,20/11/2022,General Medicine
6,wl_size_active,1,1,1,20/11/2022,General Medicine
7,nwl104_total,0,0,0,21/11/2022,General Medicine
7,nwl52_total,0,0,0,21/11/2022,General Medicine
7,nwm104_total,1,1,1,21/11/2022,General Medicine
7,nwm52_total,1,1,1,21/11/2022,General Medicine
7,nwm78_total,1,1,1,21/11/2022,General Medicine
7,wl_Deferred,0,0,0,21/11/2022,General Medicine
7,wl_Planned,1,1,1,21/11/2022,General Medicine
7,wl_size_active,1,1,1,21/11/2022,General Medicine
8,nwl104_total,0,0,0,22/11/2022,General Medicine
