day,metric,mean,q025,q975,date,specialty
0,nwl104_total,0,0,0,27/09/2022,General Surgery
0,nwl52_total,388,388,388,27/09/2022,General Surgery
0,nwm104_total,0,0,0,27/09/2022,General Surgery
0,nwm52_total,83,83,83,27/09/2022,General Surgery
0,nwm78_total,15,15,15,27/09/2022,General Surgery
0,rtt_nwm78_total,15,15,15,27/09/2022,General Surgery
0,wl_size,482,482,482,27/09/2022,General Surgery
1,nwl104_total,0,0,0,28/09/2022,General Surgery
1,nwl52_total,376,376,376,28/09/2022,General Surgery
1,nwm104_total,0,0,0,28/09/2022,General Surgery
1,nwm52_total,91,91,91,28/09/2022,General Surgery
1,nwm78_total,17,17,17,28/09/2022,General Surgery
1,rtt_maxwt,0,0,0,28/09/2022,General Surgery
1,rtt_meanwt,0,0,0,28/09/2022,General Surgery
1,rtt_medianwt,0,0,0,28/09/2022,General Surgery
1,rtt_nwm78_total,17,17,17,28/09/2022,General Surgery
1,wl_size,478,478,478,28/09/2022,General Surgery
2,nwl104_total,0,0,0,29/09/2022,General Surgery
2,nwl52_total,375,375,375,29/09/2022,General Surgery
2,nwm104_total,0,0,0,29/09/2022,General Surgery
2,nwm52_total,91,91,91,29/09/2022,General Surgery
2,nwm78_total,17,17,17,29/09/2022,General Surgery
2,rtt_maxwt,0,0,0,29/09/2022,General Surgery
2,rtt_meanwt,0,0,0,29/09/2022,General Surgery
2,rtt_medianwt,0,0,0,29/09/2022,General Surgery
2,rtt_nwm78_total,17,17,17,29/09/2022,General Surgery
2,wl_size,477,477,477,29/09/2022,General Surgery
3,nwl104_total,0,0,0,30/09/2022,General Surgery
3,nwl52_total,376,376,376,30/09/2022,General Surgery
3,nwm104_total,0,0,0,30/09/2022,General Surgery
3,nwm52_total,91,91,91,30/09/2022,General Surgery
3,nwm78_total,17,17,17,30/09/2022,General Surgery
3,rtt_maxwt,0,0,0,30/09/2022,General Surgery
3,rtt_meanwt,0,0,0,30/09/2022,General Surgery
3,rtt_medianwt,0,0,0,30/09/2022,General Surgery
3,rtt_nwm78_total,17,17,17,30/09/2022,General Surgery
3,wl_size,478,478,478,30/09/2022,General Surgery
4,nwl104_total,0,0,0,01/10/2022,General Surgery
4,nwl52_total,375,375,375,01/10/2022,General Surgery
4,nwm104_total,0,0,0,01/10/2022,General Surgery
4,nwm52_total,91,91,91,01/10/2022,General Surgery
4,nwm78_total,17,17,17,01/10/2022,General Surgery
4,rtt_maxwt,1,1,1,01/10/2022,General Surgery
4,rtt_meanwt,1,1,1,01/10/2022,General Surgery
4,rtt_medianwt,1,1,1,01/10/2022,General Surgery
4,rtt_nwm78_total,17,17,17,01/10/2022,General Surgery
4,wl_size,477,477,477,01/10/2022,General Surgery
5,nwl104_total,0,0,0,02/10/2022,General Surgery
5,nwl52_total,378,378,378,02/10/2022,General Surgery
5,nwm104_total,0,0,0,02/10/2022,General Surgery
5,nwm52_total,90,90,90,02/10/2022,General Surgery
5,nwm78_total,17,17,17,02/10/2022,General Surgery
5,rtt_nwm78_total,17,17,17,02/10/2022,General Surgery
5,wl_size,479,479,479,02/10/2022,General Surgery
6,nwl104_total,0,0,0,03/10/2022,General Surgery
6,nwl52_total,377,377,377,03/10/2022,General Surgery
6,nwm104_total,0,0,0,03/10/2022,General Surgery
6,nwm52_total,90,90,90,03/10/2022,General Surgery
6,nwm78_total,17,17,17,03/10/2022,General Surgery
6,rtt_maxwt,1,1,1,03/10/2022,General Surgery
6,rtt_meanwt,1,1,1,03/10/2022,General Surgery
6,rtt_medianwt,1,1,1,03/10/2022,General Surgery
6,rtt_nwm78_total,17,17,17,03/10/2022,General Surgery
6,wl_size,478,478,478,03/10/2022,General Surgery
7,nwl104_total,0,0,0,04/10/2022,General Surgery
7,nwl52_total,376,376,376,04/10/2022,General Surgery
7,nwm104_total,0,0,0,04/10/2022,General Surgery
7,nwm52_total,90,90,90,04/10/2022,General Surgery
7,nwm78_total,17,17,17,04/10/2022,General Surgery
7,rtt_maxwt,69,69,69,04/10/2022,General Surgery
7,rtt_meanwt,35.5,35.5,35.5,04/10/2022,General Surgery
7,rtt_medianwt,35.5,35.5,35.5,04/10/2022,General Surgery
7,rtt_nwm78_total,17,17,17,04/10/2022,General Surgery
7,wl_size,477,477,477,04/10/2022,General Surgery
8,nwl104_total,0,0,0,05/10/2022,General Surgery
8,nwl52_total,371,371,371,05/10/2022,General Surgery
8,nwm104_total,0,0,0,05/10/2022,General Surgery
8,nwm52_total,90,90,90,05/10/2022,General Surgery
8,nwm78_total,22,22,22,05/10/2022,General Surgery
8,rtt_maxwt,4,4,4,05/10/2022,General Surgery
8,rtt_meanwt,2.2,2.2,2.2,05/10/2022,General Surgery
8,rtt_medianwt,2,2,2,05/10/2022,General Surgery
8,rtt_nwm78_total,22,22,22,05/10/2022,General Surgery
8,wl_size,472,472,472,05/10/2022,General Surgery
9,nwl104_total,0,0,0,06/10/2022,General Surgery
9,nwl52_total,368,368,368,06/10/2022,General Surgery
9,nwm104_total,0,0,0,06/10/2022,General Surgery
9,nwm52_total,90,90,90,06/10/2022,General Surgery
9,nwm78_total,22,22,22,06/10/2022,General Surgery
9,rtt_maxwt,5,5,5,06/10/2022,General Surgery
9,rtt_meanwt,2.75,2.75,2.75,06/10/2022,General Surgery
9,rtt_medianwt,3,3,3,06/10/2022,General Surgery
9,rtt_nwm78_total,22,22,22,06/10/2022,General Surgery
9,wl_size,469,469,469,06/10/2022,General Surgery
10,nwl104_total,0,0,0,07/10/2022,General Surgery
10,nwl52_total,366,366,366,07/10/2022,General Surgery
10,nwm104_total,0,0,0,07/10/2022,General Surgery
10,nwm52_total,90,90,90,07/10/2022,General Surgery
10,nwm78_total,22,22,22,07/10/2022,General Surgery
10,rtt_maxwt,2,2,2,07/10/2022,General Surgery
10,rtt_meanwt,1,1,1,07/10/2022,General Surgery
10,rtt_medianwt,1,1,1,07/10/2022,General Surgery
10,rtt_nwm78_total,22,22,22,07/10/2022,General Surgery
10,wl_size,467,467,467,07/10/2022,General Surgery
11,nwl104_total,0,0,0,08/10/2022,General Surgery
11,nwl52_total,362,362,362,08/10/2022,General Surgery
11,nwm104_total,0,0,0,08/10/2022,General Surgery
11,nwm52_total,90,90,90,08/10/2022,General Surgery
11,nwm78_total,22,22,22,08/10/2022,General Surgery
11,rtt_maxwt,3,3,3,08/10/2022,General Surgery
11,rtt_meanwt,2.5,2.5,2.5,08/10/2022,General Surgery
11,rtt_medianwt,2.5,2.5,2.5,08/10/2022,General Surgery
11,rtt_nwm78_total,22,22,22,08/10/2022,General Surgery
11,wl_size,463,463,463,08/10/2022,General Surgery
12,nwl104_total,0,0,0,09/10/2022,General Surgery
12,nwl52_total,361,361,361,09/10/2022,General Surgery
12,nwm104_total,0,0,0,09/10/2022,General Surgery
12,nwm52_total,90,90,90,09/10/2022,General Surgery
12,nwm78_total,22,22,22,09/10/2022,General Surgery
12,rtt_maxwt,0,0,0,09/10/2022,General Surgery
12,rtt_meanwt,0,0,0,09/10/2022,General Surgery
12,rtt_medianwt,0,0,0,09/10/2022,General Surgery
12,rtt_nwm78_total,22,22,22,09/10/2022,General Surgery
12,wl_size,462,462,462,09/10/2022,General Surgery
13,nwl104_total,0,0,0,10/10/2022,General Surgery
13,nwl52_total,358,358,358,10/10/2022,General Surgery
13,nwm104_total,0,0,0,10/10/2022,General Surgery
13,nwm52_total,90,90,90,10/10/2022,General Surgery
13,nwm78_total,22,22,22,10/10/2022,General Surgery
13,rtt_maxwt,162,162,162,10/10/2022,General Surgery
13,rtt_meanwt,54,54,54,10/10/2022,General Surgery
13,rtt_medianwt,0,0,0,10/10/2022,General Surgery
13,rtt_nwm78_total,22,22,22,10/10/2022,General Surgery
13,wl_size,459,459,459,10/10/2022,General Surgery
14,nwl104_total,0,0,0,11/10/2022,General Surgery
14,nwl52_total,356,356,356,11/10/2022,General Surgery
14,nwm104_total,0,0,0,11/10/2022,General Surgery
14,nwm52_total,86,86,86,11/10/2022,General Surgery
14,nwm78_total,21,21,21,11/10/2022,General Surgery
14,rtt_maxwt,0,0,0,11/10/2022,General Surgery
14,rtt_meanwt,0,0,0,11/10/2022,General Surgery
14,rtt_medianwt,0,0,0,11/10/2022,General Surgery
14,rtt_nwm78_total,21,21,21,11/10/2022,General Surgery
14,wl_size,453,453,453,11/10/2022,General Surgery
15,nwl104_total,0,0,0,12/10/2022,General Surgery
15,nwl52_total,351,351,351,12/10/2022,General Surgery
15,nwm104_total,0,0,0,12/10/2022,General Surgery
15,nwm52_total,89,89,89,12/10/2022,General Surgery
15,nwm78_total,22,22,22,12/10/2022,General Surgery
15,rtt_maxwt,0,0,0,12/10/2022,General Surgery
15,rtt_meanwt,0,0,0,12/10/2022,General Surgery
15,rtt_medianwt,0,0,0,12/10/2022,General Surgery
15,rtt_nwm78_total,22,22,22,12/10/2022,General Surgery
15,wl_size,451,451,451,12/10/2022,General Surgery
16,nwl104_total,0,0,0,13/10/2022,General Surgery
16,nwl52_total,348,348,348,13/10/2022,General Surgery
16,nwm104_total,0,0,0,13/10/2022,General Surgery
16,nwm52_total,89,89,89,13/10/2022,General Surgery
16,nwm78_total,22,22,22,13/10/2022,General Surgery
16,rtt_maxwt,0,0,0,13/10/2022,General Surgery
16,rtt_meanwt,0,0,0,13/10/2022,General Surgery
16,rtt_medianwt,0,0,0,13/10/2022,General Surgery
16,rtt_nwm78_total,22,22,22,13/10/2022,General Surgery
16,wl_size,448,448,448,13/10/2022,General Surgery
17,nwl104_total,0,0,0,14/10/2022,General Surgery
17,nwl52_total,348,348,348,14/10/2022,General Surgery
17,nwm104_total,0,0,0,14/10/2022,General Surgery
17,nwm52_total,89,89,89,14/10/2022,General Surgery
17,nwm78_total,22,22,22,14/10/2022,General Surgery
17,rtt_maxwt,0,0,0,14/10/2022,General Surgery
17,rtt_meanwt,0,0,0,14/10/2022,General Surgery
17,rtt_medianwt,0,0,0,14/10/2022,General Surgery
17,rtt_nwm78_total,22,22,22,14/10/2022,General Surgery
17,wl_size,448,448,448,14/10/2022,General Surgery
18,nwl104_total,0,0,0,15/10/2022,General Surgery
18,nwl52_total,346,346,346,15/10/2022,General Surgery
18,nwm104_total,0,0,0,15/10/2022,General Surgery
18,nwm52_total,89,89,89,15/10/2022,General Surgery
18,nwm78_total,22,22,22,15/10/2022,General Surgery
18,rtt_maxwt,0,0,0,15/10/2022,General Surgery
18,rtt_meanwt,0,0,0,15/10/2022,General Surgery
18,rtt_medianwt,0,0,0,15/10/2022,General Surgery
18,rtt_nwm78_total,22,22,22,15/10/2022,General Surgery
18,wl_size,446,446,446,15/10/2022,General Surgery
19,nwl104_total,0,0,0,16/10/2022,General Surgery
19,nwl52_total,0,0,0,16/10/2022,General Surgery
19,nwm104_total,0,0,0,16/10/2022,General Surgery
19,nwm52_total,0,0,0,16/10/2022,General Surgery
19,nwm78_total,0,0,0,16/10/2022,General Surgery
19,rtt_nwm78_total,0,0,0,16/10/2022,General Surgery
19,wl_size,0,0,0,16/10/2022,General Surgery
20,nwl104_total,0,0,0,17/10/2022,General Surgery
20,nwl52_total,0,0,0,17/10/2022,General Surgery
20,nwm104_total,0,0,0,17/10/2022,General Surgery
20,nwm52_total,0,0,0,17/10/2022,General Surgery
20,nwm78_total,0,0,0,17/10/2022,General Surgery
20,rtt_nwm78_total,0,0,0,17/10/2022,General Surgery
20,wl_size,0,0,0,17/10/2022,General Surgery
21,nwl104_total,0,0,0,18/10/2022,General Surgery
21,nwl52_total,0,0,0,18/10/2022,General Surgery
21,nwm104_total,0,0,0,18/10/2022,General Surgery
21,nwm52_total,0,0,0,18/10/2022,General Surgery
21,nwm78_total,0,0,0,18/10/2022,General Surgery
21,rtt_maxwt,0,0,0,18/10/2022,General Surgery
21,rtt_meanwt,0,0,0,18/10/2022,General Surgery
21,rtt_medianwt,0,0,0,18/10/2022,General Surgery
21,rtt_nwm78_total,0,0,0,18/10/2022,General Surgery
21,wl_size,0,0,0,18/10/2022,General Surgery
22,nwl104_total,0,0,0,19/10/2022,General Surgery
22,nwl52_total,0,0,0,19/10/2022,General Surgery
22,nwm104_total,0,0,0,19/10/2022,General Surgery
22,nwm52_total,0,0,0,19/10/2022,General Surgery
22,nwm78_total,0,0,0,19/10/2022,General Surgery
22,rtt_maxwt,0,0,0,19/10/2022,General Surgery
22,rtt_meanwt,0,0,0,19/10/2022,General Surgery
22,rtt_medianwt,0,0,0,19/10/2022,General Surgery
22,rtt_nwm78_total,0,0,0,19/10/2022,General Surgery
22,wl_size,0,0,0,19/10/2022,General Surgery
23,nwl104_total,0,0,0,20/10/2022,General Surgery
23,nwl52_total,0,0,0,20/10/2022,General Surgery
23,nwm104_total,0,0,0,20/10/2022,General Surgery
23,nwm52_total,0,0,0,20/10/2022,General Surgery
23,nwm78_total,0,0,0,20/10/2022,General Surgery
23,rtt_maxwt,0,0,0,20/10/2022,General Surgery
23,rtt_meanwt,0,0,0,20/10/2022,General Surgery
23,rtt_medianwt,0,0,0,20/10/2022,General Surgery
23,rtt_nwm78_total,0,0,0,20/10/2022,General Surgery
23,wl_size,0,0,0,20/10/2022,General Surgery
24,nwl104_total,0,0,0,21/10/2022,General Surgery
24,nwl52_total,0,0,0,21/10/2022,General Surgery
24,nwm104_total,0,0,0,21/10/2022,General Surgery
24,nwm52_total,0,0,0,21/10/2022,General Surgery
24,nwm78_total,0,0,0,21/10/2022,General Surgery
24,rtt_maxwt,86,86,86,21/10/2022,General Surgery
24,rtt_meanwt,86,86,86,21/10/2022,General Surgery
24,rtt_medianwt,86,86,86,21/10/2022,General Surgery
24,rtt_nwm78_total,0,0,0,21/10/2022,General Surgery
24,wl_size,0,0,0,21/10/2022,General Surgery
25,nwl104_total,0,0,0,22/10/2022,General Surgery
25,nwl52_total,0,0,0,22/10/2022,General Surgery
25,nwm104_total,0,0,0,22/10/2022,General Surgery
25,nwm52_total,0,0,0,22/10/2022,General Surgery
25,nwm78_total,0,0,0,22/10/2022,General Surgery
25,rtt_maxwt,0,0,0,22/10/2022,General Surgery
25,rtt_meanwt,0,0,0,22/10/2022,General Surgery
25,rtt_medianwt,0,0,0,22/10/2022,General Surgery
25,rtt_nwm78_total,0,0,0,22/10/2022,General Surgery
25,wl_size,0,0,0,22/10/2022,General Surgery
26,nwl104_total,0,0,0,23/10/2022,General Surgery
26,nwl52_total,0,0,0,23/10/2022,General Surgery
26,nwm104_total,0,0,0,23/10/2022,General Surgery
26,nwm52_total,0,0,0,23/10/2022,General Surgery
26,nwm78_total,0,0,0,23/10/2022,General Surgery
26,rtt_nwm78_total,0,0,0,23/10/2022,General Surgery
26,wl_size,0,0,0,23/10/2022,General Surgery
27,nwl104_total,0,0,0,24/10/2022,General Surgery
27,nwl52_total,0,0,0,24/10/2022,General Surgery
