day,metric,mean,q025,q975,date,specialty
0,nwl104_total,0,0,0,14/11/2022,Haematology
0,nwl52_total,1,1,1,14/11/2022,Haematology
0,nwm104_total,0,0,0,14/11/2022,Haematology
0,nwm52_total,0,0,0,14/11/2022,Haematology
0,nwm78_total,6,6,6,14/11/2022,Haematology
0,wl_Deferred,0,0,0,14/11/2022,Haematology
0,wl_Planned,45,45,45,14/11/2022,Haematology
0,wl_size_active,1,1,1,14/11/2022,Haematology
1,nwl104_total,0,0,0,15/11/2022,Haematology
1,nwl52_total,1,1,1,15/11/2022,Haematology
1,nwm104_total,0,0,0,15/11/2022,Haematology
1,nwm52_total,0,0,0,15/11/2022,Haematology
1,nwm78_total,8,8,8,15/11/2022,Haematology
1,wl_Deferred,0,0,0,15/11/2022,Haematology
1,wl_Planned,45,45,45,15/11/2022,Haematology
1,wl_size_active,1,1,1,15/11/2022,Haematology
2,nwl104_total,0,0,0,16/11/2022,Haematology
2,nwl52_total,1,1,1,16/11/2022,Haematology
2,nwm104_total,0,0,0,16/11/2022,Haematology
2,nwm52_total,0,0,0,16/11/2022,Haematology
2,nwm78_total,7,7,7,16/11/2022,Haematology
2,wl_Deferred,0,0,0,16/11/2022,Haematology
2,wl_Planned,44,44,44,16/11/2022,Haematology
2,wl_size_active,1,1,1,16/11/2022,Haematology
3,nwl104_total,0,0,0,17/11/2022,Haematology
3,nwl52_total,1,1,1,17/11/2022,Haematology
3,nwm104_total,0,0,0,17/11/2022,Haematology
3,nwm52_total,0,0,0,17/11/2022,Haematology
3,nwm78_total,6,6,6,17/11/2022,Haematology
3,wl_Deferred,0,0,0,17/11/2022,Haematology
3,wl_Planned,43,43,43,17/11/2022,Haematology
3,wl_size_active,1,1,1,17/11/2022,Haematology
4,nwl104_total,0,0,0,18/11/2022,Haematology
4,nwl52_total,1,1,1,18/11/2022,Haematology
4,nwm104_total,0,0,0,18/11/2022,Haematology
4,nwm52_total,0,0,0,18/11/2022,Haematology
4,nwm78_total,6,6,6,18/11/2022,Haematology
4,wl_Deferred,0,0,0,18/11/2022,Haematology
4,wl_Planned,42,42,42,18/11/2022,Haematology
4,wl_size_active,1,1,1,18/11/2022,Haematology
5,nwl104_total,0,0,0,19/11/2022,Haematology
5,nwl52_total,1,1,1,19/11/2022,Haematology
5,nwm104_total,0,0,0,19/11/2022,Haematology
5,nwm52_total,0,0,0,19/11/2022,Haematology
5,nwm78_total,6,6,6,19/11/2022,Haematology
5,wl_Deferred,0,0,0,19/11/2022,Haematology
5,wl_Planned,42,42,42,19/11/2022,Haematology
5,wl_size_active,1,1,1,19/11/2022,Haematology
6,nwl104_total,0,0,0,20/11/2022,Haematology
6,nwl52_total,1,1,1,20/11/2022,Haematology
6,nwm104_total,0,0,0,20/11/2022,Haematology
6,nwm52_total,0,0,0,20/11/2022,Haematology
6,nwm78_total,6,6,6,20/11/2022,Haematology
6,wl_Deferred,0,0,0,20/11/2022,Haematology
6,wl_Planned,42,42,42,20/11/2022,Haematology
6,wl_size_active,1,1,1,20/11/2022,Haematology
7,nwl104_total,0,0,0,21/11/2022,Haematology
7,nwl52_total,1,1,1,21/11/2022,Haematology
7,nwm104_total,0,0,0,21/11/2022,Haematology
7,nwm52_total,0,0,0,21/11/2022,Haematology
7,nwm78_total,6,6,6,21/11/2022,Haematology
7,wl_Deferred,0,0,0,21/11/2022,Haematology
7,wl_Planned,42,42,42,21/11/2022,Haematology
7,wl_size_active,1,1,1,21/11/2022,Haematology
8,nwl104_total,0,0,0,22/11/2022,Haematology
8,nwl52_total,1,1,1,22/11/2022,Haematology
8,nwm104_total,0,0,0,22/11/2022,Haematology
8,nwm52_total,0,0,0,22/11/2022,Haematology
8,nwm78_total,8,8,8,22/11/2022,Haematology
8,wl_Deferred,0,0,0,22/11/2022,Haematology
8,wl_Planned,42,42,42,22/11/2022,Haematology
8,wl_size_active,1,1,1,22/11/2022,Haematology
9,nwl104_total,0,0,0,23/11/2022,Haematology
9,nwl52_total,1,1,1,23/11/2022,Haematology
9,nwm104_total,0,0,0,23/11/2022,Haematology
9,nwm52_total,0,0,0,23/11/2022,Haematology
9,nwm78_total,7,7,7,23/11/2022,Haematology
9,wl_Deferred,0,0,0,23/11/2022,Haematology
9,wl_Planned,39,39,39,23/11/2022,Haematology
9,wl_size_active,1,1,1,23/11/2022,Haematology
10,nwl104_total,0,0,0,24/11/2022,Haematology
10,nwl52_total,1,1,1,24/11/2022,Haematology
10,nwm104_total,0,0,0,24/11/2022,Haematology
10,nwm52_total,0,0,0,24/11/2022,Haematology
10,nwm78_total,7,7,7,24/11/2022,Haematology
10,wl_Deferred,0,0,0,24/11/2022,Haematology
10,wl_Planned,39,39,39,24/11/2022,Haematology
10,wl_size_active,1,1,1,24/11/2022,Haematology
11,nwl104_total,0,0,0,25/11/2022,Haematology
11,nwl52_total,1,1,1,25/11/2022,Haematology
11,nwm104_total,0,0,0,25/11/2022,Haematology
11,nwm52_total,0,0,0,25/11/2022,Haematology
11,nwm78_total,7,7,7,25/11/2022,Haematology
11,wl_Deferred,0,0,0,25/11/2022,Haematology
11,wl_Planned,39,39,39,25/11/2022,Haematology
11,wl_size_active,1,1,1,25/11/2022,Haematology
12,nwl104_total,0,0,0,26/11/2022,Haematology
12,nwl52_total,1,1,1,26/11/2022,Haematology
12,nwm104_total,0,0,0,26/11/2022,Haematology
12,nwm52_total,0,0,0,26/11/2022,Haematology
12,nwm78_total,7,7,7,26/11/2022,Haematology
12,wl_Deferred,0,0,0,26/11/2022,Haematology
12,wl_Planned,39,39,39,26/11/2022,Haematology
12,wl_size_active,1,1,1,26/11/2022,Haematology
13,nwl104_total,0,0,0,27/11/2022,Haematology
13,nwl52_total,0,0,0,27/11/2022,Haematology
13,nwm104_total,0,0,0,27/11/2022,Haematology
13,nwm52_total,0,0,0,27/11/2022,Haematology
13,nwm78_total,7,7,7,27/11/2022,Haematology
13,wl_Deferred,0,0,0,27/11/2022,Haematology
13,wl_Planned,39,39,39,27/11/2022,Haematology
13,wl_size_active,0,0,0,27/11/2022,Haematology
14,nwl104_total,0,0,0,28/11/2022,Haematology
14,nwl52_total,0,0,0,28/11/2022,Haematology
14,nwm104_total,0,0,0,28/11/2022,Haematology
14,nwm52_total,0,0,0,28/11/2022,Haematology
14,nwm78_total,7,7,7,28/11/2022,Haematology
14,wl_Deferred,0,0,0,28/11/2022,Haematology
14,wl_Planned,39,39,39,28/11/2022,Haematology
14,wl_size_active,0,0,0,28/11/2022,Haematology
15,nwl104_total,0,0,0,29/11/2022,Haematology
15,nwl52_total,0,0,0,29/11/2022,Haematology
15,nwm104_total,0,0,0,29/11/2022,Haematology
15,nwm52_total,0,0,0,29/11/2022,Haematology
15,nwm78_total,7,7,7,29/11/2022,Haematology
15,wl_Deferred,0,0,0,29/11/2022,Haematology
15,wl_Planned,39,39,39,29/11/2022,Haematology
15,wl_size_active,0,0,0,29/11/2022,Haematology
16,nwl104_total,0,0,0,30/11/2022,Haematology
16,nwl52_total,0,0,0,30/11/2022,Haematology
16,nwm104_total,0,0,0,30/11/2022,Haematology
16,nwm52_total,0,0,0,30/11/2022,Haematology
16,nwm78_total,0,0,0,30/11/2022,Haematology
16,wl_Deferred,0,0,0,30/11/2022,Haematology
16,wl_Planned,0,0,0,30/11/2022,Haematology
16,wl_size_active,0,0,0,30/11/2022,Haematology
17,nwl104_total,0,0,0,01/12/2022,Haematology
17,nwl52_total,0,0,0,01/12/2022,Haematology
17,nwm104_total,0,0,0,01/12/2022,Haematology
17,nwm52_total,0,0,0,01/12/2022,Haematology
17,nwm78_total,0,0,0,01/12/2022,Haematology
17,wl_Deferred,0,0,0,01/12/2022,Haematology
17,wl_Planned,0,0,0,01/12/2022,Haematology
17,wl_size_active,0,0,0,01/12/2022,Haematology
18,nwl104_total,0,0,0,02/12/2022,Haematology
18,nwl52_total,0,0,0,02/12/2022,Haematology
18,nwm104_total,0,0,0,02/12/2022,Haematology
18,nwm52_total,0,0,0,02/12/2022,Haematology
18,nwm78_total,0,0,0,02/12/2022,Haematology
18,wl_Deferred,0,0,0,02/12/2022,Haematology
18,wl_Planned,0,0,0,02/12/2022,Haematology
18,wl_size_active,0,0,0,02/12/2022,Haematology
19,nwl104_total,0,0,0,03/12/2022,Haematology
19,nwl52_total,0,0,0,03/12/2022,Haematology
19,nwm104_total,0,0,0,03/12/2022,Haematology
19,nwm52_total,0,0,0,03/12/2022,Haematology
19,nwm78_total,0,0,0,03/12/2022,Haematology
19,wl_Deferred,0,0,0,03/12/2022,Haematology
19,wl_Planned,0,0,0,03/12/2022,Haematology
19,wl_size_active,0,0,0,03/12/2022,Haematology
20,nwl104_total,0,0,0,04/12/2022,Haematology
20,nwl52_total,0,0,0,04/12/2022,Haematology
20,nwm104_total,0,0,0,04/12/2022,Haematology
20,nwm52_total,0,0,0,04/12/2022,Haematology
20,nwm78_total,0,0,0,04/12/2022,Haematology
20,wl_Deferred,0,0,0,04/12/2022,Haematology
20,wl_Planned,0,0,0,04/12/2022,Haematology
20,wl_size_active,0,0,0,04/12/2022,Haematology
21,nwl104_total,0,0,0,05/12/2022,Haematology
21,nwl52_total,0,0,0,05/12/2022,Haematology
21,nwm104_total,0,0,0,05/12/2022,Haematology
21,nwm52_total,0,0,0,05/12/2022,Haematology
21,nwm78_total,0,0,0,05/12/2022,Haematology
21,wl_Deferred,0,0,0,05/12/2022,Haematology
21,wl_Planned,0,0,0,05/12/2022,Haematology
21,wl_size_active,0,0,0,05/12/2022,Haematology
22,nwl104_total,0,0,0,06/12/2022,Haematology
22,nwl52_total,0,0,0,06/12/2022,Haematology
22,nwm104_total,0,0,0,06/12/2022,Haematology
22,nwm52_total,0,0,0,06/12/2022,Haematology
22,nwm78_total,0,0,0,06/12/2022,Haematology
22,wl_Deferred,0,0,0,06/12/2022,Haematology
22,wl_Planned,0,0,0,06/12/2022,Haematology
22,wl_size_active,0,0,0,06/12/2022,Haematology
23,nwl104_total,0,0,0,07/12/2022,Haematology
23,nwl52_total,0,0,0,07/12/2022,Haematology
