day,metric,mean,q025,q975,date,specialty
0,nwl104_total,0,0,0,14/11/2022,Ophthalmology
0,nwl52_total,537,537,537,14/11/2022,Ophthalmology
0,nwm104_total,0,0,0,14/11/2022,Ophthalmology
0,nwm52_total,52,52,52,14/11/2022,Ophthalmology
0,nwm78_total,6,6,6,14/11/2022,Ophthalmology
0,wl_Deferred,0,0,0,14/11/2022,Ophthalmology
0,wl_Planned,15,15,15,14/11/2022,Ophthalmology
0,wl_size_active,589,589,589,14/11/2022,Ophthalmology
1,nwl104_total,0,0,0,15/11/2022,Ophthalmology
1,nwl52_total,536,536,536,15/11/2022,Ophthalmology
1,nwm104_total,0,0,0,15/11/2022,Ophthalmology
1,nwm52_total,54,54,54,15/11/2022,Ophthalmology
1,nwm78_total,6,6,6,15/11/2022,Ophthalmology
1,wl_Deferred,0,0,0,15/11/2022,Ophthalmology
1,wl_Planned,15,15,15,15/11/2022,Ophthalmology
1,wl_size_active,590,590,590,15/11/2022,Ophthalmology
2,nwl104_total,0,0,0,16/11/2022,Ophthalmology
2,nwl52_total,533,533,533,16/11/2022,Ophthalmology
2,nwm104_total,0,0,0,16/11/2022,Ophthalmology
2,nwm52_total,53,53,53,16/11/2022,Ophthalmology
2,nwm78_total,6,6,6,16/11/2022,Ophthalmology
2,wl_Deferred,0,0,0,16/11/2022,Ophthalmology
2,wl_Planned,15,15,15,16/11/2022,Ophthalmology
2,wl_size_active,586,586,586,16/11/2022,Ophthalmology
3,nwl104_total,0,0,0,17/11/2022,Ophthalmology
3,nwl52_total,531,531,531,17/11/2022,Ophthalmology
3,nwm104_total,0,0,0,17/11/2022,Ophthalmology
3,nwm52_total,53,53,53,17/11/2022,Ophthalmology
3,nwm78_total,6,6,6,17/11/2022,Ophthalmology
3,wl_Deferred,0,0,0,17/11/2022,Ophthalmology
3,wl_Planned,15,15,15,17/11/2022,Ophthalmology
3,wl_size_active,584,584,584,17/11/2022,Ophthalmology
4,nwl104_total,0,0,0,18/11/2022,Ophthalmology
4,nwl52_total,534,534,534,18/11/2022,Ophthalmology
4,nwm104_total,0,0,0,18/11/2022,Ophthalmology
4,nwm52_total,53,53,53,18/11/2022,Ophthalmology
4,nwm78_total,6,6,6,18/11/2022,Ophthalmology
4,wl_Deferred,0,0,0,18/11/2022,Ophthalmology
4,wl_Planned,15,15,15,18/11/2022,Ophthalmology
4,wl_size_active,587,587,587,18/11/2022,Ophthalmology
5,nwl104_total,0,0,0,19/11/2022,Ophthalmology
5,nwl52_total,532,532,532,19/11/2022,Ophthalmology
5,nwm104_total,0,0,0,19/11/2022,Ophthalmology
5,nwm52_total,53,53,53,19/11/2022,Ophthalmology
5,nwm78_total,6,6,6,19/11/2022,Ophthalmology
5,wl_Deferred,0,0,0,19/11/2022,Ophthalmology
5,wl_Planned,15,15,15,19/11/2022,Ophthalmology
5,wl_size_active,585,585,585,19/11/2022,Ophthalmology
6,nwl104_total,0,0,0,20/11/2022,Ophthalmology
6,nwl52_total,530,530,530,20/11/2022,Ophthalmology
6,nwm104_total,0,0,0,20/11/2022,Ophthalmology
6,nwm52_total,53,53,53,20/11/2022,Ophthalmology
6,nwm78_total,6,6,6,20/11/2022,Ophthalmology
6,wl_Deferred,0,0,0,20/11/2022,Ophthalmology
6,wl_Planned,15,15,15,20/11/2022,Ophthalmology
6,wl_size_active,583,583,583,20/11/2022,Ophthalmology
7,nwl104_total,0,0,0,21/11/2022,Ophthalmology
7,nwl52_total,531,531,531,21/11/2022,Ophthalmology
7,nwm104_total,0,0,0,21/11/2022,Ophthalmology
7,nwm52_total,53,53,53,21/11/2022,Ophthalmology
7,nwm78_total,6,6,6,21/11/2022,Ophthalmology
7,wl_Deferred,0,0,0,21/11/2022,Ophthalmology
7,wl_Planned,15,15,15,21/11/2022,Ophthalmology
7,wl_size_active,584,584,584,21/11/2022,Ophthalmology
8,nwl104_total,0,0,0,22/11/2022,Ophthalmology
8,nwl52_total,525,525,525,22/11/2022,Ophthalmology
8,nwm104_total,0,0,0,22/11/2022,Ophthalmology
8,nwm52_total,55,55,55,22/11/2022,Ophthalmology
8,nwm78_total,8,8,8,22/11/2022,Ophthalmology
8,wl_Deferred,0,0,0,22/11/2022,Ophthalmology
8,wl_Planned,15,15,15,22/11/2022,Ophthalmology
8,wl_size_active,580,580,580,22/11/2022,Ophthalmology
9,nwl104_total,0,0,0,23/11/2022,Ophthalmology
9,nwl52_total,528,528,528,23/11/2022,Ophthalmology
9,nwm104_total,0,0,0,23/11/2022,Ophthalmology
9,nwm52_total,55,55,55,23/11/2022,Ophthalmology
9,nwm78_total,8,8,8,23/11/2022,Ophthalmology
9,wl_Deferred,0,0,0,23/11/2022,Ophthalmology
9,wl_Planned,15,15,15,23/11/2022,Ophthalmology
9,wl_size_active,583,583,583,23/11/2022,Ophthalmology
10,nwl104_total,0,0,0,24/11/2022,Ophthalmology
10,nwl52_total,529,529,529,24/11/2022,Ophthalmology
10,nwm104_total,0,0,0,24/11/2022,Ophthalmology
10,nwm52_total,55,55,55,24/11/2022,Ophthalmology
10,nwm78_total,8,8,8,24/11/2022,Ophthalmology
10,wl_Deferred,0,0,0,24/11/2022,Ophthalmology
10,wl_Planned,16,16,16,24/11/2022,Ophthalmology
10,wl_size_active,584,584,584,24/11/2022,Ophthalmology
11,nwl104_total,0,0,0,25/11/2022,Ophthalmology
11,nwl52_total,533,533,533,25/11/2022,Ophthalmology
11,nwm104_total,0,0,0,25/11/2022,Ophthalmology
11,nwm52_total,55,55,55,25/11/2022,Ophthalmology
11,nwm78_total,8,8,8,25/11/2022,Ophthalmology
11,wl_Deferred,0,0,0,25/11/2022,Ophthalmology
11,wl_Planned,16,16,16,25/11/2022,Ophthalmology
11,wl_size_active,588,588,588,25/11/2022,Ophthalmology
12,nwl104_total,0,0,0,26/11/2022,Ophthalmology
12,nwl52_total,535,535,535,26/11/2022,Ophthalmology
12,nwm104_total,0,0,0,26/11/2022,Ophthalmology
12,nwm52_total,55,55,55,26/11/2022,Ophthalmology
12,nwm78_total,8,8,8,26/11/2022,Ophthalmology
12,wl_Deferred,0,0,0,26/11/2022,Ophthalmology
12,wl_Planned,15,15,15,26/11/2022,Ophthalmology
12,wl_size_active,590,590,590,26/11/2022,Ophthalmology
13,nwl104_total,0,0,0,27/11/2022,Ophthalmology
13,nwl52_total,535,535,535,27/11/2022,Ophthalmology
13,nwm104_total,0,0,0,27/11/2022,Ophthalmology
13,nwm52_total,55,55,55,27/11/2022,Ophthalmology
13,nwm78_total,8,8,8,27/11/2022,Ophthalmology
13,wl_Deferred,0,0,0,27/11/2022,Ophthalmology
13,wl_Planned,15,15,15,27/11/2022,Ophthalmology
13,wl_size_active,590,590,590,27/11/2022,Ophthalmology
14,nwl104_total,0,0,0,28/11/2022,Ophthalmology
14,nwl52_total,540,540,540,28/11/2022,Ophthalmology
14,nwm104_total,0,0,0,28/11/2022,Ophthalmology
14,nwm52_total,54,54,54,28/11/2022,Ophthalmology
14,nwm78_total,4,4,4,28/11/2022,Ophthalmology
14,wl_Deferred,0,0,0,28/11/2022,Ophthalmology
14,wl_Planned,12,12,12,28/11/2022,Ophthalmology
14,wl_size_active,594,594,594,28/11/2022,Ophthalmology
15,nwl104_total,0,0,0,29/11/2022,Ophthalmology
15,nwl52_total,540,540,540,29/11/2022,Ophthalmology
15,nwm104_total,0,0,0,29/11/2022,Ophthalmology
15,nwm52_total,52,52,52,29/11/2022,Ophthalmology
15,nwm78_total,0,0,0,29/11/2022,Ophthalmology
15,wl_Deferred,0,0,0,29/11/2022,Ophthalmology
15,wl_Planned,12,12,12,29/11/2022,Ophthalmology
15,wl_size_active,592,592,592,29/11/2022,Ophthalmology
16,nwl104_total,0,0,0,30/11/2022,Ophthalmology
16,nwl52_total,539,539,539,30/11/2022,Ophthalmology
16,nwm104_total,0,0,0,30/11/2022,Ophthalmology
16,nwm52_total,46,46,46,30/11/2022,Ophthalmology
16,nwm78_total,0,0,0,30/11/2022,Ophthalmology
16,wl_Deferred,0,0,0,30/11/2022,Ophthalmology
16,wl_Planned,12,12,12,30/11/2022,Ophthalmology
16,wl_size_active,585,585,585,30/11/2022,Ophthalmology
17,nwl104_total,0,0,0,01/12/2022,Ophthalmology
17,nwl52_total,545,545,545,01/12/2022,Ophthalmology
17,nwm104_total,0,0,0,01/12/2022,Ophthalmology
17,nwm52_total,45,45,45,01/12/2022,Ophthalmology
17,nwm78_total,0,0,0,01/12/2022,Ophthalmology
17,wl_Deferred,0,0,0,01/12/2022,Ophthalmology
17,wl_Planned,12,12,12,01/12/2022,Ophthalmology
17,wl_size_active,590,590,590,01/12/2022,Ophthalmology
18,nwl104_total,0,0,0,02/12/2022,Ophthalmology
18,nwl52_total,544,544,544,02/12/2022,Ophthalmology
18,nwm104_total,0,0,0,02/12/2022,Ophthalmology
18,nwm52_total,44,44,44,02/12/2022,Ophthalmology
18,nwm78_total,0,0,0,02/12/2022,Ophthalmology
18,wl_Deferred,0,0,0,02/12/2022,Ophthalmology
18,wl_Planned,12,12,12,02/12/2022,Ophthalmology
18,wl_size_active,588,588,588,02/12/2022,Ophthalmology
19,nwl104_total,0,0,0,03/12/2022,Ophthalmology
19,nwl52_total,547,547,547,03/12/2022,Ophthalmology
19,nwm104_total,0,0,0,03/12/2022,Ophthalmology
19,nwm52_total,42,42,42,03/12/2022,Ophthalmology
19,nwm78_total,0,0,0,03/12/2022,Ophthalmology
19,wl_Deferred,0,0,0,03/12/2022,Ophthalmology
19,wl_Planned,12,12,12,03/12/2022,Ophthalmology
19,wl_size_active,589,589,589,03/12/2022,Ophthalmology
20,nwl104_total,0,0,0,04/12/2022,Ophthalmology
20,nwl52_total,550,550,550,04/12/2022,Ophthalmology
20,nwm104_total,0,0,0,04/12/2022,Ophthalmology
20,nwm52_total,38,38,38,04/12/2022,Ophthalmology
20,nwm78_total,0,0,0,04/12/2022,Ophthalmology
20,wl_Deferred,0,0,0,04/12/2022,Ophthalmology
20,wl_Planned,12,12,12,04/12/2022,Ophthalmology
20,wl_size_active,588,588,588,04/12/2022,Ophthalmology
21,nwl104_total,0,0,0,05/12/2022,Ophthalmology
21,nwl52_total,557,557,557,05/12/2022,Ophthalmology
21,nwm104_total,0,0,0,05/12/2022,Ophthalmology
21,nwm52_total,34,34,34,05/12/2022,Ophthalmology
21,nwm78_total,0,0,0,05/12/2022,Ophthalmology
21,wl_Deferred,0,0,0,05/12/2022,Ophthalmology
21,wl_Planned,12,12,12,05/12/2022,Ophthalmology
21,wl_size_active,591,591,591,05/12/2022,Ophthalmology
22,nwl104_total,0,0,0,06/12/2022,Ophthalmology
22,nwl52_total,553,553,553,06/12/2022,Ophthalmology
22,nwm104_total,0,0,0,06/12/2022,Ophthalmology
22,nwm52_total,39,39,39,06/12/2022,Ophthalmology
22,nwm78_total,0,0,0,06/12/2022,Ophthalmology
22,wl_Deferred,0,0,0,06/12/2022,Ophthalmology
22,wl_Planned,13,13,13,06/12/2022,Ophthalmology
22,wl_size_active,592,592,592,06/12/2022,Ophthalmology
23,nwl104_total,0,0,0,07/12/2022,Ophthalmology
23,nwl52_total,555,555,555,07/12/2022,Ophthalmology
23,nwm104_total,0,0,0,07/12/2022,Ophthalmology
23,nwm52_total,36,36,36,07/12/2022,Ophthalmology
23,nwm78_total,0,0,0,07/12/2022,Ophthalmology
23,wl_Deferred,0,0,0,07/12/2022,Ophthalmology
23,wl_Planned,13,13,13,07/12/2022,Ophthalmology
23,wl_size_active,591,591,591,07/12/2022,Ophthalmology
24,nwl104_total,0,0,0,08/12/2022,Ophthalmology
24,nwl52_total,567,567,567,08/12/2022,Ophthalmology
24,nwm104_total,0,0,0,08/12/2022,Ophthalmology
24,nwm52_total,31,31,31,08/12/2022,Ophthalmology
24,nwm78_total,0,0,0,08/12/2022,Ophthalmology
24,wl_Deferred,0,0,0,08/12/2022,Ophthalmology
24,wl_Planned,13,13,13,08/12/2022,Ophthalmology
24,wl_size_active,598,598,598,08/12/2022,Ophthalmology
25,nwl104_total,0,0,0,09/12/2022,Ophthalmology
25,nwl52_total,571,571,571,09/12/2022,Ophthalmology
25,nwm104_total,0,0,0,09/12/2022,Ophthalmology
25,nwm52_total,26,26,26,09/12/2022,Ophthalmology
25,nwm78_total,0,0,0,09/12/2022,Ophthalmology
25,wl_Deferred,0,0,0,09/12/2022,Ophthalmology
25,wl_Planned,13,13,13,09/12/2022,Ophthalmology
25,wl_size_active,597,597,597,09/12/2022,Ophthalmology
26,nwl104_total,0,0,0,10/12/2022,Ophthalmology
26,nwl52_total,571,571,571,10/12/2022,Ophthalmology
26,nwm104_total,0,0,0,10/12/2022,Ophthalmology
26,nwm52_total,22,22,22,10/12/2022,Ophthalmology
26,nwm78_total,0,0,0,10/12/2022,Ophthalmology
26,wl_Deferred,0,0,0,10/12/2022,Ophthalmology
26,wl_Planned,13,13,13,10/12/2022,Ophthalmology
26,wl_size_active,593,593,593,10/12/2022,Ophthalmology
27,nwl104_total,0,0,0,11/12/2022,Ophthalmology
27,nwl52_total,571,571,571,11/12/2022,Ophthalmology
27,nwm104_total,0,0,0,11/12/2022,Ophthalmology
27,nwm52_total,20,20,20,11/12/2022,Ophthalmology
27,nwm78_total,0,0,0,11/12/2022,Ophthalmology
27,wl_Deferred,0,0,0,11/12/2022,Ophthalmology
27,wl_Planned,13,13,13,11/12/2022,Ophthalmology
27,wl_size_active,591,591,591,11/12/2022,Ophthalmology
28,nwl104_total,0,0,0,12/12/2022,Ophthalmology
28,nwl52_total,575,575,575,12/12/2022,Ophthalmology
28,nwm104_total,0,0,0,12/12/2022,Ophthalmology
28,nwm52_total,17,17,17,12/12/2022,Ophthalmology
28,nwm78_total,0,0,0,12/12/2022,Ophthalmology
28,wl_Deferred,0,0,0,12/12/2022,Ophthalmology
28,wl_Planned,13,13,13,12/12/2022,Ophthalmology
28,wl_size_active,592,592,592,12/12/2022,Ophthalmology
29,nwl104_total,0,0,0,13/12/2022,Ophthalmology
29,nwl52_total,576,576,576,13/12/2022,Ophthalmology
29,nwm104_total,0,0,0,13/12/2022,Ophthalmology
29,nwm52_total,18,18,18,13/12/2022,Ophthalmology
29,nwm78_total,0,0,0,13/12/2022,Ophthalmology
29,wl_Deferred,0,0,0,13/12/2022,Ophthalmology
29,wl_Planned,14,14,14,13/12/2022,Ophthalmology
29,wl_size_active,594,594,594,13/12/2022,Ophthalmology
30,nwl104_total,0,0,0,14/12/2022,Ophthalmology
30,nwl52_total,580,580,580,14/12/2022,Ophthalmology
30,nwm104_total,0,0,0,14/12/2022,Ophthalmology
30,nwm52_total,13,13,13,14/12/2022,Ophthalmology
30,nwm78_total,0,0,0,14/12/2022,Ophthalmology
30,wl_Deferred,0,0,0,14/12/2022,Ophthalmology
30,wl_Planned,14,14,14,14/12/2022,Ophthalmology
30,wl_size_active,593,593,593,14/12/2022,Ophthalmology
31,nwl104_total,0,0,0,15/12/2022,Ophthalmology
31,nwl52_total,584,584,584,15/12/2022,Ophthalmology
31,nwm104_total,0,0,0,15/12/2022,Ophthalmology
31,nwm52_total,8,8,8,15/12/2022,Ophthalmology
31,nwm78_total,0,0,0,15/12/2022,Ophthalmology
31,wl_Deferred,0,0,0,15/12/2022,Ophthalmology
31,wl_Planned,14,14,14,15/12/2022,Ophthalmology
31,wl_size_active,592,592,592,15/12/2022,Ophthalmology
32,nwl104_total,0,0,0,16/12/2022,Ophthalmology
32,nwl52_total,587,587,587,16/12/2022,Ophthalmology
32,nwm104_total,0,0,0,16/12/2022,Ophthalmology
32,nwm52_total,6,6,6,16/12/2022,Ophthalmology
32,nwm78_total,0,0,0,16/12/2022,Ophthalmology
32,wl_Deferred,0,0,0,16/12/2022,Ophthalmology
32,wl_Planned,14,14,14,16/12/2022,Ophthalmology
32,wl_size_active,593,593,593,16/12/2022,Ophthalmology
33,nwl104_total,0,0,0,17/12/2022,Ophthalmology
33,nwl52_total,586,586,586,17/12/2022,Ophthalmology
33,nwm104_total,0,0,0,17/12/2022,Ophthalmology
33,nwm52_total,1,1,1,17/12/2022,Ophthalmology
33,nwm78_total,0,0,0,17/12/2022,Ophthalmology
33,wl_Deferred,0,0,0,17/12/2022,Ophthalmology
33,wl_Planned,14,14,14,17/12/2022,Ophthalmology
33,wl_size_active,587,587,587,17/12/2022,Ophthalmology
34,nwl104_total,0,0,0,18/12/2022,Ophthalmology
34,nwl52_total,587,587,587,18/12/2022,Ophthalmology
34,nwm104_total,0,0,0,18/12/2022,Ophthalmology
34,nwm52_total,1,1,1,18/12/2022,Ophthalmology
34,nwm78_total,0,0,0,18/12/2022,Ophthalmology
34,wl_Deferred,0,0,0,18/12/2022,Ophthalmology
34,wl_Planned,14,14,14,18/12/2022,Ophthalmology
34,wl_size_active,588,588,588,18/12/2022,Ophthalmology
35,nwl104_total,0,0,0,19/12/2022,Ophthalmology
35,nwl52_total,588,588,588,19/12/2022,Ophthalmology
35,nwm104_total,0,0,0,19/12/2022,Ophthalmology
35,nwm52_total,1,1,1,19/12/2022,Ophthalmology
35,nwm78_total,0,0,0,19/12/2022,Ophthalmology
35,wl_Deferred,0,0,0,19/12/2022,Ophthalmology
35,wl_Planned,14,14,14,19/12/2022,Ophthalmology
35,wl_size_active,589,589,589,19/12/2022,Ophthalmology
36,nwl104_total,0,0,0,20/12/2022,Ophthalmology
36,nwl52_total,576,576,576,20/12/2022,Ophthalmology
36,nwm104_total,0,0,0,20/12/2022,Ophthalmology
36,nwm52_total,11,11,11,20/12/2022,Ophthalmology
36,nwm78_total,0,0,0,20/12/2022,Ophthalmology
36,wl_Deferred,0,0,0,20/12/2022,Ophthalmology
36,wl_Planned,14,14,14,20/12/2022,Ophthalmology
36,wl_size_active,587,587,587,20/12/2022,Ophthalmology
37,nwl104_total,0,0,0,21/12/2022,Ophthalmology
37,nwl52_total,580,580,580,21/12/2022,Ophthalmology
37,nwm104_total,0,0,0,21/12/2022,Ophthalmology
37,nwm52_total,10,10,10,21/12/2022,Ophthalmology
37,nwm78_total,0,0,0,21/12/2022,Ophthalmology
37,wl_Deferred,0,0,0,21/12/2022,Ophthalmology
37,wl_Planned,14,14,14,21/12/2022,Ophthalmology
37,wl_size_active,590,590,590,21/12/2022,Ophthalmology
38,nwl104_total,0,0,0,22/12/2022,Ophthalmology
38,nwl52_total,584,584,584,22/12/2022,Ophthalmology
38,nwm104_total,0,0,0,22/12/2022,Ophthalmology
38,nwm52_total,9,9,9,22/12/2022,Ophthalmology
38,nwm78_total,0,0,0,22/12/2022,Ophthalmology
38,wl_Deferred,0,0,0,22/12/2022,Ophthalmology
38,wl_Planned,14,14,14,22/12/2022,Ophthalmology
38,wl_size_active,593,593,593,22/12/2022,Ophthalmology
39,nwl104_total,0,0,0,23/12/2022,Ophthalmology
39,nwl52_total,586,586,586,23/12/2022,Ophthalmology
39,nwm104_total,0,0,0,23/12/2022,Ophthalmology
39,nwm52_total,2,2,2,23/12/2022,Ophthalmology
39,nwm78_total,0,0,0,23/12/2022,Ophthalmology
39,wl_Deferred,0,0,0,23/12/2022,Ophthalmology
