day,metric,mean,q025,q975,date,specialty
0,nwm104_total,0,0,0,14/11/2022,Oral Surgery
0,nwm52_total,12,12,12,14/11/2022,Oral Surgery
0,nwm78_total,0,0,0,14/11/2022,Oral Surgery
0,wl_Deferred,1,1,1,14/11/2022,Oral Surgery
0,wl_Planned,5,5,5,14/11/2022,Oral Surgery
0,wl_size_active,296,296,296,14/11/2022,Oral Surgery
1,nwm104_total,0,0,0,15/11/2022,Oral Surgery
1,nwm52_total,12,12,12,15/11/2022,Oral Surgery
1,nwm78_total,0,0,0,15/11/2022,Oral Surgery
1,wl_Deferred,1,1,1,15/11/2022,Oral Surgery
1,wl_Planned,5,5,5,15/11/2022,Oral Surgery
1,wl_size_active,292,292,292,15/11/2022,Oral Surgery
2,nwm104_total,0,0,0,16/11/2022,Oral Surgery
2,nwm52_total,12,12,12,16/11/2022,Oral Surgery
2,nwm78_total,0,0,0,16/11/2022,Oral Surgery
2,wl_Deferred,1,1,1,16/11/2022,Oral Surgery
2,wl_Planned,5,5,5,16/11/2022,Oral Surgery
2,wl_size_active,294,294,294,16/11/2022,Oral Surgery
3,nwm104_total,0,0,0,17/11/2022,Oral Surgery
3,nwm52_total,12,12,12,17/11/2022,Oral Surgery
3,nwm78_total,0,0,0,17/11/2022,Oral Surgery
3,wl_Deferred,1,1,1,17/11/2022,Oral Surgery
3,wl_Planned,5,5,5,17/11/2022,Oral Surgery
3,wl_size_active,295,295,295,17/11/2022,Oral Surgery
4,nwm104_total,0,0,0,18/11/2022,Oral Surgery
4,nwm52_total,12,12,12,18/11/2022,Oral Surgery
4,nwm78_total,0,0,0,18/11/2022,Oral Surgery
4,wl_Deferred,1,1,1,18/11/2022,Oral Surgery
4,wl_Planned,5,5,5,18/11/2022,Oral Surgery
4,wl_size_active,291,291,291,18/11/2022,Oral Surgery
5,nwm104_total,0,0,0,19/11/2022,Oral Surgery
5,nwm52_total,12,12,12,19/11/2022,Oral Surgery
5,nwm78_total,0,0,0,19/11/2022,Oral Surgery
5,wl_Deferred,1,1,1,19/11/2022,Oral Surgery
5,wl_Planned,5,5,5,19/11/2022,Oral Surgery
5,wl_size_active,291,291,291,19/11/2022,Oral Surgery
6,nwm104_total,0,0,0,20/11/2022,Oral Surgery
6,nwm52_total,12,12,12,20/11/2022,Oral Surgery
6,nwm78_total,0,0,0,20/11/2022,Oral Surgery
6,wl_Deferred,1,1,1,20/11/2022,Oral Surgery
6,wl_Planned,5,5,5,20/11/2022,Oral Surgery
6,wl_size_active,291,291,291,20/11/2022,Oral Surgery
7,nwm104_total,0,0,0,21/11/2022,Oral Surgery
7,nwm52_total,12,12,12,21/11/2022,Oral Surgery
7,nwm78_total,0,0,0,21/11/2022,Oral Surgery
7,wl_Deferred,1,1,1,21/11/2022,Oral Surgery
7,wl_Planned,5,5,5,21/11/2022,Oral Surgery
7,wl_size_active,290,290,290,21/11/2022,Oral Surgery
8,nwm104_total,0,0,0,22/11/2022,Oral Surgery
8,nwm52_total,12,12,12,22/11/2022,Oral Surgery
8,nwm78_total,0,0,0,22/11/2022,Oral Surgery
8,wl_Deferred,1,1,1,22/11/2022,Oral Surgery
8,wl_Planned,5,5,5,22/11/2022,Oral Surgery
8,wl_size_active,293,293,293,22/11/2022,Oral Surgery
9,nwm104_total,0,0,0,23/11/2022,Oral Surgery
9,nwm52_total,11,11,11,23/11/2022,Oral Surgery
9,nwm78_total,0,0,0,23/11/2022,Oral Surgery
9,wl_Deferred,1,1,1,23/11/2022,Oral Surgery
9,wl_Planned,5,5,5,23/11/2022,Oral Surgery
9,wl_size_active,294,294,294,23/11/2022,Oral Surgery
10,nwm104_total,0,0,0,24/11/2022,Oral Surgery
10,nwm52_total,10,10,10,24/11/2022,Oral Surgery
10,nwm78_total,0,0,0,24/11/2022,Oral Surgery
10,wl_Deferred,1,1,1,24/11/2022,Oral Surgery
10,wl_Planned,5,5,5,24/11/2022,Oral Surgery
10,wl_size_active,291,291,291,24/11/2022,Oral Surgery
11,nwm104_total,0,0,0,25/11/2022,Oral Surgery
11,nwm52_total,10,10,10,25/11/2022,Oral Surgery
11,nwm78_total,0,0,0,25/11/2022,Oral Surgery
11,wl_Deferred,1,1,1,25/11/2022,Oral Surgery
11,wl_Planned,5,5,5,25/11/2022,Oral Surgery
11,wl_size_active,292,292,292,25/11/2022,Oral Surgery
12,nwm104_total,0,0,0,26/11/2022,Oral Surgery
12,nwm52_total,10,10,10,26/11/2022,Oral Surgery
12,nwm78_total,0,0,0,26/11/2022,Oral Surgery
12,wl_Deferred,1,1,1,26/11/2022,Oral Surgery
12,wl_Planned,5,5,5,26/11/2022,Oral Surgery
12,wl_size_active,297,297,297,26/11/2022,Oral Surgery
13,nwm104_total,0,0,0,27/11/2022,Oral Surgery
13,nwm52_total,10,10,10,27/11/2022,Oral Surgery
13,nwm78_total,0,0,0,27/11/2022,Oral Surgery
13,wl_Deferred,1,1,1,27/11/2022,Oral Surgery
13,wl_Planned,5,5,5,27/11/2022,Oral Surgery
13,wl_size_active,297,297,297,27/11/2022,Oral Surgery
14,nwm104_total,0,0,0,28/11/2022,Oral Surgery
14,nwm52_total,10,10,10,28/11/2022,Oral Surgery
14,nwm78_total,0,0,0,28/11/2022,Oral Surgery
