day,metric,mean,q025,q975,date,specialty
0,nwl104_total,0,0,0,27/09/2022,Paediatric Dentistry
0,nwl52_total,196,196,196,27/09/2022,Paediatric Dentistry
0,nwm104_total,0,0,0,27/09/2022,Paediatric Dentistry
0,nwm52_total,15,15,15,27/09/2022,Paediatric Dentistry
0,nwm78_total,0,0,0,27/09/2022,Paediatric Dentistry
0,rtt_nwm78_total,0,0,0,27/09/2022,Paediatric Dentistry
0,wl_size,213,213,213,27/09/2022,Paediatric Dentistry
1,nwl104_total,0,0,0,28/09/2022,Paediatric Dentistry
1,nwl52_total,0,0,0,28/09/2022,Paediatric Dentistry
1,nwm104_total,0,0,0,28/09/2022,Paediatric Dentistry
1,nwm52_total,0,0,0,28/09/2022,Paediatric Dentistry
1,nwm78_total,0,0,0,28/09/2022,Paediatric Dentistry
1,rtt_nwm78_total,0,0,0,28/09/2022,Paediatric Dentistry
1,wl_size,0,0,0,28/09/2022,Paediatric Dentistry
2,nwl104_total,0,0,0,29/09/2022,Paediatric Dentistry
2,nwl52_total,0,0,0,29/09/2022,Paediatric Dentistry
2,nwm104_total,0,0,0,29/09/2022,Paediatric Dentistry
2,nwm52_total,0,0,0,29/09/2022,Paediatric Dentistry
2,nwm78_total,0,0,0,29/09/2022,Paediatric Dentistry
2,rtt_nwm78_total,0,0,0,29/09/2022,Paediatric Dentistry
2,wl_size,0,0,0,29/09/2022,Paediatric Dentistry
3,nwl104_total,0,0,0,30/09/2022,Paediatric Dentistry
3,nwl52_total,0,0,0,30/09/2022,Paediatric Dentistry
3,nwm104_total,0,0,0,30/09/2022,Paediatric Dentistry
3,nwm52_total,0,0,0,30/09/2022,Paediatric Dentistry
3,nwm78_total,0,0,0,30/09/2022,Paediatric Dentistry
3,rtt_maxwt,0,0,0,30/09/2022,Paediatric Dentistry
3,rtt_meanwt,0,0,0,30/09/2022,Paediatric Dentistry
3,rtt_medianwt,0,0,0,30/09/2022,Paediatric Dentistry
3,rtt_nwm78_total,0,0,0,30/09/2022,Paediatric Dentistry
3,wl_size,0,0,0,30/09/2022,Paediatric Dentistry
4,nwl104_total,0,0,0,01/10/2022,Paediatric Dentistry
4,nwl52_total,0,0,0,01/10/2022,Paediatric Dentistry
4,nwm104_total,0,0,0,01/10/2022,Paediatric Dentistry
4,nwm52_total,0,0,0,01/10/2022,Paediatric Dentistry
4,nwm78_total,0,0,0,01/10/2022,Paediatric Dentistry
4,rtt_nwm78_total,0,0,0,01/10/2022,Paediatric Dentistry
4,wl_size,0,0,0,01/10/2022,Paediatric Dentistry
5,nwl104_total,0,0,0,02/10/2022,Paediatric Dentistry
5,nwl52_total,0,0,0,02/10/2022,Paediatric Dentistry
5,nwm104_total,0,0,0,02/10/2022,Paediatric Dentistry
5,nwm52_total,0,0,0,02/10/2022,Paediatric Dentistry
5,nwm78_total,0,0,0,02/10/2022,Paediatric Dentistry
5,rtt_nwm78_total,0,0,0,02/10/2022,Paediatric Dentistry
5,wl_size,0,0,0,02/10/2022,Paediatric Dentistry
6,nwl104_total,0,0,0,03/10/2022,Paediatric Dentistry
6,nwl52_total,0,0,0,03/10/2022,Paediatric Dentistry
6,nwm104_total,0,0,0,03/10/2022,Paediatric Dentistry
6,nwm52_total,0,0,0,03/10/2022,Paediatric Dentistry
6,nwm78_total,0,0,0,03/10/2022,Paediatric Dentistry
6,rtt_nwm78_total,0,0,0,03/10/2022,Paediatric Dentistry
6,wl_size,0,0,0,03/10/2022,Paediatric Dentistry
7,nwl104_total,0,0,0,04/10/2022,Paediatric Dentistry
7,nwl52_total,0,0,0,04/10/2022,Paediatric Dentistry
7,nwm104_total,0,0,0,04/10/2022,Paediatric Dentistry
7,nwm52_total,0,0,0,04/10/2022,Paediatric Dentistry
7,nwm78_total,0,0,0,04/10/2022,Paediatric Dentistry
7,rtt_nwm78_total,0,0,0,04/10/2022,Paediatric Dentistry
7,wl_size,0,0,0,04/10/2022,Paediatric Dentistry
8,nwl104_total,0,0,0,05/10/2022,Paediatric Dentistry
8,nwl52_total,0,0,0,05/10/2022,Paediatric Dentistry
8,nwm104_total,0,0,0,05/10/2022,Paediatric Dentistry
8,nwm52_total,0,0,0,05/10/2022,Paediatric Dentistry
8,nwm78_total,0,0,0,05/10/2022,Paediatric Dentistry
8,rtt_nwm78_total,0,0,0,05/10/2022,Paediatric Dentistry
8,wl_size,0,0,0,05/10/2022,Paediatric Dentistry
9,nwl104_total,0,0,0,06/10/2022,Paediatric Dentistry
9,nwl52_total,0,0,0,06/10/2022,Paediatric Dentistry
9,nwm104_total,0,0,0,06/10/2022,Paediatric Dentistry
9,nwm52_total,0,0,0,06/10/2022,Paediatric Dentistry
9,nwm78_total,0,0,0,06/10/2022,Paediatric Dentistry
9,rtt_nwm78_total,0,0,0,06/10/2022,Paediatric Dentistry
9,wl_size,0,0,0,06/10/2022,Paediatric Dentistry
10,nwl104_total,0,0,0,07/10/2022,Paediatric Dentistry
10,nwl52_total,0,0,0,07/10/2022,Paediatric Dentistry
10,nwm104_total,0,0,0,07/10/2022,Paediatric Dentistry
10,nwm52_total,0,0,0,07/10/2022,Paediatric Dentistry
10,nwm78_total,0,0,0,07/10/2022,Paediatric Dentistry
10,rtt_nwm78_total,0,0,0,07/10/2022,Paediatric Dentistry
10,wl_size,0,0,0,07/10/2022,Paediatric Dentistry
11,nwl104_total,0,0,0,08/10/2022,Paediatric Dentistry
11,nwl52_total,0,0,0,08/10/2022,Paediatric Dentistry
11,nwm104_total,0,0,0,08/10/2022,Paediatric Dentistry
11,nwm52_total,0,0,0,08/10/2022,Paediatric Dentistry
11,nwm78_total,0,0,0,08/10/2022,Paediatric Dentistry
11,rtt_nwm78_total,0,0,0,08/10/2022,Paediatric Dentistry
11,wl_size,0,0,0,08/10/2022,Paediatric Dentistry
12,nwl104_total,0,0,0,09/10/2022,Paediatric Dentistry
12,nwl52_total,1,1,1,09/10/2022,Paediatric Dentistry
12,nwm104_total,0,0,0,09/10/2022,Paediatric Dentistry
12,nwm52_total,0,0,0,09/10/2022,Paediatric Dentistry
12,nwm78_total,0,0,0,09/10/2022,Paediatric Dentistry
12,rtt_nwm78_total,0,0,0,09/10/2022,Paediatric Dentistry
12,wl_size,1,1,1,09/10/2022,Paediatric Dentistry
13,nwl104_total,0,0,0,10/10/2022,Paediatric Dentistry
13,nwl52_total,0,0,0,10/10/2022,Paediatric Dentistry
13,nwm104_total,0,0,0,10/10/2022,Paediatric Dentistry
13,nwm52_total,0,0,0,10/10/2022,Paediatric Dentistry
13,nwm78_total,0,0,0,10/10/2022,Paediatric Dentistry
13,rtt_maxwt,1,1,1,10/10/2022,Paediatric Dentistry
13,rtt_meanwt,1,1,1,10/10/2022,Paediatric Dentistry
13,rtt_medianwt,1,1,1,10/10/2022,Paediatric Dentistry
13,rtt_nwm78_total,0,0,0,10/10/2022,Paediatric Dentistry
13,wl_size,0,0,0,10/10/2022,Paediatric Dentistry
14,nwl104_total,0,0,0,11/10/2022,Paediatric Dentistry
14,nwl52_total,0,0,0,11/10/2022,Paediatric Dentistry
14,nwm104_total,0,0,0,11/10/2022,Paediatric Dentistry
14,nwm52_total,0,0,0,11/10/2022,Paediatric Dentistry
14,nwm78_total,0,0,0,11/10/2022,Paediatric Dentistry
14,rtt_nwm78_total,0,0,0,11/10/2022,Paediatric Dentistry
14,wl_size,0,0,0,11/10/2022,Paediatric Dentistry
15,nwl104_total,0,0,0,12/10/2022,Paediatric Dentistry
15,nwl52_total,0,0,0,12/10/2022,Paediatric Dentistry
15,nwm104_total,0,0,0,12/10/2022,Paediatric Dentistry
15,nwm52_total,0,0,0,12/10/2022,Paediatric Dentistry
15,nwm78_total,0,0,0,12/10/2022,Paediatric Dentistry
15,rtt_nwm78_total,0,0,0,12/10/2022,Paediatric Dentistry
15,wl_size,0,0,0,12/10/2022,Paediatric Dentistry
16,nwl104_total,0,0,0,13/10/2022,Paediatric Dentistry
16,nwl52_total,0,0,0,13/10/2022,Paediatric Dentistry
16,nwm104_total,0,0,0,13/10/2022,Paediatric Dentistry
16,nwm52_total,0,0,0,13/10/2022,Paediatric Dentistry
16,nwm78_total,0,0,0,13/10/2022,Paediatric Dentistry
16,rtt_nwm78_total,0,0,0,13/10/2022,Paediatric Dentistry
16,wl_size,0,0,0,13/10/2022,Paediatric Dentistry
17,nwl104_total,0,0,0,14/10/2022,Paediatric Dentistry
17,nwl52_total,0,0,0,14/10/2022,Paediatric Dentistry
17,nwm104_total,0,0,0,14/10/2022,Paediatric Dentistry
17,nwm52_total,0,0,0,14/10/2022,Paediatric Dentistry
17,nwm78_total,0,0,0,14/10/2022,Paediatric Dentistry
17,rtt_nwm78_total,0,0,0,14/10/2022,Paediatric Dentistry
17,wl_size,0,0,0,14/10/2022,Paediatric Dentistry
18,nwl104_total,0,0,0,15/10/2022,Paediatric Dentistry
18,nwl52_total,0,0,0,15/10/2022,Paediatric Dentistry
18,nwm104_total,0,0,0,15/10/2022,Paediatric Dentistry
18,nwm52_total,0,0,0,15/10/2022,Paediatric Dentistry
18,nwm78_total,0,0,0,15/10/2022,Paediatric Dentistry
18,rtt_nwm78_total,0,0,0,15/10/2022,Paediatric Dentistry
18,wl_size,0,0,0,15/10/2022,Paediatric Dentistry
19,nwl104_total,0,0,0,16/10/2022,Paediatric Dentistry
19,nwl52_total,0,0,0,16/10/2022,Paediatric Dentistry
19,nwm104_total,0,0,0,16/10/2022,Paediatric Dentistry
19,nwm52_total,0,0,0,16/10/2022,Paediatric Dentistry
19,nwm78_total,0,0,0,16/10/2022,Paediatric Dentistry
19,rtt_nwm78_total,0,0,0,16/10/2022,Paediatric Dentistry
19,wl_size,0,0,0,16/10/2022,Paediatric Dentistry
20,nwl104_total,0,0,0,17/10/2022,Paediatric Dentistry
20,nwl52_total,0,0,0,17/10/2022,Paediatric Dentistry
20,nwm104_total,0,0,0,17/10/2022,Paediatric Dentistry
20,nwm52_total,0,0,0,17/10/2022,Paediatric Dentistry
