day,metric,mean,q025,q975,date,specialty
0,nwl104_total,0,0,0,27/09/2022,Pain Management
0,nwl52_total,223,223,223,27/09/2022,Pain Management
0,nwm104_total,0,0,0,27/09/2022,Pain Management
0,nwm52_total,8,8,8,27/09/2022,Pain Management
0,nwm78_total,1,1,1,27/09/2022,Pain Management
0,rtt_nwm78_total,1,1,1,27/09/2022,Pain Management
0,wl_size,369,369,369,27/09/2022,Pain Management
1,nwl104_total,0,0,0,28/09/2022,Pain Management
1,nwl52_total,0,0,0,28/09/2022,Pain Management
1,nwm104_total,0,0,0,28/09/2022,Pain Management
1,nwm52_total,0,0,0,28/09/2022,Pain Management
1,nwm78_total,0,0,0,28/09/2022,Pain Management
1,rtt_nwm78_total,0,0,0,28/09/2022,Pain Management
1,wl_size,0,0,0,28/09/2022,Pain Management
2,nwl104_total,0,0,0,29/09/2022,Pain Management
2,nwl52_total,0,0,0,29/09/2022,Pain Management
2,nwm104_total,0,0,0,29/09/2022,Pain Management
2,nwm52_total,0,0,0,29/09/2022,Pain Management
2,nwm78_total,0,0,0,29/09/2022,Pain Management
2,rtt_nwm78_total,0,0,0,29/09/2022,Pain Management
2,wl_size,0,0,0,29/09/2022,Pain Management
3,nwl104_total,0,0,0,30/09/2022,Pain Management
3,nwl52_total,0,0,0,30/09/2022,Pain Management
3,nwm104_total,0,0,0,30/09/2022,Pain Management
3,nwm52_total,0,0,0,30/09/2022,Pain Management
3,nwm78_total,0,0,0,30/09/2022,Pain Management
3,rtt_maxwt,180,180,180,30/09/2022,Pain Management
3,rtt_meanwt,90,90,90,30/09/2022,Pain Management
3,rtt_medianwt,90,90,90,30/09/2022,Pain Management
3,rtt_nwm78_total,0,0,0,30/09/2022,Pain Management
3,wl_size,1,1,1,30/09/2022,Pain Management
4,nwl104_total,0,0,0,01/10/2022,Pain Management
4,nwl52_total,0,0,0,01/10/2022,Pain Management
4,nwm104_total,0,0,0,01/10/2022,Pain Management
4,nwm52_total,0,0,0,01/10/2022,Pain Management
4,nwm78_total,0,0,0,01/10/2022,Pain Management
4,rtt_maxwt,0,0,0,01/10/2022,Pain Management
4,rtt_meanwt,0,0,0,01/10/2022,Pain Management
4,rtt_medianwt,0,0,0,01/10/2022,Pain Management
4,rtt_nwm78_total,0,0,0,01/10/2022,Pain Management
4,wl_size,1,1,1,01/10/2022,Pain Management
5,nwl104_total,0,0,0,02/10/2022,Pain Management
5,nwl52_total,0,0,0,02/10/2022,Pain Management
5,nwm104_total,0,0,0,02/10/2022,Pain Management
5,nwm52_total,0,0,0,02/10/2022,Pain Management
5,nwm78_total,0,0,0,02/10/2022,Pain Management
5,rtt_nwm78_total,0,0,0,02/10/2022,Pain Management
5,wl_size,0,0,0,02/10/2022,Pain Management
6,nwl104_total,0,0,0,03/10/2022,Pain Management
6,nwl52_total,0,0,0,03/10/2022,Pain Management
6,nwm104_total,0,0,0,03/10/2022,Pain Management
6,nwm52_total,0,0,0,03/10/2022,Pain Management
6,nwm78_total,0,0,0,03/10/2022,Pain Management
6,rtt_maxwt,0,0,0,03/10/2022,Pain Management
6,rtt_meanwt,0,0,0,03/10/2022,Pain Management
6,rtt_medianwt,0,0,0,03/10/2022,Pain Management
6,rtt_nwm78_total,0,0,0,03/10/2022,Pain Management
6,wl_size,0,0,0,03/10/2022,Pain Management
7,nwl104_total,0,0,0,04/10/2022,Pain Management
7,nwl52_total,0,0,0,04/10/2022,Pain Management
7,nwm104_total,0,0,0,04/10/2022,Pain Management
7,nwm52_total,0,0,0,04/10/2022,Pain Management
7,nwm78_total,0,0,0,04/10/2022,Pain Management
7,rtt_nwm78_total,0,0,0,04/10/2022,Pain Management
7,wl_size,0,0,0,04/10/2022,Pain Management
8,nwl104_total,0,0,0,05/10/2022,Pain Management
8,nwl52_total,0,0,0,05/10/2022,Pain Management
8,nwm104_total,0,0,0,05/10/2022,Pain Management
8,nwm52_total,0,0,0,05/10/2022,Pain Management
8,nwm78_total,0,0,0,05/10/2022,Pain Management
8,rtt_maxwt,0,0,0,05/10/2022,Pain Management
8,rtt_meanwt,0,0,0,05/10/2022,Pain Management
8,rtt_medianwt,0,0,0,05/10/2022,Pain Management
8,rtt_nwm78_total,0,0,0,05/10/2022,Pain Management
8,wl_size,1,1,1,05/10/2022,Pain Management
9,nwl104_total,0,0,0,06/10/2022,Pain Management
9,nwl52_total,0,0,0,06/10/2022,Pain Management
9,nwm104_total,0,0,0,06/10/2022,Pain Management
9,nwm52_total,0,0,0,06/10/2022,Pain Management
9,nwm78_total,0,0,0,06/10/2022,Pain Management
9,rtt_nwm78_total,0,0,0,06/10/2022,Pain Management
9,wl_size,0,0,0,06/10/2022,Pain Management
10,nwl104_total,0,0,0,07/10/2022,Pain Management
10,nwl52_total,0,0,0,07/10/2022,Pain Management
10,nwm104_total,0,0,0,07/10/2022,Pain Management
10,nwm52_total,0,0,0,07/10/2022,Pain Management
10,nwm78_total,0,0,0,07/10/2022,Pain Management
10,rtt_maxwt,0,0,0,07/10/2022,Pain Management
10,rtt_meanwt,0,0,0,07/10/2022,Pain Management
10,rtt_medianwt,0,0,0,07/10/2022,Pain Management
10,rtt_nwm78_total,0,0,0,07/10/2022,Pain Management
10,wl_size,1,1,1,07/10/2022,Pain Management
11,nwl104_total,0,0,0,08/10/2022,Pain Management
11,nwl52_total,0,0,0,08/10/2022,Pain Management
11,nwm104_total,0,0,0,08/10/2022,Pain Management
11,nwm52_total,0,0,0,08/10/2022,Pain Management
11,nwm78_total,0,0,0,08/10/2022,Pain Management
11,rtt_maxwt,0,0,0,08/10/2022,Pain Management
11,rtt_meanwt,0,0,0,08/10/2022,Pain Management
11,rtt_medianwt,0,0,0,08/10/2022,Pain Management
11,rtt_nwm78_total,0,0,0,08/10/2022,Pain Management
11,wl_size,1,1,1,08/10/2022,Pain Management
12,nwl104_total,0,0,0,09/10/2022,Pain Management
12,nwl52_total,0,0,0,09/10/2022,Pain Management
12,nwm104_total,0,0,0,09/10/2022,Pain Management
12,nwm52_total,0,0,0,09/10/2022,Pain Management
12,nwm78_total,0,0,0,09/10/2022,Pain Management
12,rtt_maxwt,0,0,0,09/10/2022,Pain Management
12,rtt_meanwt,0,0,0,09/10/2022,Pain Management
12,rtt_medianwt,0,0,0,09/10/2022,Pain Management
12,rtt_nwm78_total,0,0,0,09/10/2022,Pain Management
12,wl_size,1,1,1,09/10/2022,Pain Management
13,nwl104_total,0,0,0,10/10/2022,Pain Management
13,nwl52_total,0,0,0,10/10/2022,Pain Management
13,nwm104_total,0,0,0,10/10/2022,Pain Management
13,nwm52_total,0,0,0,10/10/2022,Pain Management
13,nwm78_total,0,0,0,10/10/2022,Pain Management
13,rtt_maxwt,0,0,0,10/10/2022,Pain Management
13,rtt_meanwt,0,0,0,10/10/2022,Pain Management
13,rtt_medianwt,0,0,0,10/10/2022,Pain Management
13,rtt_nwm78_total,0,0,0,10/10/2022,Pain Management
13,wl_size,2,2,2,10/10/2022,Pain Management
14,nwl104_total,0,0,0,11/10/2022,Pain Management
14,nwl52_total,0,0,0,11/10/2022,Pain Management
14,nwm104_total,0,0,0,11/10/2022,Pain Management
14,nwm52_total,0,0,0,11/10/2022,Pain Management
14,nwm78_total,0,0,0,11/10/2022,Pain Management
14,rtt_nwm78_total,0,0,0,11/10/2022,Pain Management
14,wl_size,0,0,0,11/10/2022,Pain Management
15,nwl104_total,0,0,0,12/10/2022,Pain Management
15,nwl52_total,1,1,1,12/10/2022,Pain Management
15,nwm104_total,0,0,0,12/10/2022,Pain Management
15,nwm52_total,0,0,0,12/10/2022,Pain Management
15,nwm78_total,0,0,0,12/10/2022,Pain Management
15,rtt_maxwt,0,0,0,12/10/2022,Pain Management
15,rtt_meanwt,0,0,0,12/10/2022,Pain Management
15,rtt_medianwt,0,0,0,12/10/2022,Pain Management
15,rtt_nwm78_total,0,0,0,12/10/2022,Pain Management
15,wl_size,1,1,1,12/10/2022,Pain Management
16,nwl104_total,0,0,0,13/10/2022,Pain Management
16,nwl52_total,0,0,0,13/10/2022,Pain Management
16,nwm104_total,0,0,0,13/10/2022,Pain Management
16,nwm52_total,0,0,0,13/10/2022,Pain Management
16,nwm78_total,0,0,0,13/10/2022,Pain Management
16,rtt_maxwt,180,180,180,13/10/2022,Pain Management
16,rtt_meanwt,60.333333333333336,60.333333333333336,60.333333333333336,13/10/2022,Pain Management
16,rtt_medianwt,1,1,1,13/10/2022,Pain Management
16,rtt_nwm78_total,0,0,0,13/10/2022,Pain Management
16,wl_size,0,0,0,13/10/2022,Pain Management
17,nwl104_total,0,0,0,14/10/2022,Pain Management
17,nwl52_total,0,0,0,14/10/2022,Pain Management
17,nwm104_total,0,0,0,14/10/2022,Pain Management
17,nwm52_total,0,0,0,14/10/2022,Pain Management
17,nwm78_total,0,0,0,14/10/2022,Pain Management
17,rtt_nwm78_total,0,0,0,14/10/2022,Pain Management
17,wl_size,0,0,0,14/10/2022,Pain Management
18,nwl104_total,0,0,0,15/10/2022,Pain Management
18,nwl52_total,1,1,1,15/10/2022,Pain Management
18,nwm104_total,0,0,0,15/10/2022,Pain Management
18,nwm52_total,0,0,0,15/10/2022,Pain Management
18,nwm78_total,0,0,0,15/10/2022,Pain Management
18,rtt_maxwt,0,0,0,15/10/2022,Pain Management
18,rtt_meanwt,0,0,0,15/10/2022,Pain Management
18,rtt_medianwt,0,0,0,15/10/2022,Pain Management
18,rtt_nwm78_total,0,0,0,15/10/2022,Pain Management
18,wl_size,1,1,1,15/10/2022,Pain Management
19,nwl104_total,0,0,0,16/10/2022,Pain Management
19,nwl52_total,2,2,2,16/10/2022,Pain Management
19,nwm104_total,0,0,0,16/10/2022,Pain Management
19,nwm52_total,0,0,0,16/10/2022,Pain Management
19,nwm78_total,0,0,0,16/10/2022,Pain Management
19,rtt_nwm78_total,0,0,0,16/10/2022,Pain Management
19,wl_size,2,2,2,16/10/2022,Pain Management
20,nwl104_total,0,0,0,17/10/2022,Pain Management
20,nwl52_total,1,1,1,17/10/2022,Pain Management
20,nwm104_total,0,0,0,17/10/2022,Pain Management
20,nwm52_total,0,0,0,17/10/2022,Pain Management
20,nwm78_total,0,0,0,17/10/2022,Pain Management
20,rtt_maxwt,165,165,165,17/10/2022,Pain Management
20,rtt_meanwt,42,42,42,17/10/2022,Pain Management
20,rtt_medianwt,1.5,1.5,1.5,17/10/2022,Pain Management
20,rtt_nwm78_total,0,0,0,17/10/2022,Pain Management
20,wl_size,1,1,1,17/10/2022,Pain Management
21,nwl104_total,0,0,0,18/10/2022,Pain Management
21,nwl52_total,0,0,0,18/10/2022,Pain Management
21,nwm104_total,0,0,0,18/10/2022,Pain Management
21,nwm52_total,0,0,0,18/10/2022,Pain Management
21,nwm78_total,0,0,0,18/10/2022,Pain Management
21,rtt_maxwt,1,1,1,18/10/2022,Pain Management
21,rtt_meanwt,1,1,1,18/10/2022,Pain Management
21,rtt_medianwt,1,1,1,18/10/2022,Pain Management
21,rtt_nwm78_total,0,0,0,18/10/2022,Pain Management
21,wl_size,1,1,1,18/10/2022,Pain Management
22,nwl104_total,0,0,0,19/10/2022,Pain Management
22,nwl52_total,2,2,2,19/10/2022,Pain Management
22,nwm104_total,0,0,0,19/10/2022,Pain Management
22,nwm52_total,0,0,0,19/10/2022,Pain Management
22,nwm78_total,0,0,0,19/10/2022,Pain Management
