day,metric,mean,q025,q975,date,specialty
0,nwl104_total,0,0,0,27/09/2022,Plastic Surgery
0,nwl52_total,218,218,218,27/09/2022,Plastic Surgery
0,nwm104_total,0,0,0,27/09/2022,Plastic Surgery
0,nwm52_total,1,1,1,27/09/2022,Plastic Surgery
0,nwm78_total,0,0,0,27/09/2022,Plastic Surgery
0,rtt_nwm78_total,0,0,0,27/09/2022,Plastic Surgery
0,wl_size,230,230,230,27/09/2022,Plastic Surgery
1,nwl104_total,0,0,0,28/09/2022,Plastic Surgery
1,nwl52_total,216,216,216,28/09/2022,Plastic Surgery
1,nwm104_total,0,0,0,28/09/2022,Plastic Surgery
1,nwm52_total,2,2,2,28/09/2022,Plastic Surgery
1,nwm78_total,0,0,0,28/09/2022,Plastic Surgery
1,rtt_maxwt,0,0,0,28/09/2022,Plastic Surgery
1,rtt_meanwt,0,0,0,28/09/2022,Plastic Surgery
1,rtt_medianwt,0,0,0,28/09/2022,Plastic Surgery
1,rtt_nwm78_total,0,0,0,28/09/2022,Plastic Surgery
1,wl_size,229,229,229,28/09/2022,Plastic Surgery
2,nwl104_total,0,0,0,29/09/2022,Plastic Surgery
2,nwl52_total,217,217,217,29/09/2022,Plastic Surgery
2,nwm104_total,0,0,0,29/09/2022,Plastic Surgery
2,nwm52_total,2,2,2,29/09/2022,Plastic Surgery
2,nwm78_total,0,0,0,29/09/2022,Plastic Surgery
2,rtt_maxwt,0,0,0,29/09/2022,Plastic Surgery
2,rtt_meanwt,0,0,0,29/09/2022,Plastic Surgery
2,rtt_medianwt,0,0,0,29/09/2022,Plastic Surgery
2,rtt_nwm78_total,0,0,0,29/09/2022,Plastic Surgery
2,wl_size,230,230,230,29/09/2022,Plastic Surgery
3,nwl104_total,0,0,0,30/09/2022,Plastic Surgery
3,nwl52_total,220,220,220,30/09/2022,Plastic Surgery
3,nwm104_total,0,0,0,30/09/2022,Plastic Surgery
3,nwm52_total,2,2,2,30/09/2022,Plastic Surgery
3,nwm78_total,0,0,0,30/09/2022,Plastic Surgery
3,rtt_maxwt,1,1,1,30/09/2022,Plastic Surgery
3,rtt_meanwt,1,1,1,30/09/2022,Plastic Surgery
3,rtt_medianwt,1,1,1,30/09/2022,Plastic Surgery
3,rtt_nwm78_total,0,0,0,30/09/2022,Plastic Surgery
3,wl_size,233,233,233,30/09/2022,Plastic Surgery
4,nwl104_total,0,0,0,01/10/2022,Plastic Surgery
4,nwl52_total,221,221,221,01/10/2022,Plastic Surgery
4,nwm104_total,0,0,0,01/10/2022,Plastic Surgery
4,nwm52_total,2,2,2,01/10/2022,Plastic Surgery
4,nwm78_total,0,0,0,01/10/2022,Plastic Surgery
4,rtt_nwm78_total,0,0,0,01/10/2022,Plastic Surgery
4,wl_size,234,234,234,01/10/2022,Plastic Surgery
5,nwl104_total,0,0,0,02/10/2022,Plastic Surgery
5,nwl52_total,224,224,224,02/10/2022,Plastic Surgery
5,nwm104_total,0,0,0,02/10/2022,Plastic Surgery
5,nwm52_total,2,2,2,02/10/2022,Plastic Surgery
5,nwm78_total,0,0,0,02/10/2022,Plastic Surgery
5,rtt_nwm78_total,0,0,0,02/10/2022,Plastic Surgery
5,wl_size,237,237,237,02/10/2022,Plastic Surgery
6,nwl104_total,0,0,0,03/10/2022,Plastic Surgery
6,nwl52_total,225,225,225,03/10/2022,Plastic Surgery
6,nwm104_total,0,0,0,03/10/2022,Plastic Surgery
6,nwm52_total,2,2,2,03/10/2022,Plastic Surgery
6,nwm78_total,0,0,0,03/10/2022,Plastic Surgery
6,rtt_maxwt,2,2,2,03/10/2022,Plastic Surgery
6,rtt_meanwt,2,2,2,03/10/2022,Plastic Surgery
6,rtt_medianwt,2,2,2,03/10/2022,Plastic Surgery
6,rtt_nwm78_total,0,0,0,03/10/2022,Plastic Surgery
6,wl_size,238,238,238,03/10/2022,Plastic Surgery
7,nwl104_total,0,0,0,04/10/2022,Plastic Surgery
7,nwl52_total,224,224,224,04/10/2022,Plastic Surgery
7,nwm104_total,0,0,0,04/10/2022,Plastic Surgery
7,nwm52_total,2,2,2,04/10/2022,Plastic Surgery
7,nwm78_total,0,0,0,04/10/2022,Plastic Surgery
7,rtt_maxwt,2,2,2,04/10/2022,Plastic Surgery
7,rtt_meanwt,2,2,2,04/10/2022,Plastic Surgery
7,rtt_medianwt,2,2,2,04/10/2022,Plastic Surgery
7,rtt_nwm78_total,0,0,0,04/10/2022,Plastic Surgery
7,wl_size,237,237,237,04/10/2022,Plastic Surgery
8,nwl104_total,0,0,0,05/10/2022,Plastic Surgery
8,nwl52_total,224,224,224,05/10/2022,Plastic Surgery
8,nwm104_total,0,0,0,05/10/2022,Plastic Surgery
8,nwm52_total,3,3,3,05/10/2022,Plastic Surgery
8,nwm78_total,0,0,0,05/10/2022,Plastic Surgery
8,rtt_maxwt,2,2,2,05/10/2022,Plastic Surgery
8,rtt_meanwt,2,2,2,05/10/2022,Plastic Surgery
8,rtt_medianwt,2,2,2,05/10/2022,Plastic Surgery
8,rtt_nwm78_total,0,0,0,05/10/2022,Plastic Surgery
8,wl_size,238,238,238,05/10/2022,Plastic Surgery
9,nwl104_total,0,0,0,06/10/2022,Plastic Surgery
9,nwl52_total,226,226,226,06/10/2022,Plastic Surgery
