day,metric,mean,q025,q975,date,specialty
0,nwl104_total,0,0,0,14/11/2022,Rheumatology
0,nwl52_total,24,24,24,14/11/2022,Rheumatology
0,nwm104_total,0,0,0,14/11/2022,Rheumatology
0,nwm52_total,0,0,0,14/11/2022,Rheumatology
0,nwm78_total,0,0,0,14/11/2022,Rheumatology
0,wl_Deferred,0,0,0,14/11/2022,Rheumatology
0,wl_Planned,363,363,363,14/11/2022,Rheumatology
0,wl_size_active,24,24,24,14/11/2022,Rheumatology
1,nwl104_total,0,0,0,15/11/2022,Rheumatology
1,nwl52_total,25,25,25,15/11/2022,Rheumatology
1,nwm104_total,0,0,0,15/11/2022,Rheumatology
1,nwm52_total,0,0,0,15/11/2022,Rheumatology
1,nwm78_total,0,0,0,15/11/2022,Rheumatology
1,wl_Deferred,0,0,0,15/11/2022,Rheumatology
1,wl_Planned,364,364,364,15/11/2022,Rheumatology
1,wl_size_active,25,25,25,15/11/2022,Rheumatology
2,nwl104_total,0,0,0,16/11/2022,Rheumatology
2,nwl52_total,23,23,23,16/11/2022,Rheumatology
2,nwm104_total,0,0,0,16/11/2022,Rheumatology
2,nwm52_total,0,0,0,16/11/2022,Rheumatology
2,nwm78_total,0,0,0,16/11/2022,Rheumatology
2,wl_Deferred,0,0,0,16/11/2022,Rheumatology
2,wl_Planned,363,363,363,16/11/2022,Rheumatology
2,wl_size_active,23,23,23,16/11/2022,Rheumatology
3,nwl104_total,0,0,0,17/11/2022,Rheumatology
3,nwl52_total,23,23,23,17/11/2022,Rheumatology
3,nwm104_total,0,0,0,17/11/2022,Rheumatology
3,nwm52_total,0,0,0,17/11/2022,Rheumatology
3,nwm78_total,0,0,0,17/11/2022,Rheumatology
3,wl_Deferred,0,0,0,17/11/2022,Rheumatology
3,wl_Planned,368,368,368,17/11/2022,Rheumatology
3,wl_size_active,23,23,23,17/11/2022,Rheumatology
4,nwl104_total,0,0,0,18/11/2022,Rheumatology
4,nwl52_total,25,25,25,18/11/2022,Rheumatology
4,nwm104_total,0,0,0,18/11/2022,Rheumatology
4,nwm52_total,0,0,0,18/11/2022,Rheumatology
4,nwm78_total,0,0,0,18/11/2022,Rheumatology
4,wl_Deferred,0,0,0,18/11/2022,Rheumatology
4,wl_Planned,366,366,366,18/11/2022,Rheumatology
4,wl_size_active,25,25,25,18/11/2022,Rheumatology
5,nwl104_total,0,0,0,19/11/2022,Rheumatology
5,nwl52_total,24,24,24,19/11/2022,Rheumatology
5,nwm104_total,0,0,0,19/11/2022,Rheumatology
5,nwm52_total,0,0,0,19/11/2022,Rheumatology
5,nwm78_total,0,0,0,19/11/2022,Rheumatology
5,wl_Deferred,0,0,0,19/11/2022,Rheumatology
5,wl_Planned,369,369,369,19/11/2022,Rheumatology
5,wl_size_active,24,24,24,19/11/2022,Rheumatology
6,nwl104_total,0,0,0,20/11/2022,Rheumatology
6,nwl52_total,22,22,22,20/11/2022,Rheumatology
6,nwm104_total,0,0,0,20/11/2022,Rheumatology
6,nwm52_total,0,0,0,20/11/2022,Rheumatology
6,nwm78_total,0,0,0,20/11/2022,Rheumatology
6,wl_Deferred,0,0,0,20/11/2022,Rheumatology
6,wl_Planned,370,370,370,20/11/2022,Rheumatology
6,wl_size_active,22,22,22,20/11/2022,Rheumatology
7,nwl104_total,0,0,0,21/11/2022,Rheumatology
7,nwl52_total,23,23,23,21/11/2022,Rheumatology
7,nwm104_total,0,0,0,21/11/2022,Rheumatology
7,nwm52_total,0,0,0,21/11/2022,Rheumatology
7,nwm78_total,0,0,0,21/11/2022,Rheumatology
7,wl_Deferred,0,0,0,21/11/2022,Rheumatology
7,wl_Planned,367,367,367,21/11/2022,Rheumatology
7,wl_size_active,23,23,23,21/11/2022,Rheumatology
8,nwl104_total,0,0,0,22/11/2022,Rheumatology
8,nwl52_total,23,23,23,22/11/2022,Rheumatology
8,nwm104_total,0,0,0,22/11/2022,Rheumatology
8,nwm52_total,0,0,0,22/11/2022,Rheumatology
8,nwm78_total,0,0,0,22/11/2022,Rheumatology
8,wl_Deferred,0,0,0,22/11/2022,Rheumatology
8,wl_Planned,369,369,369,22/11/2022,Rheumatology
8,wl_size_active,23,23,23,22/11/2022,Rheumatology
9,nwl104_total,0,0,0,23/11/2022,Rheumatology
9,nwl52_total,24,24,24,23/11/2022,Rheumatology
9,nwm104_total,0,0,0,23/11/2022,Rheumatology
9,nwm52_total,0,0,0,23/11/2022,Rheumatology
9,nwm78_total,0,0,0,23/11/2022,Rheumatology
9,wl_Deferred,0,0,0,23/11/2022,Rheumatology
9,wl_Planned,371,371,371,23/11/2022,Rheumatology
9,wl_size_active,24,24,24,23/11/2022,Rheumatology
10,nwl104_total,0,0,0,24/11/2022,Rheumatology
10,nwl52_total,24,24,24,24/11/2022,Rheumatology
10,nwm104_total,0,0,0,24/11/2022,Rheumatology
10,nwm52_total,0,0,0,24/11/2022,Rheumatology
10,nwm78_total,0,0,0,24/11/2022,Rheumatology
10,wl_Deferred,0,0,0,24/11/2022,Rheumatology
10,wl_Planned,370,370,370,24/11/2022,Rheumatology
10,wl_size_active,24,24,24,24/11/2022,Rheumatology
11,nwl104_total,0,0,0,25/11/2022,Rheumatology
11,nwl52_total,24,24,24,25/11/2022,Rheumatology
11,nwm104_total,0,0,0,25/11/2022,Rheumatology
11,nwm52_total,0,0,0,25/11/2022,Rheumatology
11,nwm78_total,0,0,0,25/11/2022,Rheumatology
11,wl_Deferred,0,0,0,25/11/2022,Rheumatology
11,wl_Planned,369,369,369,25/11/2022,Rheumatology
11,wl_size_active,24,24,24,25/11/2022,Rheumatology
12,nwl104_total,0,0,0,26/11/2022,Rheumatology
12,nwl52_total,25,25,25,26/11/2022,Rheumatology
12,nwm104_total,0,0,0,26/11/2022,Rheumatology
12,nwm52_total,0,0,0,26/11/2022,Rheumatology
12,nwm78_total,0,0,0,26/11/2022,Rheumatology
12,wl_Deferred,0,0,0,26/11/2022,Rheumatology
12,wl_Planned,368,368,368,26/11/2022,Rheumatology
12,wl_size_active,25,25,25,26/11/2022,Rheumatology
13,nwl104_total,0,0,0,27/11/2022,Rheumatology
13,nwl52_total,22,22,22,27/11/2022,Rheumatology
13,nwm104_total,0,0,0,27/11/2022,Rheumatology
13,nwm52_total,0,0,0,27/11/2022,Rheumatology
13,nwm78_total,0,0,0,27/11/2022,Rheumatology
13,wl_Deferred,0,0,0,27/11/2022,Rheumatology
13,wl_Planned,370,370,370,27/11/2022,Rheumatology
13,wl_size_active,22,22,22,27/11/2022,Rheumatology
14,nwl104_total,0,0,0,28/11/2022,Rheumatology
14,nwl52_total,19,19,19,28/11/2022,Rheumatology
14,nwm104_total,0,0,0,28/11/2022,Rheumatology
14,nwm52_total,0,0,0,28/11/2022,Rheumatology
14,nwm78_total,0,0,0,28/11/2022,Rheumatology
14,wl_Deferred,0,0,0,28/11/2022,Rheumatology
14,wl_Planned,373,373,373,28/11/2022,Rheumatology
14,wl_size_active,19,19,19,28/11/2022,Rheumatology
15,nwl104_total,0,0,0,29/11/2022,Rheumatology
15,nwl52_total,18,18,18,29/11/2022,Rheumatology
15,nwm104_total,0,0,0,29/11/2022,Rheumatology
15,nwm52_total,0,0,0,29/11/2022,Rheumatology
15,nwm78_total,0,0,0,29/11/2022,Rheumatology
15,wl_Deferred,0,0,0,29/11/2022,Rheumatology
15,wl_Planned,374,374,374,29/11/2022,Rheumatology
15,wl_size_active,18,18,18,29/11/2022,Rheumatology
16,nwl104_total,0,0,0,30/11/2022,Rheumatology
16,nwl52_total,19,19,19,30/11/2022,Rheumatology
16,nwm104_total,0,0,0,30/11/2022,Rheumatology
16,nwm52_total,0,0,0,30/11/2022,Rheumatology
16,nwm78_total,0,0,0,30/11/2022,Rheumatology
16,wl_Deferred,0,0,0,30/11/2022,Rheumatology
16,wl_Planned,372,372,372,30/11/2022,Rheumatology
16,wl_size_active,19,19,19,30/11/2022,Rheumatology
17,nwl104_total,0,0,0,01/12/2022,Rheumatology
17,nwl52_total,18,18,18,01/12/2022,Rheumatology
17,nwm104_total,0,0,0,01/12/2022,Rheumatology
17,nwm52_total,0,0,0,01/12/2022,Rheumatology
17,nwm78_total,0,0,0,01/12/2022,Rheumatology
17,wl_Deferred,0,0,0,01/12/2022,Rheumatology
17,wl_Planned,372,372,372,01/12/2022,Rheumatology
17,wl_size_active,18,18,18,01/12/2022,Rheumatology
18,nwl104_total,0,0,0,02/12/2022,Rheumatology
18,nwl52_total,18,18,18,02/12/2022,Rheumatology
18,nwm104_total,0,0,0,02/12/2022,Rheumatology
18,nwm52_total,0,0,0,02/12/2022,Rheumatology
18,nwm78_total,0,0,0,02/12/2022,Rheumatology
18,wl_Deferred,0,0,0,02/12/2022,Rheumatology
18,wl_Planned,374,374,374,02/12/2022,Rheumatology
18,wl_size_active,18,18,18,02/12/2022,Rheumatology
19,nwl104_total,0,0,0,03/12/2022,Rheumatology
19,nwl52_total,21,21,21,03/12/2022,Rheumatology
19,nwm104_total,0,0,0,03/12/2022,Rheumatology
19,nwm52_total,0,0,0,03/12/2022,Rheumatology
19,nwm78_total,0,0,0,03/12/2022,Rheumatology
19,wl_Deferred,0,0,0,03/12/2022,Rheumatology
19,wl_Planned,375,375,375,03/12/2022,Rheumatology
19,wl_size_active,21,21,21,03/12/2022,Rheumatology
20,nwl104_total,0,0,0,04/12/2022,Rheumatology
20,nwl52_total,19,19,19,04/12/2022,Rheumatology
20,nwm104_total,0,0,0,04/12/2022,Rheumatology
20,nwm52_total,0,0,0,04/12/2022,Rheumatology
20,nwm78_total,0,0,0,04/12/2022,Rheumatology
20,wl_Deferred,0,0,0,04/12/2022,Rheumatology
20,wl_Planned,375,375,375,04/12/2022,Rheumatology
20,wl_size_active,19,19,19,04/12/2022,Rheumatology
21,nwl104_total,0,0,0,05/12/2022,Rheumatology
21,nwl52_total,19,19,19,05/12/2022,Rheumatology
21,nwm104_total,0,0,0,05/12/2022,Rheumatology
21,nwm52_total,0,0,0,05/12/2022,Rheumatology
21,nwm78_total,0,0,0,05/12/2022,Rheumatology
21,wl_Deferred,0,0,0,05/12/2022,Rheumatology
21,wl_Planned,378,378,378,05/12/2022,Rheumatology
21,wl_size_active,19,19,19,05/12/2022,Rheumatology
