day,metric,mean,q025,q975,date,specialty
0,nwl104_total,0,0,0,27/09/2022,Thoracic Medicine
0,nwl52_total,65,65,65,27/09/2022,Thoracic Medicine
0,nwm104_total,4,4,4,27/09/2022,Thoracic Medicine
0,nwm52_total,10,10,10,27/09/2022,Thoracic Medicine
0,nwm78_total,9,9,9,27/09/2022,Thoracic Medicine
0,rtt_nwm78_total,9,9,9,27/09/2022,Thoracic Medicine
0,wl_size,77,77,77,27/09/2022,Thoracic Medicine
1,nwl104_total,0,0,0,28/09/2022,Thoracic Medicine
1,nwl52_total,64,64,64,28/09/2022,Thoracic Medicine
1,nwm104_total,4,4,4,28/09/2022,Thoracic Medicine
1,nwm52_total,10,10,10,28/09/2022,Thoracic Medicine
1,nwm78_total,9,9,9,28/09/2022,Thoracic Medicine
1,rtt_maxwt,0,0,0,28/09/2022,Thoracic Medicine
1,rtt_meanwt,0,0,0,28/09/2022,Thoracic Medicine
1,rtt_medianwt,0,0,0,28/09/2022,Thoracic Medicine
1,rtt_nwm78_total,9,9,9,28/09/2022,Thoracic Medicine
1,wl_size,76,76,76,28/09/2022,Thoracic Medicine
2,nwl104_total,0,0,0,29/09/2022,Thoracic Medicine
2,nwl52_total,67,67,67,29/09/2022,Thoracic Medicine
2,nwm104_total,4,4,4,29/09/2022,Thoracic Medicine
2,nwm52_total,10,10,10,29/09/2022,Thoracic Medicine
2,nwm78_total,9,9,9,29/09/2022,Thoracic Medicine
2,rtt_maxwt,0,0,0,29/09/2022,Thoracic Medicine
2,rtt_meanwt,0,0,0,29/09/2022,Thoracic Medicine
2,rtt_medianwt,0,0,0,29/09/2022,Thoracic Medicine
2,rtt_nwm78_total,9,9,9,29/09/2022,Thoracic Medicine
2,wl_size,79,79,79,29/09/2022,Thoracic Medicine
3,nwl104_total,0,0,0,30/09/2022,Thoracic Medicine
3,nwl52_total,70,70,70,30/09/2022,Thoracic Medicine
3,nwm104_total,4,4,4,30/09/2022,Thoracic Medicine
3,nwm52_total,10,10,10,30/09/2022,Thoracic Medicine
3,nwm78_total,9,9,9,30/09/2022,Thoracic Medicine
3,rtt_maxwt,0,0,0,30/09/2022,Thoracic Medicine
3,rtt_meanwt,0,0,0,30/09/2022,Thoracic Medicine
3,rtt_medianwt,0,0,0,30/09/2022,Thoracic Medicine
3,rtt_nwm78_total,9,9,9,30/09/2022,Thoracic Medicine
3,wl_size,82,82,82,30/09/2022,Thoracic Medicine
4,nwl104_total,0,0,0,01/10/2022,Thoracic Medicine
4,nwl52_total,70,70,70,01/10/2022,Thoracic Medicine
4,nwm104_total,4,4,4,01/10/2022,Thoracic Medicine
4,nwm52_total,10,10,10,01/10/2022,Thoracic Medicine
4,nwm78_total,9,9,9,01/10/2022,Thoracic Medicine
4,rtt_maxwt,2,2,2,01/10/2022,Thoracic Medicine
4,rtt_meanwt,2,2,2,01/10/2022,Thoracic Medicine
4,rtt_medianwt,2,2,2,01/10/2022,Thoracic Medicine
4,rtt_nwm78_total,9,9,9,01/10/2022,Thoracic Medicine
4,wl_size,82,82,82,01/10/2022,Thoracic Medicine
5,nwl104_total,0,0,0,02/10/2022,Thoracic Medicine
5,nwl52_total,69,69,69,02/10/2022,Thoracic Medicine
5,nwm104_total,4,4,4,02/10/2022,Thoracic Medicine
5,nwm52_total,10,10,10,02/10/2022,Thoracic Medicine
5,nwm78_total,9,9,9,02/10/2022,Thoracic Medicine
5,rtt_maxwt,0,0,0,02/10/2022,Thoracic Medicine
5,rtt_meanwt,0,0,0,02/10/2022,Thoracic Medicine
5,rtt_medianwt,0,0,0,02/10/2022,Thoracic Medicine
5,rtt_nwm78_total,9,9,9,02/10/2022,Thoracic Medicine
5,wl_size,81,81,81,02/10/2022,Thoracic Medicine
6,nwl104_total,0,0,0,03/10/2022,Thoracic Medicine
6,nwl52_total,69,69,69,03/10/2022,Thoracic Medicine
6,nwm104_total,4,4,4,03/10/2022,Thoracic Medicine
6,nwm52_total,10,10,10,03/10/2022,Thoracic Medicine
6,nwm78_total,9,9,9,03/10/2022,Thoracic Medicine
6,rtt_maxwt,4,4,4,03/10/2022,Thoracic Medicine
6,rtt_meanwt,4,4,4,03/10/2022,Thoracic Medicine
6,rtt_medianwt,4,4,4,03/10/2022,Thoracic Medicine
6,rtt_nwm78_total,9,9,9,03/10/2022,Thoracic Medicine
6,wl_size,81,81,81,03/10/2022,Thoracic Medicine
7,nwl104_total,0,0,0,04/10/2022,Thoracic Medicine
7,nwl52_total,70,70,70,04/10/2022,Thoracic Medicine
7,nwm104_total,4,4,4,04/10/2022,Thoracic Medicine
7,nwm52_total,10,10,10,04/10/2022,Thoracic Medicine
