day,metric,mean,q025,q975,date,specialty
0,nwl104_total,0,0,0,27/09/2022,Trauma & Orthopaedics
0,nwl52_total,3827,3827,3827,27/09/2022,Trauma & Orthopaedics
0,nwm104_total,3,3,3,27/09/2022,Trauma & Orthopaedics
0,nwm52_total,492,492,492,27/09/2022,Trauma & Orthopaedics
0,nwm78_total,49,49,49,27/09/2022,Trauma & Orthopaedics
0,rtt_nwm78_total,49,49,49,27/09/2022,Trauma & Orthopaedics
0,wl_size,4409,4409,4409,27/09/2022,Trauma & Orthopaedics
1,nwl104_total,0,0,0,28/09/2022,Trauma & Orthopaedics
1,nwl52_total,3784,3784,3784,28/09/2022,Trauma & Orthopaedics
1,nwm104_total,3,3,3,28/09/2022,Trauma & Orthopaedics
1,nwm52_total,525,525,525,28/09/2022,Trauma & Orthopaedics
1,nwm78_total,56,56,56,28/09/2022,Trauma & Orthopaedics
1,rtt_maxwt,309,309,309,28/09/2022,Trauma & Orthopaedics
1,rtt_meanwt,11.035714285714286,11.035714285714286,11.035714285714286,28/09/2022,Trauma & Orthopaedics
1,rtt_medianwt,0,0,0,28/09/2022,Trauma & Orthopaedics
1,rtt_nwm78_total,56,56,56,28/09/2022,Trauma & Orthopaedics
1,wl_size,4398,4398,4398,28/09/2022,Trauma & Orthopaedics
2,nwl104_total,0,0,0,29/09/2022,Trauma & Orthopaedics
2,nwl52_total,3785,3785,3785,29/09/2022,Trauma & Orthopaedics
2,nwm104_total,3,3,3,29/09/2022,Trauma & Orthopaedics
2,nwm52_total,525,525,525,29/09/2022,Trauma & Orthopaedics
2,nwm78_total,56,56,56,29/09/2022,Trauma & Orthopaedics
2,rtt_maxwt,128,128,128,29/09/2022,Trauma & Orthopaedics
2,rtt_meanwt,5.565217391304348,5.565217391304348,5.565217391304348,29/09/2022,Trauma & Orthopaedics
2,rtt_medianwt,0,0,0,29/09/2022,Trauma & Orthopaedics
2,rtt_nwm78_total,56,56,56,29/09/2022,Trauma & Orthopaedics
2,wl_size,4399,4399,4399,29/09/2022,Trauma & Orthopaedics
3,nwl104_total,0,0,0,30/09/2022,Trauma & Orthopaedics
3,nwl52_total,3785,3785,3785,30/09/2022,Trauma & Orthopaedics
3,nwm104_total,3,3,3,30/09/2022,Trauma & Orthopaedics
3,nwm52_total,525,525,525,30/09/2022,Trauma & Orthopaedics
3,nwm78_total,56,56,56,30/09/2022,Trauma & Orthopaedics
3,rtt_maxwt,1,1,1,30/09/2022,Trauma & Orthopaedics
3,rtt_meanwt,0.44,0.44,0.44,30/09/2022,Trauma & Orthopaedics
3,rtt_medianwt,0,0,0,30/09/2022,Trauma & Orthopaedics
3,rtt_nwm78_total,56,56,56,30/09/2022,Trauma & Orthopaedics
3,wl_size,4398,4398,4398,30/09/2022,Trauma & Orthopaedics
4,nwl104_total,0,0,0,01/10/2022,Trauma & Orthopaedics
4,nwl52_total,3775,3775,3775,01/10/2022,Trauma & Orthopaedics
4,nwm104_total,3,3,3,01/10/2022,Trauma & Orthopaedics
4,nwm52_total,525,525,525,01/10/2022,Trauma & Orthopaedics
4,nwm78_total,56,56,56,01/10/2022,Trauma & Orthopaedics
4,rtt_maxwt,55,55,55,01/10/2022,Trauma & Orthopaedics
4,rtt_meanwt,4.346153846153846,4.346153846153846,4.346153846153846,01/10/2022,Trauma & Orthopaedics
4,rtt_medianwt,1,1,1,01/10/2022,Trauma & Orthopaedics
4,rtt_nwm78_total,56,56,56,01/10/2022,Trauma & Orthopaedics
4,wl_size,4388,4388,4388,01/10/2022,Trauma & Orthopaedics
5,nwl104_total,0,0,0,02/10/2022,Trauma & Orthopaedics
5,nwl52_total,3769,3769,3769,02/10/2022,Trauma & Orthopaedics
5,nwm104_total,3,3,3,02/10/2022,Trauma & Orthopaedics
5,nwm52_total,524,524,524,02/10/2022,Trauma & Orthopaedics
5,nwm78_total,56,56,56,02/10/2022,Trauma & Orthopaedics
5,rtt_maxwt,5,5,5,02/10/2022,Trauma & Orthopaedics
5,rtt_meanwt,0.8214285714285714,0.8214285714285714,0.8214285714285714,02/10/2022,Trauma & Orthopaedics
5,rtt_medianwt,1,1,1,02/10/2022,Trauma & Orthopaedics
5,rtt_nwm78_total,56,56,56,02/10/2022,Trauma & Orthopaedics
5,wl_size,4381,4381,4381,02/10/2022,Trauma & Orthopaedics
6,nwl104_total,0,0,0,03/10/2022,Trauma & Orthopaedics
6,nwl52_total,3761,3761,3761,03/10/2022,Trauma & Orthopaedics
6,nwm104_total,3,3,3,03/10/2022,Trauma & Orthopaedics
6,nwm52_total,523,523,523,03/10/2022,Trauma & Orthopaedics
6,nwm78_total,56,56,56,03/10/2022,Trauma & Orthopaedics
6,rtt_maxwt,2,2,2,03/10/2022,Trauma & Orthopaedics
6,rtt_meanwt,0.896551724137931,0.896551724137931,0.896551724137931,03/10/2022,Trauma & Orthopaedics
6,rtt_medianwt,1,1,1,03/10/2022,Trauma & Orthopaedics
6,rtt_nwm78_total,56,56,56,03/10/2022,Trauma & Orthopaedics
6,wl_size,4372,4372,4372,03/10/2022,Trauma & Orthopaedics
7,nwl104_total,0,0,0,04/10/2022,Trauma & Orthopaedics
7,nwl52_total,3760,3760,3760,04/10/2022,Trauma & Orthopaedics
7,nwm104_total,3,3,3,04/10/2022,Trauma & Orthopaedics
7,nwm52_total,522,522,522,04/10/2022,Trauma & Orthopaedics
7,nwm78_total,56,56,56,04/10/2022,Trauma & Orthopaedics
7,rtt_maxwt,4,4,4,04/10/2022,Trauma & Orthopaedics
7,rtt_meanwt,0.7777777777777778,0.7777777777777778,0.7777777777777778,04/10/2022,Trauma & Orthopaedics
7,rtt_medianwt,1,1,1,04/10/2022,Trauma & Orthopaedics
7,rtt_nwm78_total,56,56,56,04/10/2022,Trauma & Orthopaedics
7,wl_size,4370,4370,4370,04/10/2022,Trauma & Orthopaedics
8,nwl104_total,0,0,0,05/10/2022,Trauma & Orthopaedics
8,nwl52_total,3708,3708,3708,05/10/2022,Trauma & Orthopaedics
8,nwm104_total,4,4,4,05/10/2022,Trauma & Orthopaedics
8,nwm52_total,560,560,560,05/10/2022,Trauma & Orthopaedics
8,nwm78_total,60,60,60,05/10/2022,Trauma & Orthopaedics
8,rtt_maxwt,2,2,2,05/10/2022,Trauma & Orthopaedics
8,rtt_meanwt,1.0714285714285714,1.0714285714285714,1.0714285714285714,05/10/2022,Trauma & Orthopaedics
8,rtt_medianwt,1,1,1,05/10/2022,Trauma & Orthopaedics
8,rtt_nwm78_total,60,60,60,05/10/2022,Trauma & Orthopaedics
8,wl_size,4356,4356,4356,05/10/2022,Trauma & Orthopaedics
