day,metric,mean,q025,q975,date,specialty
0,nwl104_total,0,0,0,27/09/2022,Urology
0,nwl52_total,494,494,494,27/09/2022,Urology
0,nwm104_total,0,0,0,27/09/2022,Urology
0,nwm52_total,85,85,85,27/09/2022,Urology
0,nwm78_total,19,19,19,27/09/2022,Urology
0,rtt_nwm78_total,19,19,19,27/09/2022,Urology
0,wl_size,748,748,748,27/09/2022,Urology
1,nwl104_total,0,0,0,28/09/2022,Urology
1,nwl52_total,489,489,489,28/09/2022,Urology
1,nwm104_total,0,0,0,28/09/2022,Urology
1,nwm52_total,89,89,89,28/09/2022,Urology
1,nwm78_total,19,19,19,28/09/2022,Urology
1,rtt_maxwt,8,8,8,28/09/2022,Urology
1,rtt_meanwt,2,2,2,28/09/2022,Urology
1,rtt_medianwt,0,0,0,28/09/2022,Urology
1,rtt_nwm78_total,19,19,19,28/09/2022,Urology
1,wl_size,748,748,748,28/09/2022,Urology
2,nwl104_total,0,0,0,29/09/2022,Urology
2,nwl52_total,492,492,492,29/09/2022,Urology
2,nwm104_total,0,0,0,29/09/2022,Urology
2,nwm52_total,89,89,89,29/09/2022,Urology
2,nwm78_total,19,19,19,29/09/2022,Urology
2,rtt_maxwt,0,0,0,29/09/2022,Urology
2,rtt_meanwt,0,0,0,29/09/2022,Urology
2,rtt_medianwt,0,0,0,29/09/2022,Urology
2,rtt_nwm78_total,19,19,19,29/09/2022,Urology
2,wl_size,751,751,751,29/09/2022,Urology
3,nwl104_total,0,0,0,30/09/2022,Urology
3,nwl52_total,497,497,497,30/09/2022,Urology
3,nwm104_total,0,0,0,30/09/2022,Urology
3,nwm52_total,89,89,89,30/09/2022,Urology
3,nwm78_total,19,19,19,30/09/2022,Urology
3,rtt_maxwt,0,0,0,30/09/2022,Urology
3,rtt_meanwt,0,0,0,30/09/2022,Urology
3,rtt_medianwt,0,0,0,30/09/2022,Urology
3,rtt_nwm78_total,19,19,19,30/09/2022,Urology
3,wl_size,758,758,758,30/09/2022,Urology
4,nwl104_total,0,0,0,01/10/2022,Urology
4,nwl52_total,494,494,494,01/10/2022,Urology
