day,metric,mean,q025,q975,date,specialty
0,nwl104_total,0,0,0,14/11/2022,Vascular Surgery
0,nwl52_total,89,89,89,14/11/2022,Vascular Surgery
0,nwm104_total,0,0,0,14/11/2022,Vascular Surgery
0,nwm52_total,38,38,38,14/11/2022,Vascular Surgery
0,nwm78_total,2,2,2,14/11/2022,Vascular Surgery
0,wl_Deferred,0,0,0,14/11/2022,Vascular Surgery
0,wl_Planned,1,1,1,14/11/2022,Vascular Surgery
0,wl_size_active,127,127,127,14/11/2022,Vascular Surgery
1,nwl104_total,0,0,0,15/11/2022,Vascular Surgery
1,nwl52_total,87,87,87,15/11/2022,Vascular Surgery
1,nwm104_total,0,0,0,15/11/2022,Vascular Surgery
1,nwm52_total,40,40,40,15/11/2022,Vascular Surgery
1,nwm78_total,2,2,2,15/11/2022,Vascular Surgery
1,wl_Deferred,0,0,0,15/11/2022,Vascular Surgery
1,wl_Planned,1,1,1,15/11/2022,Vascular Surgery
1,wl_size_active,127,127,127,15/11/2022,Vascular Surgery
2,nwl104_total,0,0,0,16/11/2022,Vascular Surgery
2,nwl52_total,86,86,86,16/11/2022,Vascular Surgery
2,nwm104_total,0,0,0,16/11/2022,Vascular Surgery
2,nwm52_total,40,40,40,16/11/2022,Vascular Surgery
2,nwm78_total,2,2,2,16/11/2022,Vascular Surgery
2,wl_Deferred,0,0,0,16/11/2022,Vascular Surgery
2,wl_Planned,1,1,1,16/11/2022,Vascular Surgery
2,wl_size_active,126,126,126,16/11/2022,Vascular Surgery
3,nwl104_total,0,0,0,17/11/2022,Vascular Surgery
3,nwl52_total,85,85,85,17/11/2022,Vascular Surgery
3,nwm104_total,0,0,0,17/11/2022,Vascular Surgery
3,nwm52_total,40,40,40,17/11/2022,Vascular Surgery
3,nwm78_total,2,2,2,17/11/2022,Vascular Surgery
3,wl_Deferred,0,0,0,17/11/2022,Vascular Surgery
3,wl_Planned,1,1,1,17/11/2022,Vascular Surgery
3,wl_size_active,125,125,125,17/11/2022,Vascular Surgery
4,nwl104_total,0,0,0,18/11/2022,Vascular Surgery
4,nwl52_total,87,87,87,18/11/2022,Vascular Surgery
4,nwm104_total,0,0,0,18/11/2022,Vascular Surgery
4,nwm52_total,40,40,40,18/11/2022,Vascular Surgery
4,nwm78_total,2,2,2,18/11/2022,Vascular Surgery
4,wl_Deferred,0,0,0,18/11/2022,Vascular Surgery
4,wl_Planned,1,1,1,18/11/2022,Vascular Surgery
4,wl_size_active,127,127,127,18/11/2022,Vascular Surgery
5,nwl104_total,0,0,0,19/11/2022,Vascular Surgery
5,nwl52_total,88,88,88,19/11/2022,Vascular Surgery
5,nwm104_total,0,0,0,19/11/2022,Vascular Surgery
5,nwm52_total,40,40,40,19/11/2022,Vascular Surgery
5,nwm78_total,2,2,2,19/11/2022,Vascular Surgery
5,wl_Deferred,0,0,0,19/11/2022,Vascular Surgery
5,wl_Planned,1,1,1,19/11/2022,Vascular Surgery
5,wl_size_active,128,128,128,19/11/2022,Vascular Surgery
6,nwl104_total,0,0,0,20/11/2022,Vascular Surgery
6,nwl52_total,89,89,89,20/11/2022,Vascular Surgery
6,nwm104_total,0,0,0,20/11/2022,Vascular Surgery
6,nwm52_total,40,40,40,20/11/2022,Vascular Surgery
6,nwm78_total,2,2,2,20/11/2022,Vascular Surgery
6,wl_Deferred,0,0,0,20/11/2022,Vascular Surgery
6,wl_Planned,1,1,1,20/11/2022,Vascular Surgery
6,wl_size_active,129,129,129,20/11/2022,Vascular Surgery
7,nwl104_total,0,0,0,21/11/2022,Vascular Surgery
7,nwl52_total,91,91,91,21/11/2022,Vascular Surgery
7,nwm104_total,0,0,0,21/11/2022,Vascular Surgery
7,nwm52_total,40,40,40,21/11/2022,Vascular Surgery
7,nwm78_total,2,2,2,21/11/2022,Vascular Surgery
7,wl_Deferred,0,0,0,21/11/2022,Vascular Surgery
7,wl_Planned,1,1,1,21/11/2022,Vascular Surgery
7,wl_size_active,131,131,131,21/11/2022,Vascular Surgery
8,nwl104_total,0,0,0,22/11/2022,Vascular Surgery
8,nwl52_total,87,87,87,22/11/2022,Vascular Surgery
8,nwm104_total,0,0,0,22/11/2022,Vascular Surgery
8,nwm52_total,44,44,44,22/11/2022,Vascular Surgery
8,nwm78_total,3,3,3,22/11/2022,Vascular Surgery
8,wl_Deferred,0,0,0,22/11/2022,Vascular Surgery
8,wl_Planned,1,1,1,22/11/2022,Vascular Surgery
8,wl_size_active,131,131,131,22/11/2022,Vascular Surgery
9,nwl104_total,0,0,0,23/11/2022,Vascular Surgery
9,nwl52_total,88,88,88,23/11/2022,Vascular Surgery
9,nwm104_total,0,0,0,23/11/2022,Vascular Surgery
9,nwm52_total,44,44,44,23/11/2022,Vascular Surgery
9,nwm78_total,3,3,3,23/11/2022,Vascular Surgery
9,wl_Deferred,0,0,0,23/11/2022,Vascular Surgery
9,wl_Planned,1,1,1,23/11/2022,Vascular Surgery
9,wl_size_active,132,132,132,23/11/2022,Vascular Surgery
10,nwl104_total,0,0,0,24/11/2022,Vascular Surgery
10,nwl52_total,88,88,88,24/11/2022,Vascular Surgery
10,nwm104_total,0,0,0,24/11/2022,Vascular Surgery
10,nwm52_total,44,44,44,24/11/2022,Vascular Surgery
10,nwm78_total,3,3,3,24/11/2022,Vascular Surgery
10,wl_Deferred,0,0,0,24/11/2022,Vascular Surgery
10,wl_Planned,1,1,1,24/11/2022,Vascular Surgery
10,wl_size_active,132,132,132,24/11/2022,Vascular Surgery
11,nwl104_total,0,0,0,25/11/2022,Vascular Surgery
11,nwl52_total,89,89,89,25/11/2022,Vascular Surgery
11,nwm104_total,0,0,0,25/11/2022,Vascular Surgery
11,nwm52_total,44,44,44,25/11/2022,Vascular Surgery
11,nwm78_total,3,3,3,25/11/2022,Vascular Surgery
11,wl_Deferred,0,0,0,25/11/2022,Vascular Surgery
11,wl_Planned,1,1,1,25/11/2022,Vascular Surgery
11,wl_size_active,133,133,133,25/11/2022,Vascular Surgery
12,nwl104_total,0,0,0,26/11/2022,Vascular Surgery
12,nwl52_total,90,90,90,26/11/2022,Vascular Surgery
12,nwm104_total,0,0,0,26/11/2022,Vascular Surgery
12,nwm52_total,44,44,44,26/11/2022,Vascular Surgery
12,nwm78_total,3,3,3,26/11/2022,Vascular Surgery
12,wl_Deferred,0,0,0,26/11/2022,Vascular Surgery
12,wl_Planned,1,1,1,26/11/2022,Vascular Surgery
12,wl_size_active,134,134,134,26/11/2022,Vascular Surgery
13,nwl104_total,0,0,0,27/11/2022,Vascular Surgery
13,nwl52_total,91,91,91,27/11/2022,Vascular Surgery
13,nwm104_total,0,0,0,27/11/2022,Vascular Surgery
13,nwm52_total,44,44,44,27/11/2022,Vascular Surgery
13,nwm78_total,3,3,3,27/11/2022,Vascular Surgery
13,wl_Deferred,0,0,0,27/11/2022,Vascular Surgery
13,wl_Planned,1,1,1,27/11/2022,Vascular Surgery
13,wl_size_active,135,135,135,27/11/2022,Vascular Surgery
14,nwl104_total,0,0,0,28/11/2022,Vascular Surgery
14,nwl52_total,91,91,91,28/11/2022,Vascular Surgery
14,nwm104_total,0,0,0,28/11/2022,Vascular Surgery
14,nwm52_total,44,44,44,28/11/2022,Vascular Surgery
14,nwm78_total,3,3,3,28/11/2022,Vascular Surgery
14,wl_Deferred,0,0,0,28/11/2022,Vascular Surgery
14,wl_Planned,1,1,1,28/11/2022,Vascular Surgery
14,wl_size_active,135,135,135,28/11/2022,Vascular Surgery
15,nwl104_total,0,0,0,29/11/2022,Vascular Surgery
15,nwl52_total,89,89,89,29/11/2022,Vascular Surgery
15,nwm104_total,0,0,0,29/11/2022,Vascular Surgery
15,nwm52_total,47,47,47,29/11/2022,Vascular Surgery
15,nwm78_total,3,3,3,29/11/2022,Vascular Surgery
15,wl_Deferred,0,0,0,29/11/2022,Vascular Surgery
15,wl_Planned,1,1,1,29/11/2022,Vascular Surgery
15,wl_size_active,136,136,136,29/11/2022,Vascular Surgery
16,nwl104_total,0,0,0,30/11/2022,Vascular Surgery
16,nwl52_total,89,89,89,30/11/2022,Vascular Surgery
16,nwm104_total,0,0,0,30/11/2022,Vascular Surgery
16,nwm52_total,47,47,47,30/11/2022,Vascular Surgery
