"","date",".rep",".sim","speciality","wl_type"
"1",2023-01-09,"1",84.8522597669402,"Breast Surgery","Active_wl"
"2",2023-01-10,"1",89.593267751213,"Breast Surgery","Active_wl"
"3",2023-01-11,"1",91.0035168104772,"Breast Surgery","Active_wl"
"4",2023-01-12,"1",90.2857249660077,"Breast Surgery","Active_wl"
"5",2023-01-13,"1",87.8658571275566,"Breast Surgery","Active_wl"
"6",2023-01-14,"1",88.382467200303,"Breast Surgery","Active_wl"
"7",2023-01-15,"1",86.0262761054726,"Breast Surgery","Active_wl"
"8",2023-01-16,"1",83.9846901633485,"Breast Surgery","Active_wl"
"9",2023-01-17,"1",83.5828815448106,"Breast Surgery","Active_wl"
"10",2023-01-18,"1",82.7160756897739,"Breast Surgery","Active_wl"
"11",2023-01-19,"1",84.3612157641538,"Breast Surgery","Active_wl"
"12",2023-01-20,"1",83.1895828016307,"Breast Surgery","Active_wl"
"13",2023-01-21,"1",83.8900493086243,"Breast Surgery","Active_wl"
"14",2023-01-22,"1",82.893897963181,"Breast Surgery","Active_wl"
"15",2023-01-23,"1",80.0616322228396,"Breast Surgery","Active_wl"
"16",2023-01-24,"1",83.9990856174533,"Breast Surgery","Active_wl"
"17",2023-01-25,"1",86.5470124396138,"Breast Surgery","Active_wl"
"18",2023-01-26,"1",86.7318289653716,"Breast Surgery","Active_wl"
"19",2023-01-27,"1",83.4367168536843,"Breast Surgery","Active_wl"
"20",2023-01-28,"1",84.7260529911966,"Breast Surgery","Active_wl"
"21",2023-01-29,"1",84.6731573301418,"Breast Surgery","Active_wl"
"22",2023-01-30,"1",84.0446882666625,"Breast Surgery","Active_wl"
"23",2023-01-31,"1",85.1433096122072,"Breast Surgery","Active_wl"
"24",2023-02-01,"1",86.1632213443243,"Breast Surgery","Active_wl"
"25",2023-02-02,"1",86.9503989335074,"Breast Surgery","Active_wl"
"26",2023-02-03,"1",86.9714082199139,"Breast Surgery","Active_wl"
"27",2023-02-04,"1",87.7236780250531,"Breast Surgery","Active_wl"
