"","date",".rep",".sim","speciality","wl_type"
"1",2023-01-09,"1",599.670667060171,"Ophthalmology","Active_wl"
"2",2023-01-10,"1",598.255023657143,"Ophthalmology","Active_wl"
"3",2023-01-11,"1",596.802117446264,"Ophthalmology","Active_wl"
"4",2023-01-12,"1",596.695280867747,"Ophthalmology","Active_wl"
"5",2023-01-13,"1",598.443493059931,"Ophthalmology","Active_wl"
"6",2023-01-14,"1",597.498606544097,"Ophthalmology","Active_wl"
"7",2023-01-15,"1",598.804212572904,"Ophthalmology","Active_wl"
"8",2023-01-16,"1",597.313324886928,"Ophthalmology","Active_wl"
"9",2023-01-17,"1",591.199228706241,"Ophthalmology","Active_wl"
"10",2023-01-18,"1",586.872776392262,"Ophthalmology","Active_wl"
"11",2023-01-19,"1",588.131259296413,"Ophthalmology","Active_wl"
"12",2023-01-20,"1",593.790441550009,"Ophthalmology","Active_wl"
"13",2023-01-21,"1",592.826548704509,"Ophthalmology","Active_wl"
"14",2023-01-22,"1",590.466109006939,"Ophthalmology","Active_wl"
"15",2023-01-23,"1",588.519417646907,"Ophthalmology","Active_wl"
"16",2023-01-24,"1",588.494253315434,"Ophthalmology","Active_wl"
"17",2023-01-25,"1",587.548609547788,"Ophthalmology","Active_wl"
"18",2023-01-26,"1",588.74501810772,"Ophthalmology","Active_wl"
"19",2023-01-27,"1",586.372183047712,"Ophthalmology","Active_wl"
"20",2023-01-28,"1",585.735251976272,"Ophthalmology","Active_wl"
"21",2023-01-29,"1",586.008173653174,"Ophthalmology","Active_wl"
"22",2023-01-30,"1",581.493636107751,"Ophthalmology","Active_wl"
"23",2023-01-31,"1",580.090550774571,"Ophthalmology","Active_wl"
"24",2023-02-01,"1",572.07808205714,"Ophthalmology","Active_wl"
"25",2023-02-02,"1",576.744121339593,"Ophthalmology","Active_wl"
"26",2023-02-03,"1",583.913518326726,"Ophthalmology","Active_wl"
"27",2023-02-04,"1",582.921525074601,"Ophthalmology","Active_wl"
"28",2023-02-05,"1",581.990010675508,"Ophthalmology","Active_wl"
"29",2023-02-06,"1",584.10300778909,"Ophthalmology","Active_wl"
"30",2023-02-07,"1",582.746183117687,"Ophthalmology","Active_wl"
"31",2023-02-08,"1",585.755955493379,"Ophthalmology","Active_wl"
"32",2023-02-09,"1",588.08656051814,"Ophthalmology","Active_wl"
"33",2023-02-10,"1",588.345381497205,"Ophthalmology","Active_wl"
"34",2023-02-11,"1",586.975669602181,"Ophthalmology","Active_wl"
"35",2023-02-12,"1",584.121598903707,"Ophthalmology","Active_wl"
"36",2023-02-13,"1",582.491650412354,"Ophthalmology","Active_wl"
"37",2023-02-14,"1",580.777587895205,"Ophthalmology","Active_wl"
"38",2023-02-15,"1",578.390835583035,"Ophthalmology","Active_wl"
"39",2023-02-16,"1",586.185623557026,"Ophthalmology","Active_wl"
"40",2023-02-17,"1",590.194322718567,"Ophthalmology","Active_wl"
"41",2023-02-18,"1",589.738547380973,"Ophthalmology","Active_wl"
"42",2023-02-19,"1",590.407857128311,"Ophthalmology","Active_wl"
"43",2023-02-20,"1",589.420090421012,"Ophthalmology","Active_wl"
"44",2023-02-21,"1",591.388509957006,"Ophthalmology","Active_wl"
