"","date",".rep",".sim","speciality","wl_type"
"1",2023-01-09,"1",916.045470521625,"Colorectal Surgery","Planned"
"2",2023-01-10,"1",914.416881178942,"Colorectal Surgery","Planned"
"3",2023-01-11,"1",914.563001581018,"Colorectal Surgery","Planned"
"4",2023-01-12,"1",916.929266892628,"Colorectal Surgery","Planned"
"5",2023-01-13,"1",920.395488467066,"Colorectal Surgery","Planned"
"6",2023-01-14,"1",918.243281668665,"Colorectal Surgery","Planned"
"7",2023-01-15,"1",917.097043071739,"Colorectal Surgery","Planned"
"8",2023-01-16,"1",915.126634710956,"Colorectal Surgery","Planned"
"9",2023-01-17,"1",914.45661728768,"Colorectal Surgery","Planned"
"10",2023-01-18,"1",915.05712376333,"Colorectal Surgery","Planned"
"11",2023-01-19,"1",915.83513105986,"Colorectal Surgery","Planned"
"12",2023-01-20,"1",918.285153373009,"Colorectal Surgery","Planned"
"13",2023-01-21,"1",917.313316949356,"Colorectal Surgery","Planned"
"14",2023-01-22,"1",917.568226362921,"Colorectal Surgery","Planned"
"15",2023-01-23,"1",919.213433961739,"Colorectal Surgery","Planned"
"16",2023-01-24,"1",921.460460103054,"Colorectal Surgery","Planned"
"17",2023-01-25,"1",921.270583465272,"Colorectal Surgery","Planned"
"18",2023-01-26,"1",922.26784766549,"Colorectal Surgery","Planned"
"19",2023-01-27,"1",924.080506094407,"Colorectal Surgery","Planned"
"20",2023-01-28,"1",923.575315359501,"Colorectal Surgery","Planned"
"21",2023-01-29,"1",924.178308034098,"Colorectal Surgery","Planned"
"22",2023-01-30,"1",923.837300598119,"Colorectal Surgery","Planned"
"23",2023-01-31,"1",921.420327763791,"Colorectal Surgery","Planned"
"24",2023-02-01,"1",922.798778694174,"Colorectal Surgery","Planned"
"25",2023-02-02,"1",923.921082273524,"Colorectal Surgery","Planned"
"26",2023-02-03,"1",924.548069728782,"Colorectal Surgery","Planned"
"27",2023-02-04,"1",926.543156778744,"Colorectal Surgery","Planned"
"28",2023-02-05,"1",923.097366775173,"Colorectal Surgery","Planned"
"29",2023-02-06,"1",923.462838571689,"Colorectal Surgery","Planned"
"30",2023-02-07,"1",924.318246943334,"Colorectal Surgery","Planned"
"31",2023-02-08,"1",922.620537309481,"Colorectal Surgery","Planned"
"32",2023-02-09,"1",921.466204532905,"Colorectal Surgery","Planned"
"33",2023-02-10,"1",922.42062961657,"Colorectal Surgery","Planned"
"34",2023-02-11,"1",923.460894880584,"Colorectal Surgery","Planned"
"35",2023-02-12,"1",922.689159104923,"Colorectal Surgery","Planned"
"36",2023-02-13,"1",922.884606057745,"Colorectal Surgery","Planned"
"37",2023-02-14,"1",923.314210123811,"Colorectal Surgery","Planned"
"38",2023-02-15,"1",921.775608539358,"Colorectal Surgery","Planned"
"39",2023-02-16,"1",921.389068828926,"Colorectal Surgery","Planned"
"40",2023-02-17,"1",921.380504980162,"Colorectal Surgery","Planned"
"41",2023-02-18,"1",919.635011695139,"Colorectal Surgery","Planned"
"42",2023-02-19,"1",920.375341789362,"Colorectal Surgery","Planned"
"43",2023-02-20,"1",922.665614154489,"Colorectal Surgery","Planned"
"44",2023-02-21,"1",922.344227665697,"Colorectal Surgery","Planned"
"45",2023-02-22,"1",922.686640445806,"Colorectal Surgery","Planned"
"46",2023-02-23,"1",923.722699567679,"Colorectal Surgery","Planned"
"47",2023-02-24,"1",925.939534538914,"Colorectal Surgery","Planned"
"48",2023-02-25,"1",923.859185078534,"Colorectal Surgery","Planned"
"49",2023-02-26,"1",922.547117587228,"Colorectal Surgery","Planned"
"50",2023-02-27,"1",921.737382773946,"Colorectal Surgery","Planned"
"51",2023-02-28,"1",925.840444077988,"Colorectal Surgery","Planned"
"52",2023-03-01,"1",926.566529138665,"Colorectal Surgery","Planned"
"53",2023-03-02,"1",925.221467485258,"Colorectal Surgery","Planned"
"54",2023-03-03,"1",928.23568150687,"Colorectal Surgery","Planned"
"55",2023-03-04,"1",927.2007795836,"Colorectal Surgery","Planned"
"56",2023-03-05,"1",926.043589396357,"Colorectal Surgery","Planned"
"57",2023-03-06,"1",926.953200079281,"Colorectal Surgery","Planned"
"58",2023-03-07,"1",928.345013254857,"Colorectal Surgery","Planned"
"59",2023-03-08,"1",926.281445437014,"Colorectal Surgery","Planned"
"60",2023-03-09,"1",929.202956528293,"Colorectal Surgery","Planned"
"61",2023-03-10,"1",931.165293921078,"Colorectal Surgery","Planned"
"62",2023-03-11,"1",931.2113282512,"Colorectal Surgery","Planned"
"63",2023-03-12,"1",931.272463602827,"Colorectal Surgery","Planned"
"64",2023-03-13,"1",930.804793768426,"Colorectal Surgery","Planned"
"65",2023-03-14,"1",929.924693744405,"Colorectal Surgery","Planned"
"66",2023-03-15,"1",932.156284020804,"Colorectal Surgery","Planned"
