"","date",".rep",".sim","speciality","wl_type"
"1",2023-01-09,"1",1.17594158699867,"Elderly Medicine","Planned"
"2",2023-01-10,"1",1.27623730902458,"Elderly Medicine","Planned"
"3",2023-01-11,"1",1.31811903419057,"Elderly Medicine","Planned"
"4",2023-01-12,"1",1.22932479048678,"Elderly Medicine","Planned"
"5",2023-01-13,"1",1.37088965753962,"Elderly Medicine","Planned"
"6",2023-01-14,"1",1.15222065356973,"Elderly Medicine","Planned"
"7",2023-01-15,"1",1.12136332814455,"Elderly Medicine","Planned"
"8",2023-01-16,"1",0,"Elderly Medicine","Planned"
"9",2023-01-17,"1",1.00427323938135,"Elderly Medicine","Planned"
"10",2023-01-18,"1",1.22187787343667,"Elderly Medicine","Planned"
"11",2023-01-19,"1",1.26239064266398,"Elderly Medicine","Planned"
"12",2023-01-20,"1",1.09481366161341,"Elderly Medicine","Planned"
"13",2023-01-21,"1",0,"Elderly Medicine","Planned"
"14",2023-01-22,"1",1.00495897984908,"Elderly Medicine","Planned"
"15",2023-01-23,"1",1.02266441211043,"Elderly Medicine","Planned"
"16",2023-01-24,"1",0,"Elderly Medicine","Planned"
"17",2023-01-25,"1",0,"Elderly Medicine","Planned"
"18",2023-01-26,"1",0,"Elderly Medicine","Planned"
"19",2023-01-27,"1",0,"Elderly Medicine","Planned"
"20",2023-01-28,"1",0,"Elderly Medicine","Planned"
"21",2023-01-29,"1",0,"Elderly Medicine","Planned"
"22",2023-01-30,"1",0,"Elderly Medicine","Planned"
"23",2023-01-31,"1",0,"Elderly Medicine","Planned"
"24",2023-02-01,"1",1.04590237157612,"Elderly Medicine","Planned"
"25",2023-02-02,"1",1.13184454867489,"Elderly Medicine","Planned"
"26",2023-02-03,"1",1.04614285249491,"Elderly Medicine","Planned"
"27",2023-02-04,"1",1.16475056573217,"Elderly Medicine","Planned"
"28",2023-02-05,"1",1.01988677797085,"Elderly Medicine","Planned"
"29",2023-02-06,"1",1.05670847921335,"Elderly Medicine","Planned"
"30",2023-02-07,"1",1.12772010254155,"Elderly Medicine","Planned"
