"","date",".rep",".sim","speciality","wl_type"
"1",2023-01-09,"1",10.6011011435692,"Ophthalmology","Planned"
"2",2023-01-10,"1",9.98108769781379,"Ophthalmology","Planned"
"3",2023-01-11,"1",9.43804645064052,"Ophthalmology","Planned"
"4",2023-01-12,"1",9.3371564863557,"Ophthalmology","Planned"
"5",2023-01-13,"1",9.43960897036127,"Ophthalmology","Planned"
"6",2023-01-14,"1",9.44815312378475,"Ophthalmology","Planned"
"7",2023-01-15,"1",9.81719211664746,"Ophthalmology","Planned"
"8",2023-01-16,"1",9.48996491433647,"Ophthalmology","Planned"
"9",2023-01-17,"1",9.40533659731022,"Ophthalmology","Planned"
"10",2023-01-18,"1",8.3402989941198,"Ophthalmology","Planned"
"11",2023-01-19,"1",8.19799568386045,"Ophthalmology","Planned"
"12",2023-01-20,"1",8.55838027660143,"Ophthalmology","Planned"
"13",2023-01-21,"1",8.03182385864452,"Ophthalmology","Planned"
"14",2023-01-22,"1",7.60040964700859,"Ophthalmology","Planned"
"15",2023-01-23,"1",7.55308125588924,"Ophthalmology","Planned"
"16",2023-01-24,"1",6.99986259926909,"Ophthalmology","Planned"
"17",2023-01-25,"1",6.62280694131761,"Ophthalmology","Planned"
"18",2023-01-26,"1",6.9602102814724,"Ophthalmology","Planned"
"19",2023-01-27,"1",6.98711893144903,"Ophthalmology","Planned"
"20",2023-01-28,"1",6.61476385743138,"Ophthalmology","Planned"
"21",2023-01-29,"1",6.36701396518191,"Ophthalmology","Planned"
"22",2023-01-30,"1",6.35292342869234,"Ophthalmology","Planned"
"23",2023-01-31,"1",6.96618242013899,"Ophthalmology","Planned"
"24",2023-02-01,"1",7.23582888134232,"Ophthalmology","Planned"
"25",2023-02-02,"1",7.03673295969195,"Ophthalmology","Planned"
"26",2023-02-03,"1",6.66267912401482,"Ophthalmology","Planned"
"27",2023-02-04,"1",5.74924044636272,"Ophthalmology","Planned"
"28",2023-02-05,"1",5.75159510539432,"Ophthalmology","Planned"
"29",2023-02-06,"1",5.1155099842337,"Ophthalmology","Planned"
"30",2023-02-07,"1",5.03782992588433,"Ophthalmology","Planned"
"31",2023-02-08,"1",5.12280914315589,"Ophthalmology","Planned"
"32",2023-02-09,"1",5.2326919509967,"Ophthalmology","Planned"
"33",2023-02-10,"1",5.41929210641586,"Ophthalmology","Planned"
"34",2023-02-11,"1",5.50101639347299,"Ophthalmology","Planned"
