"","date",".rep",".sim","speciality","wl_type"
"1",2023-01-09,"1",1.09256834201118,"Thoracic Medicine","Planned"
"2",2023-01-10,"1",1.93757472366085,"Thoracic Medicine","Planned"
"3",2023-01-11,"1",1.50881738609388,"Thoracic Medicine","Planned"
"4",2023-01-12,"1",0,"Thoracic Medicine","Planned"
"5",2023-01-13,"1",0,"Thoracic Medicine","Planned"
"6",2023-01-14,"1",2.16787182232662,"Thoracic Medicine","Planned"
"7",2023-01-15,"1",1.84103026904044,"Thoracic Medicine","Planned"
"8",2023-01-16,"1",2.52964815928432,"Thoracic Medicine","Planned"
"9",2023-01-17,"1",1.64309119686995,"Thoracic Medicine","Planned"
"10",2023-01-18,"1",1.97021360802979,"Thoracic Medicine","Planned"
"11",2023-01-19,"1",1.97743112691415,"Thoracic Medicine","Planned"
"12",2023-01-20,"1",2.46924609583469,"Thoracic Medicine","Planned"
"13",2023-01-21,"1",2.06127721562268,"Thoracic Medicine","Planned"
"14",2023-01-22,"1",0,"Thoracic Medicine","Planned"
"15",2023-01-23,"1",1.48104851970293,"Thoracic Medicine","Planned"
"16",2023-01-24,"1",2.40998456715471,"Thoracic Medicine","Planned"
"17",2023-01-25,"1",1.57316360636836,"Thoracic Medicine","Planned"
"18",2023-01-26,"1",1.46984511822443,"Thoracic Medicine","Planned"
"19",2023-01-27,"1",2.32955630956983,"Thoracic Medicine","Planned"
"20",2023-01-28,"1",1.05956075402208,"Thoracic Medicine","Planned"
"21",2023-01-29,"1",1.12224522839589,"Thoracic Medicine","Planned"
"22",2023-01-30,"1",1.35984463371559,"Thoracic Medicine","Planned"
"23",2023-01-31,"1",0,"Thoracic Medicine","Planned"
"24",2023-02-01,"1",1.64594111005895,"Thoracic Medicine","Planned"
"25",2023-02-02,"1",1.70358919138523,"Thoracic Medicine","Planned"
"26",2023-02-03,"1",1.64795294918209,"Thoracic Medicine","Planned"
"27",2023-02-04,"1",1.77132882353876,"Thoracic Medicine","Planned"
"28",2023-02-05,"1",2.8094349301374,"Thoracic Medicine","Planned"
"29",2023-02-06,"1",1.7751411051723,"Thoracic Medicine","Planned"
"30",2023-02-07,"1",2.14604555750994,"Thoracic Medicine","Planned"
"31",2023-02-08,"1",1.63573353917191,"Thoracic Medicine","Planned"
"32",2023-02-09,"1",1.95005246637146,"Thoracic Medicine","Planned"
"33",2023-02-10,"1",1.48136062228531,"Thoracic Medicine","Planned"
"34",2023-02-11,"1",0,"Thoracic Medicine","Planned"
"35",2023-02-12,"1",1.70072682181424,"Thoracic Medicine","Planned"
"36",2023-02-13,"1",1.5339252414776,"Thoracic Medicine","Planned"
"37",2023-02-14,"1",2.03139147073059,"Thoracic Medicine","Planned"
"38",2023-02-15,"1",0,"Thoracic Medicine","Planned"
"39",2023-02-16,"1",1.54894317331969,"Thoracic Medicine","Planned"
"40",2023-02-17,"1",2.53814075645534,"Thoracic Medicine","Planned"
"41",2023-02-18,"1",1.02041084006931,"Thoracic Medicine","Planned"
"42",2023-02-19,"1",1.20630470577814,"Thoracic Medicine","Planned"
"43",2023-02-20,"1",1.82476677681974,"Thoracic Medicine","Planned"
"44",2023-02-21,"1",0,"Thoracic Medicine","Planned"
"45",2023-02-22,"1",0,"Thoracic Medicine","Planned"
"46",2023-02-23,"1",2.04391544832053,"Thoracic Medicine","Planned"
"47",2023-02-24,"1",1.23308816263354,"Thoracic Medicine","Planned"
"48",2023-02-25,"1",1.55780931202245,"Thoracic Medicine","Planned"
