"","date",".rep",".sim","speciality","wl_type"
"1",2023-01-09,"1",3.02718287170855,"Vascular Surgery","Planned"
"2",2023-01-10,"1",2.65477260948813,"Vascular Surgery","Planned"
"3",2023-01-11,"1",2.74695496947458,"Vascular Surgery","Planned"
"4",2023-01-12,"1",2.73577040339715,"Vascular Surgery","Planned"
"5",2023-01-13,"1",2.95021135715539,"Vascular Surgery","Planned"
"6",2023-01-14,"1",2.70228073072257,"Vascular Surgery","Planned"
"7",2023-01-15,"1",2.6801678085502,"Vascular Surgery","Planned"
"8",2023-01-16,"1",2.64018107623705,"Vascular Surgery","Planned"
"9",2023-01-17,"1",2.57474874343248,"Vascular Surgery","Planned"
"10",2023-01-18,"1",2.43973105697991,"Vascular Surgery","Planned"
"11",2023-01-19,"1",2.21988226977876,"Vascular Surgery","Planned"
"12",2023-01-20,"1",2.34954160960241,"Vascular Surgery","Planned"
"13",2023-01-21,"1",2.33999209787336,"Vascular Surgery","Planned"
"14",2023-01-22,"1",2.49718850763844,"Vascular Surgery","Planned"
"15",2023-01-23,"1",2.59535014557125,"Vascular Surgery","Planned"
"16",2023-01-24,"1",2.40139796067826,"Vascular Surgery","Planned"
"17",2023-01-25,"1",2.37585746445489,"Vascular Surgery","Planned"
"18",2023-01-26,"1",2.33791132673053,"Vascular Surgery","Planned"
"19",2023-01-27,"1",2.63324689986301,"Vascular Surgery","Planned"
"20",2023-01-28,"1",2.65641872123865,"Vascular Surgery","Planned"
"21",2023-01-29,"1",2.50679482229897,"Vascular Surgery","Planned"
"22",2023-01-30,"1",2.27414143306169,"Vascular Surgery","Planned"
"23",2023-01-31,"1",2.41743719945334,"Vascular Surgery","Planned"
"24",2023-02-01,"1",2.27930953210167,"Vascular Surgery","Planned"
"25",2023-02-02,"1",1.94785786095982,"Vascular Surgery","Planned"
"26",2023-02-03,"1",1.99182277266434,"Vascular Surgery","Planned"
"27",2023-02-04,"1",2.01847680694725,"Vascular Surgery","Planned"
"28",2023-02-05,"1",2.04167343369926,"Vascular Surgery","Planned"
"29",2023-02-06,"1",2.15622732792481,"Vascular Surgery","Planned"
"30",2023-02-07,"1",2.23765308305571,"Vascular Surgery","Planned"
"31",2023-02-08,"1",2.13985462875754,"Vascular Surgery","Planned"
"32",2023-02-09,"1",1.97075447043229,"Vascular Surgery","Planned"
"33",2023-02-10,"1",2.03095016672092,"Vascular Surgery","Planned"
"34",2023-02-11,"1",1.82167822711473,"Vascular Surgery","Planned"
"35",2023-02-12,"1",1.76190345957698,"Vascular Surgery","Planned"
"36",2023-02-13,"1",1.67692147209231,"Vascular Surgery","Planned"
"37",2023-02-14,"1",1.59024493381035,"Vascular Surgery","Planned"
"38",2023-02-15,"1",1.53473772853908,"Vascular Surgery","Planned"
"39",2023-02-16,"1",1.81884350430429,"Vascular Surgery","Planned"
"40",2023-02-17,"1",1.86556929585743,"Vascular Surgery","Planned"
"41",2023-02-18,"1",1.82220796379624,"Vascular Surgery","Planned"
"42",2023-02-19,"1",1.78412409932275,"Vascular Surgery","Planned"
"43",2023-02-20,"1",1.72920475729701,"Vascular Surgery","Planned"
"44",2023-02-21,"1",2.0849800417556,"Vascular Surgery","Planned"
"45",2023-02-22,"1",2.08199211396062,"Vascular Surgery","Planned"
"46",2023-02-23,"1",2.13392941944755,"Vascular Surgery","Planned"
"47",2023-02-24,"1",2.06985905860158,"Vascular Surgery","Planned"
"48",2023-02-25,"1",2.16200369556588,"Vascular Surgery","Planned"
"49",2023-02-26,"1",2.42499313510956,"Vascular Surgery","Planned"
"50",2023-02-27,"1",2.67018429148641,"Vascular Surgery","Planned"
"51",2023-02-28,"1",2.59092516104775,"Vascular Surgery","Planned"
