"","date",".rep",".sim","speciality","wl_type"
"1",2023-01-09,"1",11.1280625768769,"Colorectal Surgery","Unknown"
"2",2023-01-10,"1",11.1923060968409,"Colorectal Surgery","Unknown"
"3",2023-01-11,"1",11.6773148243384,"Colorectal Surgery","Unknown"
"4",2023-01-12,"1",11.0003025196315,"Colorectal Surgery","Unknown"
"5",2023-01-13,"1",15.5734407459788,"Colorectal Surgery","Unknown"
"6",2023-01-14,"1",13.3259212321848,"Colorectal Surgery","Unknown"
"7",2023-01-15,"1",17.5557217443649,"Colorectal Surgery","Unknown"
"8",2023-01-16,"1",14.6016016281574,"Colorectal Surgery","Unknown"
"9",2023-01-17,"1",13.8316888913808,"Colorectal Surgery","Unknown"
"10",2023-01-18,"1",13.9431136417857,"Colorectal Surgery","Unknown"
"11",2023-01-19,"1",10.8149015211845,"Colorectal Surgery","Unknown"
"12",2023-01-20,"1",14.2366359223626,"Colorectal Surgery","Unknown"
"13",2023-01-21,"1",18.1002757322364,"Colorectal Surgery","Unknown"
"14",2023-01-22,"1",17.4205349544148,"Colorectal Surgery","Unknown"
"15",2023-01-23,"1",14.890819721009,"Colorectal Surgery","Unknown"
"16",2023-01-24,"1",13.7285669290749,"Colorectal Surgery","Unknown"
"17",2023-01-25,"1",14.1152533145072,"Colorectal Surgery","Unknown"
"18",2023-01-26,"1",13.6193859047552,"Colorectal Surgery","Unknown"
"19",2023-01-27,"1",13.0309991217222,"Colorectal Surgery","Unknown"
"20",2023-01-28,"1",13.9958467455761,"Colorectal Surgery","Unknown"
"21",2023-01-29,"1",9.240364616472,"Colorectal Surgery","Unknown"
"22",2023-01-30,"1",9.6549027582758,"Colorectal Surgery","Unknown"
"23",2023-01-31,"1",10.0882307858394,"Colorectal Surgery","Unknown"
"24",2023-02-01,"1",6.66353146385597,"Colorectal Surgery","Unknown"
"25",2023-02-02,"1",9.6262771239858,"Colorectal Surgery","Unknown"
"26",2023-02-03,"1",16.3112187526672,"Colorectal Surgery","Unknown"
"27",2023-02-04,"1",11.7754751918917,"Colorectal Surgery","Unknown"
"28",2023-02-05,"1",12.0203796749069,"Colorectal Surgery","Unknown"
"29",2023-02-06,"1",14.0089247729207,"Colorectal Surgery","Unknown"
"30",2023-02-07,"1",11.9708131478759,"Colorectal Surgery","Unknown"
"31",2023-02-08,"1",14.0944620368189,"Colorectal Surgery","Unknown"
"32",2023-02-09,"1",12.7722604521015,"Colorectal Surgery","Unknown"
"33",2023-02-10,"1",14.2578907709474,"Colorectal Surgery","Unknown"
"34",2023-02-11,"1",17.2544356182598,"Colorectal Surgery","Unknown"
"35",2023-02-12,"1",13.0723891547764,"Colorectal Surgery","Unknown"
"36",2023-02-13,"1",9.97597011929066,"Colorectal Surgery","Unknown"
"37",2023-02-14,"1",11.3035489509763,"Colorectal Surgery","Unknown"
"38",2023-02-15,"1",10.0256907688658,"Colorectal Surgery","Unknown"
"39",2023-02-16,"1",8.71982776303645,"Colorectal Surgery","Unknown"
"40",2023-02-17,"1",12.761524353108,"Colorectal Surgery","Unknown"
"41",2023-02-18,"1",18.2865681948242,"Colorectal Surgery","Unknown"
"42",2023-02-19,"1",15.2990985095396,"Colorectal Surgery","Unknown"
"43",2023-02-20,"1",15.8351213940445,"Colorectal Surgery","Unknown"
"44",2023-02-21,"1",14.9751026839022,"Colorectal Surgery","Unknown"
"45",2023-02-22,"1",9.50150474891378,"Colorectal Surgery","Unknown"
"46",2023-02-23,"1",10.8919125597094,"Colorectal Surgery","Unknown"
"47",2023-02-24,"1",14.6854308723554,"Colorectal Surgery","Unknown"
"48",2023-02-25,"1",20.7610125001245,"Colorectal Surgery","Unknown"
"49",2023-02-26,"1",21.1677715387884,"Colorectal Surgery","Unknown"
"50",2023-02-27,"1",19.7176438929792,"Colorectal Surgery","Unknown"
"51",2023-02-28,"1",16.2247285729386,"Colorectal Surgery","Unknown"
"52",2023-03-01,"1",16.7256403694253,"Colorectal Surgery","Unknown"
"53",2023-03-02,"1",14.5354341628837,"Colorectal Surgery","Unknown"
"54",2023-03-03,"1",17.0930490547142,"Colorectal Surgery","Unknown"
