"","date",".rep",".sim","speciality","wl_type"
"1",2023-01-09,"1",4.09671144341958,"Plastic Surgery","Unknown"
"2",2023-01-10,"1",6.46774958026128,"Plastic Surgery","Unknown"
"3",2023-01-11,"1",2.67229824811711,"Plastic Surgery","Unknown"
"4",2023-01-12,"1",2.07896189909341,"Plastic Surgery","Unknown"
"5",2023-01-13,"1",3.87437755804788,"Plastic Surgery","Unknown"
"6",2023-01-14,"1",2.5831283767034,"Plastic Surgery","Unknown"
"7",2023-01-15,"1",1.00184304605348,"Plastic Surgery","Unknown"
"8",2023-01-16,"1",2.85562293416367,"Plastic Surgery","Unknown"
"9",2023-01-17,"1",3.21247564443238,"Plastic Surgery","Unknown"
"10",2023-01-18,"1",2.26563865737098,"Plastic Surgery","Unknown"
"11",2023-01-19,"1",1.85366962610481,"Plastic Surgery","Unknown"
"12",2023-01-20,"1",4.08447837069257,"Plastic Surgery","Unknown"
"13",2023-01-21,"1",1.87198362436552,"Plastic Surgery","Unknown"
"14",2023-01-22,"1",2.50162759822763,"Plastic Surgery","Unknown"
"15",2023-01-23,"1",0,"Plastic Surgery","Unknown"
"16",2023-01-24,"1",3.72998193044798,"Plastic Surgery","Unknown"
"17",2023-01-25,"1",0,"Plastic Surgery","Unknown"
"18",2023-01-26,"1",1.01079180460375,"Plastic Surgery","Unknown"
"19",2023-01-27,"1",0,"Plastic Surgery","Unknown"
"20",2023-01-28,"1",0,"Plastic Surgery","Unknown"
"21",2023-01-29,"1",0,"Plastic Surgery","Unknown"
"22",2023-01-30,"1",0,"Plastic Surgery","Unknown"
"23",2023-01-31,"1",0,"Plastic Surgery","Unknown"
"24",2023-02-01,"1",0,"Plastic Surgery","Unknown"
"25",2023-02-02,"1",0,"Plastic Surgery","Unknown"
"26",2023-02-03,"1",0,"Plastic Surgery","Unknown"
"27",2023-02-04,"1",0,"Plastic Surgery","Unknown"
"28",2023-02-05,"1",0,"Plastic Surgery","Unknown"
"29",2023-02-06,"1",0,"Plastic Surgery","Unknown"
"30",2023-02-07,"1",0,"Plastic Surgery","Unknown"
"31",2023-02-08,"1",0,"Plastic Surgery","Unknown"
"32",2023-02-09,"1",0,"Plastic Surgery","Unknown"
"33",2023-02-10,"1",0,"Plastic Surgery","Unknown"
